row_index,workflow_history,language_as_recorded,language_code,authorized_label_add,structured_value_add,authorized_label,structured_value
1,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-10T16:04:16.876300900Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-01-10T16:05:52.857653200Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2024-01-10T16:06:15.865063200Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-01-10T16:06:28.560157900Z",Dutch,dut,,,Dutch,Q7411
16,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-10T16:04:16.876300900Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-01-10T16:05:52.857653200Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2024-01-10T16:06:15.865063200Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-01-10T16:06:28.560157900Z",Greek,grc,,,Greek,Q9129
17,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-10T16:04:16.876300900Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-01-10T16:05:52.857653200Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2024-01-10T16:06:15.865063200Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-01-10T16:06:28.561116800Z",In English,eng,English,Q1860,,
18,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-10T16:04:16.876300900Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-01-10T16:05:52.857653200Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2024-01-10T16:06:15.865063200Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-01-10T16:06:28.561116800Z",In French and Latin,fre;lat,French;Latin,Q150;Q397,,
19,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-10T16:04:16.876300900Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-01-10T16:05:52.857653200Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2024-01-10T16:06:15.865063200Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-01-10T16:06:28.561116800Z",In Latin,lat,,,Latin,Q397
20,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-10T16:04:16.876300900Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-01-10T16:05:52.857653200Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2024-01-10T16:06:15.865063200Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-01-10T16:06:28.561116800Z",In Latin and French,lat,,,Latin;French,Q397;Q150
21,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-10T16:04:16.876300900Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-01-10T16:05:52.857653200Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2024-01-10T16:06:15.865063200Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-01-10T16:06:28.561116800Z","In Latin, English and French",lat,Latin;English;French,Q397;Q1860;Q150,,
22,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-10T16:04:16.876300900Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-01-10T16:05:52.857653200Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2024-01-10T16:06:15.865063200Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-01-10T16:06:28.561116800Z","In Latin, French and English",lat;eng;fre,Latin;French;English,Q397;Q150;Q1860,,
23,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-10T16:04:16.876300900Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-01-10T16:05:52.857653200Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2024-01-10T16:06:15.865063200Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-01-10T16:06:28.561116800Z",In Middle English,enm,,,Middle English,Q36395
24,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-10T16:04:16.876300900Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-01-10T16:05:52.857653200Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2024-01-10T16:06:15.865063200Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-01-10T16:06:28.561116800Z",In Middle English and Latin,enm,,,Middle English;Latin,Q36395;Q397
25,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-10T16:04:16.876300900Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-01-10T16:05:52.857653200Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2024-01-10T16:06:15.865063200Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-01-10T16:06:28.561116800Z",Italian,ita,,,Italian,Q652
26,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-10T16:04:16.876300900Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-01-10T16:05:52.857653200Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2024-01-10T16:06:15.865063200Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-01-10T16:06:28.561116800Z",Italian and French,ita;fre,Italian;French,Q652;Q150,,
27,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-10T16:04:16.876300900Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-01-10T16:05:52.857653200Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2024-01-10T16:06:15.865063200Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-01-10T16:06:28.561116800Z",Latin,lat,,,Latin,Q397
28,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-10T16:04:16.876300900Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-01-10T16:05:52.857653200Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2024-01-10T16:06:15.865063200Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-01-10T16:06:28.561116800Z",Latin and English,lat,Latin;English,Q397;Q1860,,
29,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-10T16:04:16.876300900Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-01-10T16:05:52.857653200Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2024-01-10T16:06:15.865063200Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-01-10T16:06:28.561116800Z",Latin and English,lat;eng,Latin;English,Q397;Q1860,,
30,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-10T16:04:16.876300900Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-01-10T16:05:52.857653200Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2024-01-10T16:06:15.865063200Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-01-10T16:06:28.561116800Z",Latin and French,lat,,,Latin;French,Q397;Q150
31,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-10T16:04:16.876300900Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-01-10T16:05:52.857653200Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2024-01-10T16:06:15.865063200Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-01-10T16:06:28.561116800Z",Latin and French,lat;fre,,,Latin;French,Q397;Q150
32,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-10T16:04:16.876300900Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-01-10T16:05:52.857653200Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2024-01-10T16:06:15.865063200Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-01-10T16:06:28.561116800Z",Latin and German,lat;ger,Latin;German,Q397;Q188,,
33,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-10T16:04:16.876300900Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-01-10T16:05:52.857653200Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2024-01-10T16:06:15.865063200Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-01-10T16:06:28.561116800Z",Latin and German,lat,Latin;German,Q397;Q188,,
34,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-10T16:04:16.876300900Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-01-10T16:05:52.857653200Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2024-01-10T16:06:15.865063200Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-01-10T16:06:28.561116800Z",Latin and Occitan,lat;pro,Latin;Occitan,Q397;Q14185,,
35,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-10T16:04:16.876300900Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-01-10T16:05:52.857653200Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2024-01-10T16:06:15.865063200Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-01-10T16:06:28.561116800Z",Latin and some English,lat,Latin;English,Q397;Q1860,,
36,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-10T16:04:16.876300900Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-01-10T16:05:52.857653200Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2024-01-10T16:06:15.865063200Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-01-10T16:06:28.561116800Z",Latin and some English,lat;eng,Latin;English,Q397;Q1860,,
37,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-10T16:04:16.876300900Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-01-10T16:05:52.857653200Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2024-01-10T16:06:15.865063200Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-01-10T16:06:28.561116800Z",Latin and some French,lat,Latin;French,Q397;Q150,,
38,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-10T16:04:16.876300900Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-01-10T16:05:52.857653200Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2024-01-10T16:06:15.865063200Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-01-10T16:06:28.561116800Z",Latin with English additions,lat,Latin;English,Q397;Q1860,,
39,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-10T16:04:16.876300900Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-01-10T16:05:52.857653200Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2024-01-10T16:06:15.865063200Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-01-10T16:06:28.561116800Z",Latin with French verses concluding each hour in the Book of Hours,lat,Latin;French,Q397;Q150,,
40,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-10T16:04:16.876300900Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-01-10T16:05:52.857653200Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2024-01-10T16:06:15.865063200Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-01-10T16:06:28.561116800Z",Latin with one text in French,lat,Latin;French,Q397;Q150,,
41,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-10T16:04:16.876300900Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-01-10T16:05:52.857653200Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2024-01-10T16:06:15.865063200Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-01-10T16:06:28.561116800Z","Latin, Anglo Norman, and Middle English",lat,Latin;Anglo-Norman;Middle English,Q397;Q35214;Q36395,,
42,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-10T16:04:16.876300900Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-01-10T16:05:52.857653200Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2024-01-10T16:06:15.865063200Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-01-10T16:06:28.561116800Z","Latin, French and Middle English",lat,Latin;French;Middle English,Q397;Q150;Q36395,,
43,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-10T16:04:16.876300900Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-01-10T16:05:52.857653200Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2024-01-10T16:06:15.865063200Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-01-10T16:06:28.561116800Z","Latin, the chanson de geste fragment in v. I is in French",lat;fre,Latin;French,Q397;Q150,,
44,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-10T16:04:16.876300900Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-01-10T16:05:52.857653200Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2024-01-10T16:06:15.865063200Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-01-10T16:06:28.561116800Z","Latin, translated from an existing Arabic translation by Michael Scot",lat,Latin;Arabic,Q397;Q13955,,
45,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-10T16:04:16.876300900Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-01-10T16:05:52.857653200Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2024-01-10T16:06:15.865063200Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-01-10T16:06:28.561116800Z","Latin, with calendar in French",lat,Latin;French,Q397;Q150,,
46,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-10T16:04:16.876300900Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-01-10T16:05:52.857653200Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2024-01-10T16:06:15.865063200Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-01-10T16:06:28.561116800Z","Latin, with final text in French",lat,Latin;French,Q397;Q150,,
47,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-10T16:04:16.876300900Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-01-10T16:05:52.857653200Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2024-01-10T16:06:15.865063200Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-01-10T16:06:28.561116800Z","Latin, with one document in French",lat;fre,,,Latin;French,Q397;Q150
48,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-10T16:04:16.876300900Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-01-10T16:05:52.857653200Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2024-01-10T16:06:15.865063200Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-01-10T16:06:28.561116800Z","Latin, with one section in Old English and French",lat,Latin;Old English;French,Q397;Q42365;Q150,,
49,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-10T16:04:16.876300900Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-01-10T16:05:52.857653200Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2024-01-10T16:06:15.865063200Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-01-10T16:06:28.561116800Z","Latin, with one text in middle French",lat,Latin;Middle French,Q397;Q1473289,,
50,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-10T16:04:16.876300900Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-01-10T16:05:52.857653200Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2024-01-10T16:06:15.865063200Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-01-10T16:06:28.561116800Z","Latin, with the Calendar in French",lat;fre,Latin;French,Q397;Q150,,
51,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-10T16:04:16.876300900Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-01-10T16:05:52.857653200Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2024-01-10T16:06:15.865063200Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-01-10T16:06:28.561116800Z","Latin, with the calendar in French",lat;fre,Latin;French,Q397;Q150,,
52,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-10T16:04:16.876300900Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-01-10T16:05:52.857653200Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2024-01-10T16:06:15.865063200Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-01-10T16:06:28.561116800Z","Latin, with the calendar in French",lat,Latin;French,Q397;Q150,,
53,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-10T16:04:16.876300900Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-01-10T16:05:52.857653200Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2024-01-10T16:06:15.865063200Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-01-10T16:06:28.561116800Z",Latin; English; Czech,lat;eng;cze,,,Latin;English;Czech,Q397;Q1860;Q9056
54,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-10T16:04:16.876300900Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-01-10T16:05:52.857653200Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2024-01-10T16:06:15.865063200Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-01-10T16:06:28.561116800Z",Latin; French,lat;fre,,,Latin;French,Q397;Q150
55,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-10T16:04:16.876300900Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-01-10T16:05:52.857653200Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2024-01-10T16:06:15.865063200Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-01-10T16:06:28.561116800Z",Materials are in Italian,ita,Italian,Q652,,
56,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-10T16:04:16.876300900Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-01-10T16:05:52.857653200Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2024-01-10T16:06:15.865063200Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-01-10T16:06:28.561116800Z",Middle English,enm,,,Middle English,Q36395
57,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-10T16:04:16.876300900Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-01-10T16:05:52.857653200Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2024-01-10T16:06:15.865063200Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-01-10T16:06:28.561116800Z",Middle English and Latin,enm,,,Middle English;Latin,Q36395;Q397
58,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-10T16:04:16.876300900Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-01-10T16:05:52.857653200Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2024-01-10T16:06:15.865063200Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-01-10T16:06:28.561116800Z",Middle English and Latin,enm;eng;lat,,,Middle English;Latin,Q36395;Q397
