title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label_add,authorized_label
Antiphons and prayers for Marian feasts,,,,Antiphonary,
Anvār-i Suhaylī,أنوار سهيلي,Anvār-i Suhaylī,أنوار سهيلي,,Anvār-i Suhaylī
Apostol with liturgical calendar,,Bible,,Bible;Calendar,
Appointment of Lippus Ghisilerius as Magister litterarum apostolicarum,,,,Appointment of Lippus Ghisilerius as Magister litterarum apostolicarum,
Arabic commentary,,,,Arabic commentary,
Arabic text,,,,Arabic text,
Archeion; or of the highe courtes of justice in England,,Archaionomia,,Archaionomia,
"Aristotelis Politica, rhetorica et magna moralia",,Politics.Rhetoric.Magna moralia,,Politics;Rhetoric;Magna moralia,
Armada de España para Inglaterra,,,,Armada de España para Inglaterra,
Armenian Bible,,,,Bible,
Armoiries des seigneurs de la cour d'Henri II Roy de France vers l'an 1551,,,,Heraldry,
Arms of the Knights of the Garter in the reign of Henry VII,,,,Arms of the Knights of the Garter in the reign of Henry VII,
Ars gramatici caesariensis,,Institutio de arte grammatica,,Institutio de arte grammatica,
Artis Prisciani viri eloquentissimi grammatici Cesariensis,,Institutio de arte grammatica,,Institutio de arte grammatica,
"Astrological prophecies, medical and metallurgical recipes",,,,"Astrological prophecies, medical and metallurgical recipes",
Astrological treatise,,,,Astrological treatise,
Astronomical miscellany,,,,,Astronomy
Astronomy texts,,,,Astronomy,
Athanasii Alexandrini contra gentiles liber primus /; per Ambrosium monachum florentinum e greco in latinum traductus incipit feliciter,,,,Athanasii Alexandrini contra gentiles,
Auli Flacci Persii; Poete satyrarum opus,,Works,,Works,
Auli persii vulterani vel arentini secundum aliquos; Satyrarum liber incipit,,Works,,Works,
Aveux et dénombrements,,,,Aveux et dénombrements,
Aḥkām al-ḥayḍ /,,,,Aḥkām al-ḥayḍ,
Aṣṭādhyāyī,,,,,Aṣṭādhyāyī
Bahārīyāt,بهاريات,Bahāristān,بهارستان,Bahāristān,
Beatiss[imae] Mariae Virg[inis] officium incip[it,,Book of hours,,Book of hours,
Behemisches Recht,,,,Behemisches Recht,
Bellentani fatum / L. Joannes Bap[ti]sta Abatus anno ætatis suæ decimo quinto scribebat,,,,Apotheosis,
Benedictine,,Breviary,,Breviary,
Benedictional,,Benedictional,,,Benedictional
Benedictional,,Benedicitonal,,,Benedictional
Bible,,Bible,,,Bible
Biblia latina,,Bible,,Bible,
Biblia sacra,,Bible,,,Bible
Biblia sacra Sei [sic] Hieronymi,,Bible,,Bible,
Biblos chronikē,,Biblos chronikē,,Biblos chronikē,
Bidāyat al-hidāyah,,Bidāyat al-hidāyah,,Bidāyat al-hidāyah,
Bifolium from the legend of Saint Margaret of Antioch,,,,Legend of Saint Margaret of Antioch,
"Billgerfarth Gehn Jehrusalem Allkayren Inn Egipten, unnd Auf den Berg Sinay /; durch mich Albrechten Grauen zue Löwenstain, unnd Herrn zue Scharpffen",,,,Pilgerfahrt gegen Jerusalem,
Bios kai monarchia Oktaouiou Kaisaros; ek tōn tēs Diōnos Rōmaïkēs historias ; Monarchia Oktaouiou Kaisaros Augoustou : ek tōn tēs Diōnos Rōmaïkēs historias,,Roman history,,Roman history,
Boecii philosophie,,De consolatione philosophiae,,De consolatione philosophiae,
Boetii de consolatione,,De consolatione philosophiae,,De consolatione philosophiae,
Book of Esther,,Bible,,Book of Esther,
Book of Haggai,,Bible,,Book of Haggai,
Book of Hours,,Book of hours,,,Book of hours
Book of Hours (Dominican use),,Book of hours,,Book of hours,
Book of Hours (Roman use),,Book of hours,,Book of hours,
Book of Hours and Missal,,Book of hours,,Book of hours;Missal,
Book of hours,,Book of hours,,,Book of hours
Book of hours (Sarum use),,Book of hours,,Book of hours,
Book of hours (use of Angers),,Book of hours,,Book of hours,
Book of hours (use of Paris),,Book of hours,,,Book of hours
"Book of hours, use of Rome",,Book of hours,,,Book of hours
"Book of hours, use of Rouen",,Book of hours,,,Book of hours
"Book of hours, use of Rouen, in Latin and French",,Book of hours,,Book of hours,
"Book of hours, use of the Augustinian canons of Windesheim",,Book of hours,,Book of hours,
Book of hours; Use of Rome,,Book of hours,,,Book of hours
Book of hours; use of Paris,,,,Book of hours,
Book of hours; use of Paris,,Book of hours,,Book of hours,
Breve naratione del viagio et perigrinatione fatta da me Hier[oni]mo Soranzo ... l'anno del jubilee 1575 a Roma et in altre luogi sotto il pontificato di beatissimo pape Gregorio XIII,,,,Breve naratione del viagio et perigrinatione fatta da me Soranzo,
Breviary,,Breviary,,,Breviary
Breviary,,Breviary (Dominican),,,Breviary
Breviary,,,,,Breviary
Breviary,,Breviary (Franciscan),,,Breviary
Breviary in Latin,,Breviary,,Breviary,
Breviary leaf,,Bible,,,Breviary
"Breviary, noted",,Breviary,,,Breviary
Breviary; use of Paris,,Breviary,,Breviary,
Buddhist scriptures in Pali,,,,Buddhist scriptures,
C'est la Bible hystoriale en franc[ais,,,,Bible,
Caii Claudiani nobilissimi poetae Florentini de Laudibus Stiliconis liber primus,,Works,,De Laudibus Stiliconis,
Calendar,,,,,Calendar
Calligraphic alphabets,,,,Calligraphy,
Calligraphic specimen,,,,Calligraphy ,
Canzon fatta sopra l'armata [et] fu fata in Spagna,,,,Canzon fatta sopra l'armata,
Canzoniere; Trionfi,,RimeTrionfi,,RimeTrionfi,
Capitoli ordinationi statuti et informatione; on Jews living in Rome,,,,On Jews living in Rome,
Capitula super regula sanctissimi yeronimi ecclesie doctoris eximii,,Regula monachorum,,Regula monachorum,
Capitvlare magnifici et clariss. Dni Leonardi Aemo Consiliarii Venetiaru.,,,,Capitulare magnifici et clarissimi,
Carmina,,Eligiae,,Carmina,
Carmina latina,,,,Carmina,
Carmina qui quondam studio florente peregi,,De consolatione philosophiae,,Carmina,
Carmina qui quondam studio florente peregi,,,,Carmina,
Carta de executoria hidalguía de don Alonso de Lepe Carvajal,,,,Carta executoria,
"Carta executoria de hidalguía de don Diego, don Alvaro, y don Gonçalo de Salaçar",,,,Carta executoria,
"Catalogus ingenuorum iuvenum; qui reverendissimi quondam episcopi Viennensis domini D. Joannis Fabri etc. liberalitate, et in Collegio D. Nicolai primum, et postea translato domicilio in Contubernium (sic) in Bruck, in optimorum et honestissimorum artium et philosophiae studiis, propter gloriam dei et amplissimorum studiorum huic et aeternae vitae necessariorum propagationem et conservationem pie alti sunt",,,,Catalogus ingenuorum iuvenum,
Catasticus sive repertorium bonorum ... Sancte Marie de Purcilia,,,,"Inventory of the property of the Camaldolese monastery of Santa Maria in Porcilia, Padua",
Caída de príncipes,,De casibus virorum illustrium,,De casibus virorum illustrium,
Cena maletractati,,,,Cena maletractati,
Cerca de la buena institucion y criança del Principe n[uest]ro Señor,,,,Instructions to the Infante's tutor,
Charter,,,,,Charter
Charter granting the town and castle of Morón to the order of Alcántara,,,,Charter,
"Charter of Gaufridus, Dean of Chartres",,,,Charter,
Christ before Pilate illuminated leaf,,,,Christ before Pilate,
Chronica darinnen die fürnembsten unnd namhafftigesten Geschichten aus gaistlichen unnd weltlichen Historien die sich vor unnd nach Christi geburt bis anno 1569 verlauffen und den merern faill zu Augspurg zugetragen auffs Kurtzest verfasst unnd beschriben worden,,,,Chronicle,
Chronica regni Aragonum,,,,Chronica regni Aragonum,
Chronicle of England,,,,,Chronicle of England
Chronicles of the Portuguese kings Duarte and João II,,,,Chronicle,
"Chronicles, a treatise on planets, and poems",,,,Chronicles;Astronomical treatise;Poems,
Chronicles; in English,,Cronicles qe frere Nichol Tryvet,,Chronicles,
Chronik von Franken,,,,Chronik von Franken,
"Chronique du monde depuis la création, et des rois de France et d'Angleterre, jusqu'à l'an 1461",,,,Chronique du monde depuis la création,
Chroniques,,,,Chronicles,
Chrysostomus de patientia et eleemosyna,,,,Chrysostomus de patientia et eleemosyna,
"Cipro, e svo Regno /; Descritta dal N. H. E. Ascanio Savorgnano con le osservaz[io]ni per fortificare e assicurare il Regno tutto. Scrittura data al Ser[enissim]mo Senato Veneto l'Anno i57i",,,,Cipro e suo regno,
Clemens episcopus servus servorum dei ad perpetuam rei memoriam,,,,Papal bull,
Collectaneorum liber de mirabilibus mundi,,Polyhistor,,De mirabilibus mundi,
Collectarius super librum Psalmorum,,,,Collectarius super librum Psalmorum,
Collection of works by Saint Augustine,,,,Works of Saint Augustine,
Comedia Lepidissima,,,,Comedia lepidissima,
Comentum Macrobii Ambrosii in somnium Scipionis,,,,Commentarii in somnium Scipionis,
Começasse ho modo da criaçã da Congregacã Sam Jorge ẽ Alga da çidade d' Veneza,,,,Começasse ho modo da criaçã da Congregacã Sam Jorge ẽ Alga da çidade d' Veneza,
Comincia la prima parte della cantica onero co[m]media chiamata i[n]ferno del chiarissimo poeta Dante Alinghieri di Firenze,,Divina commedia,,Inferno,
Commentarii super librum sapientie,,,,Commentary on Book of Wisdom,
Commentarius in loca S. Scripturae,,Sermones de sanctis,,Sermones de sanctis,
Commentary on the 25 propositions of Moses Maimonides,,,,Commentary on the 25 propositions of Moses Maimonides,
Commentary on the Pauline Epistles,,,,,Commentary on Epistles;Epistles
Commentary on the Psalms,,,,Commentary on Psalms,
"Commissio Domini Gasparis de Molina Procuratoris S. Marci Mag. D. Thome, novissime electi super comissariis de Citra Canale",,,,Commission,
Commission of Lorenzo Bembo as governor of Paphos,,,,Commission,
Comoediae,,Works,,,Comedies
Compendio de la segunda parte de los comentarios sobre el propheta Ezechiel / compuestos por el P. M. Hieronimo de Prado de la compania de Iesus,,,,Compendio de la segunda parte de los comentarios sobre el propheta Ezechiel,
Compendium historiae in genealogia Christi,,,,,Compendium historiae in genealogia Christi
Complaints; containing sundrie small poemes of the worlds vanitie : whereof the next page maketh mention / by Ed. Sp.,,,,Complaints;Poems,
Compleynt of Cryst; Guy of Warwick ; etc.,,,,Compleynt of Cryst,
Conclusions concerning Théodore de Bèze and his adherents,,,,Conclusions concerning Théodore de Bèze and his adherents,
Conpotus (sic) magistri Roperti anglici linconiensis episcopi,,,,Compotus correctorius,
Constitutiones D. Clementis V pape / promulgatae per D. Johannem XXII papam,,Clementinae constitutiones,,Clementinae constitutiones,
Contra Faustum,,Contra Faustum Manichaeum,,Contra Faustum,
Contract; between Lorenzo Guncalvez and the Monastery of Santa Maria de Aguiar,,,,Contract,
Conveyance,,,,Conveyance,
Conveyance of land to Guillaume Raolée,,,,Conveyance,
Conveyance of property to Simon Tinctorus,,,,Conveyance,
Corduba me genuit,,Pharsalia,,Pharsalia,
"Correspondencia original de João Gomes da Silva, embaixador de Portugal junto a Carlos IX de Franca, e ao papa Gregorio XIII, nos annos de 1572 a 1579 i dirigida aos reis D. Sebastião e D. Henrique",,,,Correspondence,
Cosmographia,,Geographia,,Cosmographia,
Cronica Eusebii Hieronimi cum superadditis Prosperi,,Chronicle,,Chronicle,
"Cronica de Dom Johão de Castro; viso rey que foy da India, derigida ao muito esclareçido e ilustre senhor Dom Antonio dataide Conde da Castanheyra senhor de Pouvos e de Cheleiros alcaide moor de Colares e Veador da Fazenda del rey nosso senhor",,,,Chronicle,
Crosse his covert; or a prosopopoeicall treatise,,,,Autobiography of a heraldic artist,
Cupidinis & Psychis nuptiae heroicó carmine donatae,,Metamorphoses,,Cupid and Psyche,
Currentschrifften belegt,,,,Handwriting,
D[omi]ni Iustiniani sac[r]atissimi p[ri]ncipis ... De novo codice faciendo,,Codex (Corpus juris civilis),,Code of Justinian,
Daily lectionary of the Gospels in Greek,,Bible,,Lectionary,
Das buch ist gemacht über cantica canticoru[m,,,,Canticum canticorum,
De Romanae ecclesiae potestate,,,,De Romanae ecclesiae potestate,
De Romanorum magistratibus,,De Romanorum magistratibus,,De Romanorum magistratibus,
De Tiberio Cesare,,De vita Caesarum,,De Tiberio Cesare,
De agricultura,,De re rustica,,De agricultura,
De bello Catelinario; De bello Jugurtino,,,,De bello Catilinae;De bello Jugurthino,
De bello Catilinae; De bello Iugurthino,,,,De bello Catilinae;De bello Jugurthino,
De bello Gotorum,,History of the wars,,De bello Gotorum,
De bello Turcico,,,,De bello Turcico,
De bestiis et aliis rebus; seu Columba deaurata,,,,De bestiis,
De celesti hierarchia; and other texts,,Works,,De celesti hierarchia,
De civitate dei,,De civitate Dei,,,De civitate Dei
De divinis institutionibus,,Divinae institutiones,,De divinis institutionibus,
De duodecim abusionibus claustri Hugo de Sancto Victore,,,,De duodecim abusionibus claustri,
De famulatu philosophiae evangelio domini nostri Iesu Christi et pauperibus evangelicis viris,,,,De famulatu philosophiae evangelio domini nostri Iesu Christi et pauperibus evangelicis viris,
De imitatione Christi,,Imitatio Christi,,De imitatione Christi,
De imitatione Christi et contemptu omnium vanitatum mundi,,Imitatio Christi\\\\|Imitatio Christi,,De imitatione Christi,
De imitatione Christi et contemptu omnium vanitum mundi,,Imitatio Christi\\\\|Imitatio Christi,,De imitatione Christi,
De institutione musica,,De institutione musica,,,De institutione musica
De liberorum educatione epithoma,,De liberorum educatione,,De liberorum educatione,
De los hechos de los Barbarosas; Al muy ille. Señor Don Pedro Alvarez y Osorio Marques de Astorga,,,,De los hechos de los Barbarosas,
De miseria humanae conditionis,,,,De miseria humanae conditionis,
De morbius et officys vivendi,,De ludo scachorum,,De ludo scachorum,
De mulieribus claris,,De mulieribus claris,,De mulieribus claris,
De officiis,,De officiis,,,De officiis
De officiis and other works,,,,De officiis,
De optimo imperatore,,Stratēgikos,,Stratēgikos,
De regi[min]e p[r]in[cipum] ad re[gem] Cyp[r]i,,"De regno, ad regem Cypri",,De regno ad regem Cypri,
De seculo et religione; editus a Colutio pyeri de Stignano cancellario florentino ad Fratrem Ieronimum de Uzano ordinis Camaldilensis in monasterio Sancte Marie de Angelis de Florentia,,De saeculo et religione,,De saeculo et religione,
De statu atq[ue] regie Turgkeye,,,,De statu atque regie Turgkeye,
De synodis et ecclesiastica potestate,,,,De synodis et ecclesiastica potestate,
De temporibus,,,,De temporibus,
De vera differentia regiae potestatis et ecclesiae,,,,De vera differentia regiae potestatis et ecclesiae,
De vetula,,Vetula,,De vetula,
De virtutibus et viciis in spirituali,,Summa theologica,,Summa theologica,
"De visione cuiusdam militis in Hybernia, visa anno 1148",,Visio Tnugdali,,Visio Tnugdali,
De vita et gestis Scipionis p'mi Affricani,,Africa,,Life of Scipio Africanus,
Decimi Iunii Iuvenalis Aquinatis satirici libri,,Saturae,,Saturae,
Declaratio theatri coeli et terrae,,,,Declaratio theatri coeli et terrae,
"Decree of legitimacy for the natural children of Giovanni Cornelio, Count Palatine",,,,Decree,
Decretorum per dominum Iohannem de Auerbach,,,,Decretals,
Decretum,,Decretum,,,Decretals
Deiphira,,,,Deiphira,
"Des hochwirdigen Gott Fürsten und Herren Herren Caspers Bischoffs zu Bresslau & obersten Hauptmans in Ober und Nieder Schlesiens; Privilegium den Stedten Neisse, Patschkau, Ottmachau, Ziegnehallss und Weidnau sambt derselben einwonern unnd untterthenigen Baurschafften vorliehen publiciret ihm 1568 Jahre den 9 Februarij",,,,Rights and privileges of the bishops of Breslau,
"Description of Constantinople, the Archipelago, and the Holy Land",,,,"Description of Constantinople, the Archipelago, and the Holy Land",
Devotional and theological texts,,,,Devotional texts;Theological texts,
Devotional treatises,,,,Devotional treatises,
Devotionalis,,,,Devotionals,
Dictionary of Old Church Slavonic and Byzantine Greek liturgical terms,,,,Dictionary of liturgical terms,
Didaskaliai,,,,Didaskaliai,
Die Kunst aus Büchsen zu schiessen,,,,Die Kunst aus Büchsen zu schiessen,
Die Kurzweil des Würffenspiels,,,,Die Kurzweil des Würffenspiels,
Digestum vetus,,Digestum vetus,,Digestum vetus,
Diploma; awarded to Pompeius de Letis,,,,Diploma,
Discourses on the Venetian-Ottoman war,,,,Discourses on the Venetian-Ottoman war,
Disputacionis inter corpus et animam,,Dialogus inter corpus et animam,,Dialogus inter corpus et animam,
Divi Pauli Apostoli epistolae,,Bible,,Bible;Pauline Epistles,
Diʾatheke ḥdata mapaqta Pšiṭta,,Bible,,Bible,
"Documenti facili con alcune Annotazioni necessarie a chi desidera introdursi nell'esercizio dilettevole della Geografia; con il Modo di fabbricare la Palla materiale rappresentante il Globo Terracqueo, Di dividerla ne suoi Circoli, Di segnarvi i Nomi delle Città, Luoghi e Provincie, con ogni giusta misura, ed intiera perfezione / F. P. Pompeia Civena, Ordin. Min. S. Francisci Provinciæ S. Didaci. Studium; opus, & Labor; ad M.D.C",,,,Cosmographic manual,
"Documents concerning the beatification, attempts to canonize, and family history of Ramon Llull; as kept by his descendants",,,,Documents concerning Ramon Llull,
Dominican sermons,,,,Sermons,
Droit civil,,,,Droit civil,
Dyalogus Petri cognome[n]to alfonsi ex judeo xp et moysi iudei,,Dialogus contra Iudaeos,,Dialogus contra Iudaeos,
Dīvān,ديوان,Dīvān,ديوان,,Poems
Dīwān shiʻr fī madḥ al-anbīyāʾ wa-al-mulūk /,,,,Dīwān shiʻr fī madḥ al-anbīyāʾ wa-al-mulūk,
Ecatonfilea; Deifira,,Hecatomphila,,Hecatomphila,
Ecclesiae dedicandae ritus,,Ordo dedicationis ecclesiae et altaris,,Ordo dedicationis ecclesiae et altaris,
Ecclesiastical history,,,,Ecclesiastical history,
Ecclesiasticus,,Bible,,Ecclesiasticus,
"Eclipses luminarium; summa fide et accurata diligentia supputatae, ac figuris coloribusque suis artificiose depictae, quarum rationes ab anno domini currente 1554, usque ad annum domini 1600 completum se extendunt, & ad Meridianum Neuburgi Danubiani referuntur",,,,Eclipses luminarium,
"Eclogues, Georgics and the Aeneid",,Works,,Eclogues;Georgics;Aeneid,
Ein Buch zusammen gezogen auss vilen probirten Kunsten,,,,Ein Buch zusammen gezogen auss vilen probirten Kunsten,
Ein Buchlein von mannigerlei Schrifftenn; so jtziger Zeitt in Cantzleien und sonst ins gemein gebreuchlich sein ; Beschrieben durch Asmus Biersteden. Anno 1594,,,,Ein Buchlein von mannigerlei Schrifftenn,
Ein gutte ordnung; und kurze unterricht der furnembsten grunde aus denen die Jungen zierlichs schribens begirlich mit besonnderer kunst unnd behenndigkait unterricht und geubet mogen werden / Durch Johann Newdorffer Burger und Rechenmaister zu Nurmberg seinen schulern zu mererm verstanndt geordnet ; und durch mich Philip Stos mit fleis nachgemacht ; im jar der geburt Jhesu Christi unnsers herren und seligmachers MDlv,,,,Ein gutte ordnung,
"El arte de escrevir todas las formas i generos de letras; nuevamente compuesta Por el bachiller Alonso Martin del Canto, natural de la villa de Medina del Campo y abitante en la Universidad de Salamanca",,,,El arte de escrevir todas las formas i generos de letras,
El cancionero de Oñate-Castañeda,,,,El cancionero de Oñate-Castañeda,
Eletica Aristotili supra l'onsingnamento del parlare,,Tesoretto,,Tesoretto,
"Encyclical ""Non absque dolore cordis""",,,,Encyclical,
Ennarationes in Psalmos,,Ennarationes in Psalmos,,Ennarationes in Psalmos,
Ennarationes in Psalmos 101-150,,Ennarationes in Psalmos,,Ennarationes in Psalmos,
Ep[isto]le tocius anni s[ecundu]m consuetudinem Romane curie,,Lectionarium missae,,Lectionarium missae,
Ephemeridos belli Troiani,,Dictys Cretensis Ephemeris Belli Troiani,,Dictys Cretensis Ephemeris Belli Troiani,
Epigrammata,,Epigrammata,,,Epigrammata
Epistles and other patristic texts,,Correspondence,,Epistles;Patristic texts,
Epistles of classical Greek authors in Latin translation,,,,Letters,
Epistola ad heremitas Sancti Augustini,,,,Letters,
Epistolae familiares; Historica Bohemica,,Epistolae familiares,,Epistolae familiares,
Epistolarum Domini Leonardi liber primus incipit,,,,Letters,
Epistula ad Heliodorum,,Correspondence,,Correspondence,
Esposizione sopra la Cantica,,,,Esposizione sopra la Cantica,
Etsi negotiis familiaribus impediti vix satis ocium studio suppeditare possiumus,,Rhetorica ad Herennium,,Rhetorica ad Herennium,
Etymologiae,,Etymologiae,,Etymologiae,
Euchologion,,Euchologion,,Euchologion,
Euripidis tragediae octodecim,,Works,,Works,
Evangelium S. Johannis; cum glossa ordinaria,,Bible,,Gospel of John,
Ewangelion d-qeryane mparše d-kuleh ša(n)ta; a(y)k ṭaksa d-ʻumra d-Bet ʻAbe,,Bible,,Bible,
Executoria del pedimijento de Diego Jaymes vezino de la cuidad de Seujlla,,,,Carta executoria,
Expositio Iheremie prophete,,,,Expositio Iheremie prophete,
Expositio in Apocalypsim,,,,Expositio in Apocalypsim,
Expositio in Lucam,,,,Expositio in Lucam,
Expositio in artem veterem Porphyrii et Aristotelis,,,,Expositio in artem veterem Porphyrii et Aristotelis,
Expositio missae,,Expositio missae,,Expositio missae,
Expositio psalmi quinquagesimi,,,,Expositio psalmi quinquagesimi,
Extract from dictionary on Joachim of Fiore,,,,Dictionary extract,
Extracts; from Liber de natura rerum,,De natura rerum,,De natura rerum,
Facetiarum pogii liber,,Facetiae,,Facetiae,
Fior de virtu,,Fiore di virtù,,Fiore di virtù,
Foliate borders,,,,Foliate borders,
Forma absolutionis and other rites for the dead and dying,,Ordo exsequiarum,,Ordo exsequiarum,
Four gospels in Latin,,Bible,,The four gospels,
Fragment of a sutra,,,,Sutra,
Fragments,,,,Fragments,
Francisci Barbari de re uxoria ad Laurentium Medicem,,De re uxoria,,De re uxoria,
Francisci Barbaro Veneti ad Laurentium de Medicis Florentinum civem; De re uxoria liber incipit,,De re uxoria,,De re uxoria,
Gebedenboek,,,,Gebedenboek,
"Gebettbüchlein; Darinnen allerlei schöne Gebet, Spruche und Psallmen aus Heiliger göttlicher Schrift mit Fleis zusammen gebracht",,,,Gebettbüchlein,
Genealogical history of the kings of England from Athelstan to Edward I,,,,Genealogical history of the kings of England,
Gigantea,,,,Gigantea,
Glosa super anticlaudiano,,,,Glosa super anticlaudiano,
Glossed Bible,,Bible,,Bible,
Gospel lectionary for the mass,,Lectionarium missae,,Lectionary,
Gospel of Mark in Latin,,Bible,,Gospel of Mark,
Gospel of Matthew,,Bible,,Gospel of Matthew,
Gospel readings for Holy Week,,Bible,,Lectionary,
Gospels,,Bible,,,Gospels
Gradual,,Gradual,,,Gradual
Gradual,,,,,Gradual
Gradual,,Gradual (Pre-Vatican II),,,Gradual
Gradual,,Graduale,,,Gradual
Gradual leaf,,Gradual,,,Gradual
Gradual or antiphonary,,,,Gradual;Antiphonary,
"Gradual, Dominican use",,Gradual,,Gradual,
Gradual; Franciscan use,,Gradual (Franciscan),,Gradual,
Graduale Fratrum Minorum secundum consuetudinem romane curie,,Gradual (Franciscan),,Gradual,
Graduale dominicale et feriale totius anni,,Gradual (Pre-Vatican II),,Gradual,
Grant,,,,,Grant
"Grant of arms to Hans, Sebastian and Georg von Ach",,,,Grant,
Grant of privileges to Nicolo Alliprando of Mantua,,,,Grant,
Grant of privileges to the brothers and sisters of the hospital of Halberstadt,,,,Grant,
Great bull addressed to Abbot Lambert of the Monastery of St. Bertin,,,,Papal bull,
Grilandas inventum,,,,Grilandas inventum,
Hadīyat al-mahdīyīn,,,,Hadīyat al-mahdīyīn,
Halssgerichts Ordnung,,Constitutio criminalis Carolina,,Constitutio criminalis Carolina,
Haysmarourk,,,,Haysmarourk,
Here bigyneþ a tretis þat suffisiþ to evry c[hri]sten man and woman to lyve aftir for to be saved by which is clepid a pore caytif,,,,Manual of religious instruction for the laity,
Here bigyniÞ Þi p[ro]log on Þi sauter,,Bible,,Bible,
Here bygynneth a boke in englysche tonge that Þat ys called Brute of ynglonde,,Chronicles of England,,Chronicles of England,
