title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label_add,ds_qid_add,authorized_label,ds_qid
Kitāb al-Riyāḍ al-naḍirāt li-sharḥ Akhṣar al-mukhtaṣarāt,كتاب الرياض النضرات لشرح اخصر المختصرات,Riyāḍ al-naḍirāt li-sharḥ Akhṣar al-mukhtaṣarāt,رياض النضرات لشرح اخصرالمختصرات,Texts on Islamic law,Q12197,,
al-ḥukm bi-al-ṣiḥḥah wa-al-mūjib,الحکم بالصحة والموجب,,,Texts on Islamic law,Q12197,,
Hadīyat al-ikhwān fī shajarat al-dukhān /,هدية الاخوان في شجرة الدخان /,,,Texts on Islamic law,Q12197,,
Commentary on a work on Islamic jurisprudence,,,,Text on jurisprudence,Q64062,,
Risālah fiqhīyah,رسالة فقهىة,,,Text on jurisprudence,Q64062,,
Nuzhat al-ʻayn fī zakāt al-maʻdinayn,نزهة العىن في زکاة المعدنىن,,,Texts on Islamic law,Q12197,,
Fragmentary text on Islamic law,,,,Texts on Islamic law,Q12197,,
Fragmentary commentary on Kitāb al-Ṭahārah,,,,Texts on Islamic law,Q12197,,
Fragment of a work on Islamic jurisprudence,,,,Text on jurisprudence,Q64062,,
Fragmentary commentary on a work on Islamic jurisprudence,,,,Text on jurisprudence,Q64062,,
Bayān aḥkām al-farāʼiḍ fī ʻilm al-mīrāth,بىان احکام الفرائض في علم المىراث,,,Texts on Islamic law,Q12197,,
Sharḥ al-Farāʼiḍ al-Sirājīyah,شرح الفرائض السراجىّة,,,Sharḥ al-Farāʼiḍ al-Sirājīyah,Q11860,,
Kitāb Naẓm al-laʼālī fī ʻilm al-farāʼiḍ /,كتاب نظم اللألي في علم الفرائض /,Naẓm al-laʼālī fī ʻilm al-farāʼiḍ,نظم اللآلي في علم الفرائض,Texts on Islamic law,Q12197,,
Sharḥ Fuṣūl Ibn al-Hāʼim,شرح فصول ابن الهائم,,,Texts on Islamic law,Q12197,,
Iḥkām al-qawl fī masāʼil al-ʻawl,احکام القول في مسائل العول,,,Texts on Islamic law,Q12197,,
Taqrīrāt nafīsah sharīfah,تقرىرات نفىسة شرىفة,,,Texts on Islamic law,Q12197,,
Commentary on a work on Islamic inheritance law,,,,Texts on Islamic law,Q12197,,
Risālah fī ʻilm al-mīrāth,رسالة في علم المىراث,,,Texts on Islamic law,Q12197,,
Kitāb al-Waqf,کتاب الوقف,,,Kitāb al-Waqf,Q103549,,
al-Juzʼ al-thānī min Kitāb Asná al-maṭālib fī ṣilat al-aqārib /,الجزء الثاني من كتاب اسنى المطالب في صلة الاقارب /,Asná al-maṭālib fī ṣilat al-aqārib,اسنى المطالب في صلة الاقارب,Texts on Islamic law,Q12197,,
Risālah fī ādāb al-sharīʻah wa-ādāb al-siyāsah,رسالة في آداب الشريعة وآداب السياسة,,,Texts on Islamic law,Q12197,,
Sharḥ al-Muqaddimah /,شرح المقدمة /,Sharḥ al-Muqaddimah fī al-ṣalāh,شرح المقدمة في الصلاة,Sharḥ al-Muqaddimah fī al-ṣalāh,Q64080,,
Bustān,بستان,Bustān al-ʻārifīn,بستان العارفين,Bustān,Q18625,,
Taʻlīq kātibihi al-ḥaqīr ʻAbd al-Bāqī al-Zurqānī ʻalá al-Nāṣir al-Laqānī ʻalá Khuṭbat al-Mukhtaṣar,تعليق كاتبه الحقير عبد الباقي الزرقاني على الناصر اللقاني على خطبة المختصر,,,Texts on Islamic law,Q12197,,
Kitāb Qāʼānī Sharḥ Mughnī fī uṣūl al-fiqh,كتاب قاءاني شرح مغني في اصول الفقه,Sharḥ al-Mughnī fī uṣūl al-fiqh,شرح المغني في اصول الفقه,Sharḥ al-Mughnī fī uṣūl al-fiqh,Q103550,,
al-Thānī min al-Nukat ʻalá Minhāj al-Imām al-Nawawī ... [etc,الثاني من النكت على منهاج الامام النووى ... الخ,,,Texts on Islamic law,Q12197,,
Bustān al-ʻārifīn,,,,Texts on Islamic law,Q12197,,
Collection of Arabic texts,,,,,,Arabic texts,Q12258
Collection of Arabic texts on Islamic law,,,,,,Arabic texts;Texts on Islamic law,Q12258;Q12197
Collection of four Arabic and Persian texts,,,,Arabic texts|Persian texts,Q12258|Q7568,,
Sharḥ Alfīyat Shahīd ... [etc.,شرح الفية شهيد ... الخ,,,Texts on Islamic law,Q12197,,
ʻUyūn al-madhāhib al-Muẓaffarī,,,,Texts on Islamic law,Q12197,,
Majmūʻah fī uṣūl al-mawārith,,,,Texts on Islamic law,Q12197,,
ʻUyūn al-madhāhib al-Kāmilī,,,,Texts on Islamic law,Q12197,,
Kitāb fī al-fiqh,,,,,,Kitāb fī al-fiqh,Q11854
