name_as_recorded,role,source_authority_uri,instance_of_add,authorized_label_add,structured_value_add,ds_id_add,ds_qid_add,instance_of,authorized_label,structured_value,ds_qid
"Isnawī, ʻAbd al-Raḥīm ibn al-Ḥasan, 1305-1370",author,,human,ʻAbd al-Raḥīm ibn al-Ḥasan Isnawī,Q25453579,DSNAME8767,Q103610,,,,
"Ibn al-Rifʻah, Aḥmad ibn Muḥammad, 1247 or 1248-1310 or 1311",author,,human,Aḥmad Ibn-Muḥammad Ibn-ar-Rifʿa,Q61763021,DSNAME8768,Q103611,,,,
"Ibn al-Naqīb, Aḥmad ibn Luʼluʼ, -1368",author,http://id.loc.gov/authorities/names/n84029277,,,,,,human,Ahmad ibn Naqib al-Misri,Q13426754,Q12486
"Zankalūnī, Abū Bakr ibn Ibrāhīm, d. 1339",author,,,,,,,,,,
"Ibn al-Mulaqqin, ʻUmar ibn ʻAlī, 1323-1401",author,http://id.loc.gov/authorities/names/nr89012364,,,,,,human,Ibn al-Mulaqqin,Q6534585,Q12489
"Muḥsinī, Aḥmad ibn Baylīk, d. 1353",author,,,,,,,,,,
"Ghazzālī, 1058-1111",author,http://id.loc.gov/authorities/names/n82097778,,,,,,human,Al-Ghazali,Q9546,Q12305
"Rāfiʻī, ʻAbd al-Karīm ibn Muḥammad, 1162-1226",author,,human,Imam Ar-Rafi'i,Q12177809,DSNAME8769,Q103612,,,,
"Shurunbulālī, Ḥasan ibn ʻAmmār, 1585 or 1586-1659",author,http://id.loc.gov/authorities/names/n90712577,,,,,,human,Hasan Ibn e Ammar Al-Shurunbulali,Q25452012,Q12485
"Ibn al-ʻIrāqī, Aḥmad ibn ʻAbd al-Raḥīm, 1361-1423",author,http://id.loc.gov/authorities/names/nr90017336,,,,,,human,Abū Zurʻah al-ʻIrāqī,Q12251239,Q12491
"Subkī, Tāj al-Dīn ʻAbd al-Wahhāb ibn ʻAlī, approximately 1327-1370",author,,,,,,,human,Taj al-Din al-Subki,Q12201802,Q12396
"Ibn al-Muṭahhar al-Ḥillī, al-Ḥasan ibn Yūsuf, 1250-1325",author,,,,,,,human,Al-Hilli,Q290506,Q40924
"Siyawāsī, Aḥmad ibn Maḥmūd, -1455 or 1456",author,http://id.loc.gov/authorities/names/no2007022716 http://id.loc.gov/authorities/names/no2007022716 http://viaf.org/viaf/sourceID/LC%7cno2007022716,,,,,,human,Aḥmad ibn Maḥmūd Siyawāsī,Q122946981,Q12286
"Hüsrev, Molla, -1480",author,http://id.loc.gov/authorities/names/n88218446 http://id.loc.gov/authorities/names/n88218446 http://viaf.org/viaf/sourceID/LC%7cn88218446,,,,,,human,Molla Hüsrev,Q12244864,Q12321
"ʻAzmīʹzādah, Muṣṭafá ibn Muḥammad, 1569 or 1570-1630 or 1631",author,,,,,,,human,Muṣṭafá ibn Muḥammad ʻAzmīʹzādah,Q130374937,Q54727
"Budayrī, Muḥammad ibn Muḥammad, -1727 or 1728",author,,human,Muḥammad ibn Muḥammad Budayrī,Q135441853,DSNAME8770,Q103613,,,,
"Baḥr al-ʻUlūm, Muḥammad Mahdī ibn Murtaḍá, 1742 or 1743-1797 or 1798",author,,human,Muḥammad Mahdī ibn Murtaḍá ibn Muḥammad Baḥr al-ʻUlūm,Q5944459,DSNAME8771,Q103614,,,,
"Shahīd al-Awwal, Muḥammad ibn Makkī, 1333 or 1334-1380",author,,,,,,,human,Muhammad Jamaluddin al-Makki al-Amili,Q4117198,Q41655
"Sharīf al-Murtaḍá, ʻAlam al-Hudá ʻAlī ibn al-Ḥusayn, 966-1044 or 1045",author,,,,,,,human,Sharif al-Murtadha,Q130169,Q101358
"Shahīd al-Awwal, Muḥammad ibn Makkī, 1333 or 1334-1380",author,,,,,,,human,Muhammad Jamaluddin al-Makki al-Amili,Q4117198,Q41655
"Qazwīnī, Ibrāhīm ibn Muḥammad Bāqir, 1799 or 1800-1847 or 1848",author,,human,Ibrāhīm ibn Muḥammad Bāqir Qazwīnī,Q135441854,DSNAME8772,Q103615,,,,
"Anṣārī, Murtaḍá ibn Muḥammad Amīn, 1799 or 1800-1864",author,,,,,,,human,Morteza Ansari,Q730317,Q49205
"Sijilmāsī, Muḥammad ibn Abī al-Qāsim, -1800",author,,human,Mohammed ibn Abu al-Qasim al-Sijilmasi,Q6893483,DSNAME8773,Q103616,,,,
"Birmāwī, Ibrāhīm ibn Muḥammad, -1694 or 1695",author,http://id.loc.gov/authorities/names/no2013035920 http://id.loc.gov/authorities/names/no2013035920 http://viaf.org/viaf/sourceID/LC%7cno2013035920,,,,,,human,Ibrāhīm ibn Muḥammad Birmāwī,Q122946949,Q12488
"Anṣārī, Zakarīyā ibn Muḥammad, approximately 1423-approximately 1520",author,http://id.loc.gov/authorities/names/n85197808 http://id.loc.gov/authorities/names/n85197808 http://viaf.org/viaf/sourceID/LC%7cn85197808,,,,,,human,Zakariyya al-Ansari,Q4117458,Q12326
"ʻĀmilī, Muḥammad ibn ʻAlī, 1539 or 1540-1600",scribe,,,,,,,human,Muḥammad ibn ʻAlī ʻĀmilī,Q124566993,Q41915
"Quhustānī, Muḥammad, -approximately 1546",author,,,,,,,human,Muhammad Quhustani,Q31301690,Q63959
"Ṭihrānī, Muḥammad Ḥusayn ibn ʻAbd al-Raḥīm, -approximately 1845",author,,human,Muḥammad Ḥusayn ibn ʻAbd al-Raḥīm Ṭihrānī,Q135441855,DSNAME8774,Q103617,,,,
"Shahshahānī, Muḥammad ibn ʻAbd al-Ṣamad, d. 1870 or 71",author,,,,,,,,,,
"Jawād al-Baghdādī, Jawād ibn Saʻd, -1654 or 1655",author,,,,,,,human,Jawād ibn Saʻd Jawād al-Baghdādī,Q124130481,Q27947
"Jawād al-Baghdādī, Jawād ibn Saʻd, -1654 or 1655",author,,,,,,,human,Jawād ibn Saʻd Jawād al-Baghdādī,Q124130481,Q27947
"Jawād al-Baghdādī, Jawād ibn Saʻd, -1654 or 1655",author,,,,,,,human,Jawād ibn Saʻd Jawād al-Baghdādī,Q124130481,Q27947
"Baḥrānī, Yūsuf, -1772?",author,,human,Yusuf al-Bahrani,Q4120506,DSNAME7553,Q67839,,,,
"Ibn Taymīyah, Aḥmad ibn ʻAbd al-Ḥalīm, 1263-1328",author,,,,,,,human,Ibn Taymiyyah,Q491558,Q55361
"Maghribī, Aḥmad ibn ʻAbd al-Razzāq, -1684 or 1685",author,,human,Aḥmad ibn ʻAbd al-Razzāq Maghribī,Q135441856,DSNAME8775,Q103618,,,,
"Miʻmār, Yūsuf ibn ʻUmar, active 17th century",scribe,,,,,,,,,,
"Ibn al-Mutafanninah, Muḥammad ibn ʻAlī, 1103 or 1104-1181 or 1182",author,,human,Ibn al-Mutaqqinah,Q16126369,DSNAME8776,Q103619,,,,
"Nāmī, ʻAbd Allāh, active 18th century",scribe,,,,,,,,,,
"Wansharīsī, Aḥmad ibn Yaḥyá, 1430 or 1431-1508",author,,human,Abū al-ʻAbbās al-Wansharīsī,Q16117724,DSNAME8777,Q103620,,,,
"Ibn Fahd, Aḥmad ibn Muḥammad, 1356 or 1357-1437 or 1438",author,,human,Aḥmad ibn Muḥammad Ibn Fahd,Q135441857,DSNAME8778,Q103621,,,,
"Abharī, Sayf al-Dīn Aḥmad",author,,human,Sayf al-Dīn Aḥmad Abharī,Q135441858,DSNAME8779,Q103622,,,,
"Mīrzā Jān, Ḥabīb Allāh, -1586?",author,,human,Ḥabīb Allāh Mīrzā Jān,Q129951516,DSNAME6538,Q54169,,,,
"Taftāzānī, Masʻūd ibn ʻUmar, 1322-1389?",author,,,,,,,human,Taftazani,Q764947,Q12298
"Āmulī, Muḥammad ibn Maḥmūd, -1352 or 1353",author,,,,,,,human,Muhammad ibn Mahmud Amuli,Q3296224,Q49031
"Ījī, ʻAḍud al-Dīn ʻAbd al-Raḥmān ibn Aḥmad, -1355?",author,,human,ʻAḍud al-Dīn ʻAbd al-Raḥmān ibn Aḥmad Ījī,Q12227337,DSNAME1937,Q12467,,,,
"Akhsīkathī, Muḥammad ibn Muḥammad, -1247",author,,,,,,,human,Muḥammad ibn Muḥammad Akhsīkathī,Q131386054,Q63964
"Aʻraj, ʻAbd al-Muṭṭalib ibn Muḥammad, 1282-1353?",author,,human,ʻAbd al-Muṭṭalib ibn Muḥammad Aʻraj,Q135441859,DSNAME8780,Q103623,,,,
