File,name_as_recorded,role,name_agr,source_authority_uri,instance_of_add,authorized_label_add,structured_value_add,ds_id_add,ds_qid_add,instance_of,authorized_label,structured_value,ds_qid
names-chicago.csv,"Innocent III, Pope, 1160 or 1161-1216",author,,,,,,,,human,Innocent III,Q128076,Q1933
names-chicago.csv,"Juana, la Loca, Queen of Castile, 1479-1555",author,,,,,,,,human,Juana I of Castile,Q171136,Q4376
names-chicago.csv,"Garnica, Juan de, active 1578-1595",author,,,human,Juan de Garnica,Q131856741,DSNAME8009,Q68619,,,,
names-chicago.csv,"Barzi, Benedetto, -1459",author,,,human,Benedictus de Plumbino,Q41559754,DSNAME8010,Q68620,,,,
names-chicago.csv,"Alberti, Leon Battista, 1404-1472",author,,,,,,,,human,Leon Battista Alberti,Q182046,Q40103
names-chicago.csv,"Cavalca, Domenico, -1342",author,,,,,,,,human,Domenico Cavalca,Q3712952,Q6104
names-chicago.csv,"Muret, Marc-Antoine, 1526-1585",author,,,human,Muretus,Q1345657,DSNAME8011,Q68621,,,,
names-chicago.csv,"Nicholas, of Lyra, approximately 1270-1349",author,,http://id.loc.gov/authorities/names/n81077197.html,,,,,,human,Nicholas of Lyra,Q1969164,Q1922
names-chicago.csv,Masters of the Gold Scrolls,supposed illuminator,,,,,,,,organization,Masters of the Gold Scrolls,Q23888760,Q1488
names-chicago.csv,"Gregory, of Nyssa, Saint, approximately 335-approximately 394",author,,http://id.loc.gov/authorities/names/n79021401.html,,,,,,human,Gregory of Nyssa,Q191734,Q20083
names-chicago.csv,"Cavalli, Sigismondo, 1530-1579",author,,,human,Sigismondo Cavalli,Q87124758,DSNAME8012,Q68622,,,,
names-chicago.csv,"Dominici, Giovanni, 1356?-1420",author,,,human,John Dominici,Q640594,DSNAME8013,Q68623,,,,
names-chicago.csv,"Fedeli, Vincenzo, active 1561",author,,,human,Vincenzo Fedeli,Q110161868,DSNAME1397,Q7337,,,,
names-chicago.csv,"Guglielmo, da Varignana, approximately 1270-1339",author,,,human,Guglielmo da Varignana,Q1553412,DSNAME8014,Q68624,,,,
names-chicago.csv,"Majima, Seigan, -1379",author,"馬島清眼, d. -1379",,human,Seigan Majima,Q131822043,DSNAME8015,Q68625,,,,
names-chicago.csv,"Aichinger, Wolff",author,,,human,Wolff Aichinger,Q131856742,DSNAME8016,Q68626,,,,
names-chicago.csv,"Llull, Ramon, 1232?-1316",author,,http://id.loc.gov/authorities/names/n79142616,,,,,,human,Ramon Llull,Q193660,Q7892
