title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label_add,ds_qid_add,authorized_label,ds_qid
Legenda aurea,,,,,,Golden Legend,Q7220
Medical treatises,,,,,,Medical texts,Q817
Works by Augustine and Julianus Pomerius,,,,,,Works,Q5989
Speculum iudiciale,,,,,,Speculum judiciale,Q39803
English historical collection,,,,,,Historical texts,Q7021
Gregory IX's Decretals and other related works,,,,,,Decretals of Gregory IX,Q2831
Dominican Breviary,,Breviary (Dominican),,,,Breviary,Q657
Regla de la Cofradia de Santa Ana,,,,,,Regla de la Cofradia de Santa Ana,Q39717
"Sermons by Ephraem, Syrus, Paulinus Aquileiensis' Liber exhortationis and De vita christiana",,,,,,Sermons,Q1400
De eruditione principum,,,,,,De eruditione principum,Q39292
Fragment from Petrus Comestor's Historia scholastica,,Historia scholastica,,,,Historia scholastica,Q1372
Admonitio ad Nonsuindam reclusam,,,,,,Admonitio ad Nonsuindam reclusam,Q39167
Grand coutumier and Charte aux Normands,,Grand coutumier de Normandie,,,,Grand coutumier,Q39953
Enarrationes in Psalmos 101-150,,Enarrationes in Psalmos,,,,Enarrations on the Psalms,Q19979
Herbal and medical tracts,,,,,,Medical texts,Q817
Arma Christi roll,,,,,,Arma Christi roll,Q39204
"Discours de la Foy, copied by Esther Inglis",,,,,,Discours de la Foy,Q39347
Rationale divinorum officiorum,,,,,,Rationale divinorum officiorum,Q7853
Mariale,,,,,,Mariale,Q39600
Alphabetical compendium of the Speculum doctrinale,,Speculum doctrinale,,,,Speculum doctrinale,Q39190
Florilegium,,,,,,Florilegium,Q1326
Epitome of the Historia ecclesiastica and other works,,,,,,Epitome of the Historia ecclesiastica,Q39374
Livre des proprietes des choses,,De proprietatibus rerum,,,,Livre des propriétés des choses;De proprietatibus rerum,Q40033;Q3154
Lenten sermons and other works,,,,,,Sermons,Q1400
Verbum abbreviatum,,,,,,Verbum abbreviatum,Q39863
"Translation of Higden's Polychronicon, along with other translations of works into Middle English",,,,,,Polychronicon,Q1120
Selection from the Chroniques d'Engleterre,,,,,,Chronicle,Q1475
"Flores historiarum, and other historical works",,,,,,Flores historiarum,Q39391
Selections of works against heresy,,,,,,Texts against heresy,Q39766
Aurora,,,,,,Aurora,Q7839
Rosarium,,,,,,Rosarium,Q39745
Astronomical miscellany,,,,,,Astronomical texts,Q3129
Booke of good condicions,,Livre de bonnes moeurs,,,,Livre de bonnes moeurs,Q39230
Homilies on Ecclesiastes,,,,,,Homiliary,Q1338
De vita Caesarum,,,,,,De vita Caesarum,Q7838
Fragment from the Decretals,,Decretales Gregorii IX,,,,Decretals of Gregory IX,Q2831
Peter of Poitiers' Distinctiones super psalterium and anonymous distinctions,,,,,,Distinctiones,Q1472
De vita et moribus philosophorum,,,,,,De vita et moribus philosophorum,Q39336
Selections from Opera medicinalia,,Opera medicinalia,,,,Medical texts,Q817
Fragment from a commentary on Lucan's Pharsalia,,,,,,Commentary on Pharsalia,Q39395
Chronicle of England,,,,,,Chronicle,Q1475
"Sermons by Johann Herolt and Peregrinus, de Opole",,,,,,Sermons,Q1400
Commentary on the Pauline epistles,,Commentarius in XIII Epistulas Paulinas,,Commentary on Pauline Epistles,Q5954,,
Theological miscellany,,,,,,Theological texts,Q822
Student notebook,,,,,,Student notebook,Q39808
Works by Thomas Claxton; Robert Cowton; etc.,,,,,,Works,Q5989
