row_index,workflow_history,place_as_recorded,structured_value
29,"RECON PLACE STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-05T04:06:37.183Z | PLACE RECON, STEP 3: START RECON 2022-05-05T04:23:43.198Z | RECON PLACE, STEP 4: KNOWN PLACE APPLIED 2022-05-05T04:27:33.999Z | PLACE RECON, STEP 5: FINALIZED 2022-05-05T04:45:16.201Z","England, Staffordshire",http://vocab.getty.edu/tgn/7002445|http://vocab.getty.edu/tgn/7008174
30,"RECON PLACE STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-05T04:06:37.183Z | PLACE RECON, STEP 3: START RECON 2022-05-05T04:23:43.198Z | RECON PLACE, STEP 4: KNOWN PLACE APPLIED 2022-05-05T04:27:33.999Z | PLACE RECON, STEP 5: FINALIZED 2022-05-05T04:45:16.201Z","England, Sussex",http://vocab.getty.edu/tgn/7002445|http://vocab.getty.edu/tgn/7008133
31,"RECON PLACE STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-05T04:06:37.183Z | PLACE RECON, STEP 3: START RECON 2022-05-05T04:23:43.198Z | RECON PLACE, STEP 4: KNOWN PLACE APPLIED 2022-05-05T04:27:34Z | PLACE RECON, STEP 5: FINALIZED 2022-05-05T04:45:16.201Z","England, Warwickshire",http://vocab.getty.edu/tgn/7002445|http://vocab.getty.edu/tgn/7008178
32,"RECON PLACE STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-05T04:06:37.183Z | PLACE RECON, STEP 3: START RECON 2022-05-05T04:23:43.198Z | RECON PLACE, STEP 4: KNOWN PLACE APPLIED 2022-05-05T04:27:34Z | PLACE RECON, STEP 5: FINALIZED 2022-05-05T04:45:16.201Z","England, Worcestershire",http://vocab.getty.edu/tgn/7002445|http://vocab.getty.edu/tgn/5000227
33,"RECON PLACE STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-05T04:06:37.183Z | PLACE RECON, STEP 3: START RECON 2022-05-05T04:23:43.198Z | RECON PLACE, STEP 4: KNOWN PLACE APPLIED 2022-05-05T04:27:34Z | PLACE RECON, STEP 5: FINALIZED 2022-05-05T04:45:16.201Z",England?,http://vocab.getty.edu/tgn/7002445
34,"RECON PLACE STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-05T04:06:37.183Z | PLACE RECON, STEP 3: START RECON 2022-05-05T04:23:43.198Z | RECON PLACE, STEP 4: KNOWN PLACE APPLIED 2022-05-05T04:27:34Z | PLACE RECON, STEP 5: FINALIZED 2022-05-05T04:45:16.201Z",England? France?,http://vocab.getty.edu/tgn/7002445|http://vocab.getty.edu/tgn/1000070
35,"RECON PLACE STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-05T04:06:37.183Z | PLACE RECON, STEP 3: START RECON 2022-05-05T04:23:43.198Z | RECON PLACE, STEP 4: KNOWN PLACE APPLIED 2022-05-05T04:27:34Z | PLACE RECON, STEP 5: FINALIZED 2022-05-05T04:45:16.201Z",England? Wales?,http://vocab.getty.edu/tgn/7002445|http://vocab.getty.edu/tgn/7002443
36,"RECON PLACE STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-05T04:06:37.183Z | PLACE RECON, STEP 3: START RECON 2022-05-05T04:23:43.198Z | RECON PLACE, STEP 4: KNOWN PLACE APPLIED 2022-05-05T04:27:34Z | PLACE RECON, STEP 5: FINALIZED 2022-05-05T04:45:16.201Z",Europe (but not England),http://vocab.getty.edu/tgn/1000003
37,"RECON PLACE STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-05T04:06:37.183Z | PLACE RECON, STEP 3: START RECON 2022-05-05T04:23:43.198Z | RECON PLACE, STEP 4: KNOWN PLACE APPLIED 2022-05-05T04:27:34Z | PLACE RECON, STEP 5: FINALIZED 2022-05-05T04:45:16.201Z",Flanders,http://vocab.getty.edu/tgn/7024097
38,"RECON PLACE STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-05T04:06:37.183Z | PLACE RECON, STEP 3: START RECON 2022-05-05T04:23:43.198Z | RECON PLACE, STEP 4: KNOWN PLACE APPLIED 2022-05-05T04:27:34Z | PLACE RECON, STEP 5: FINALIZED 2022-05-05T04:45:16.201Z",Flanders?,http://vocab.getty.edu/tgn/7024097
