title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label_add,ds_qid_add,authorized_label,ds_qid
Collection of Arabic Christian texts,,,,Arabic texts;Religious texts,Q12258;Q5037,,
Collection of Arabic astronomical texts,,,,Arabic texts;Astronomical texts,Q12258;Q3129,,
Collection of Arabic texts,,,,,,Arabic texts,Q12258
Kifāyat al-murtāḍ fī ʻilmay al-abwāl wa-al-a[nbāḍ] ... [etc,كفاية المرتاض في علمي الابوال والانباض ... الخ,,,,,,
Collection of Arabic and Persian texts on astronomy,,,,Arabic texts;Persian texts;Astronomical texts,Q12258;Q7568;Q3129,,
Maqālah fī qismat al-zāwiyah bi-thalāthat aqsām mutasāwiyah ... [etc,مقالة في قسمة الزاوية بثلاثة اقسام متساوية ... الخ,,,,,,
Ḥāshiyah ʻalá Qūl Aḥmad min al-manṭiq ... [etc,حاشية على قول احمد من المنطق ... الخ,,,,,,
Collection of Arabic texts on dialectic and logic,,,,Arabic texts,Q12258,,
Collection of Arabic texts on arithmetic,,,,Arabic texts;Mathematical texts,Q12258;Q38402,,
Sharḥ Khulāṣat al-ḥisāb,,,,,,Sharḥ Khulāṣat al-ḥisāb,Q27600
Collection of Arabic and Persian texts,,,,,,Arabic texts;Persian texts,Q12258;Q7568
Sharḥ al-Asbāb wa-al-ʻalāmāt,,,,Sharḥ al-Asbāb wa-al-ʻalāmāt,Q108601,,
Kitāb Sharḥ Naẓm al-muwajjahāt ʻalá namaṭ al-Tahdhīb,,Sharḥ Naẓm al-muwajjahāt ʻalá namaṭ al-Tahdhīb,,,,,
Hāz̲ā kitāb Risālah-i taʻlīmʹnāmah dar ʻamal-i ābilah zadan ... [etc.,هذا کتاب رساله تعلىم‌نامه در عمل آبله زدن,Risālah-i taʻlīmʹnāmah dar ʻamal-i ābilah zadan,رساله تعلىم‌نامه در عمل آبله زدن,,,,
Taʻdīl al-mīzān fī taʻlīq ʻilm al-mīzān,,,,,,,
Mukhtaṣar al-Tadhkirah al-hādiyah,,,,Mukhtaṣar al-Tadhkirah al-hādiyah,Q108600,,
Sharḥ al-Tadhkirah fī al-hayʼah,,,,,,,
Tadhkirat al-kaḥḥālīn,,,,,,,
Ḥāshiyat taṣdīqāt ʻIṣām al-Dīn ʻalá al-Quṭb al-Shāriḥ al-Shamsīyayn,حاشية تصديقات عصام الدين على القطب الشارح الشمسيين,Ḥāshiyah ʻalá taṣdīqāt al-Risālah al-Shamsīyah,حاشية على تصديقات الرسالة الشمسية,,,,
Kitāb al-Dukkān,كتاب الدكان,Dukkān,دكان,,,,
