name_as_recorded,role,name_agr,source_authority_uri,instance_of_add,authorized_label_add,structured_value_add,ds_id_add,ds_qid_add,instance_of,authorized_label,structured_value,ds_qid
"Ibn Abī Ṣādiq al-Nīsābūrī, Abū al-Qāsim ʻAbd al-Raḥmān ibn ʻAlī, -approximately 1068",author,,,,,,,,human,Abū al-Qāsim ʻAbd al-Raḥmān ibn ʻAlī ibn Abī Ṣādiq al Nīsābūrī,Q116380012,Q3197
"Ibn Abī Ṣādiq al-Nīsābūrī, Abū al-Qāsim ʻAbd al-Raḥmān ibn ʻAlī, -approximately 1068",author,ابن ابي صادق النيسابوري، ابو القاسم عبد الرحمن بن علي، -approximately 1068,,,,,,,human,Abū al-Qāsim ʻAbd al-Raḥmān ibn ʻAlī ibn Abī Ṣādiq al Nīsābūrī,Q116380012,Q3197
"Ibn Jazlah, Yaḥyá ibn ʻĪsá, -1100",author,ابن جزلة، يحيى بن عيسى، -1100,,human,Ibn Jazla,Q4116000,DSNAME8977,Q108553,,,,
"Marjān, Muḥammad ibn Hādī, active 17th century",scribe,مرجان، محمد بن هادي، active 17th century,,,,,,,,,,
"Ibn al-Jawzī, Abū al-Faraj ʻAbd al-Raḥmān ibn ʻAlī, approximately 1116-1201",author,,http://id.loc.gov/authorities/names/n84008731,,,,,,human,Abu'l-Faraj ibn al-Jawzi,Q731866,Q12290
"Harawī, Muḥammad ibn Yūsuf, active 16th century",author,,,human,Muhammad ibn Yusuf al-Harawi,Q4116947,DSNAME8978,Q108554,,,,
"Harawī, Muḥammad ibn Yūsuf, active 16th century",author,هروي، محمد بن يوسف، active 16th century,,human,Muhammad ibn Yusuf al-Harawi,Q4116947,DSNAME8978,Q108554,,,,
"Zarrūq, Aḥmad ibn Aḥmad, -1493",author,,,human,Ahmad Zarruq,Q2827457,DSNAME8979,Q108555,,,,
"Sālimī, Aḥmad ibn ʻĀmir, active 18th century",scribe,سالمي، احمد بن عامر، active 18th century,,,,,,,,,,
"Tūnī, Muʻīn al-Dīn, active 15th century",author,,,human,Muʻīn al-Dīn Tūnī,Q136458552,DSNAME8980,Q108556,,,,
"Shīrwānī, Muḥammad ibn al-Ḥasan, -1687",author,,,,,,,,human,Muḥammad ibn al-Ḥasan Shīrwānī,Q129453306,Q49147
"ʻAṭṭār al-Hārūnī, Dāwud ibn Abī Naṣr, active 13th century",author,,,human,Dāwud ibn Abī Naṣr ʻAṭṭār al-Hārūnī,Q120599093,DSNAME8981,Q108557,,,,
"Ibn al-Firkāḥ, Ibrāhīm ibn ʻAbd al-Raḥmān, 1262-1329",author,ابن الفركاح، ابراهيم بن عبد الرحمن,,human,al-Fazārī,Q27676974,DSNAME8982,Q108558,,,,
"Qalaṣādī, ʻAlī ibn Muḥammad, 1412 or 1413-1486 or 1487",author,قلصادي، علي بن محمد,,,,,,,human,Abū al-Ḥasan ibn ʿAlī al-Qalaṣādī,Q2462319,Q12410
"Kātī, Ḥusām al-Dīn al-Ḥasan, -1358 or 1359",author,,,,,,,,human,Ḥusām al-Dīn al-Ḥasan Kātī,Q135991825,Q106656
"Harawī, Muḥammad ibn Yūsuf, active 16th century",author,,,human,Muhammad ibn Yusuf al-Harawi,Q4116947,DSNAME8978,Q108554,,,,
"Ibn al-ʻImād al-Aqfahsī, Aḥmad, approximately 1349-1405",author,ابن العماد الاقفهسي، احمد,http://id.loc.gov/authorities/names/nr91043779,,,,,,human,Aḥmad Ibn al-ʻImād al-Aqfahsī,Q6537116,Q12304
"Sibṭ al-Māridīnī, Badr al-Dīn Muḥammad ibn Muḥammad, 1423-",author,سبط المارديني، بدر الدين محمد بن محمد,,,,,,,human,Sibt al-Maridini,Q7507290,Q12506
"Saʻīd ibn Hibat Allāh ibn al-Ḥusayn, 1044-1101",author,سعيد بن هبة الله بن الحسين,,,,,,,human,Saʻīd ibn Hibat Allāh ibn al-Ḥusayn,Q22933906,Q3201
"Jurjānī, ʻAlī ibn Muḥammad, al-Sayyid al-Sharīf, 1340-1413",author,جرجاني، علي بن محمد، السيد الشريف,,,,,,,human,Ali ibn Mohammed al-Jurjani,Q3063378,Q12280
"Ṭūsī, Naṣīr al-Dīn Muḥammad ibn Muḥammad, 1201-1274",author,طوسي، نصير الدين محمد بن محمد,http://id.loc.gov/authorities/names/n82136884,,,,,,human,Nasir al-Din al-Tusi,Q302835,Q2837
"Najīb al-Dīn al-Samarqandī, Muḥammad ibn ʻAlī, -1222",author,نجيب الدين السمرقندي، محمد بن علي,,human,Najib ad-Din Samarqandi,Q12194294,DSNAME8983,Q108559,,,,
"Tālijī, Muḥyī al-Dīn",author,تالجي، محيي الدين,,human,Muḥyī al-Dīn Tālijī,Q136458662,DSNAME8952,Q108526,,,,
"Athīr al-Dīn al-Abharī, al-Mufaḍḍal ibn ʻUmar, -1265",author,,,,,,,,human,Athīr al-Dīn al-Abharī,Q643786,Q54729
"Tālijī, Muḥyī al-Dīn",author,,,human,Muḥyī al-Dīn Tālijī,Q136458662,DSNAME8952,Q108526,,,,
"Qul Aḥmad, Mawlānā",author,,,,,,,,human,Mawlānā Qul Aḥmad,Q129951542,Q54184
"Qarah Khalīl, -1711 or 1712",author,,,human,Qarah Khalīl,Q136458632,DSNAME8960,Q108536,,,,
"Shirwānī, Muḥammad al-Amīn ibn Ṣadr al-Dīn, -1626 or 1627",author,,,,,,,,human,al-Shirwānī,Q16118418,Q41661
"Qarajah Aḥmad, -1450 or 1451",author,,,human,Qarajah Aḥmad,Q136458644,DSNAME8957,Q108531,,,,
"Madanī, Aḥmad ibn ʻAlī, d. 1722 or 3",author,,,,,,,,,,,
"Askījīʹzādah, ʻAlī ibn Ḥusayn, -1827 or 1828",author,,,human,ʻAlī ibn Ḥusayn Askījīʹzādah,Q136458553,DSNAME8984,Q108560,,,,
"Qazwīnī, ʻAlī ibn ʻUmar, 1203 or 1204-1276 or 1277",author,,,,,,,,human,Najm al-Dīn al-Qazwīnī al-Kātibī,Q2669359,Q106659
"Samarqandī, ʻUthmān ibn ʻAlī, active 12th century",scribe,سمرقندي، عثمان بن علي، active 12th century,,,,,,,,,,
"Tūqātī, Muḥammad Amīn ibn ʻAbd Allāh, active 18th century",scribe,توقاتي، محمد امين بن عبد الله، active 18th century,,,,,,,,,,
"Quṭb al-Shīrāzī, Maḥmūd ibn Masʻūd, 1236 or 1237-1310 or 1311",author,قطب الشيرازي، محمود بن مسعود,,,,,,,human,Qutb al-Din al-Shirazi,Q729903,Q12301
"Jaghmīnī, Maḥmūd ibn Muḥammad, -1221?",author,جغميني، محمود بن محمد,,,,,,,human,Jaghmini,Q4060361,Q3189
"Ṣidqī, Muṣṭafá, d. 1769 or 70",former owner,,,,,,,,human,Muṣṭafá Ṣidqī,Q129951524,Q54173
