holding_institution_ds_qid,holding_institution_wikidata_label,ds_id,source_data_type,filename,holding_institution_institutional_id,institutional_id_location_in_source,record_last_updated,call_number,link_to_institutional_record,title,iiif_manifest_url,dated,manifest_generated_at
Q42439,"The Huntington Library, Art Museum, and Botanical Gardens",DS9839,marc-xml,20250128-huntington-marcxml.xml,.b1862070x,//record[./datafield[@tag='907']/subfield[@code='a']/text()='ID_PLACEHOLDER'],20210621,mssHM 1080,https://catalog.huntington.org/record=b1862070,Bible :,https://cdm16003.contentdm.oclc.org/iiif/p15150coll7:52301/manifest.json,true,2025-01-28T22:27:26.126326400Z
Q42439,"The Huntington Library, Art Museum, and Botanical Gardens",DS9930,marc-xml,20250128-huntington-marcxml.xml,.b18621624,//record[./datafield[@tag='907']/subfield[@code='a']/text()='ID_PLACEHOLDER'],20210621,mssHM 1081,https://catalog.huntington.org/record=b1862162,Gospels in Greek :,https://cdm16003.contentdm.oclc.org/iiif/p15150coll7:50786/manifest.json,false,2025-01-28T22:27:26.126326400Z
Q42439,"The Huntington Library, Art Museum, and Botanical Gardens",DS9931,marc-xml,20250128-huntington-marcxml.xml,.b18621636,//record[./datafield[@tag='907']/subfield[@code='a']/text()='ID_PLACEHOLDER'],20210621,mssHM 1082,https://catalog.huntington.org/record=b1862163,Die Vierundzwanzig Alten :,https://cdm16003.contentdm.oclc.org/iiif/p15150coll7:52789/manifest.json,true,2025-01-28T22:27:26.126326400Z
Q42439,"The Huntington Library, Art Museum, and Botanical Gardens",DS9840,marc-xml,20250128-huntington-marcxml.xml,.b18620711,//record[./datafield[@tag='907']/subfield[@code='a']/text()='ID_PLACEHOLDER'],20210621,mssHM 1083,https://catalog.huntington.org/record=b1862071,Bible :,https://cdm16003.contentdm.oclc.org/iiif/p15150coll7:50745/manifest.json,false,2025-01-28T22:27:26.126326400Z
Q42439,"The Huntington Library, Art Museum, and Botanical Gardens",DS9841,marc-xml,20250128-huntington-marcxml.xml,.b18620723,//record[./datafield[@tag='907']/subfield[@code='a']/text()='ID_PLACEHOLDER'],20210621,mssHM 1084,https://catalog.huntington.org/record=b1862072,Bible :,https://cdm16003.contentdm.oclc.org/iiif/p15150coll7:50726/manifest.json,false,2025-01-28T22:27:26.126326400Z
Q42439,"The Huntington Library, Art Museum, and Botanical Gardens",DS9656,marc-xml,20250128-huntington-marcxml.xml,.b18618819,//record[./datafield[@tag='907']/subfield[@code='a']/text()='ID_PLACEHOLDER'],20210621,mssHM 1086,https://catalog.huntington.org/record=b1861881,"Book of hours, use of Sarum :",https://cdm16003.contentdm.oclc.org/iiif/p15150coll7:45999/manifest.json,false,2025-01-28T22:27:26.126326400Z
Q42439,"The Huntington Library, Art Museum, and Botanical Gardens",DS9657,marc-xml,20250128-huntington-marcxml.xml,.b18618820,//record[./datafield[@tag='907']/subfield[@code='a']/text()='ID_PLACEHOLDER'],20210621,mssHM 1087,https://catalog.huntington.org/record=b1861882,"Book of Hours, Sarum use :",https://cdm16003.contentdm.oclc.org/iiif/p15150coll7:49357/manifest.json,false,2025-01-28T22:27:26.126326400Z
Q42439,"The Huntington Library, Art Museum, and Botanical Gardens",DS9658,marc-xml,20250128-huntington-marcxml.xml,.b18618832,//record[./datafield[@tag='907']/subfield[@code='a']/text()='ID_PLACEHOLDER'],20210621,mssHM 1088,https://catalog.huntington.org/record=b1861883,"Book of Hours, use of Rome :",https://cdm16003.contentdm.oclc.org/iiif/p15150coll7:45944/manifest.json,false,2025-01-28T22:27:26.126326400Z
Q42439,"The Huntington Library, Art Museum, and Botanical Gardens",,marc-xml,20250128-huntington-marcxml.xml,.b18619095,//record[./datafield[@tag='907']/subfield[@code='a']/text()='ID_PLACEHOLDER'],20210621,mssHM 1089,https://catalog.huntington.org/record=b1861909,Antiphonal :,,true,2025-01-28T22:27:26.126326400Z
Q42439,"The Huntington Library, Art Museum, and Botanical Gardens",DS9791,marc-xml,20250128-huntington-marcxml.xml,.b18620218,//record[./datafield[@tag='907']/subfield[@code='a']/text()='ID_PLACEHOLDER'],20210621,mssHM 1092,https://catalog.huntington.org/record=b1862021,"Ptolemy, Geographia :",https://cdm16003.contentdm.oclc.org/iiif/p15150coll7:46314/manifest.json,false,2025-01-28T22:27:26.126326400Z
Q42439,"The Huntington Library, Art Museum, and Botanical Gardens",DS9684,marc-xml,20250128-huntington-marcxml.xml,.b18619101,//record[./datafield[@tag='907']/subfield[@code='a']/text()='ID_PLACEHOLDER'],20210621,mssHM 1097,https://catalog.huntington.org/record=b1861910,Mass and Office of Lawrence and of the Dead :,https://cdm16003.contentdm.oclc.org/iiif/p15150coll7:50750/manifest.json,false,2025-01-28T22:27:26.126326400Z
Q42439,"The Huntington Library, Art Museum, and Botanical Gardens",DS9659,marc-xml,20250128-huntington-marcxml.xml,.b18618844,//record[./datafield[@tag='907']/subfield[@code='a']/text()='ID_PLACEHOLDER'],20210621,mssHM 1099,https://catalog.huntington.org/record=b1861884,"Book of Hours, use of Paris :",https://cdm16003.contentdm.oclc.org/iiif/p15150coll7:45837/manifest.json,false,2025-01-28T22:27:26.126326400Z
Q42439,"The Huntington Library, Art Museum, and Botanical Gardens",DS9660,marc-xml,20250128-huntington-marcxml.xml,.b18618856,//record[./datafield[@tag='907']/subfield[@code='a']/text()='ID_PLACEHOLDER'],20210621,mssHM 1100,https://catalog.huntington.org/record=b1861885,"Book of Hours, use of Paris :",https://cdm16003.contentdm.oclc.org/iiif/p15150coll7:45874/manifest.json,false,2025-01-28T22:27:26.126326400Z
