row_index,workflow_history,language_as_recorded,language_code,authorized_label_add,structured_value_add,authorized_label,structured_value
22,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-12-14T22:30:31.603010Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-12-14T22:31:07.620862400Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-12-14T22:31:52.693378600Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-12-14T22:32:09.955162500Z",Avestan (in Pahlavi script) and Pahlavi with one line in Gujarati,ave,Avestan;Middle Persian;Gujarati,Q29572;Q32063;Q5137,,
23,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-12-14T22:30:31.603010Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-12-14T22:31:07.620862400Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-12-14T22:31:52.693378600Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-12-14T22:32:09.955162500Z",Avestan and Persian with some Pahlavi,ave,Avestan;Persian;Middle Persian,Q29572;Q9168;Q32063,,
24,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-12-14T22:30:31.603010Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-12-14T22:31:07.620862400Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-12-14T22:31:52.693378600Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-12-14T22:32:09.955162500Z",Chiefly Arabic with some Persian,ara,Arabic;Persian,Q13955;Q9168,,
25,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-12-14T22:30:31.603010Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-12-14T22:31:07.620862400Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-12-14T22:31:52.693378600Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-12-14T22:32:09.955162500Z",Chiefly Arabic with some Samaritan Aramaic,ara,Arabic;Samaritan Aramaic,Q13955;Q56612,,
26,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-12-14T22:30:31.603010Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-12-14T22:31:07.620862400Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-12-14T22:31:52.693378600Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-12-14T22:32:09.955162500Z",Chiefly Ottoman Turkish with Persian and Arabic vocabulary and headings in Arabic,ota,,,Persian;Arabic;Ottoman Turkish,Q9168;Q13955;Q36730
27,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-12-14T22:30:31.603010Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-12-14T22:31:07.620862400Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-12-14T22:31:52.693378600Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-12-14T22:32:09.955162500Z","Coptic, Bohairic dialect, with a few notations in Arabic",cop,Coptic;Arabic,Q36155;Q13955,,
28,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-12-14T22:30:31.603010Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-12-14T22:31:07.620862400Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-12-14T22:31:52.693378600Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-12-14T22:32:09.955162500Z","In Avestan. Colophons in Pahlavi, Persian and Gujarati",ave,Avestan;Middle Persian;Persian;Gujarati,Q29572;Q32063;Q9168;Q5137,,
29,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-12-14T22:30:31.603010Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-12-14T22:31:07.620862400Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-12-14T22:31:52.693378600Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-12-14T22:32:09.955162500Z",Layout: 5 lines per page,ara;eng,,,,
30,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-12-14T22:30:31.603010Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-12-14T22:31:07.620862400Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-12-14T22:31:52.693378600Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-12-14T22:32:09.955162500Z",Layout: 5 lines per page,ara,,,,
31,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-12-14T22:30:31.603010Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-12-14T22:31:07.620862400Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-12-14T22:31:52.693378600Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-12-14T22:32:09.955162500Z",Layout: 5 long lines,ara,,,,
