row_index,workflow_history,name_as_recorded,role,name_agr,source_authority_uri,authorized_label_add,instance_of_add,structured_value_add,instance_of,authorized_label,structured_value
21,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-02T17:20:39.291041Z | NAME RECON STEP 3: START HUMAN RECON 2024-01-02T17:23:08.983318Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-01-02T17:23:22.767765Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-01-02T17:23:38.706298Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-01-02T17:23:52.990534Z | NAME RECON STEP 6: START ORG RECON 2024-01-04T20:11:21.863663Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-01-04T20:12:03.570560Z | NAME RECON STEP 9: FINALIZED 2024-01-04T20:13:06.290457Z","Būsnawī, Ḥusayn",scribe,بوسنوي، حسين,,,,,human,Ḥusayn Būsnawī,Q113818240
22,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-02T17:20:39.291044Z | NAME RECON STEP 3: START HUMAN RECON 2024-01-02T17:23:08.983325Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-01-02T17:23:22.767773Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-01-02T17:23:38.706303Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-01-02T17:23:52.990537Z | NAME RECON STEP 6: START ORG RECON 2024-01-04T20:11:21.863672Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-01-04T20:12:03.570565Z | NAME RECON STEP 9: FINALIZED 2024-01-04T20:13:06.290462Z","Cochran, Alexander Smith, 1874-1929",former owner,,,Alexander Smith Cochran,human,Q4720109,,,
23,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-02T17:20:39.291046Z | NAME RECON STEP 3: START HUMAN RECON 2024-01-02T17:23:08.983333Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-01-02T17:23:22.767777Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-01-02T17:23:38.706313Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-01-02T17:23:52.990542Z | NAME RECON STEP 6: START ORG RECON 2024-01-04T20:11:21.863676Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-01-04T20:12:03.570568Z | NAME RECON STEP 9: FINALIZED 2024-01-04T20:13:06.290466Z","Cotheal, Alexander Isaac, 1804-1894",former owner,,,Alexander Isaac Cotheal,human,Q15627277,,,
24,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-02T17:20:39.291051Z | NAME RECON STEP 3: START HUMAN RECON 2024-01-02T17:23:08.983337Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-01-02T17:23:22.767782Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-01-02T17:23:38.706315Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-01-02T17:23:52.990545Z | NAME RECON STEP 6: START ORG RECON 2024-01-04T20:11:21.863681Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-01-04T20:12:03.570575Z | NAME RECON STEP 9: FINALIZED 2024-01-04T20:13:06.290470Z",Dadabhoy Framji Rustamji Darabji,former owner,,,Dadabhoy Framji Rustamji Darabji,human,Q124130449,,,
25,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-02T17:20:39.291053Z | NAME RECON STEP 3: START HUMAN RECON 2024-01-02T17:23:08.983345Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-01-02T17:23:22.767786Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-01-02T17:23:38.706318Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-01-02T17:23:52.990548Z | NAME RECON STEP 6: START ORG RECON 2024-01-04T20:11:21.863688Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-01-04T20:12:03.570583Z | NAME RECON STEP 9: FINALIZED 2024-01-04T20:13:06.290474Z","Dahīʹzādah, active 1797",former owner,دهى‌ز‌اده، active 1797،,,Dahīʹzādah,human,Q124130450,,,
26,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-02T17:20:39.291055Z | NAME RECON STEP 3: START HUMAN RECON 2024-01-02T17:23:08.983352Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-01-02T17:23:22.767789Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-01-02T17:23:38.706322Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-01-02T17:23:52.990552Z | NAME RECON STEP 6: START ORG RECON 2024-01-04T20:11:21.863693Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-01-04T20:12:03.570586Z | NAME RECON STEP 9: FINALIZED 2024-01-04T20:13:06.290478Z","Dawraqī, Masʻūd ibn Ḥusayn",scribe,دورقي، مسعود بن حسين،,,Masʻūd ibn Ḥusayn al-Dawraqī,human,Q124130451,,,
27,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-02T17:20:39.291059Z | NAME RECON STEP 3: START HUMAN RECON 2024-01-02T17:23:08.983356Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-01-02T17:23:22.767803Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-01-02T17:23:38.706331Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-01-02T17:23:52.990555Z | NAME RECON STEP 6: START ORG RECON 2024-01-04T20:11:21.863698Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-01-04T20:12:03.570589Z | NAME RECON STEP 9: FINALIZED 2024-01-04T20:13:06.290483Z","Delacorte, George T. 1893-1991",former owner,,,George T. Delacorte Jr.,human,Q615982,,,
28,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-02T17:20:39.291061Z | NAME RECON STEP 3: START HUMAN RECON 2024-01-02T17:23:08.983367Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-01-02T17:23:22.767813Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-01-02T17:23:38.706334Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-01-02T17:23:52.990558Z | NAME RECON STEP 6: START ORG RECON 2024-01-04T20:11:21.863705Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-01-04T20:12:03.570594Z | NAME RECON STEP 9: FINALIZED 2024-01-04T20:13:06.290554Z","Dāʼim, Muḥammad, active 1757",scribe,دائم، محمد، active 1757،,,Muḥammad Dāʼim,human,Q124130452,,,
29,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-02T17:20:39.291064Z | NAME RECON STEP 3: START HUMAN RECON 2024-01-02T17:23:08.983375Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-01-02T17:23:22.767816Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-01-02T17:23:38.706338Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-01-02T17:23:52.990567Z | NAME RECON STEP 6: START ORG RECON 2024-01-04T20:11:21.863710Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-01-04T20:12:03.570597Z | NAME RECON STEP 9: FINALIZED 2024-01-04T20:13:06.290559Z",Emîr Süleyman,former owner,,,Süleyman Çelebi,human,Q1095044,,,
30,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-02T17:20:39.291068Z | NAME RECON STEP 3: START HUMAN RECON 2024-01-02T17:23:08.983379Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-01-02T17:23:22.767820Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-01-02T17:23:38.706347Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-01-02T17:23:52.990570Z | NAME RECON STEP 6: START ORG RECON 2024-01-04T20:11:21.863729Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-01-04T20:12:03.570604Z | NAME RECON STEP 9: FINALIZED 2024-01-04T20:13:06.290563Z",Euclid,author,,,,,,human,Euclid,Q8747
