title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label,authorized_label_add
Majmūʻah],مجموعه.,,,Majmūʻah,
Majmūʻah],مجموعة.,,,Majmūʻah,
Masāyil-i jabr va muqābalah,مسايل جبر و مقابله.,,,,Masāyil-i jabr va muqābalah
Mavāhib-i ilāhī,مواهب الهى.,Mavāhib-i ilāhī dar tārīkh-i Āl-i Muẓaffar,مواهب الاهى در تاريخ آل مظفر,,Mavāhib-i ilāhī dar tārīkh-i Āl-i Muẓaffar
Mawlid al-Nabī Muḥammad,مولد النبي محمد.,,,,Mawlid al-Nabī Muḥammad
Mukhtaṣar al-maʻānī fī al-balāghah],مختصر المعاني في البلاغة.,,,,Mukhtaṣar al-maʻānī fī al-balāghah
Mukhtaṣar-i Bīst dar maʻrifat-i usṭurlāb,مختصر بيست در معرفت اسطرلاب.,Bīst dar maʻrifat-i usṭurlāb,بيست در معرفت اسطرلاب,,Bīst dar maʻrifat-i usṭurlāb
Nuskhat al-sijill alladhī wujida muʻallaqan ʻalá al-mashāhid fī ghaybat Mawlānā al-Imām al-Ḥākim ...,نسخة السجل الذي وجد معلقًا على المشاهد في غيبة مولانا الامام الحاكم.,,,,Nuskhat al-sijill alladhī wujida muʻallaqan ʻalá al-mashāhid fī ghaybat Mawlānā al-Imām al-Ḥākim
On charms and talismans,,,,,On charms and talismans
Ottoman Turkish expansion on al-Būṣīrī's qaṣīdat al-Burdah,,,,,Ottoman Turkish expansion on qaṣīdat al-Burdah
Painted manuscript leaves,,,,,Painted manuscript leaves
Panjāh bāb-i sulṭānī bi-ʻilm-i usṭurlāb,)نجاه باب سلطانى بعلم اسطرلاب.,,,,Bi-ʻilm-i usṭurlāb
Persian calligraphy and illustration album],,,,,Persian calligraphy and illustration album
Prayer in the form of praise of the Prophet,,,,,Prayer
Questions and answers on Christianity],,,,,Questions and answers on Christianity
Qur'ān leaf,,Qurʼan.,قرآن.,Qurʼan,
Qurʼān folio],,Qurʼan.,قرآن.,,Qurʼan
Qurʼān leaves,,Qurʼan.,قرآن.,Qurʼan,
Qurʼān leaves],,Qurʼan.,قرآن.,Qurʼan,
Qurʼān selections and prayers],,Qurʼan.,,Qurʼan,
Risālah bar usṭurlāb,رساله بر اسطرلاب.,,,,Risālah bar usṭurlāb
Risālah dar hayʼat. [Sharḥ-i Risālah dar hayʼat],رساله در هيئت. شرح رساله در هيئت.,,,,Sharḥ-i Risālah dar hayʼat
Risālah dar hayʼat],رساله در هيئت.,Risālah fī al-hayʼah.,رسالة في الهيئة.,,Risālah fī al-hayʼah
Risālah dar ʻIlm-i hayʼat,رساله در علم هيئت.,Risālah fī al-hayʼah.,رسالة في الهيئة.,,Risālah fī al-hayʼah
Risālah fī al-hayʼah al-falakīyah,رسالة في الهيئة الفلكية.,,,,Risālah fī al-hayʼah al-falakīyah
Risālat al-waẓāʼif al-wāfiyah,رسالة الوظائف الوافية.,Waẓāʼif al-wāfiyah,وظائف الوافية,,Waẓāʼif al-wāfiyah
Riḥlat sayyid al-ṭarīqah wa-qaʻdat al-Sharīʻah wa-al-Ḥaqīqah],رحلة سيد الطريقة وقعدة الشريعة والحقيقة.,Riḥlah al-Nāṣirīyah,رحلة الناصرية,,Riḥlah al-Nāṣirīyah
Rubāʻīyāt-i ʻUmar Khayyam,رباعيات عمر خيام,Rubaiyat,,,Rubaiyat
Rubʻ min Dalāʼil al-khayrāt,ربع من دلائل الخيرات.,Dalāʼil al-khayrāt.,دلائل الخيرات.,,Dalāʼil al-khayrāt
Sabʻ samavāt li-sirr-i samāʼī,سبع سموات لسر سمائ&#٬٠٦كك؛.,,,,Sabʻ samavāt li-sirr-i samāʼī
Selections from al-Kalimāt al-maknūnah and the complete Kitāb al-Īqān,,Works.,,,Works
Selections from the New Testament and Psalms in Coptic],,,,,Coptic biblical selections
Sharḥ Hidāyat al-ḥikmah. Risālah fī ʻilm al-hayʼah,شرح هداية الحكمة. رسالة في علم الهيئة.,,,,Risālah fī ʻilm al-hayʼah
Sharḥ Khulāṣat al-ḥisāb,شرح خلاصة الحساب.,,,,Sharḥ Khulāṣat al-ḥisāb
Sharḥ Khulāṣat al-ḥisāb],شرح خلاصة الحساب.,,,,Sharḥ Khulāṣat al-ḥisāb
Sharḥ Qaṭr al-nadā wa-ball al-ṣadā,شرح قطر الندا وبل الصدا.,,,,Sharḥ Qaṭr al-nadā wa-ball al-ṣadā
Sharḥ ashkāl al-taʼsīs],شرح أشكال التأسيس.,,,,Sharḥ ashkāl al-taʼsīs
Sharḥ ʻalá Nuzʹhat al-nuẓẓār fī ʻilm al-ghubār,شرح على نزهة النظار في علم الغبار.,,,,Sharḥ fī ʻilm al-ghubār
Sharḥ-i Bīst bāb-i usṭurlāb],شرح بيست باب اسطرلاب,Sharḥ-i Bīst bāb dar maʻrifat-i asṭurlāb,شرح بيست باب در معرفت اسطرلاب,,Sharḥ-i Bīst bāb dar maʻrifat-i asṭurlāb
Sharḥ-i Nahj al-balāghah,شرح فارسى نهج البلاغه,Sharḥ Nahj al-balāghah.,شرح نهج البلاغة.,Sharḥ-i Nahj al-balāghah,
Sharḥ-i Zīj-i Sulṭānī,شرح زيج سلطانى.,Sharḥ-i Zīj-i jadīd-i Sulṭānī,شرح زيج جديد سلطانى,,Sharḥ-i Zīj-i jadīd-i Sulṭānī
Sharḥ-i bīst bāb,شرح بيست باب.,,,,Sharḥ-i bīst bāb
Sharḥ-i ʻaṣā-yi mukhtariʻ-i humāyūn pādshāh. Ganj-i nahān khānah-i ḥayy-i qadīm,شرح عصاى مخترع هماىون )ادشاه. گنج نهان خانه حي قدىم.,,,,Sharḥ-i ʻaṣā-yi mukhtariʻ-i humāyūn pādshāh. Ganj-i nahān khānah-i ḥayy-i qadīm
Sharḥ-i Ḥāfiẓ,شرح حافظ.,,,,Sharḥ-i Ḥāfiẓ
Sharḥ-i ṣad kalimah-i Baṭlamyūs,شرح صد ظلمه بطلمىوس,,,,Sharḥ-i ṣad kalimah-i Baṭlamyūs
Single leaf with illustration,,,,,Illustrated leaf
Subḥat al-abrār],سبحت الابرار.,Haft awrang.,هفت اورنگ.,,Haft awrang
Sūrat al-Anʻām],سورة الانعام.,Qurʼan.,قرآن.,,Qurʼan
Tadhkirah,تذكرة.,Tadhkirat ūlī al-albāb wa-al-jāmiʻ lil-ʻajab al-ʻujāb,تذكرة ولي الالباب والجامع للعجب العجاب,,Tadhkirat ūlī al-albāb wa-al-jāmiʻ lil-ʻajab al-ʻujāb
Tahdhīb Makhrūṭāt Abulūniyūs,تهذيب مخروطات ابلونيوس.,,,,Tahdhīb Makhrūṭāt Abulūniyūs
Taqdīm Abī Bakr,تقديم ابي بكر.,,,,Taqdīm Abī Bakr
Tarjumah-i kitāb-i Taḥrīr-i Uqlīdus-i dar uṣūl-i handasah va ḥisāb,ترجمه ظتاب تحرير اقليدس در اصول هندسه و حساب.,,,,Tarjumah-i kitāb-i Taḥrīr-i Uqlīdus-i dar uṣūl-i handasah va ḥisāb
Taʻlīq al-durrah al-Shanawānīyah ʻalá Sharḥ al-Ajurrūmīyah fī ʻilm al-ʻArabīyah,تعليق الدرة الشنوانية على شرح الاجرومية في علم العربية.,,,,Taʻlīq al-durrah al-Shanawānīyah ʻalá Sharḥ al-Ajurrūmīyah fī ʻilm al-ʻArabīyah
