title_as_recorded,label,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label_add,ds_qid_add,authorized_label,ds_qid
Kitāb al-Futūḥāt al-Makkīyah fī tarājim al-sādah al-aʼimmah al-Qushayrīyah /,,كتاب الفتوحات المكية في تراجم السادة الائمة القشيرية /,Futūḥāt al-Makkīyah fī tarājim al-sādah al-aʼimmah al-Qushayrīyah,فتوحات المکية في تراجم السادة الائمة القشيرية,,,Futūḥāt al-Makkīyah fī tarājim al-sādah al-aʼimmah al-Qushayrīyah,Q12182
Mukhtaṣar Tahdhīb al-asmāʼ wa-al-lughāt,,مختصر تهذيب الاسماء واللغات,,,,,Mukhtaṣar Tahdhīb al-asmāʼ wa-al-lughāt,Q12088
Hādhā Talkhīṣ laṭīf min Tahdhīb al-asmāʼ wa-al-lughāt,,هذا تلخيص لطيف من تهذيب الاسماء واللغات,Talkhīṣ laṭīf min Tahdhīb al-asmāʼ wa-al-lughāt,تلخيص لطيف من تهذيب الاسماء واللغات,,,Talkhīṣ laṭīf min Tahdhīb al-asmāʼ wa-al-lughāt,Q11832
Arabic miscellany,,,,,,,Arabic texts,Q12258
Hādhā Kitāb fī manāqib al-Imām al-aʻẓam Abī Ḥanīfah ibn Thābit al-Nuʻmān,Biography of Abū Ḥanīfah,هذا كتاب في مناقب الامام الاعظم ابي حنيفة بن ثابت النعمان,Kitāb fī manāqib al-Imām al-aʻẓam Abī Ḥanīfah ibn Thābit al-Nuʻmān,كتاب في مناقب الامام الاعظم ابي حنيفة بن ثابت النعمان,Biography of Abū Ḥanīfah,Q68193,,
Kitāb Durrat al-asrār wa-maʻdin al-anwār fī taqyīd baʻḍ mā li-sayyidnā wa-ṣafwat al-abrār sayyidī Abī al-Ḥasan ʻAlī ibn ʻAbd Allāh ibn ʻAbd al-Jabbār al-Shādhilī,,كتاب درة الاسرار ومعدن الانوار في تقييد بعض ما لسيدنا وصفوة الابرار سيدي ابي الحسن علي بن عبد الله بن عبد الجبار الشاذلي,Durrat al-asrār wa-tuḥfat al-abrār,درة الاسرار وتحفة الابرار,,,Durrat al-asrār wa-tuḥfat al-abrār,Q11775
Ḥāshiyah ʻalá Sharḥ al-Jazarīyah li-Shaykh al-Islām al-Qāḍī Zakarīyā al-Anṣārī /,,حاشية على شرح الجزرية لشيخ الاسلام القاضي زكريا الانصاري /,Nukat al-lawdhaʻīyah ʻalá Sharḥ al-Jazarīyah,نکت اللوذعية على شرح الجزرية,,,Ḥāshiyah,Q11900
Kitāb Itḥāf fuḍalāʼ al-bashar fī al-qirāʼāt al-arbaʻat ʻashar /,,كتاب اتحاف فضلاء البشر في القراءات الاربعة عشر /,Itḥāf fuḍalāʼ al-bashar fī al-qirāʼāt al-arbaʻat ʻashar,اتحاف فضلاء البشر في القراآت الاربعة عشر,,,Itḥāf fuḍalāʼ al-bashar fī al-qirāʼāt al-arbaʻat ʻashar,Q12166
Juhd al-muqill,,جهدالمقل,,,,,Juhd al-muqill,Q11966
Kitāb al-Ifādah al-muqniʻah fī qirāʼāt al-aʼimmah al-arbaʻah,,كتاب الافادة المقنعة في قراءات الائمة الاربعة,Ifādah al-muqniʻah fī qirāʼāt al-aʼimmah al-arbaʻah,افادة المقنعة في قراءات الائمة الاربعة,,,Ifādah al-muqniʻah fī qirāʼāt al-aʼimmah al-arbaʻah,Q11645
Hādhihi Risālah fī qirāʼāt al-Imām al-Kisāʼī wa-rāwiyayhi Abī al-Ḥārith wa-al-Imām Ḥafṣ al-Dawrī,,هذه رسالة في قراءات الامام الكسائي وراوييه ابي الحارث والامام حفص الدوري,Risālah fī qirāʼāt al-Imām al-Kisāʼī wa-rāwiyayhi Abī al-Ḥārith wa-al-Imām Ḥafṣ al-Dawrī,رسالة في قراءة الامام الکسائي وراوييه ابي الحارث والامام حفص الدوري,,,Risālah,Q12161
Hādhihi Risālat Ghayth nafʻ al-ṭālibīn wa-munyat al-rāghibīn fī maʻrifat tajwīd al-Qurʼān al-mubīn,,هذه رسالة غيث نفع الطالبين ومنية الراغبين في معرفة تجويد القرآن المبين,Ghayth nafʻ al-ṭālibīn wa-munyat al-rāghibīn fī maʻrifat tajwīd al-Qurʼān al-mubīn,غيث نفع الطالبين ومنية الراغبين في معرفة تجويد القرآن المبين,,,Risālah,Q12161
Hādhā Kit[ā]b Rawḍat al-ʻāshiqīn wa-zahrat al-ṭ[ā]libīn /,,هذا كتب روضة العاشقين وزهرة الطلبين /,Rawḍat al-ʻāshiqīn wa-zahrat al-ṭālibīn,روضة العاشقين وزهرة الطالبين,Rawḍat al-ʻāshiqīn wa-zahrat al-ṭālibīn,Q12047,,
Ḥujjat al-qirāʼāt /,,حجة القراءات /,,,,,Ḥujjat al-qirāʼāt,Q11885
Kitāb Zubdat al-bayān fī [rusūm] maṣāḥif ʻUthmān /,,كتاب زبدة البيان في رسوم مصاحف عثمان /,Zubdat al-bayān fī rusūm maṣāhif ʻUthmān,زبدة البيان في رسوم مصاحف عثمن,Zubdat al-bayān fī rusūm maṣāhif ʻUthmān,Q12247,,
al-Muhadhdhab fī al-hijāʼ min dhayl Shifāʼ al-qurrāʼ,,المهذب في الهجاء من ذيل شفاء القراء,,,,,Muhadhdhab fī al-hijāʼ min dhayl Shifāʼ al-qurrāʼ,Q11795
al-Juzʼ al-akhīr fī tafsīr al-Qurʼān al-ʻaẓīm /,,الجزؤ الاخير في تفسير القرآن العظيم /,Kashf wa-al-bayān ʻan tafsīr al-Qurʼān,كشف والبيان عن تفسير القرآن,,,Kashf wa-al-bayān ʻan tafsīr al-Qurʼān,Q12176
al-Juzʼ al-thālith min Kitāb al-Burhān fī ʻulūm al-Qurʼān /,,الجزء الثالث من كتاب البرهان في علوم القرآن /,Burhān fī ʻulūm al-Qurʼān,برهان في علوم القرآن,,,Burhān fī ʻulūm al-Qurʼān,Q11892
Kitāb al-Iʻrāb al-Qurʼān /,,كتاب الاعراب القرآن /,Mushkil iʻrāb al-Qurʼān,مشكل اعراب القرآن,,,Mushkil iʻrāb al-Qurʼān,Q12217
al-Juzʼ al-thānī min Kitāb al-Tibyān fī tafsīr al-Qurʼān /,,الجزء الثاني من كتاب التبيان في تفسير القرآن /,Tibyān fī tafsīr al-Qurʼān,تبيان في تفسير القرآن,,,Tibyān fī tafsīr al-Qurʼān,Q12152
Qiṭʻah min Tafsīr al-Qushayrī min Sūrat Banī Isrāʼīl ilá akhir Sūrat Qad Afllaḥa al-Muʼminūn,,قطعة من تفسير القشيري من سورة بني اسرائيل الى اخر سورة قد افلح المؤمنون,Taysīr fī ʻilm al-tafsīr,تبسير في علم التفسير,,,Taysīr fī ʻilm al-tafsīr,Q11942
Kitāb al-Jawhar al-aṣīl al-muntazaʻ sharḥuhu min Maʻālim al-tanzīl /,,كتاب الجوهر الاصيل المنتزع شرحه من معالم التنزيل /,Jawhar al-aṣīl al-muntazaʻ sharḥuhu min Maʻālim al-tanzīl,جوهر الاصيل المنتزع شرحه من معالم التنزيل,,,Jawhar al-aṣīl al-muntazaʻ sharḥuhu min Maʻālim al-tanzīl,Q12222
Kitāb Lubāb al-taʼwīl fī maʻānī al-tanzīl,,كتاب لباب التأويل في معاني التنزيل,Lubāb al-taʼwīl fī maʻānī al-tanzīl,لباب التأويل في معاني التنزيل,,,Lubāb al-taʼwīl fī maʻānī al-tanzīl,Q12069
al-Juzʼ al-awwal min al-Kashshāf ʻan ḥaqāʼiq ghawāmiḍ al-tanzīl wa-ʻuyūn al-aqāwīl fī wujūh al-taʼwīl /,,الجزء الاول من الكشاف عن حقائق غوامض التنزيل وعيون الاقاويل في وجوه التأويل /,Kashshāf ʻan ḥaqāʼiq ghawāmiḍ al-tanzīl wa-ʻuyūn al-aqāwīl fī wujūh al-taʼwīl,کشاف عن حقائق غوامض التنزيل وعيون الاقاويل في وجوه التأويل,,,Kashshāf ʻan ḥaqāʼiq ghawāmiḍ al-tanzīl wa-ʻuyūn al-aqāwīl fī wujūh al-taʼwīl,Q12194
Sayyid Sharīf ʻalá al-Kashshāf,,سيد شريف على الكشاف,Ḥāshiyah ʻalá tafsīr al-Kashshāf,حاشية على تفسير الکشاف,,,Ḥāshiyah ʻalá tafsīr al-Kashshāf,Q11849
Anwār al-tanzīl wa-asrār al-taʼwīl,,انوار التنزيل واسرار التأويل,,,,,Anwār al-tanzīl wa-asrār al-taʼwīl,Q11922
Qiṭaʻ min Anwār al-tanzīl wa-asrār al-taʼwīl,,قطع من انوار التنزيل واسرار التأويل,Anwār al-tanzīl wa-asrār al-taʼwīl,انوار التنزيل واسرار التأويل,,,Anwār al-tanzīl wa-asrār al-taʼwīl,Q11922
Ḥāshiyah ʻalá Anwār al-tanzīl wa-asrār al-taʼwīl,,حاشية على انوار التنزيل واسرار التأويل,,,,,Ḥāshiyah ʻalá Anwār al-tanzīl wa-asrār al-taʼwīl,Q11936
Ḥāshiyat Bayḍāwī ʻalá juzʼ al-Nabaʼ li-Ismāʻīl al-Ḥaqqī,,حاشية بيضاوي على جزء النبأ لاسماعيل الحقي,Ḥāshiyah ʻalá Anwār al-tanzīl wa-asrār al-taʼwīl,حاشية على انوار التنزيل واسرار التأويل,,,Ḥāshiyah ʻalá Anwār al-tanzīl wa-asrār al-taʼwīl,Q11936
Risālah fī tafsīr qawlihi taʻālá satajidūna ākhirīn yurīdūna an yaʼmanūkum ilakh,,رسالة في تفسير قول تعالى ستجدون آخرين يريدون ان يأمنوكم الخ,,,,,Risālah fī tafsīr qawlihi taʻālá satajidūna ākhirīn yurīdūna an yaʼmanūkum ilakh,Q12054
Kitāb Radd maʻānī al-āyāt al-mutashābihāt ilá maʻānī al-āyāt al-muḥkamāt /,,كتاب رد معاني الايات المتشابهات الى معاني الايات المحكمات /,Radd maʻānī al-āyāt al-mutashābihāt ilá maʻānī al-āyāt al-muḥkamāt,رد معاني الآيات المتشابهات الى معاني الآيات المحکمات,,,Radd maʻānī al-āyāt al-mutashābihāt ilá maʻānī al-āyāt al-muḥkamāt,Q11954
Mukhtaṣar ʻulūm al-tafāsīr,,مختصر علوم التفاسير,,,,,Mukhtaṣar ʻulūm al-tafāsīr,Q11724
al-Mawāhib al-mudhdhakharah fī tafsīr khawātim Sūrat al-Baqarah /,,المواهب المذخرة في تفسير خواتم سورة البقرة /,,,,,Mawāhib al-mudhdhakharah fī tafsīr khawātim Sūrat al-Baqarah,Q12010
Tafsīr ... min Sūrat al-Māʼidah ilá ākhir Sūrat Yūsuf ʻalayhi al-salām /,,تفسير ... من سورة المائدة الى آخر سورة يوسف عليه السلام /,Irshād al-ʻaql al-salīm ilá mazāyā al-Kitāb al-Karīm,ارشاد العقل السليم الى مزايا الكتاب الكريم,,,Irshād al-ʻaql al-salīm ilá mazāyā al-Kitāb al-Karīm,Q11669
Tafsīr al-Mawlá Abū al-Saʻūd ʻalá Sūrat al-Baqarah,,تفسير المولى ابو السعود على سورة البقرة,Irshād al-ʻaql al-salīm ilá mazāyā al-Kitāb al-Karīm,ارشاد العقل السليم الى مزايا الکتاب الکريم,,,Irshād al-ʻaql al-salīm ilá mazāyā al-Kitāb al-Karīm,Q11669
Risālah fī tafsīr qawlihi taʻālá li-dulūk al-shams wa-al-adillah al-handasīyah wa-fīhā samt al-qiblah,,رسالة في تفسير قوله تعالى لدلوك الشمس والادلة الهندسية وفيها سمت القبلة,,,,,Risālah fī tafsīr qawlihi taʻālá li-dulūk al-shams wa-al-adillah al-handasīyah wa-fīhā samt al-qiblah,Q12059
Risālah fī tafsīr baʻḍ al-āyāt al-sharīfah,,رسالة في تفسير بعض الايات الشريفة,,,,,Risālah fī tafsīr baʻḍ al-āyāt al-sharīfah,Q12179
Hādhā al-Fayḍ al-ʻamīm fī maʻná al-Qurʼān al-ʻaẓīm /,,هذا الفيض العميم في معنى القرآن العظيم /,Fayḍ al-ʻamīm fī maʻná al-Qurʼān al-ʻaẓīm,فيض العميم في معنى القرآن العظيم,,,Fayḍ al-ʻamīm fī maʻná al-Qurʼān al-ʻaẓīm.,Q11961
Tafsīr al-Qurʼān al-ʻaẓīm /; taʼlīf Abī ʻAbd Allāh Muḥammad ibn ʻAlāy al-Dīn al-Miṣrī al-Shāfiʻī,,تفسير القرآن العظيم /,Murshid al-ṭālibīn li-tafsīr al-Furqān al-mubīn,مرشد الطالبين لتفسير الفرقان المبين,Murshid al-ṭālibīn li-tafsīr al-Furqān al-mubīn,Q39816,,
Iʻrāb al-Qurʼān /,,اعراب القرآن /,,,,,Iʻrāb al-Qurʼān,Q11742
Tafsīr al-Qurʼān,,تفسير القرآن,,,,,Tafsīr al-Qurʼān,Q11674
Mutashābihāt al-Qurʼān,,متشابهات القرآن,,,,,Mutashābihāt al-Qurʼān,Q11651
Risālah lil-tawfīq bayna āyah Qurʼānīyah wa-ḥadīth Nabawī,,رسالة للتوفيق بين آية قرآنية وحديث نبوي,,,,,Risālah lil-tawfīq bayna āyah Qurʼānīyah wa-ḥadīth Nabawī,Q12153
Hādhā Kitāb Tafsīr Sūrat al-Dukhān wa-faḍl laylat Shaʻbān al-mukarram,,هذا كتاب تفسير سورة الدخان وفضل ليلة شعبان المكرم,Tafsīr Sūrat al-Dukhān wa-faḍl laylat Shaʻbān,تفسير سورة الدخان وفضل ليلة شعبان,,,Tafsīr Sūrat al-Dukhān wa-faḍl laylat Shaʻbān,Q11704
Kitāb al-Nāsikh wa-al-mansūkh ... [etc.,,كتاب الناسخ والمنسوخ ... الخ,,,Kitāb al-Nāsikh wa-al-mansūkh,Q11859,,
Kitāb al-Nāsikh wa-al-mansūkh fī al-ḥadīth,,کتاب الناسخ والمنسوخ في الحديث,Nāsikh wa-al-mansūkh fī al-ḥadīth,ناسخ والمنسوخ في الحديث,,,Nāsikh wa-al-mansūkh fī al-ḥadīth,Q11988
"Musnad Imām Mālik, wa-huwa al-Muwaṭṭah",,مسند امام مالك، وهو الموطة,Muwaṭṭaʼ,موطأ,,,Muwaṭṭaʼ,Q11802
Section of al-Jāmiʻ al-ṣaḥīḥ,,جزء من الجامع الصحيح,Jāmiʻ al-ṣaḥīḥ,جامع الصحيح,,,Jāmiʻ al-ṣaḥīḥ,Q12187
al-Tāsiʻ min Kitāb al-Bukhārī,,التاسع من كتاب البخاري,Jāmiʻ al-ṣaḥīḥ,جامع الصحيح,,,Jāmiʻ al-ṣaḥīḥ,Q12187
al-Juzʼ al-thānī min Sharḥ Ṣaḥīḥ al-Bukhārī /,,الجزء الثاني من شرح صحيح البخاري /,Sharḥ Ṣaḥīḥ al-Bukhārī,شرح صحيح البخاري,,,Sharḥ Ṣaḥīḥ al-Bukhārī,Q12124
Bidāyat al-qārī fī khatm Ṣaḥīḥ al-Bukhārī,Commentary on hadiths,بداية القاري في ختم صحيح البخاري,,,Commentary on hadiths,Q67910,,
Ishārāt Ṣaḥīḥ al-Bukhārī wa-asānīduh /,,اشارات صحيح البخاري واسانيده /,,,,,,
Kitāb al-Iʻlām bi-sharḥ aḥādīth sayyid al-anām /,,كتاب الاعلام بشرح احاديث سيد الانام /,Iʻlām bi-sharḥ aḥādīth sayyid al-anām,اعلام بشرح احاديث سيد الانام,,,Iʻlām bi-sharḥ aḥādīth sayyid al-anām,Q12256
Risālah tashtamilu ʻalá majālis sanad al-Imām al-Bukhārī,,رسالة تشتمل على مجالس سند الامام البخاري,,,,,Risālah tashtamilu ʻalá majālis sanad al-Imām al-Bukhārī,Q12230
al-Minhāj fī sharḥ Muslim ibn al-Ḥajjāj,,المنهاج في شرح مسلم بن الحجاج,,,,,Minhāj fī sharḥ Muslim ibn al-Ḥajjāj,Q12144
Sharḥ Muslim /,,شرح مسلم /,Minhāj fī sharḥ Muslim ibn al-Ḥajjāj,منهاج في شرح مسلم بن الحجاج,,,Minhāj fī sharḥ Muslim ibn al-Ḥajjāj,Q12144
Mukhtaṣar al-Sunan lil-Imām al-ḥāfiẓ Abī Dāwūd Sulaymān ibn al-Ashʻath al-Sijistānī /,,مختصر السنن للامام الحافظ ابي داود سليمان بن الاشعث السجستاني /,Mukhtaṣar Sunan Abī Dāʼūd,مختصر سنن ابي داؤود,,,Mukhtaṣar Sunan Abī Dāʼūd,Q11971
"al-Sunan al-māthūrah ʻan Rasūl Allāh, ṣallá Allāh ʻalayhi wa-salam /",,السنن الماثورة عن رسول الله، صلى الله عليه وسلم /,Mujtabá,مجتبى,,,Mujtabá,Q11828
Kitāb Baḥr al-fawāyid /,,كتاب بحر الفوايد /,Baḥr al-fawāʼid,بحرالفوائد,,,Baḥr al-fawāʼid,Q11784
Kitāb al-Jalīs al-ṣāliḥ al-kāfī wa-al-anīs al-nāṣiḥ al-shāfī /,,كتاب الجليس الصالح الكافي والانيس الناصح الشافي /,Jalīs wa-al-anīs,جليس والانيس,,,Jalīs wa-al-anīs,Q11857
Kitāb Jawāhir al-kalim wa-badāyiʻ al-ḥikam al-nabawīyah /,,كتاب جواهر الكلم وبدايع الحكم النبوية /,Shihāb,شهاب,,,Shihāb,Q11894
Kitāb fī al-sunan /,,كتاب في السنن /,,,,,Kitāb fī al-sunan,Q11718
Kitāb ʻUmdat al-aḥkām /,,كتاب عمدة الاحكام /,ʻUmdat al-aḥkām,عمدة الاحكام,,,ʻUmdat al-aḥkām,Q11865
Kitāb ʻUmdat al-aḥkām min aḥādīth Sayyid al-Anām /,,كتاب عمدة الاحكام من احاديث سيد الانام /,,,,,ʻUmdat al-aḥkām min aḥādīth Sayyid al-Anām,Q11747
Kitāb al-Shāfī fī sharḥ Musnad al-Shāfiʻī /,,كتاب الشافي في شرح مسند الشافعي /,,,,,Kitāb al-Shāfī fī sharḥ Musnad al-Shāfiʻī,Q12096
Kitāb Jāmiʻ al-uṣūl fī aḥādīth al-Rasūl,,كتاب جامع الاصول في احاديث الرسول,Jāmiʻ al-uṣūl fī aḥādīth al-Rasūl,جامع الاصول في احاديث الرسول,,,Jāmiʻ al-uṣūl fī aḥādīth al-Rasūl,Q11646
Mashāriq sharīf,,مشارق شريف,Mashāriq al-anwār,مشارق الانوار,,,Mashāriq al-anwār,Q12103
Kitāb al-Durar al-muntathirah fī al-aḥādīth al-mushtahirah / taʼlīf Jalāl al-Dīn ibn al-Kamāl al-Suyūṭī,,كتاب الدرر المنتثره في الاحاديث المشتهره / تأليف جلال الدين بن الكمال السيوطي,Durar al-muntathirah fī al-aḥādīth al-mushtahirah,درر المنتثرة في الاحاديث المشتهرة,,,Durar al-muntathirah fī al-aḥādīth al-mushtahirah,Q12130
al-Juzʼ al-rābiʻ min Kitāb al-Kawkab al-munīr bi-sharḥ al-Jāmiʻ al-ṣaghīr /,,الجزء الرابع من كتاب الكوكب المنير بشرح الجامع الصغير /,Kawkab al-munīr bi-sharḥ al-Jāmiʻ al-ṣaghīr,کوکب المنير بشرح الجامع الصغير,,,Kawkab al-munīr bi-sharḥ al-Jāmiʻ al-ṣaghīr,Q11833
Kitāb Sharḥ al-Jāmiʻ al-ṣaghīr /,,كتاب شرح الجامع الصغير /,Sharḥ al-Jāmiʻ al-ṣaghīr,شرح الجامع الصغير,,,Sharḥ al-Jāmiʻ al-ṣaghīr,Q12219
Tafsīr gharīb al-Jāmiʻ al-ṣaghīr,,تفسير غريب الجامع الصغير,,,,,Tafsīr gharīb al-Jāmiʻ al-ṣaghīr,Q11882
Risālah fī rumūz kutub al-ḥadīth /,,رسالة في رموز كتب الحديث /,Ḍawʼ al-qabas al-munīr li-rumūz rijāl al-Jāmiʻ al-ṣaghīr,ضوء القبس المنير لرموز رجال الجامع الصغير,,,Ḍawʼ al-qabas al-munīr li-rumūz rijāl al-Jāmiʻ al-ṣaghīr,Q12236
Ḍawʼ al-qabas al-munīr li-rumūz rijāl al-Jāmiʻ al-ṣaghīr /,,ضوء القبس المنير لرموز رجال الجامع الصغير /,,,,,Ḍawʼ al-qabas al-munīr li-rumūz rijāl al-Jāmiʻ al-ṣaghīr,Q12236
Kitāb Jawāhir al-ʻiqd wa-laʼāliʼuhu fī maʻná qawl ʻAlī ibn Abī Ṭālib man lānat asāfiluhu ṣalubat aʻālīh /,,كتاب جواهر العقد ولأليه في معنى قول علي بن ابي طالب من لانت اسافله صلبت اعاليه /,Jawāhir al-ʻiqd wa-laʼāliʼuh,جواهر العقد ولآلئه,,,Jawāhir al-ʻiqd wa-laʼāliʼuh,Q12081
Kitāb Ilṣāq ʻawār al-hawas mimman lam yafham al-iḍṭirāb fī ḥadīth al-basmalah ʻan Anas /,,كتاب الصاق عوار الهوس ممن لم يفهم الاضطراب في حديث البسملة عن انس /,Ilṣāq ʻawār al-hawas mimman lam yafham al-iḍṭirāb fī ḥadīth al-basmalah ʻan Anas,الصاق عوار الهوس ممن لم يفهم الاضطراب في حديث البسملة عن انس,,,Ilṣāq ʻawār al-hawas mimman lam yafham al-iḍṭirāb fī ḥadīth al-basmalah ʻan Anas,Q12077
Kitāb Riyāḍ al-jannah fī āthār Ahl al-Sunnah /,,كتاب رياض الجنة في آثار اهل السنة /,Riyāḍ al-jannah fī āthār Ahl al-Sunnah,رياض الجنة في اثار اهل السنة,,,Riyāḍ al-jannah fī āthār Ahl al-Sunnah,Q11842
Ikhtiṣār Mukhtaṣar al-Maqāṣid al-ḥasanah,Hadiths,اختصار مختصر المقاصد الحسنة,,,Hadiths,Q11863,,
Hādhā Kitāb Kanz al-ḥaqq al-mubīn fī aḥādīth sayyid al-mursalīn /,,هذا كتاب كنز الحق المبين في احاديث سيد المرسلين /,Kanz al-ḥaqq al-mubīn fī aḥādīth sayyid al-mursalīn,کنز الحق المبين في احاديث سيد المرسلين,,,Kanz al-ḥaqq al-mubīn fī aḥādīth sayyid al-mursalīn,Q11725
al-Muʻjam al-wajīz min aḥādīth al-Rasūl al-ʻazīz,,المعجم الوجيز من احاديث الرسول العزيز,,,,,Muʻjam al-wajīz min aḥādīth al-Rasūl al-ʻazīz,Q11670
Jamʻ al-fawāyid al-mukhtaṣar min Jāmiʻ al-uṣūl wa-Majmaʻ al-zawāyid /,Hadiths,جمع الفوايد المختصر من جامع الاصول ومجمع الزوايد /,Jamʻ al-fawāʼid min Jāmiʻ al-uṣūI wa-Majmaʻ al-zawāʼid,جمع الفوائد من جامع الاصول ومجمع الزوائد,Hadiths,Q11863,,
Hādhā al-Kitāb Sharḥ Shihāb al-Quḍāʻī fī al-ḥadīth al-ʻaẓīm,Commentary on hadiths,هذا الكتاب شرح شهاب القضاعي في الحديث العظيم,Sharḥ Shihāb al-akhbār fī al-ḥikam wa-al-amthāl wa-al-ādāb min al-aḥādīth al-nabawīyah,شرح شهاب الاخبار في الحکم والامثال والاداب من الاحاديث النبوية,Commentary on hadiths,Q67910,,
al-Fawāyid al-ghazīrah fī ḥadīth Barīrah,,الفوايد الغزيره في حديث بريره,Fawāʼid al-ghazīrah fī ḥadīth Barīrah,فوائد الغزيرة في حديث بريرة,,,Fawāʼid al-ghazīrah fī ḥadīth Barīrah,Q11829
al-Ḥawāshī al-mujammaʻah min sharḥ al-aḥādīth al-muttabaʻah /,,الحواشى المجمعة من شرح الاحاديث المتبعه /,Minhāj al-muḥaddithīn,منهاج المحدثين,,,Minhāj al-muḥaddithīn,Q11720
Kitāb al-Zuhd,,کتاب الزهد,Zuhd,زهد,,,Zuhd,Q11660
Kitāb al-Shukr wa-mā ruwiya fīh /,,كتاب الشكر وما روي فيه /,Kitāb al-Shukr,کتاب الشکر,,,Kitāb al-Shukr,Q11712
Kitāb al-Iʻtiṣām bi-al-ʻuzlah /,,كتاب الاعتصام بالعزلة /,Iʻtiṣām bi-al-ʻuzlah,اعتصام بالعزلة,,,Iʻtiṣām bi-al-ʻuzlah,Q12006
Hādhā Kitāb al-Ighḍā ʻan ḥadīth al-aʻḍā /,,هذا كتاب الاغضا عن حديث الاعضا /,Works,اعمال,Works,Q5989,,
Kitāb Mā rawāhu al-wāʻūn fī akhbār al-ṭāʻūn /,,كتاب ما رواه الواعون في اخبار الطاعون /,Mā rawāhu al-wāʻūn fī akhbār al-ṭāʻūn,مارواه الواعون في اخبار الطاعون,,,Mā rawāhu al-wāʻūn fī akhbār al-ṭāʻūn,Q12139
Mā rawāhu al-sādah fī al-ittikāʼ ʻalá al-wisādah /,,ما رواه الساده في الاتكاء على الوساده /,,,,,Mā rawāhu al-sādah fī al-ittikāʼ ʻalá al-wisādah,Q12209
Sharḥ al-arbaʻīn /,,شرح الاربعين /,,,,,Sharḥ al-arbaʻīn,Q12063
Kitāb al-Arbaʻīn fī mabānī al-Islām wa-qawāʻid al-aḥkām ... [etc,,كتاب الاربعين في مباني الاسلام وقواعد الاحكام ... الخ,,,Arbaʻīn fī mabānī al-Islām wa-qawāʻid al-aḥkām,Q12020,,
al-Manhaj al-mubīn fī sharḥ al-Arbaʻīn,,المنهج المبين في شرح الاربعين,,,,,Manhaj al-mubīn fī sharḥ al-Arbaʻīn,Q11839
Tāʻlīq mukhtaṣar ʻalá al-Arbaʻīn ḥadīth,,تعليق مختصر على الاربعين حديثا,,,,,Tāʻlīq mukhtaṣar ʻalá al-Arbaʻīn ḥadīth,Q11914
Hādhā Kitāb al-Jawāhir al-bahīyah fī sharḥ al-Arbaʻīn al-Nawawīyah /,Commentary on hadiths,هذا كتاب الجواهر البهية في شرح الاربعين النووية /,Jawāhir al-bahīyah fī sharḥ al-Arbaʻīn al-Nawawīyah,جواهر البهية في شرح الاربعين النووية,Commentary on hadiths,Q67910,,
Kitāb al-Arbaʻīn al-mughniyah bi-funūnihā ʻan al-muʻīn /,,كتاب الاربعين المغنية بفنونها عن المعين /,Arbaʻīn al-mughniyah bi-funūnihā ʻan al-muʻīn,اربعين المغنية بفنونها عن المعين,,,Arbaʻīn al-mughniyah bi-funūnihā ʻan al-muʻīn,Q11836
al-Kawākib al-durrīyah ʻalá al-Arbaʻīn al-Jawharīyah /,,الكواكب الدرية على الاربعين الجوهرية /,,,,,Kawākib al-durrīyah ʻalá al-Arbaʻīn al-Jawharīyah,Q12082
Juzʼ fīhi arbaʻūn ḥadīth muntaqāh min Kitāb al-Shifā bi-taʻrīf ḥuqūq al-Muṣṭafā /,,جز فيه اربعون حديثا منتقاه من كتاب الشفا بتعريف حقوق المصطفا /,,,,,Hadith,Q3679
Ḥāwiyat al-ṣalāḥ li-man arāda al-najāḥ /,,حاوية الصلاح لمن اراد النجاح /,,,,,Ḥāwiyat al-ṣalāḥ li-man arāda al-najāḥ,Q12261
Hādhā Kitāb ʻUṣfūrī,,هذا كتاب عصفوري,Kitāb ʻUṣfūrī,کتاب عصفوري,,,Kitāb ʻUṣfūrī,Q11661
Kitāb Arbaʻīn al-maḥkah /,,كتاب اربعين المحكة /,Kitāb ʻUṣfūrī,کتاب عصفوري,,,Kitāb ʻUṣfūrī,Q11661
Kashf al-mushkilāt /,Commentary on hadiths,كشف المشكلات /,Kashf al-mushkil min ḥadīth al-Ṣaḥīḥayn,كشف المشكل من حديث الصحيحين,Commentary on hadiths,Q67910,,
Kitāb Mukhtaṣar ʻulūm al-ḥadīth /,,كتاب مختصر علوم الحديث /,Mukhtaṣar Kitāb ʻUlūm al-ḥadīth,مختصر کتاب علوم الحديث,,,Mukhtaṣar Kitāb ʻUlūm al-ḥadīth,Q12160
Sharḥ Kitāb ibn al-Ṣalāḥ fī ʻilm al-ḥadīth /,,شرح كتاب ابن الصلاح في علم الحديث /,,,,,Sharḥ Kitāb ibn al-Ṣalāḥ fī ʻilm al-ḥadīth,Q11917
