title_as_recorded,label,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label_add,ds_qid_add,authorized_label,ds_qid
al-Juzʼ al-thānī min al-Rawḍ al-unuf /,,الجزء الثاني من الروض الانف /,Rawḍ al-unuf,روض الانف,,,Rawḍ al-unuf,Q11853
al-Thānī min Kitāb Rawḍ al-unuf fī sharḥ mushkilāt alfāẓ Sīrat al-Nabī ṣallá Allāh ʻalayhi wa-sallam /,,الثاني من كتاب روض الانف في شرح مشكلات الفاظ سيرة النبي صلى الله عليه وسلم /,Rawḍ al-unuf,روض الانف,,,Rawḍ al-unuf,Q11853
al-Juzʼ al-awwal [al-sābiʻ] min Naẓm al-laʼālī fī al-miʼah al-ʻawālī al-mukhrajah lil-Burhān al-Shāmī /,,الجزء الاول السابع من نظم اللألي في المائة العوالي المخرجة للبرهان الشامي /,Naẓm al-laʼālī fī al-miʼah al-ʻawālī,نظم اللألي في المائة العوالي,Naẓm al-laʼālī fī al-miʼah al-ʻawālī,Q11736,,
Maṣābīḥ al-sunnah,,مصابيح السنة,,,,,Maṣābīḥ al-sunnah,Q12107
al-Juzʼ al-awwal min al-Maṣābīḥ /,,الجزء الاول من المصابيح /,Maṣābīḥ al-sunnah,مصابيح السنة,,,Maṣābīḥ al-sunnah,Q12107
al-Juzʼ al-rābiʻ min al-Aḥkām al-kubrá /,,الجزء الرابع من الاحكام الكبرى /,Aḥkām al-sharʻīyah al-kubrá,احكام الشرعية الكبرى,,,Aḥkām al-sharʻīyah al-kubrá,Q12263
Kitāb Sharḥ al-ʻAqāʼid lil-Nasafī /,,كتاب شرح العقائد للنسفي /,Sharḥ al-ʻAqāʼid al-Nasafīyah,شرح العقائد النسفية,,,Sharḥ al-ʻAqāʼid al-Nasafīyah,Q11807
al-Juzʼ al-awwal min mukhtaṣar Sharḥ Muslim sharḥ al-Imām [...] shaykh al-Islām Muḥyī al-Dīn al-Nawāwī ikhtiṣār al-Shaykh al-imām al-ʻālim al-fāḍil Jamāl al-Dīn ʻAbd Allāh ibn Shams al-Dīn Muḥammad al-Anṣarī al-Shāfiʻī al-Ḥalabī raḥimahu Allāh taʻālá wa-huwa bi-khaṭṭ muʼallifih,,الجزء الاول من مختصر شرح مسلم شرح الامام ... شيخ الاسلام محيي الدين النواوي اختصار الشيخ الامام العالم الفاضل جمال الدين عبد الله بن شمس الدين محمد الانصري الشافعي الحلبي رحمه الله تعالى وهو بخط مؤلفه,Talkhīṣ Sharḥ Ṣaḥīḥ Muslim,تلخيص شرح صحيح مسلم,Talkhīṣ Sharḥ Ṣaḥīḥ Muslim,Q11819,,
al-ʻUmdah fī al-[aḥkām fī al-ḥadīth] /,,العمدة في الاحكام في الحديث /,ʻUmdat al-aḥkām,عمدة الاحكام,ʻUmdat al-aḥkām,Q11865,,
al-Īḍāḥ ... [etc,,الايضاح ... الخ,,,Īḍāḥ,Q11688,,
Sharḥ Miftāḥ al-Sakkākī /,,شرح مفتاح السكاكي /,,,,,Sharḥ Miftāḥ al-Sakkākī,Q11665
Majālis al-abrār wa-masālik al-akhyār wa-makhāliq al-bidaʻ wa-maqāmiʻ al-ashrār,,مجالس الابرار ومسالك الاخيار ومخالق البدع ومقامع الاشرار,Majālis al-abrār,مجالس الابرار,,,Majālis al-abrār,Q12083
Risālah al-dāmighah lil-fāsiq ... [etc.,,رسالة الدامغة للفاسق ... الخ,,,Risālah al-dāmighah lil-fāsiq,Q11852,,
Kitāb Madkhal Kūshyār wa-Risālah fī al-ḥisāb ... [etc.,,كتاب مدخل كوشيار ورسالة في الحساب ... الخ,,,Madkhal Kūshyār wa-Risālah fī al-ḥisāb,Q11976,,
Riḥlat al-Amīr ʻAbd al-Qādir al-Jazāʼirī wa-ʻArūḍ wa-ghayrihi adab,,رحلة الامير عبد القادر الجزائري وعروض وغيره ادب,,,,,Riḥlat al-Amīr ʻAbd al-Qādir al-Jazāʼirī wa-ʻArūḍ wa-ghayrihi adab,Q11699
Hādhā Sharḥ Maqṣūrat Ibn Durayd Abī Bakr Muḥammad ibn al-Ḥasan /,,هذا شرح مقصورة ابن دريد ابي بكر محمد بن الحسن /,Āyāt al-maqṣūrah ʻalá al-abyāt al-maqṣūrah,آيات المقصورة على الابيات المقصورة,,,,
Kitāb al-Tibyān fī mā ḥalla min maʼkūl al-ḥayawān /,,كتاب التبيان في ما حل من مأكول الحيوان /,Tibyān li-mā yaḥullu wa-yaḥrumu min al-ḥayawān,تبيان لما يحل ويحرم من الحيوان,,,Tibyān li-mā yaḥullu wa-yaḥrumu min al-ḥayawān,Q11883
Shifāʼ bi-taʻrīf ḥuqūq al-Muṣṭafá,,شفاء بتعريف حقوق المصطفى,,,,,Al-Shifa bi Ta'rif Huquq al-Mustafa,Q3687
al-Munqidh ʻan al-ḍalāl /,,المنقذ عن الضلال /,Munqidh min al-ḍalāl,منقذ من الضلال,,,Munqidh min al-ḍalāl,Q11809
Manār Ibn Malak min al-uṣūl,,منار ابن ملك من الاصول,Sharḥ Manār al-anwār fī uṣūl al-fiqh,شرح منار الانوار في اصول الفقه,,,Sharḥ Manār al-anwār fī uṣūl al-fiq,Q3722
Maṭāliʻ al-anẓār fī sharḥ Ṭawāliʻ al-anwār. Ṭawāliʻ al-anwār min maṭāliʻ al-anẓār,,مطالع الانظار في شرح طوالع الانوار. طوالع الانوار من مطالع الانظار,,,,,Maṭāliʻ al-anẓār fī sharḥ Ṭawāliʻ al-anwār. Ṭawāliʻ al-anwār min maṭāliʻ al-anẓār,Q11777
Taʻrīfāt,,تعريفات,,,,,Taʻrīfāt,Q11958
al-Tawḍīḥ fī ḥall ghawāmiḍ al-Tanqīḥ,,التوضيح في حل غوامض التنقيح,Tawḍīḥ,توضيح,,,Tawḍīḥ,Q11722
Hādhā Kitāb faḍāʼil aʻmāl /,,هذا كتاب فضائل اعمال /,Faḍāʼil aʻmāl,فضائل اعمال,,,Faḍāʼil aʻmāl,Q11908
Kitāb al-milal wa-al-niḥal /,,كتاب الملل والنحل /,Milal wa-al-niḥal,ملل والنحل,,,Milal wa-al-niḥal,Q11680
Maqālah tashtamilu ʻalá fuṣūl min Kitāb al-ḥayawān li-Arisṭū,,مقالة تشتمل على فصول من كتاب الحيوان لارسطوا,,,,,Maqālah tashtamilu ʻalá fuṣūl min Kitāb al-ḥayawān li-Arisṭū,Q12070
Kitāb Sharḥ al-Muqaddimah al-Shaʻrānīyah fī ʻilm al-ʻArabīyah /,,كتاب شرح المقدمة الشعرانية في علم العربية /,Sharḥ al-Muqaddimah al-Shaʻrānīyah,شرح المقدمة الشعرانية,,,Sharḥ al-Muqaddimah al-Shaʻrānīyah,Q12177
