title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label_add,ds_qid_add,authorized_label,ds_qid
al-ʻInāyah fī sharḥ al-Hidāyah,,,,al-ʻInāyah fī sharḥ al-Hidāyah,Q63874,,
ḥāshiyah ʻalá al-ʻInāyah,,,,,,,
Fatḥ al-qadīr lil-ʻājiz al-faqīr,,,,,,,
Natāʼij al-afkār fī kashf al-rumūz wa-al-asrār,,,,,,,
Sharḥ al-Hidāyah,,,,,,,
ʻUddat aṣḥāb al-bidāyah wa-al-nihāyah fī taḥrīr masāʼil al-Hidāyah,,,,,,,
Sharḥ al-Wiqāyah,,,,Sharḥ al-Wiqāyah,Q11990,,
ḥāshiyah ʻalá sharḥ Ṣadr al-Sharīʻah,,,,,,,
ḥāshiyah ʻalá kitāb al-ṭahārah min al-Wiqāyah,,,,,,,
al-ʻInāyah fī sharḥ al-Wiqāyah,,,,,,,
Tawfīq al-ʻināyah fī sharḥ al-Wiqāyah,,,,,,,
Īḍāḥ al-iṣlāḥ,,,,Īḍāḥ al-iṣlāḥ,Q12155,,
al-Nuqāyah,,,,,,,
Kamāl al-dirāyah fī sharḥ al-Nuqāyah,,,,,,,
Jāmiʻ al-rumūz,,,,,,,
al-Farāʼid al-sanīyah,,,,,,,
Mukhtārāt al-Hidāyah,,Hidāyah,,Hidayah,Q39473,,
Munyat al-muftī,,,,Munyat al-muftī,Q39503,,
al-Mustaṣfá,,,,al-Mustaṣfá,Q63875,,
Qunyat al-munyah li-tatmīn al-Ghunyah,,,,Qunyat al-munyah li-tatmīn al-Ghunyah,Q63864,,
al-Mukhtār lil-fatwá,,,,Mukhtār lil-fatwá,Q11891,,
al-Ikhtiyār li-taʻlīl al-Mukhtār,,,,,,,
Sharḥ al-Mukhtār,,,,Sharḥ al-Mukhtār,Q63876,,
Majmaʻ al-baḥrayn wa-multaqá al-nayyirayn,,,,Majmaʻ al-Bahrayn,Q12033,,
Sharḥ Majmaʻ al-baḥrayn,,,,Sharh Majmaʻ al-Bahrayn,Q63877,,
Sharḥ Tuḥfat al-mulūk,,,,Sharḥ Tuḥfat al-mulūk,Q63878,,
Minḥat al-sulūk fī sharḥ Tuḥfat al-mulūk,,,,,,,
Sharḥ Waṣīyat Abī ḥanīfah,,,,,,,
Risālah fī ʻalāqāt al-majāz ... [etc.,رسالة في علاقات المجاز ... الخ,,,,,,
Sharḥ al-Qaṣīdah al-rūḥānīyah ... [etc,شرح القصيدة الروحانية ... الخ,,,,,,
Kalimāt al-sharīfah fī tanzīh Abī Ḥanīfah ... [etc,كلمات الشريفة في تنزيه ابي حنيفة ... الخ,Works,اعمال,Works,Q5989,,
Naẓm al-Sanūsīyah ... [etc,نظم السنوسية ... الخ,,,Naẓm al-Sanūsīyah,Q64072,,
Majmūʻat aḥzāb wa-awrād ... [etc,مجموعة احزاب واوراد ... الخ,,,,,,
