ds_label,ds_qid,tgn_label,tgn_id,wikidata_label,wikidata_qid
Cerea,Q76264,Cerea,1044154,Cerea,Q48030
Chacombe,Q8377,Chacombe,7030792,Chacombe,Q965366
Chalons-sur-Marne,Q68006,Châlons-en-Champagne,7008339,Châlons-sur-Champagne,Q47135
Chambly,Q66902,Chambly,7009014,Chambly,Q669309
Champagne,Q1306,Champagne,7658604,Champagne,Q273827
Chartres,Q38170,Chartres,7008267,Chartres,Q130272
Cheshire,Q38171,Cheshire,7008114,Cheshire,Q23064
Chełm,Q74807,Chełm,7014788,Chełm,Q234184
Chianti,Q38172,Chianti,7017853,Chianti,Q1071629
China,Q12699,Zhongguo,1000111,People's Republic of China,Q148
Chioggia,Q76319,Chioggia,7003037,Chioggia,Q55416
Chur,Q38173,Chur,7007276,Chur,Q69007
Châlons,Q19910,Châlons,7657983,Chalon,Q1003011
Châtenois,Q4996,Châtenois,1032520,Châtenois,Q21440
Cirencester,Q19888,Cirencester,7011127,Cirencester,Q852772
Città di Castello,Q7796,Città di Castello,7005039,Città di Castello,Q20413
City of Westminster,Q17528,City of Westminster,7018934,City of Westminster,Q179351
Clermont,Q42086,Clermont,7655362,Clermont,Q546582
Clermont-Ferrand,Q38174,Clermont-Ferrand,7008202,Clermont-Ferrand,Q42168
Cleves,Q38175,Kleve,7012313,Kleve,Q6842
Cochabamba,Q17524,Cochabamba,1020283,Cochabamba,Q183124
Cochin,Q76326,Kochi,1075032,Kochi,Q1800
Coddington,Q66916,Coddington,7027026,Coddington,Q3784752
Cologne,Q4329,Köln,7004446,Cologne,Q365
Colombia,Q66923,Colombia,1000050,Colombia,Q739
Connecticut,Q17518,Connecticut,7007159,Connecticut,Q779
Copenhagen,Q38176,København,7003474,Copenhagen,Q1748
Cordova,Q54967,Córdoba,7007513,Córdoba,Q5818
Corfu,Q74795,Corfu,7010883,Kérkira,Q121378
Corvey,Q66924,Corvey,7004981,Corvey,Q45033207
Cosenza,Q38177,Cosenza,7004274,Cosenza,Q13619
Coutances,Q38178,Coutances,7008215,Coutances,Q202565
Cracow,Q5004,Kraków,7007652,Kraków,Q31487
Crema,Q7798,Crema,7005874,Crema,Q42793
Cremona,Q3088,Cremona,7005868,Cremona,Q6231
Crete,Q38179,Kríti,7012056,Crete,Q34374
Crimea,Q42494,Crimea,7010345,Krym,Q7835
Croatia,Q137,Hrvatska,7006663,Croatia,Q224
Cuenca,Q42476,Cuenca,7007638,Cuenca,Q15098
Culhuacán,Q66920,Pueblo Culhuacán,7357654,Culhuacán,Q11159224
Cuyk,Q20353,Cuyk,7006847,Cuijk,Q13635419
Cuzco,Q66919,Cuzco,7005819,Cusco,Q5582862
