ds_label,ds_qid,ds_id,type,wikidata_label,wikidata_qid
Lawrence Giustiniani,Q41101,DSNAME4656,Personal (Name Authority),Lawrence Giustiniani,Q203814
Lawrence J. Schoenberg,Q383,DSNAME110,Personal (Name Authority),Lawrence J. Schoenberg,Q107542788
Lawrence of Durham,Q41106,DSNAME4661,Personal (Name Authority),Lawrence of Durham,Q1808208
Lazarus a Parentibus,Q42231,DSNAME5758,Personal (Name Authority),Lazarus a Parentibus,Q114324095
Laʻlî Meḥmed Fenâî,Q40642,DSNAME4197,Personal (Name Authority),Laʻlî Meḥmed Fenâî,Q113826477
LeMare,Q20077,DSNAME2756,Personal (Name Authority),LeMare,Q114242468
Leber Group,Q20261,DSNAME2948,Corporate (Name Authority),Leber Group,Q122873662
Legoué,Q20186,DSNAME2869,Personal (Name Authority),Legoué,Q122873488
Lehn of Denmark,Q17737,DSNAME2529,Personal (Name Authority),Lehn of Denmark,Q114242516
Leicester Harmsworth,Q1809,DSNAME574,Personal (Name Authority),Leicester Harmsworth,Q6519187
Leigh Baker,Q16493,DSNAME2185,Personal (Name Authority),Leigh Baker,Q22003280
Lena suor,Q6095,DSNAME1216,Personal (Name Authority),Lena suor,Q120442572
Leo Archpriest,Q20050,DSNAME2725,Personal (Name Authority),Leo Archpriest,Q1818805
Leo I,Q41119,DSNAME4674,Personal (Name Authority),Leo I,Q43954
Leo III,Q1250,DSNAME321,Personal (Name Authority),Leo III,Q132086
Leo Olschki,Q3215,DSNAME814,Personal (Name Authority),Leo Olschki,Q15051199
Leo S. Olschki Editore,Q1817,DSNAME582,Corporate (Name Authority),Leo S. Olschki Editore,Q3229594
Leo X,Q3831,DSNAME992,Personal (Name Authority),Leo X,Q49237
Leon Battista Alberti,Q40103,DSNAME3658,Personal (Name Authority),Leon Battista Alberti,Q182046
Leonardo Bruni,Q1924,DSNAME689,Personal (Name Authority),Leonardo Bruni,Q314488
Leonardo Dati,Q40503,DSNAME4058,Personal (Name Authority),Leonardo Dati,Q3830353
Leonardo Emo,Q40594,DSNAME4149,Personal (Name Authority),Leonardo Emo,Q109997055
Leonardo Giustinian,Q41120,DSNAME4675,Personal (Name Authority),Leonardo Giustinian,Q3830374
Leonardo Lapiccirella,Q16526,DSNAME2222,Corporate (Name Authority),Leonardo Lapiccirella,Q123285057
Leonardo Loredan,Q3768,DSNAME929,Personal (Name Authority),Leonardo Loredan,Q250210
Leonardo Mainardi,Q12934,DSNAME2127,Personal (Name Authority),Leonardo Mainardi,Q123005999
Leonardo Moro,Q41121,DSNAME4676,Personal (Name Authority),Leonardo Moro,Q110246797
Leonardo Nunes,Q41351,DSNAME4906,Personal (Name Authority),Leonardo Nunes,Q10317352
Leonardus Job,Q1814,DSNAME579,Personal (Name Authority),Leonardus Job,Q117352053
Leonardus Martinotius,Q20305,DSNAME2995,Personal (Name Authority),Leonardus Martinotius,Q122873490
"Leonello d'Este, Marquis of Ferrara",Q1105,DSNAME303,Personal (Name Authority),"Leonello d'Este, Marquis of Ferrara",Q1379797
Leonhard Flexel,Q41132,DSNAME4687,Personal (Name Authority),Leonhard Flexel,Q55122984
Leonhard Freisleben,Q7070,DSNAME1322,Personal (Name Authority),Leonhard Freisleben,Q94867591
Leonhardus Cuntius,Q7063,DSNAME1315,Personal (Name Authority),Leonhardus Cuntius,Q116322478
Leontios of Neapolis,Q41125,DSNAME4680,Personal (Name Authority),Leontios of Neapolis,Q3298419
Leopold Camp,Q42213,DSNAME5740,Personal (Name Authority),Leopold Camp,Q60835990
Leopold Gruber,Q4450,DSNAME1086,Personal (Name Authority),Leopold Gruber,Q95247210
"Leopold I, Duke of Austria",Q41126,DSNAME4681,Personal (Name Authority),"Leopold I, Duke of Austria",Q223421
Lepeletier de Rosanbo,Q20075,DSNAME2754,Corporate (Name Authority),Lepeletier de Rosanbo,Q114413768
Lescut,Q41128,DSNAME4683,Personal (Name Authority),Lescut,Q124566863
Leslie Hindman,Q42232,DSNAME5759,Personal (Name Authority),Leslie Hindman,Q125930832
