ds_label,ds_qid,ds_id,type,wikidata_label,wikidata_qid
Gabriel Wells,Q909,DSNAME296,Personal (Name Authority),Gabriel Wells,Q17627120
Gabriel Zoccho,Q41899,DSNAME5454,Personal (Name Authority),Gabriel Zoccho,Q124566983
Gabriele Barbarigo,Q40697,DSNAME4252,Personal (Name Authority),Gabriele Barbarigo,Q117321220
Gabriele Cesano,Q7346,DSNAME1407,Personal (Name Authority),Gabriele Cesano,Q3756567
Gadādhara,Q28138,DSNAME3354,Personal (Name Authority),Gadādhara,Q124252843
Gadādharabhaṭṭācārya,Q28212,DSNAME3428,Personal (Name Authority),Gadādharabhaṭṭācārya,Q124252844
Gaetano Bozzolini,Q40330,DSNAME3885,Personal (Name Authority),Gaetano Bozzolini,Q124566745
Gaetano Schiepati,Q20127,DSNAME2808,Personal (Name Authority),Gaetano Schiepati,Q122873525
Gail Fischmann,Q40651,DSNAME4206,Personal (Name Authority),Gail Fischmann,Q124629903
Gaius Julius Solinus,Q41688,DSNAME5243,Personal (Name Authority),Gaius Julius Solinus,Q520487
Gaius Marius Victorinus,Q41205,DSNAME4760,Personal (Name Authority),Gaius Marius Victorinus,Q708247
Galand of Reigny,Q40701,DSNAME4256,Personal (Name Authority),Galand of Reigny,Q85722052
Galeazzo Maria Sforza,Q40702,DSNAME4257,Personal (Name Authority),Galeazzo Maria Sforza,Q317894
Galen,Q40703,DSNAME4258,Personal (Name Authority),Galen,Q8778
Galeotto IV Pico della Mirandola,Q41475,DSNAME5030,Personal (Name Authority),Galeotto IV Pico della Mirandola,Q86335289
Gallus,Q6106,DSNAME1227,Personal (Name Authority),Gallus,Q55936638
Galuccio Trevisono Volpe,Q4414,DSNAME1050,Personal (Name Authority),Galuccio Trevisono Volpe,Q116650301
Gangadhara Vajapeyi,Q28136,DSNAME3352,Personal (Name Authority),Gangadhara Vajapeyi,Q5521026
Gangesha Upadhyaya,Q28119,DSNAME3335,Personal (Name Authority),Gangesha Upadhyaya,Q3635187
Gao Bing,Q12851,DSNAME2042,Personal (Name Authority),Gao Bing,Q5521582
Garcias Ferrandi,Q40704,DSNAME4259,Personal (Name Authority),Garcias Ferrandi,Q124566806
Garegnano Charterhouse,Q20124,DSNAME2805,Corporate (Name Authority),Garegnano Charterhouse,Q581827
Garibell Smythley,Q41685,DSNAME5240,Personal (Name Authority),Garibell Smythley,Q124566950
Gascoigne baronets,Q16470,DSNAME2162,Corporate (Name Authority),Gascoigne baronets,Q5526390
Gaspar,Q7281,DSNAME1340,Personal (Name Authority),Gaspar,Q116075677
Gaspar Torelli,Q40707,DSNAME4262,Personal (Name Authority),Gaspar Torelli,Q20002396
Gaspar de Fidelis,Q16460,DSNAME2149,Personal (Name Authority),Gaspar de Fidelis,Q123274746
Gaspard Joseph de Servais,Q20259,DSNAME2946,Personal (Name Authority),Gaspard Joseph de Servais,Q21608705
Gaspardus Bremlen,Q4382,DSNAME1018,Personal (Name Authority),Gaspardus Bremlen,Q116269822
Gaspare Calderini,Q40705,DSNAME4260,Personal (Name Authority),Gaspare Calderini,Q24248372
Gaspare Zacchi,Q41892,DSNAME5447,Personal (Name Authority),Gaspare Zacchi,Q115182617
Gaspare da Verona,Q40706,DSNAME4261,Personal (Name Authority),Gaspare da Verona,Q19515261
Gasparinus de Bergamo,Q6100,DSNAME1221,Personal (Name Authority),Gasparinus de Bergamo,Q1236187
Gasparo Contarini,Q7914,DSNAME1549,Personal (Name Authority),Gasparo Contarini,Q728931
"Gaston III, Count of Foix",Q40708,DSNAME4263,Personal (Name Authority),"Gaston III, Count of Foix",Q386816
Gaston Ruddoff,Q1600,DSNAME436,Personal (Name Authority),Gaston Ruddoff,Q116809987
Gaudapada,Q28273,DSNAME3489,Personal (Name Authority),Gaudapada,Q1771062
Gautier Lebaube Atelier,Q41986,DSNAME5541,Corporate (Name Authority),Gautier Lebaube Atelier,Q124380412
Gautier de Coincy,Q40709,DSNAME4264,Personal (Name Authority),Gautier de Coincy,Q5356
Gautier de Metz,Q40710,DSNAME4265,Personal (Name Authority),Gautier de Metz,Q930623
Gayot de la Rejasse,Q40713,DSNAME4268,Personal (Name Authority),Gayot de la Rejasse,Q124566807
Gaëtan de Tiène,Q40698,DSNAME4253,Personal (Name Authority),Gaëtan de Tiène,Q3099938
Gaṅgādhara,Q28313,DSNAME3529,Personal (Name Authority),Gaṅgādhara,Q124252845
Gaṅgārāma,Q28268,DSNAME3484,Personal (Name Authority),Gaṅgārāma,Q94539706
Gaṇeśa Nātu,Q28141,DSNAME3357,Personal (Name Authority),Gaṇeśa Nātu,Q113788968
Gaṇeśadaivajña,Q28223,DSNAME3439,Personal (Name Authority),Gaṇeśadaivajña,Q31314971
Gebeno von Eberbach,Q40715,DSNAME4270,Personal (Name Authority),Gebeno von Eberbach,Q126296
Geert Groote,Q40716,DSNAME4271,Personal (Name Authority),Geert Groote,Q467242
Geffrey de Bingham,Q4379,DSNAME1015,Personal (Name Authority),Geffrey de Bingham,Q116269440
Gemma Frisius,Q40718,DSNAME4273,Personal (Name Authority),Gemma Frisius,Q455406
"General Bookbinding Company of Chesterland, OH",Q42181,DSNAME5708,Corporate (Name Authority),"General Bookbinding Company of Chesterland, OH",Q126000571
General Theological Seminary,Q1487,DSNAME322,Corporate (Name Authority),General Theological Seminary,Q1501676
General council of Guelfs,Q8225,DSNAME1656,Corporate (Name Authority),General council of Guelfs,Q116731239
Gentian Hervetus,Q40720,DSNAME4275,Personal (Name Authority),Gentian Hervetus,Q3100865
Gentile da Foligno,Q3735,DSNAME895,Personal (Name Authority),Gentile da Foligno,Q524048
Geoffrey Chaucer,Q12798,DSNAME1984,Personal (Name Authority),Geoffrey Chaucer,Q5683
Geoffrey Whitney,Q40717,DSNAME4272,Personal (Name Authority),Geoffrey Whitney,Q5534971
Geoffrey of Monmouth,Q6161,DSNAME1282,Personal (Name Authority),Geoffrey of Monmouth,Q188344
Geoffrey of Trani,Q40778,DSNAME4333,Personal (Name Authority),Geoffrey of Trani,Q324213
Geoffrey of Vinsauf,Q40725,DSNAME4280,Personal (Name Authority),Geoffrey of Vinsauf,Q1491994
Geoffroy Tory,Q1128,DSNAME311,Personal (Name Authority),Geoffroy Tory,Q722911
Geoffroy du Louroux,Q40205,DSNAME3760,Personal (Name Authority),Geoffroy du Louroux,Q52554321
Georg Eduard Steitz,Q4388,DSNAME1024,Personal (Name Authority),Georg Eduard Steitz,Q17123313
Georg Ganser,Q465,DSNAME192,Personal (Name Authority),Georg Ganser,Q113857026
Georg Hayniger,Q3175,DSNAME774,Personal (Name Authority),Georg Hayniger,Q116378361
Georg Keysser,Q7056,DSNAME1308,Personal (Name Authority),Georg Keysser,Q116250320
Georg Kloss,Q7634,DSNAME1473,Personal (Name Authority),Georg Kloss,Q214047
Georg Rollenhagen,Q41595,DSNAME5150,Personal (Name Authority),Georg Rollenhagen,Q1505776
Georg von Peuerbach,Q16632,DSNAME2331,Personal (Name Authority),Georg von Peuerbach,Q84289
Georg von Waldburg-Zeil,Q1604,DSNAME440,Personal (Name Authority),Georg von Waldburg-Zeil,Q1504200
George Albert I of Erbach-Erbach,Q40726,DSNAME4281,Personal (Name Authority),George Albert I of Erbach-Erbach,Q11928267
George Aldridge,Q16686,DSNAME2386,Personal (Name Authority),George Aldridge,Q123274722
George Amos Poole,Q1524,DSNAME360,Personal (Name Authority),George Amos Poole,Q64683625
George Arthur Plimpton,Q16572,DSNAME2269,Personal (Name Authority),George Arthur Plimpton,Q5536449
George Atherton Aitken,Q17643,DSNAME2434,Personal (Name Authority),George Atherton Aitken,Q15930536
George Becher Blomfield,Q1498,DSNAME333,Personal (Name Authority),George Becher Blomfield,Q76355566
George Bretherton,Q40340,DSNAME3895,Personal (Name Authority),George Bretherton,Q120442556
George Bruce,Q873,DSNAME260,Personal (Name Authority),George Bruce,Q2757147
"George Brudenell, 3rd Earl of Cardigan",Q17749,DSNAME2541,Personal (Name Authority),"George Brudenell, 3rd Earl of Cardigan",Q5537353
George C. Thomas,Q1691,DSNAME527,Personal (Name Authority),George C. Thomas,Q76520101
George Cavendish,Q40417,DSNAME3972,Personal (Name Authority),George Cavendish,Q1226237
George Chalmers,Q40424,DSNAME3979,Personal (Name Authority),George Chalmers,Q320810
George D. Smith,Q886,DSNAME273,Personal (Name Authority),George D. Smith,Q116594130
George Dawson Coleman,Q20130,DSNAME2811,Personal (Name Authority),George Dawson Coleman,Q122873297
George Dunn,Q1572,DSNAME1990,Personal (Name Authority),George Dunn,Q112841325
George F. Leighton,Q20131,DSNAME2812,Personal (Name Authority),George F. Leighton,Q122873489
George G. Napier,Q41317,DSNAME4872,Personal (Name Authority),George G. Napier,Q124618060
George Goyder,Q7292,DSNAME1351,Personal (Name Authority),George Goyder,Q5539842
George Herbert Palmer,Q41390,DSNAME4945,Personal (Name Authority),George Herbert Palmer,Q5540531
"George Herbert, 4th Earl of Powis",Q41503,DSNAME5058,Personal (Name Authority),"George Herbert, 4th Earl of Powis",Q5540512
George Hermonymus,Q40727,DSNAME4282,Personal (Name Authority),George Hermonymus,Q3077328
George Isted,Q42182,DSNAME5709,Personal (Name Authority),George Isted,Q21166564
"George Leveson-Gower, 1st Duke of Sutherland",Q20107,DSNAME2787,Personal (Name Authority),"George Leveson-Gower, 1st Duke of Sutherland",Q332722
George Livermore,Q20088,DSNAME2767,Personal (Name Authority),George Livermore,Q16065893
George M. Millard,Q41265,DSNAME4820,Personal (Name Authority),George M. Millard,Q124380427
George Martinuzzi,Q4392,DSNAME1028,Personal (Name Authority),George Martinuzzi,Q524402
George Mason,Q41220,DSNAME4775,Personal (Name Authority),George Mason,Q18671316
George N. Olcott,Q1540,DSNAME376,Personal (Name Authority),George N. Olcott,Q18912535
George Offor,Q40728,DSNAME4283,Personal (Name Authority),George Offor,Q5543005
George P. Bickford,Q28351,DSNAME3567,Personal (Name Authority),George P. Bickford,Q124252825
"George Parker, 2nd Earl of Macclesfield",Q3278,DSNAME877,Personal (Name Authority),"George Parker, 2nd Earl of Macclesfield",Q335725
George Ripley,Q41581,DSNAME5136,Personal (Name Authority),George Ripley,Q631738
George Robert White,Q40730,DSNAME4285,Personal (Name Authority),George Robert White,Q5543940
George Rowland Holt Wilson,Q41869,DSNAME5424,Personal (Name Authority),George Rowland Holt Wilson,Q124566977
George Sidney Hellman,Q40857,DSNAME4412,Personal (Name Authority),George Sidney Hellman,Q59628926
"George Spencer, 2nd Earl Spencer",Q41703,DSNAME5258,Personal (Name Authority),"George Spencer, 2nd Earl Spencer",Q332521
"George Spencer-Churchill, 5th Duke of Marlborough",Q8427,DSNAME1712,Personal (Name Authority),"George Spencer-Churchill, 5th Duke of Marlborough",Q333347
George T. Delacorte Jr.,Q28002,DSNAME3218,Personal (Name Authority),George T. Delacorte Jr.,Q615982
George Templeton Strong,Q7635,DSNAME1474,Personal (Name Authority),George Templeton Strong,Q339946
George Treherne,Q17748,DSNAME2540,Personal (Name Authority),George Treherne,Q19325841
"George Venables-Vernon, 5th Baron Vernon",Q856,DSNAME252,Personal (Name Authority),"George Venables-Vernon, 5th Baron Vernon",Q5545476
George W. Fitzwilliam,Q20104,DSNAME2784,Personal (Name Authority),George W. Fitzwilliam,Q114242437
George Watson-Taylor,Q1821,DSNAME586,Personal (Name Authority),George Watson-Taylor,Q16741855
George Weymouth,Q41842,DSNAME5397,Personal (Name Authority),George Weymouth,Q433305
George de Esclavonie,Q40494,DSNAME4049,Personal (Name Authority),George de Esclavonie,Q23721072
George of Trebizond,Q40729,DSNAME4284,Personal (Name Authority),George of Trebizond,Q533514
Georges Chastellain,Q7938,DSNAME1576,Personal (Name Authority),Georges Chastellain,Q957427
Georges Gendreau,Q7059,DSNAME1311,Personal (Name Authority),Georges Gendreau,Q116328168
Georges d'Amboise,Q40136,DSNAME3691,Personal (Name Authority),Georges d'Amboise,Q729743
Georgius Ruch,Q41605,DSNAME5160,Personal (Name Authority),Georgius Ruch,Q124566932
Georgius Rudolpus a Fridenreich,Q17715,DSNAME2506,Personal (Name Authority),Georgius Rudolpus a Fridenreich,Q114242475
Gerald Ephraim Hart,Q20079,DSNAME2758,Personal (Name Authority),Gerald Ephraim Hart,Q113864115
Gerallus,Q8402,DSNAME1687,Personal (Name Authority),Gerallus,Q116328666
Gerard Meerman,Q7603,DSNAME1442,Personal (Name Authority),Gerard Meerman,Q15392399
"Gerard Wallop, 9th Earl of Portsmouth",Q27864,DSNAME3075,Personal (Name Authority),"Gerard Wallop, 9th Earl of Portsmouth",Q5550189
Gerard Zerbolt of Zutphen,Q40734,DSNAME4289,Personal (Name Authority),Gerard Zerbolt of Zutphen,Q1510217
Gerard de Vismé,Q16497,DSNAME2189,Personal (Name Authority),Gerard de Vismé,Q75282480
Gerard of Abbeville,Q40732,DSNAME4287,Personal (Name Authority),Gerard of Abbeville,Q3124396
Gerard of Cremona,Q40733,DSNAME4288,Personal (Name Authority),Gerard of Cremona,Q367240
Gerardus Leodiensis,Q42376,DSNAME5903,Personal (Name Authority),Gerardus Leodiensis,Q114857927
Gerardus de Bois,Q20178,DSNAME2861,Personal (Name Authority),Gerardus de Bois,Q122873462
Germain Brice,Q40736,DSNAME4291,Personal (Name Authority),Germain Brice,Q55909373
Germain de Brie,Q40342,DSNAME3897,Personal (Name Authority),Germain de Brie,Q1237141
Germanus Langen,Q41092,DSNAME4647,Personal (Name Authority),Germanus Langen,Q124566856
Gerolamo Michele,Q40738,DSNAME4293,Personal (Name Authority),Gerolamo Michele,Q117338264
Gervase Markham,Q40740,DSNAME4295,Personal (Name Authority),Gervase Markham,Q456590
Gervase of Tilbury,Q40739,DSNAME4294,Personal (Name Authority),Gervase of Tilbury,Q531883
Ghazzī,Q12487,DSNAME1957,Personal (Name Authority),Ghazzī,Q25454625
Ghaṭakarpara,Q28296,DSNAME3512,Personal (Name Authority),Ghaṭakarpara,Q124252846
Gherardo di Giovanni del Fora,Q20118,DSNAME2799,Personal (Name Authority),Gherardo di Giovanni del Fora,Q3104832
Ghilo di Francesco,Q8311,DSNAME1678,Personal (Name Authority),Ghilo di Francesco,Q116327741
Ghiyāth al-Dīn Manṣūr Dashtakī Shīrāzī,Q12268,DSNAME1738,Personal (Name Authority),Ghiyāth al-Dīn Manṣūr Dashtakī Shīrāzī,Q16050084
Ghiyāth al-Dīn Muḥammad Rustam ʻAlī,Q40743,DSNAME4298,Personal (Name Authority),Ghiyāth al-Dīn Muḥammad Rustam ʻAlī,Q124566810
Ghulām Muḥyī al-Dīn walad Muḥammad Akram,Q27941,DSNAME3155,Personal (Name Authority),Ghulām Muḥyī al-Dīn walad Muḥammad Akram,Q124130456
Giacinto della Torre,Q1547,DSNAME383,Personal (Name Authority),Giacinto della Torre,Q3105018
Giacobbe Marcaria,Q40507,DSNAME4062,Personal (Name Authority),Giacobbe Marcaria,Q116983082
Giacomo Antonio Marta,Q40970,DSNAME4525,Personal (Name Authority),Giacomo Antonio Marta,Q55849871
Giacomo Curlo,Q27886,DSNAME3099,Personal (Name Authority),Giacomo Curlo,Q88467297
Giacomo Filippo Foresti,Q20213,DSNAME2897,Personal (Name Authority),Giacomo Filippo Foresti,Q3805875
Giacomo Franco,Q40744,DSNAME4299,Personal (Name Authority),Giacomo Franco,Q3762105
Giacomo Manzoni,Q1815,DSNAME580,Personal (Name Authority),Giacomo Manzoni,Q17285107
Giacomo Michele,Q40745,DSNAME4300,Personal (Name Authority),Giacomo Michele,Q117321234
Giacomo Soranzo,Q7597,DSNAME1436,Personal (Name Authority),Giacomo Soranzo,Q110215161
Giacomo Tornieri,Q8419,DSNAME1704,Personal (Name Authority),Giacomo Tornieri,Q113804631
Giacomo Vallaresso,Q41803,DSNAME5358,Personal (Name Authority),Giacomo Vallaresso,Q124566967
Giambattista Marino,Q41203,DSNAME4758,Personal (Name Authority),Giambattista Marino,Q332489
Giampietro Campana,Q12810,DSNAME2001,Personal (Name Authority),Giampietro Campana,Q442379
Gian Francesco de Priolis,Q40747,DSNAME4302,Personal (Name Authority),Gian Francesco de Priolis,Q117321248
Gian Galeazzo Sforza,Q40748,DSNAME4303,Personal (Name Authority),Gian Galeazzo Sforza,Q314514
Giannalisa Feltrinelli,Q403,DSNAME130,Personal (Name Authority),Giannalisa Feltrinelli,Q95750251
Gianozzo Salviati,Q7312,DSNAME1371,Personal (Name Authority),Gianozzo Salviati,Q116576733
Gilbert Dethick,Q40526,DSNAME4081,Personal (Name Authority),Gilbert Dethick,Q5560882
Gilbert Ireland Blackburne,Q7289,DSNAME1348,Personal (Name Authority),Gilbert Ireland Blackburne,Q75971067
"Gilbert Talbot, 7th Earl of Shrewsbury",Q41663,DSNAME5218,Personal (Name Authority),"Gilbert Talbot, 7th Earl of Shrewsbury",Q80230
Gilbert de La Porrée,Q1591,DSNAME427,Personal (Name Authority),Gilbert de La Porrée,Q583119
Gilberte le Gualès de Mézaubran,Q16583,DSNAME2281,Personal (Name Authority),Gilberte le Gualès de Mézaubran,Q123274783
Giles of Assisi,Q40752,DSNAME4307,Personal (Name Authority),Giles of Assisi,Q981951
Giles of Rome,Q40080,DSNAME3635,Personal (Name Authority),Giles of Rome,Q380647
"Gilhofer & Ranschburg, Vienna",Q1828,DSNAME593,Corporate (Name Authority),"Gilhofer & Ranschburg, Vienna",Q1524334
"Gilhofer & Ranschburg. Lucerne, Suisse",Q16680,DSNAME2380,Corporate (Name Authority),"Gilhofer & Ranschburg. Lucerne, Suisse",Q60403581
Gilles Carlier,Q40079,DSNAME3634,Personal (Name Authority),Gilles Carlier,Q115217720
Gilles Le Bouvier,Q40753,DSNAME4308,Personal (Name Authority),Gilles Le Bouvier,Q4085162
Gilles de Paris,Q40081,DSNAME3636,Personal (Name Authority),Gilles de Paris,Q5355
Gioacchino di Giovanni,Q402,DSNAME129,Personal (Name Authority),Gioacchino di Giovanni,Q20830652
Giordano Bruno,Q40362,DSNAME3917,Personal (Name Authority),Giordano Bruno,Q36330
Giordano Ruffo,Q6130,DSNAME1251,Personal (Name Authority),Giordano Ruffo,Q3106874
Giorgio Cornelio,Q40468,DSNAME4023,Personal (Name Authority),Giorgio Cornelio,Q124566767
Giorgio Valla,Q40754,DSNAME4309,Personal (Name Authority),Giorgio Valla,Q1525570
Giorgio d'Alemagna,Q1103,DSNAME301,Personal (Name Authority),Giorgio d'Alemagna,Q3106916
Giovan Battista Aleotti,Q40114,DSNAME3669,Personal (Name Authority),Giovan Battista Aleotti,Q1525800
Giovan Battista Bracciolini,Q6132,DSNAME1253,Personal (Name Authority),Giovan Battista Bracciolini,Q3766057
Giovan Pietro Arrivabene,Q1634,DSNAME470,Personal (Name Authority),Giovan Pietro Arrivabene,Q3762550
Giovan Theseo de Nardi Galatheo,Q7309,DSNAME1368,Personal (Name Authority),Giovan Theseo de Nardi Galatheo,Q116486782
Giovanni Alessandro Brambilla,Q40334,DSNAME3889,Personal (Name Authority),Giovanni Alessandro Brambilla,Q142120
Giovanni Angelo Altemps,Q3181,DSNAME780,Personal (Name Authority),Giovanni Angelo Altemps,Q55225064
Giovanni Antonio Campani,Q40386,DSNAME3941,Personal (Name Authority),Giovanni Antonio Campani,Q5563673
Giovanni Antonio Contarini,Q40756,DSNAME4311,Personal (Name Authority),Giovanni Antonio Contarini,Q117324100
Giovanni Antonio Flaminio,Q40757,DSNAME4312,Personal (Name Authority),Giovanni Antonio Flaminio,Q17284944
Giovanni Aurelio Augurello,Q40196,DSNAME3751,Personal (Name Authority),Giovanni Aurelio Augurello,Q2020328
Giovanni Baldovinetti,Q7347,DSNAME1408,Personal (Name Authority),Giovanni Baldovinetti,Q116065836
Giovanni Batista Bini,Q40292,DSNAME3847,Personal (Name Authority),Giovanni Batista Bini,Q124566729
Giovanni Battista Abbati,Q40064,DSNAME3619,Personal (Name Authority),Giovanni Battista Abbati,Q110914659
Giovanni Battista Giovio,Q40765,DSNAME4320,Personal (Name Authority),Giovanni Battista Giovio,Q45189682
Giovanni Battista Guarini,Q6145,DSNAME1266,Personal (Name Authority),Giovanni Battista Guarini,Q542039
Giovanni Battista Rota,Q41602,DSNAME5157,Personal (Name Authority),Giovanni Battista Rota,Q15695541
Giovanni Battista Zuccato,Q5143,DSNAME1151,Personal (Name Authority),Giovanni Battista Zuccato,Q23622004
Giovanni Battista Zucchetta,Q40758,DSNAME4313,Personal (Name Authority),Giovanni Battista Zucchetta,Q41618873
Giovanni Battista de Cavalletto,Q1879,DSNAME644,Personal (Name Authority),Giovanni Battista de Cavalletto,Q98431860
Giovanni Boccaccio,Q418,DSNAME145,Personal (Name Authority),Giovanni Boccaccio,Q1402
Giovanni Boccardi,Q16615,DSNAME2314,Personal (Name Authority),Giovanni Boccardi,Q3766845
Giovanni Calderia,Q40381,DSNAME3936,Personal (Name Authority),Giovanni Calderia,Q112416893
Giovanni Calderini,Q41003,DSNAME4558,Personal (Name Authority),Giovanni Calderini,Q17279931
Giovanni Colonna,Q1849,DSNAME614,Personal (Name Authority),Giovanni Colonna,Q1402326
Giovanni Contino,Q40762,DSNAME4317,Personal (Name Authority),Giovanni Contino,Q20100441
Giovanni Domenico Marchesi,Q7345,DSNAME1405,Personal (Name Authority),Giovanni Domenico Marchesi,Q116250221
Giovanni Dominico Fabbris,Q40623,DSNAME4178,Personal (Name Authority),Giovanni Dominico Fabbris,Q124566794
Giovanni Grassi,Q41011,DSNAME4566,Personal (Name Authority),Giovanni Grassi,Q41569872
Giovanni Guidiccioni,Q40811,DSNAME4366,Personal (Name Authority),Giovanni Guidiccioni,Q3767458
Giovanni II Cornaro,Q7335,DSNAME1395,Personal (Name Authority),Giovanni II Cornaro,Q1226634
Giovanni Maria Cecchi,Q40419,DSNAME3974,Personal (Name Authority),Giovanni Maria Cecchi,Q426305
Giovanni Marliani,Q42183,DSNAME5710,Personal (Name Authority),Giovanni Marliani,Q125930801
Giovanni Marrasio,Q41207,DSNAME4762,Personal (Name Authority),Giovanni Marrasio,Q99308713
Giovanni Mattia Tabarino,Q41787,DSNAME5342,Personal (Name Authority),Giovanni Mattia Tabarino,Q100153512
Giovanni Onorio,Q41183,DSNAME4738,Personal (Name Authority),Giovanni Onorio,Q113795868
Giovanni Pascuzzi,Q40764,DSNAME4319,Personal (Name Authority),Giovanni Pascuzzi,Q112524856
Giovanni Perissinotti,Q41437,DSNAME4992,Personal (Name Authority),Giovanni Perissinotti,Q116809679
Giovanni Piccolomini,Q8107,DSNAME1616,Personal (Name Authority),Giovanni Piccolomini,Q940630
Giovanni Pico della Mirandola,Q41476,DSNAME5031,Personal (Name Authority),Giovanni Pico della Mirandola,Q182128
Giovanni Pietro Birago,Q16521,DSNAME2741,Personal (Name Authority),Giovanni Pietro Birago,Q1901175
Giovanni Pietro Visconti,Q1872,DSNAME637,Personal (Name Authority),Giovanni Pietro Visconti,Q116811697
Giovanni Pietro da Cemmo,Q7909,DSNAME1544,Personal (Name Authority),Giovanni Pietro da Cemmo,Q3107315
Giovanni Poggio,Q8219,DSNAME1650,Personal (Name Authority),Giovanni Poggio,Q383691
Giovanni Saibante,Q41617,DSNAME5172,Personal (Name Authority),Giovanni Saibante,Q114438164
Giovanni Saibanti,Q16671,DSNAME2370,Personal (Name Authority),Giovanni Saibanti,Q123274810
Giovanni Sforza,Q41650,DSNAME5205,Personal (Name Authority),Giovanni Sforza,Q1379775
Giovanni Stafileo,Q8223,DSNAME1654,Personal (Name Authority),Giovanni Stafileo,Q12633264
Giovanni Stefano Emiliano,Q41548,DSNAME5103,Personal (Name Authority),Giovanni Stefano Emiliano,Q59357483
Giovanni Sulpizio da Veroli,Q41729,DSNAME5284,Personal (Name Authority),Giovanni Sulpizio da Veroli,Q5563993
Giovanni Villani,Q41820,DSNAME5375,Personal (Name Authority),Giovanni Villani,Q704179
Giovanni Vitale,Q41826,DSNAME5381,Personal (Name Authority),Giovanni Vitale,Q124566972
Giovanni d'Andrea,Q16496,DSNAME2823,Personal (Name Authority),Giovanni d'Andrea,Q920858
Giovanni d'Andrea di Nanni Todeschini Piccolomini,Q5114,DSNAME1121,Personal (Name Authority),Giovanni d'Andrea di Nanni Todeschini Piccolomini,Q116520425
Giovanni da Bologna,Q7907,DSNAME1542,Personal (Name Authority),Giovanni da Bologna,Q116073956
Giovanni da Nola,Q5118,DSNAME1125,Personal (Name Authority),Giovanni da Nola,Q1352075
Giovanni da Udine,Q12911,DSNAME2103,Personal (Name Authority),Giovanni da Udine,Q121133929
Giovanni da Udine,Q40759,DSNAME4314,Personal (Name Authority),Giovanni da Udine,Q983350
Giovanni dalle Celle,Q40760,DSNAME4315,Personal (Name Authority),Giovanni dalle Celle,Q3768451
Giovanni de Marco,Q16683,DSNAME2383,Personal (Name Authority),Giovanni de Marco,Q123274751
Giovanni de' Gigli,Q40750,DSNAME4305,Personal (Name Authority),Giovanni de' Gigli,Q5564024
Giovanni del Virgilio,Q40761,DSNAME4316,Personal (Name Authority),Giovanni del Virgilio,Q3107533
Giovanni di Fazio Piccolomini,Q8203,DSNAME1634,Personal (Name Authority),Giovanni di Fazio Piccolomini,Q116520516
Giovanni di Piero da Stia,Q40763,DSNAME4318,Personal (Name Authority),Giovanni di Piero da Stia,Q124566812
Giovanni di Urbano Piccolomini del Testa,Q8213,DSNAME1644,Personal (Name Authority),Giovanni di Urbano Piccolomini del Testa,Q116619969
Girard Dupeireux,Q3243,DSNAME842,Personal (Name Authority),Girard Dupeireux,Q116325999
Giridharaprapanna,Q28234,DSNAME3450,Personal (Name Authority),Giridharaprapanna,Q124252847
Girolamo Amelonghi,Q40139,DSNAME3694,Personal (Name Authority),Girolamo Amelonghi,Q3768889
Girolamo Angeriano,Q7898,DSNAME1533,Personal (Name Authority),Girolamo Angeriano,Q3768890
Girolamo Benivieni,Q40267,DSNAME3822,Personal (Name Authority),Girolamo Benivieni,Q328117
Girolamo Bologni,Q40737,DSNAME4292,Personal (Name Authority),Girolamo Bologni,Q29375850
Girolamo Cardina,Q41510,DSNAME5065,Personal (Name Authority),Girolamo Cardina,Q116809685
Girolamo Ghinucci,Q40742,DSNAME4297,Personal (Name Authority),Girolamo Ghinucci,Q2261543
Girolamo Maggi,Q41181,DSNAME4736,Personal (Name Authority),Girolamo Maggi,Q5564769
Girolamo Morlini,Q41288,DSNAME4843,Personal (Name Authority),Girolamo Morlini,Q19862426
Girolamo Piccolomini,Q8099,DSNAME1608,Personal (Name Authority),Girolamo Piccolomini,Q25209239
Girolamo Savonarola,Q40768,DSNAME4323,Personal (Name Authority),Girolamo Savonarola,Q164823
Girolamo Soranzo,Q41690,DSNAME5245,Personal (Name Authority),Girolamo Soranzo,Q87124083
Girolamo da Cremona,Q40767,DSNAME4322,Personal (Name Authority),Girolamo da Cremona,Q2485838
Girolamo da la Motta,Q16682,DSNAME2382,Personal (Name Authority),Girolamo da la Motta,Q123274766
Girolamo dai Libri,Q20220,DSNAME2904,Personal (Name Authority),Girolamo dai Libri,Q1440424
Girolamo di Domenico Vanni,Q5507,DSNAME1180,Personal (Name Authority),Girolamo di Domenico Vanni,Q116647382
Girolamo di Papino,Q7038,DSNAME1290,Personal (Name Authority),Girolamo di Papino,Q116486992
Gisberto Orlandi,Q7316,DSNAME1375,Personal (Name Authority),Gisberto Orlandi,Q116486972
Giuliano Attilio Piovano,Q5138,DSNAME1146,Personal (Name Authority),Giuliano Attilio Piovano,Q116525749
Giuliano d'Antonio da Prato,Q1945,DSNAME710,Personal (Name Authority),Giuliano d'Antonio da Prato,Q117448251
Giulio Antonio Acquaviva,Q1826,DSNAME591,Personal (Name Authority),Giulio Antonio Acquaviva,Q2317813
Giulio Cesare Tellani,Q41747,DSNAME5302,Personal (Name Authority),Giulio Cesare Tellani,Q124566960
Giulio Clovio,Q40450,DSNAME4005,Personal (Name Authority),Giulio Clovio,Q281219
