title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label
Index rerum et materium in libris Statutorum et Ordinum civitatis Venetiarum contentarum,,,,Legal index
John with Glossa ordinaria,,Bible.,,"Glossed Bible, John"
Kaishihen /,解屍編 /,,,Kaishihen
Kanjin ronsho,"觀心論疏,",,,Kanjin ronsho
Kaun kuyō giki /,火un供養儀軌 /,Tripiṭaka.,,Tripiṭaka
Kirishitan shūmon sensaku aratamechō,切支丹宗門穿鑿改帳　:,,,Kirishitan shūmon sensaku aratamechō
Kōryō satsuyō,口料撮要.,,,Kōryō satsuyō
Kōsan maka han'nya haramitsu Sanmaibon no yo kan jū Kōsangyō kanbon dai jūshichi /,光讃摩訶般若波羅蜜三昧品之餘卷十光讃経観品第十七 /,Tripiṭaka.,,Tripiṭaka
Lectionary,,,,Lectionary
Legal document,,,,Legal documents
Letter,,,,Letter
Letter signed,,,,Letter
Letter with monastic connections,,,,Letter
Li dai Tong jian zuan yao,歷代通鑑纂要 :,,,Li dai Tong jian zuan yao
Li dai xun li zhuan,歷代循吏傳:,,,Li dai xun li zhuan
Liang yuan yu gao shi ji,梁園寓藁詩集 :,Poems.,,Poems
Lin'an ji /,臨安集 /,,,Lin'an ji
Lou ju za zhu,樓居雜著 ;,,,Lou ju za zhu
Luke with Glossa ordinaria,,Bible.,,"Glossed Bible, Luke"
Majmūʻah-i nāyāb,مجموعۀ ناياب,,,Majmūʻah-i nāyāb
Man'yōshū chōka tanka no setsu,萬葉集長歌短歌之說,,,Man'yōshū chōka tanka no setsu
Matthew with Glossa ordinaria,,Bible.,,"Glossed Bible, Matthew"
Mi'an ji,密庵集 :,,,Mi'an ji
Miscellany,,,,Miscellany
Nansŏrhŏn chip,"蘭雪軒 集,",,,Nansŏrhŏn chip
"New Testament. Gospel of St. Matthew and a bilingual Greek/Coptic text, Doxology V 1-39",,Bible.,,"Bible, New Testament"
"Old Testament. Ezekiel, xix.12-xxxix.29",,Bible.,,"Bible, Ezekiel"
Ordinances,,,,Ordinances
P'aemunjae yŏngmul sisŏn,佩文齋 詠物 詩選.,Pei wen zhai yong wu shi xuan.,佩文齋 詠物 詩選.,Pei wen zhai yong wu shi xuan
Pan'gu ji,盘古集 :,,,Pan'gu ji
Pentateuch in the Syro-Hexapla version,,Bible.,,Bible
Practica geometriae,,,,Geometry text
Prayers and Qur'ānic verses,,,,Prayers and Qur'ānic verses
Psalter,,,,Psalter
Psalter and Litany,,,,Psalter and Litany
"Psalter with canticles, Latin and Middle English",,Bible.,,Psalter
Pu'an ji,蒲菴集 :,Selections.,,Selections
Pulinsidun da xue Dong Ya tu shu guan cang Dunhuang Tulufan wen xian,普林斯頓大學東亞圖書館藏敦煌吐魯番文獻.,,,Dunhuang Tulufan wen xian
Qianlong 47 nian chu ru yin qian liu shui zhang,乾隆肆拾柒年出入銀錢流水帳.,,,Qianlong 47 nian chu ru yin qian liu shui zhang
Qin ding Rehe zhi,欽定熱河志 :,,,Qin ding Rehe zhi
Quan shi ji,全室集 :,,,Quan shi ji
Raihei Kanshi shashin /,来聘韓使写真 /,,,Raihei Kanshi shashin
Receipt for the brewing tax (ζυτηρά),,,,Tax receipt
Rosarium Theologiae,,,,Rosarium Theologiae
Sangoku tsūran yochi rotei zenzu /,三国 通覧 輿地 路程 全図 /,,,Sangoku tsūran yochi rotei zenzu
Seiyakuchō hi,製薬帳秘.,,,Seiyakuchō hi
Sermones,,,,Sermons
Sermones Dominicales,,,,Sermons
Shaowei Tong jian jie yao,少微通鑑節要 :,,,Shaowei Tong jian jie yao
Shi qi shi xiang jie,十七史詳節 :,,,Shi qi shi xiang jie
Shinkyū hiden no maki,鍼灸秘伝卷.,,,Shinkyū hiden no maki
Shokihō,諸氣方.,,,Shokihō
Shokoku kinginzan shikiguchi yotsudome narabini shokoya shodōgu naigai no zu,諸国金銀山鋪口四ツ留並諸小屋諸道具内外之図.,,,Shokoku kinginzan shikiguchi yotsudome narabini shokoya shodōgu naigai no zu
Shūjibun abidon,衆事分阿毗曇.,Tripiṭaka.,,Tripiṭaka
Song ren shi you jing hua,宋人詩囿精華 :,,,Song ren shi you jing hua
"Statuta Mantuae ad annum 1404, libri II",,,,Statutes
Statuta et regesta Collis Scipionis,,,,Statutes
Statutes of the Realm,,,,Statutes
Tabula kalendarii,,,,Kalendar
Taibai yuan gao,太白原藁 :,Works.,,Works
Taisoku hassen shinsūhyō,大測八線真數表 :,,,Taisoku hassen shinsūhyō
Tansŏ chinam,丹書 指南 :,,,Tansŏ chinam
Tanzhai Liu xian sheng wen ji,坦齋劉先生文集 :,,,Tanzhai Liu xian sheng wen ji
Taoxuzi shi ji,逃虛子詩集 :,Poems,,Poems
Tian ma shan fang yi gao /,天馬山房遺稿 /,Selections.,,Selections
Tianmu xian sheng ji,天目先生集 :,,,Tianmu xian sheng ji
Tiantai Lin Gongfu xian sheng wen ji,天台林公輔先生文集.,Selections.,,Selections
Tong dian,通典 :,,,Tong dian
Tōiki dentō mokuroku,東域傳燈目錄 :,,,Tōiki dentō mokuroku
Uma no sho,馬書 :,,,Uma no sho
Wang yun ji,望雲集 :,,,Wang yun ji
Will of Aethelgifu,,,,Will of Aethelgifu
Wu Wensu gong zhai gao,吳文肅公摘稿 :,,,Wu Wensu gong zhai gao
Xile xian sheng shi ji,畦樂先生詩集.,Poems.,,Poems
Xin kan Tang Jingchuan xian sheng bai bian,新刊唐荊川先生稗編 :,,,Xin kan Tang Jingchuan xian sheng bai bian
Xing qian ji,省愆集.,,,Xing qian ji
Xu zhou ji,虛舟集 :,Poems.,,Poems
Yang Zhongjie ji,楊忠介集 :,Works.,,Works
Yian wen xuan,頤庵文選 :,Selections.,,Selections
Yin Qiangzhai xian sheng wen ji,殷強齋先生文集 :,Selections.,,Selections
Yin qiao ji,蚓竅集 :,,,Yin qiao ji
Yōka sagen /,瘍科瑣言 /,,,Yōka sagen
Zeng ding Taibaishanren man gao,增定太白山人漫稿 :,,,Zeng ding Taibaishanren man gao
Zhenggu Xiao xian sheng ji,正固萧先生集.,Selections.,,Selections
Zhexuan ji,柘軒集 :,Works.,,Works
Zi yi ji /,自怡集 /,,,Zi yi ji
Zi zhi tong jian jie yao xu bian,資治通鑑節要續編 :,,,Zi zhi tong jian jie yao xu bian
Zōhyō monogatari,雜兵物語.,,,Zōhyō monogatari
al-Qurʾān,القرآن.,Qurʼan.,,Qur'an
