row_index,workflow_history,language_as_recorded,language_code,authorized_label_add,structured_value_add,authorized_label,structured_value
39,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-04T14:31:30.240171500Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-10-04T14:32:31.779024700Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-10-04T14:33:00.341363400Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-10-04T14:33:12.979715300Z",ger,ger,,,German,Q188
40,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-04T14:31:30.240171500Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-10-04T14:32:31.779024700Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-10-04T14:33:00.341363400Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-10-04T14:33:12.979715300Z",grc,grc,,,Ancient Greek,Q35497
41,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-04T14:31:30.240171500Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-10-04T14:32:31.779024700Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-10-04T14:33:00.341363400Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-10-04T14:33:12.979715300Z",gre,gre,,,Greek,Q9129
42,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-04T14:31:30.240171500Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-10-04T14:32:31.779024700Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-10-04T14:33:00.341363400Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-10-04T14:33:12.979715300Z",heb,heb,,,Hebrew,Q9288
43,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-04T14:31:30.240171500Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-10-04T14:32:31.779024700Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-10-04T14:33:00.341363400Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-10-04T14:33:12.979715300Z",ita,ita,,,Italian,Q652
44,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-04T14:31:30.240171500Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-10-04T14:32:31.779024700Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-10-04T14:33:00.341363400Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-10-04T14:33:12.979715300Z",jpn,jpn,Japanese,Q5287,,
45,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-04T14:31:30.240171500Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-10-04T14:32:31.779024700Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-10-04T14:33:00.341363400Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-10-04T14:33:12.979715300Z",kor,kor,Korean,Q9176,,
46,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-04T14:31:30.240171500Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-10-04T14:32:31.779024700Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-10-04T14:33:00.341363400Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-10-04T14:33:12.979715300Z",lat,lat,,,Latin,Q397
47,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-04T14:31:30.240171500Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-10-04T14:32:31.779024700Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-10-04T14:33:00.341363400Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-10-04T14:33:12.979715300Z",mul,mul,multiple languages,Q20923490,,
48,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-04T14:31:30.240171500Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-10-04T14:32:31.779024700Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-10-04T14:33:00.341363400Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-10-04T14:33:12.979715300Z",mul;grc;cop,mul;grc;cop,multiple languages;Ancient Greek;Coptic,Q20923490;Q35497;Q36155,,
49,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-04T14:31:30.240171500Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-10-04T14:32:31.779024700Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-10-04T14:33:00.341363400Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-10-04T14:33:12.979715300Z",ota,ota,,,Ottoman Turkish,Q36730
50,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-04T14:31:30.240171500Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-10-04T14:32:31.779024700Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-10-04T14:33:00.341363400Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-10-04T14:33:12.979715300Z",ota;ara,ota;ara,Ottoman Turkish;Arabic,Q36730;Q13955,,
51,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-04T14:31:30.240171500Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-10-04T14:32:31.779024700Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-10-04T14:33:00.341363400Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-10-04T14:33:12.979715300Z",spa,spa,,,Spanish,Q1321
52,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-04T14:31:30.240171500Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-10-04T14:32:31.779024700Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-10-04T14:33:00.341363400Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-10-04T14:33:12.979715300Z",syr,syr,Syriac,Q33538,,
53,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-04T14:31:30.240171500Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-10-04T14:32:31.779024700Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-10-04T14:33:00.341363400Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-10-04T14:33:12.979715300Z",und,und,,,undetermined language,Q22282914
