row_index,workflow_history,name_as_recorded,role,name_agr,source_authority_uri,authorized_label_add,instance_of_add,structured_value_add,instance_of,authorized_label,structured_value
11,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-03T16:51:02.284464Z | NAME RECON STEP 3: START HUMAN RECON 2023-10-03T16:55:29.576767Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-10-03T16:55:29.594557Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-10-03T17:08:02.731002Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-10-03T17:08:49.089786Z | NAME RECON STEP 6: START ORG RECON 2023-10-10T19:16:25.186661Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-10-10T19:16:25.225649Z | NAME RECON STEP 9: FINALIZED 2023-10-10T19:32:17.835449Z","Broullin, Guillemme",former owner,,,Guillemme Broullin,human,Q123005770,,,
12,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-03T16:51:02.284471Z | NAME RECON STEP 3: START HUMAN RECON 2023-10-03T16:55:29.576771Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-10-03T16:55:29.594560Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-10-03T17:08:02.731008Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-10-03T17:08:49.089791Z | NAME RECON STEP 6: START ORG RECON 2023-10-10T19:16:25.186690Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-10-10T19:16:25.225662Z | NAME RECON STEP 9: FINALIZED 2023-10-10T19:32:17.835455Z",Catholic Church,author,,http://id.loc.gov/authorities/names/n79041716,,,,organization,Catholic Church,Q9592
13,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-03T16:51:02.284474Z | NAME RECON STEP 3: START HUMAN RECON 2023-10-03T16:55:29.576774Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-10-03T16:55:29.594563Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-10-03T17:08:02.731022Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-10-03T17:08:49.089800Z | NAME RECON STEP 6: START ORG RECON 2023-10-10T19:16:25.186718Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-10-10T19:16:25.225676Z | NAME RECON STEP 9: FINALIZED 2023-10-10T19:32:17.835470Z",Catholic Church. Pope (1417-1431 : Martin V),author,,http://id.loc.gov/authorities/names/nr93004368,Martin V,human,Q169612,,,
14,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-03T16:51:02.284478Z | NAME RECON STEP 3: START HUMAN RECON 2023-10-03T16:55:29.576778Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-10-03T16:55:29.594568Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-10-03T17:08:02.731027Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-10-03T17:08:49.089811Z | NAME RECON STEP 6: START ORG RECON 2023-10-10T19:16:25.186753Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-10-10T19:16:25.225693Z | NAME RECON STEP 9: FINALIZED 2023-10-10T19:32:17.835477Z","Charles VIII, King of France, 1470-1498",author,,http://id.loc.gov/authorities/names/n82158482,,,,human,Charles VIII of France,Q134452
15,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-03T16:51:02.284487Z | NAME RECON STEP 3: START HUMAN RECON 2023-10-03T16:55:29.576787Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-10-03T16:55:29.594570Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-10-03T17:08:02.731033Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-10-03T17:08:49.090645Z | NAME RECON STEP 6: START ORG RECON 2023-10-10T19:16:25.186859Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-10-10T19:16:25.225756Z | NAME RECON STEP 9: FINALIZED 2023-10-10T19:32:17.835483Z","Chen, Renxi, 1581-1636",author,"陳仁錫, 1581-1636",http://id.loc.gov/authorities/names/n84040073,Chen Renxi,human,Q15909844,,,
16,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-03T16:51:02.284490Z | NAME RECON STEP 3: START HUMAN RECON 2023-10-03T16:55:29.576790Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-10-03T16:55:29.594573Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-10-03T17:08:02.731045Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-10-03T17:08:49.090657Z | NAME RECON STEP 6: START ORG RECON 2023-10-10T19:16:25.186920Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-10-10T19:16:25.225781Z | NAME RECON STEP 9: FINALIZED 2023-10-10T19:32:17.835492Z","Chŏng, Ryŏm, 1506-1549",author,"정 렴, 1506-1549",http://id.loc.gov/authorities/names/nr96012493,Ryŏm Chŏng,human,Q122949198,,,
17,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-03T16:51:02.284494Z | NAME RECON STEP 3: START HUMAN RECON 2023-10-03T16:55:29.576796Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-10-03T16:55:29.594655Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-10-03T17:08:02.731051Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-10-03T17:08:49.090663Z | NAME RECON STEP 6: START ORG RECON 2023-10-10T19:16:25.186937Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-10-10T19:16:25.225794Z | NAME RECON STEP 9: FINALIZED 2023-10-10T19:32:17.835499Z",Chūjo Chōan,author,中條長庵,,Chūjo Chōan,human,Q123005780,,,
18,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-03T16:51:02.284503Z | NAME RECON STEP 3: START HUMAN RECON 2023-10-03T16:55:29.576801Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-10-03T16:55:29.594661Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-10-03T17:08:02.731057Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-10-03T17:08:49.090671Z | NAME RECON STEP 6: START ORG RECON 2023-10-10T19:16:25.186952Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-10-10T19:16:25.225806Z | NAME RECON STEP 9: FINALIZED 2023-10-10T19:32:17.835505Z","Derby, Mary, Countess of, 1667-1752",former owner,,,"Mary Stanley, Countess of Derby",human,Q66132658,,,
19,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-03T16:51:02.284506Z | NAME RECON STEP 3: START HUMAN RECON 2023-10-03T16:55:29.576804Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-10-03T16:55:29.594664Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-10-03T17:08:02.731068Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-10-03T17:08:49.090684Z | NAME RECON STEP 6: START ORG RECON 2023-10-10T19:16:25.186970Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-10-10T19:16:25.225822Z | NAME RECON STEP 9: FINALIZED 2023-10-10T19:32:17.835514Z","Du, You, 735-812",author,"杜佑, 735-812",http://id.loc.gov/authorities/names/n85094275,Du You,human,Q712372,,,
20,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-03T16:51:02.284509Z | NAME RECON STEP 3: START HUMAN RECON 2023-10-03T16:55:29.576808Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-10-03T16:55:29.594674Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-10-03T17:08:02.731077Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-10-03T17:08:49.090690Z | NAME RECON STEP 6: START ORG RECON 2023-10-10T19:16:25.186985Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-10-10T19:16:25.225834Z | NAME RECON STEP 9: FINALIZED 2023-10-10T19:32:17.835521Z","Eichō, 1014-1095",author,"永超, 1014-1095",,Eichō,human,Q122949257,,,
21,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-03T16:51:02.284514Z | NAME RECON STEP 3: START HUMAN RECON 2023-10-03T16:55:29.576840Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-10-03T16:55:29.594677Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-10-03T17:08:02.731091Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-10-03T17:08:49.090696Z | NAME RECON STEP 6: START ORG RECON 2023-10-10T19:16:25.186999Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-10-10T19:16:25.225846Z | NAME RECON STEP 9: FINALIZED 2023-10-10T19:32:17.835527Z","Ellis, John Henry, 1840-1912",former owner,,,John Henry Ellis,human,Q113819060,,,
22,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-03T16:51:02.284518Z | NAME RECON STEP 3: START HUMAN RECON 2023-10-03T16:55:29.576844Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-10-03T16:55:29.594679Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-10-03T17:08:02.731103Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-10-03T17:08:49.090712Z | NAME RECON STEP 6: START ORG RECON 2023-10-10T19:16:25.187021Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-10-10T19:16:25.225890Z | NAME RECON STEP 9: FINALIZED 2023-10-10T19:32:17.835536Z","Ellys, Richard, Sir, approximately 1674-1742",former owner,,http://id.loc.gov/authorities/names/n87916030,"Sir Richard Ellys, 3rd Baronet",human,Q7528571,,,
23,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-03T16:51:02.284521Z | NAME RECON STEP 3: START HUMAN RECON 2023-10-03T16:55:29.576848Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-10-03T16:55:29.594687Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-10-03T17:08:02.731108Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-10-03T17:08:49.090718Z | NAME RECON STEP 6: START ORG RECON 2023-10-10T19:16:25.187035Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-10-10T19:16:25.225903Z | NAME RECON STEP 9: FINALIZED 2023-10-10T19:32:17.835543Z","Ess, Leander van, 1772-1847",former owner,,http://id.loc.gov/authorities/names/no92013806,,,,human,Johann Heinrich van Ess,Q1810643
24,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-03T16:51:02.284527Z | NAME RECON STEP 3: START HUMAN RECON 2023-10-03T16:55:29.576853Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-10-03T16:55:29.594759Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-10-03T17:08:02.731117Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-10-03T17:08:49.090723Z | NAME RECON STEP 6: START ORG RECON 2023-10-10T19:16:25.187050Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-10-10T19:16:25.225916Z | NAME RECON STEP 9: FINALIZED 2023-10-10T19:32:17.835549Z","Eugene IV, Pope, 1383-1447",author,,http://id.loc.gov/authorities/names/n79068430,Eugene IV,human,Q167561,,,
25,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-03T16:51:02.284530Z | NAME RECON STEP 3: START HUMAN RECON 2023-10-03T16:55:29.576856Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-10-03T16:55:29.594764Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-10-03T17:08:02.731127Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-10-03T17:08:49.090745Z | NAME RECON STEP 6: START ORG RECON 2023-10-10T19:16:25.187067Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-10-10T19:16:25.225959Z | NAME RECON STEP 9: FINALIZED 2023-10-10T19:32:17.835561Z","Fan, Shouji, jin shi 1574",author,"范守己, jin shi 1574",http://id.loc.gov/authorities/names/n88177868,Fan Shouji,human,Q45624287,,,
26,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-03T16:51:02.284534Z | NAME RECON STEP 3: START HUMAN RECON 2023-10-03T16:55:29.576860Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-10-03T16:55:29.594770Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-10-03T17:08:02.731133Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-10-03T17:08:49.090752Z | NAME RECON STEP 6: START ORG RECON 2023-10-10T19:16:25.187081Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-10-10T19:16:25.225974Z | NAME RECON STEP 9: FINALIZED 2023-10-10T19:32:17.835567Z","Fibonacci, Leonardo, approximately 1170-approximately 1240",author,,http://id.loc.gov/authorities/names/n84804089,Fibonacci,human,Q8763,,,
27,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-03T16:51:02.284543Z | NAME RECON STEP 3: START HUMAN RECON 2023-10-03T16:55:29.576869Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-10-03T16:55:29.594773Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-10-03T17:08:02.731141Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-10-03T17:08:49.090757Z | NAME RECON STEP 6: START ORG RECON 2023-10-10T19:16:25.187095Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-10-10T19:16:25.225987Z | NAME RECON STEP 9: FINALIZED 2023-10-10T19:32:17.835573Z","Fujiwara, Sadaie, 1162-1241",author,"藤原定家, 1162-1241",http://id.loc.gov/authorities/names/n80010353,Fujiwara no Teika,human,Q378425,,,
28,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-03T16:51:02.284546Z | NAME RECON STEP 3: START HUMAN RECON 2023-10-03T16:55:29.576872Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-10-03T16:55:29.594776Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-10-03T17:08:02.731150Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-10-03T17:08:49.090773Z | NAME RECON STEP 6: START ORG RECON 2023-10-10T19:16:25.187113Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-10-10T19:16:25.226006Z | NAME RECON STEP 9: FINALIZED 2023-10-10T19:32:17.835583Z","Gao, Bing, 1350-1423",author,"高 ||, 1350-1423",http://id.loc.gov/authorities/names/n82245915,Gao Bing,human,Q5521582,,,
29,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-03T16:51:02.284550Z | NAME RECON STEP 3: START HUMAN RECON 2023-10-03T16:55:29.576878Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-10-03T16:55:29.594780Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-10-03T17:08:02.731158Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-10-03T17:08:49.090779Z | NAME RECON STEP 6: START ORG RECON 2023-10-10T19:16:25.187126Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-10-10T19:16:25.226018Z | NAME RECON STEP 9: FINALIZED 2023-10-10T19:32:17.835589Z","Gazeley, Robert",author,,,Robert Gazeley,human,Q123005796,,,
30,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-03T16:51:02.284564Z | NAME RECON STEP 3: START HUMAN RECON 2023-10-03T16:55:29.576883Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-10-03T16:55:29.594783Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-10-03T17:08:02.731167Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-10-03T17:08:49.090785Z | NAME RECON STEP 6: START ORG RECON 2023-10-10T19:16:25.187141Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-10-10T19:16:25.226031Z | NAME RECON STEP 9: FINALIZED 2023-10-10T19:32:17.835595Z","Giovanni, da Udine, -1366",author,,http://id.loc.gov/authorities/names/no94009278,Giovanni da Udine,human,Q121133929,,,
31,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-03T16:51:02.284568Z | NAME RECON STEP 3: START HUMAN RECON 2023-10-03T16:55:29.576886Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-10-03T16:55:29.594786Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-10-03T17:08:02.731176Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-10-03T17:08:49.090803Z | NAME RECON STEP 6: START ORG RECON 2023-10-10T19:16:25.187158Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-10-10T19:16:25.226047Z | NAME RECON STEP 9: FINALIZED 2023-10-10T19:32:17.835605Z","Gregory I, Pope, approximately 540-604",author,,http://id.loc.gov/authorities/names/n79056801,,,,human,Gregory I,Q42827
32,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-03T16:51:02.284571Z | NAME RECON STEP 3: START HUMAN RECON 2023-10-03T16:55:29.576890Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-10-03T16:55:29.594790Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-10-03T17:08:02.731181Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-10-03T17:08:49.091067Z | NAME RECON STEP 6: START ORG RECON 2023-10-10T19:16:25.187172Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-10-10T19:16:25.226059Z | NAME RECON STEP 9: FINALIZED 2023-10-10T19:32:17.835611Z","Guan, Shimin, 1338-1421",author,管時敏， 14th cent,http://id.loc.gov/authorities/names/n83214559,Guan Shimin,human,Q30086700,,,
33,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-03T16:51:02.284579Z | NAME RECON STEP 3: START HUMAN RECON 2023-10-03T16:55:29.576895Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-10-03T16:55:29.594793Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-10-03T17:08:02.731194Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-10-03T17:08:49.091074Z | NAME RECON STEP 6: START ORG RECON 2023-10-10T19:16:25.187187Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-10-10T19:16:25.226071Z | NAME RECON STEP 9: FINALIZED 2023-10-10T19:32:17.835617Z","Guanding, 561-632",author,"灌頂, 561-632",,Guanding,human,Q11598433,,,
