title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label_add,ds_qid_add,authorized_label,ds_qid
"Commentaries on Aristotle; on the Physica, De generatione et corruptione, De celo et mundo, De anima",,,,Commentary on Aristotle,Q3120,,
"Collection of documents from Abbaye Saint-Sulpice-en-Bugey, mostly relating to the foundation of Abbaye de Chassagne-en-Bresse",,,,,,Document,Q8301
Tractatus juris,,,,,,Legal text,Q8041
A collection of Italian lyric poetry; primarily Petrarch's Canzoniere,,,,,,Canzoniere,Q5956
Tessoro,,,,,,Tresor,Q6044
A collection of devotional tracts,,,,,,Devotional texts,Q5966
Dominici Capranici Card. Vita ad Card. Papien /,,,,,,Dominici Capranici Card,Q6032
Psalterium abreviatum; et varii tractatus,,,,Psalter,Q660,,
Regulae grammaticales,,,,,,Regulae,Q7812
De resuscitatione Christi,,,,,,De resuscitatione Christi,Q5970
"Vita del Re Alfonso d'Aragona, Re di Napoli",,,,,,Vita del Re Alfonso d'Aragona,Q5986
De notariis et tabellionibus,,,,,,De notariis et tabellionibus,Q6011
Villacucca cartulary,,,,,,Cartulary,Q3686
Epistolae /,,Epistles of Phalaris,,,,Letters of Phalaris,Q823
Sermones de mortuis secundum evangelia dominicalia /,,,,,,Sermons,Q1400
Opusculum de formandis epistolis (incomplete),,,,,,Opusculum de formandis epistolis,Q6026
Treatise on conveyancing,,,,,,Treatise on conveyancing,Q5969
Le livre de bonnes meurs /,,,,,,Le livre de bonnes meurs,Q6042
"Two treatises on the nobility by Werner Rolevinck and Jean Gerson, and selected passages from Poggio Bracciolini's Invectivae",,,,,,Treatises on the nobility;Invectivae,Q17568;Q5971
Sententiae /,,Sentences,,,,Sentences,Q1119
Liber beati Ysidori episcopi qui appelatur sumum bonum,,Sententiae,,,,Liber beati Ysidori episcopi,Q6004
Medical recipes,,,,,,Medical texts,Q817
Libro dil transito e de li dignissimi miracoli del glorioso e excelente doctore Misser Sancto Jeronimo,,,,,,Libro de li dignissimi miracoli,Q5988
Epistola beati Eusebii discipuli ... de morte gloriosissimi Jheronimi doctoris eximii,,,,,,Correspondence of Jerome,Q38383
"Divinae institutiones, incomplete /",,Divinae institutiones,,,,Divinae institutiones,Q5961
Tractatus super Cantica Canticorum. Expositio super Psalumum XXVIII,,,,,,Cantica canticorum,Q5487
Dieta salutis,,Diaeta salutis,,,,Dieta salutis,Q368
Collection of religious and theological treatises,,,,,,Religious texts;Theological texts,Q5037;Q822
La mistica theolozia dellamore divino,,Viae Sion Lugent,,,,La mistica theolozia dellamore divino,Q5992
Von Warsagen auss vil puechern in Kurtz begriffen,,,,,,Astrological text,Q20378
De vita tirannica /,,Hieron,,,,De vita tirannica,Q6039
Commentarium Biblicum,,,,,,Bible commentary,Q1433
Quid sit annus solaris,,,,,,Quid sit annus solaris,Q6048
Barzizza and other works,,,,,,Works,Q5989
Sermones,,,,,,Sermons,Q1400
Del risco cioe iÌƒmensa letitia de la gloriosa nostra donÌƒa: alma v[er]zene Maria. ComaÌƒdameÌƒte X [versified]. Articoli ... de la fide [versified,,,,Del risco cioe iÌƒmensa letitia,Q6057,,
Homilies on the Gospels by St Gregory the Great and commentaries on the passion of Christ by Herman Appeldorn,,,,,,Homilies,Q1246
Leaf from Kalendar for September-October,,Book of hours,,,,Book of hours,Q795
Arezzo Laude,,,,,,Arezzo laude,Q6006
Collection of biographies of illustrious men,,,,,,Biography,Q6002
Sportula fragmentorum /,,,,,,Sportula fragmentorum,Q6038
Capitoli e ordinamenti [1354,,,,Statutes,Q1320,,
Capitoli e ordinamenti [1422,,,,Statutes,Q1320,,
Sermones dominicales,,,,,,Sermons,Q1400
Lexicon (Manuscript Kenneth Spencer Research Library. MS D14),,Lexicon,,,,Lexicon,Q6005
Canon law collection,,,,,,Canon law text,Q1415
Epigrammata /,,Epigrammata,,,,Epigrammata,Q6045
Expositio beati Ambrosii archiepiscopi Mediolanensis civitatis super psalmum,,Expositio Psalmi CXVIII,,,,Expositio psalmi,Q5975
"Sermons of Barnardine Ochine of Sena ... [Christopher Hegendorff, and John Oecolampadius",,,,Sermons,Q1400,,
Expositio missae (Manuscript Kenneth Spencer Research Library. MS D34),,,,,,Expositio missae,Q6035
Cronaca di Venezia,,,,,,Cronaca di Venezia,Q5960
Liber meditationum sive orationum /,,,,,,Liber meditationum,Q6033
Tractatus optimus de arte bene moriendi,,,,,,De arte bene moriendi,Q5951
"Annuntiatio Sacri Jubilaei instantis anni centesimi, et declaratio quod prosequenda illius plenissima indulgentia a christifidelibus fieri debeat",,,,,,Annuntiatio sacri jubilaei,Q5949
"Gospel of Matthew, incomplete",,Bible,,,,Bible;Gospel of Matthew,Q661;Q1389
In canticum canticorum,,,,,,In canticum canticorum,Q5948
Protocol-book B.,,,,,,Protocols,Q6024
Sermones de sanctis,,,,,,Sermons,Q1400
Initiales literae ex liturgiae voluminibus depromptae caenobitarum curis calamo atque minio exornatae ad instaurandam Italam picturam priusquam torculi tiipografici exortae,,,,,,Liturgical text,Q10839
Epistulae ad lucilium,,Epistulae morales ad Lucilium,,,,Epistulae morales ad Lucilium,Q6025
Abridged Latin translation of the Nichomachean ethics and some commentaries on Aristotle,,,,,,Nicomachean ethics;Commentary on Aristotle,Q369;Q3120
Reisen durch das gelobte Land,,Itinerarium,,,,Itinerarium,Q1340
Itinerarium,,Itinerarium,,,,Itinerarium,Q1340
Cicero Rhetorica,,Rhetorica ad Herennium,,,,Rhetorica ad Herennium,Q816
Divinae institutiones; De ira Dei; De opificio Dei /,,Works,,Divine Institutes;On the Anger of God;De opificio Dei,Q5961;Q39940;Q39944,,
Bucolica; Georgica; Aeneis /,,Works,,Eclogues;Georgics;Aeneid,Q38376;Q5049;Q5978,,
"Lectionary, incomplete",,,,,,Lectionary,Q663
Opera omnia,,Works,,,,Works,Q5989
Hippiatria,,,,,,Hippiatria,Q5973
Super Matheum cum tabula in fine /,,,,,,Gospel of Matthew,Q1389
Historia destructionis Troiae and other works on the fall of Troy /,,Historia destructionis Troiae,,,,Historia destructionis Troiae,Q1430
Summarium totius Biblie distinctum per libros et capitula,,,,,,Bible,Q661
De contractibus mercatorum and other legal and theological texts /,,De contractibus mercatorum,,,,Legal texts;Theological texts,Q6030;Q822
Rule of St. Augustine /,,Regula,,,,Rule of Saint Augustine;Regula,Q5976;Q5997
Compendium [sensus litteralis totius] Sacrae Scripturae,,,,Compendium sensus litteralis totius Sacrae Scripturae,Q6054,,
Le anime de quelli defuncti liquali āno facti relicti alla Venerabile cōpagnia del Confalone de Roma,,,,,,Le anime de quelli defuncti,Q5979
Virgilii Aeneidos,,Aeneis,,,,Aeneid,Q5978
Liber excusationum in causis criminalibus,,,,,,Liber excusationum in causis criminalibus,Q3680
Notarial formulae,,,,,,Notarial formulae,Q6027
Priorista fiorentino dal 1282-1466,,,,,,Priorista fiorentino,Q6043
Aureli Augustini beatissimi de civitate Dei,,De civitate Dei (De Valle),,,,De civitate Dei,Q6047
Quaestionum canonisticarum collectio Aragonensis,,,,,,Quaestionum canonisticarum,Q5955
Steinhardt Antiphonary,,Antiphonary (Steinhardt),,,,Antiphonary,Q654
Antiphonari,,Antiphonary (Manuscript Kenneth Spencer Research Library. MS J4:1),,,,Antiphonary,Q654
Steinhardt Gradual,,,,,,Gradual,Q1121
Antiphonary,,Antiphonary (Manuscript Kenneth Spencer Research Library. MS J5:1),,,,Antiphonary,Q654
"Leaf from large choir-book beginning ""Jubilate Deo""",,,,,,Choir book,Q1449
Fragments written in alternate Hebrew and Aramaic,,Bible,,,,Fragment,Q20461
A Heu Glossary,,,,,,Glossary,Q1388
"Leaf containing Ecclesiastes xii, 16 to xvi, 22",,Bible,,,,Ecclesiastes,Q6052
Beneventan fragment 3. Apocrypha,,,,,,Apocrypha,Q6007
"Corpus juris civilis. Digesta. Digestum vetus. Prooemium, leaf 1",,,,,,Corpus Juris Civilis,Q5057
In Johannis Evangelium tractatus : homilies 51-52,,,,,,Gospel of John;Homilies,Q665;Q1246
Leaf containing the first Sunday after Pentecost,,Missal (Manuscript Kenneth Spencer Research Library. MS J6:3:A5),,,,Missal,Q662
A collection of uncatalogued leaves,,,,,,Leaves,Q6031
"Bible, N. T., Acts of the Apostles",,,,,,Bible;New Testament;Acts of the Apostles,Q661;Q655;Q6009
Moralia in Job,,,,,,Moralia in Job,Q863
