File,subject_as_recorded,vocab,subfield_codes,source_authority_uri,authorized_label_add,structured_value_add,ds_qid_add,authorized_label,structured_value,ds_qid
20260520-subjects-chicago-marc.csv,Great Britain--History,0,a--x,http://id.loc.gov/authorities/subjects/sh85056719,,,,Great Britain;History,http://id.worldcat.org/fast/1204623;http://id.worldcat.org/fast/958235,Q179;Q6879
20260520-subjects-chicago-marc.csv,Archery--Japan--16th century--Sources,0,a--z--y--v,,,,,Archery;Japan;Sixteenth century;Sources,http://id.worldcat.org/fast/813043;http://id.worldcat.org/fast/1204082;http://id.worldcat.org/fast/1119851;http://id.worldcat.org/fast/1423900,Q4895;Q12622;Q335;Q2769
20260520-subjects-chicago-marc.csv,Military art and science--Japan--16th century--Sources,0,a--z--y--v,,,,,Military art and science;Japan;Sixteenth century;Sources,http://id.worldcat.org/fast/1020874;http://id.worldcat.org/fast/1204082;http://id.worldcat.org/fast/1119851;http://id.worldcat.org/fast/1423900,Q171;Q12622;Q335;Q2769
20260520-subjects-chicago-marc.csv,Archery--Japan,0,a--z,,,,,Archery;Japan,http://id.worldcat.org/fast/813043;http://id.worldcat.org/fast/1204082,Q4895;Q12622
20260520-subjects-chicago-marc.csv,Military art and science--Japan,0,a--z,,,,,Military art and science;Japan,http://id.worldcat.org/fast/1020874;http://id.worldcat.org/fast/1204082,Q171;Q12622
20260520-subjects-chicago-marc.csv,Tir à l'arc--Japon,6,a--z,,,,,Archery;Japan,http://id.worldcat.org/fast/813043;http://id.worldcat.org/fast/1204082,Q4895;Q12622
20260520-subjects-chicago-marc.csv,Art et science militaires--Japon,6,a--z,,,,,Military art and science;Japan,http://id.worldcat.org/fast/1020874;http://id.worldcat.org/fast/1204082,Q171;Q12622
20260520-subjects-chicago-marc.csv,Tir à l'arc--Japon--16e siècle--Sources,6,a--z--y--v,,,,,Archery;Japan;Sixteenth century;Sources,http://id.worldcat.org/fast/813043;http://id.worldcat.org/fast/1204082;http://id.worldcat.org/fast/1119851;http://id.worldcat.org/fast/1423900,Q4895;Q12622;Q335;Q2769
20260520-subjects-chicago-marc.csv,Art et science militaires--Japon--16e siècle--Sources,6,a--z--y--v,,,,,Military art and science;Japan;Sixteenth century;Sources,http://id.worldcat.org/fast/1020874;http://id.worldcat.org/fast/1204082;http://id.worldcat.org/fast/1119851;http://id.worldcat.org/fast/1423900,Q171;Q12622;Q335;Q2769
20260520-subjects-chicago-marc.csv,Austria--History--Sources,0,a--x--v,,,,,Austria;History;Sources,http://id.worldcat.org/fast/1204901;http://id.worldcat.org/fast/958235;http://id.worldcat.org/fast/1423900,Q2798;Q6879;Q2769
