id,manuscript,groups,source_date,source_title,source_catalog_or_lot_number,institution,sale_selling_agent,sale_seller_or_holder,sale_buyer,sale_sold,sale_date,sale_price,titles,authors,dates,artists,scribes,languages,materials,places,uses,missing_authority_names,folios,num_columns,num_lines,height,width,alt_size,miniatures_fullpage,miniatures_large,miniatures_small,miniatures_unspec_size,initials_historiated,initials_decorated,manuscript_binding,manuscript_link,other_info,provenance,created_at,created_by,updated_at,updated_by,approved,deprecated,unverified_legacy_record,superceded_by_id,draft,coordinates
284088,"",Conception Abbey Linking - DS Catalog,2023-02-03,Digital Scriptorium Catalog Import,DS171,"","","","",,,"",Breviary (Breviary),"",s. XII (1100 to 1199);  1100-1199 (1100 to 1199),"","",Latin (Latin),Parchment (parchment),"Switzerland, Europe (Switzerland?)","",0,,,,,,,,,,,,,,,,"Stiftsbibliothek Engelberg (Brought from the library of Engelberg Abbey in Switzerland to Conception Abbey sometime before 1900.) [1900 ]; Conception Abbey (Conception, Mo.) (Conception Abbey and Seminary, CA 23) [ 2023-02-03	]",2025-02-10  3:04pm,lpc,2025-02-11  2:59pm,roseamcc,false,false,false,,false,"(47.0,8.0)"
284089,"",Conception Abbey Linking - DS Catalog,2023-02-03,Digital Scriptorium Catalog Import,DS172,"","","","",,,"",Breviary (Breviary),"",s. XIV (1300 to 1399);  1300-1399 (1300 to 1399),"","",Latin (Latin),Parchment (parchment),"Switzerland, Europe (Switzerland?)","",0,,,,,,,,,,,,,,,,"Stiftsbibliothek Engelberg (Brought from the library of Engelberg Abbey in Switzerland to Conception Abbey sometime before 1900.) [1900 ]; Conception Abbey (Conception, Mo.) (Conception Abbey and Seminary, CA 26) [ 2023-02-03	]",2025-02-10  3:04pm,lpc,2025-02-11  2:59pm,roseamcc,false,false,false,,false,"(47.0,8.0)"
284090,"",Conception Abbey Linking - DS Catalog,2023-02-03,Digital Scriptorium Catalog Import,DS173,"","","","",,,"",Missal (Missal),"",s. XV (1400 to 1499);  1400-1499 (1400 to 1499),"","",Latin (Latin),Parchment (parchment),"Switzerland, Europe (Switzerland?)","",0,,,,,,,,,,,,,,,,"Stiftsbibliothek Engelberg (Brought from the library of Engelberg Abbey in Switzerland to Conception Abbey sometime before 1900.) [1900 ]; Conception Abbey (Conception, Mo.) (Conception Abbey and Seminary, CA 28) [ 2023-02-03	]",2025-02-10  3:04pm,lpc,2025-02-11  3:00pm,roseamcc,false,false,false,,false,"(47.0,8.0)"
284091,"",Conception Abbey Linking - DS Catalog,2023-02-03,Digital Scriptorium Catalog Import,DS174,"","","","",,,"",Missal (Missal),"",s. XV (1400 to 1499);  1400-1499 (1400 to 1499),"","",Latin (Latin),Parchment (parchment),"Switzerland, Europe (Switzerland?)","",0,,,,,,,,,,,,,,,,"Stiftsbibliothek Engelberg (Brought from the library of Engelberg Abbey in Switzerland to Conception Abbey sometime before 1900.) [1900 ]; Conception Abbey (Conception, Mo.) (Conception Abbey and Seminary, CA 29) [ 2023-02-03	]",2025-02-10  3:04pm,lpc,2025-02-11  3:00pm,roseamcc,false,false,false,,false,"(47.0,8.0)"
284092,"",Conception Abbey Linking - DS Catalog,2023-02-03,Digital Scriptorium Catalog Import,DS175,"","","","",,,"",Missal (Missal),"",s. XIV (1300 to 1399);  1300-1399 (1300 to 1399),"","",Latin (Latin),Parchment (parchment),"Switzerland, Europe (Switzerland?)","",0,,,,,,,,,,,,,,,,"Stiftsbibliothek Engelberg (Brought from the library of Engelberg Abbey in Switzerland to Conception Abbey sometime before 1900.) [1900 ]; Conception Abbey (Conception, Mo.) (Conception Abbey and Seminary, CA 30) [ 2023-02-03	]",2025-02-10  3:04pm,lpc,2025-02-11  3:01pm,roseamcc,false,false,false,,false,"(47.0,8.0)"
284093,"",Conception Abbey Linking - DS Catalog,2023-02-03,Digital Scriptorium Catalog Import,DS176,"","","","",,,"",Missal (Missal),"",s. XV (1400 to 1499);  1400-1499 (1400 to 1499),"","",Latin (Latin),Parchment (parchment),"Switzerland, Europe (Switzerland?)","",0,,,,,,,,,,,,,,,,"Stiftsbibliothek Engelberg (Brought from the library of Engelberg Abbey in Switzerland to Conception Abbey sometime before 1900.) [1900 ]; Conception Abbey (Conception, Mo.) (Conception Abbey and Seminary, CA 31) [ 2023-02-03	]",2025-02-10  3:04pm,lpc,2025-02-11  3:02pm,roseamcc,false,false,false,,false,"(47.0,8.0)"
284094,"",Conception Abbey Linking - DS Catalog,2023-02-03,Digital Scriptorium Catalog Import,DS177,"","","","",,,"",Hymnary (Hymnal),"",s. XV (1400 to 1499);  1400-1499 (1400 to 1499),"","",Latin (Latin),Parchment (parchment),"Switzerland, Europe (Switzerland?)","",0,,,,,,,,,,,,,,,,"Humberd, Charles D., Dr. (Bequeathed to Conception Abbey by Dr. Charles D. Humberd of Barnard, Missouri.); Conception Abbey (Conception, Mo.) (Conception Abbey and Seminary, CA 33) [ 2023-02-03	]",2025-02-10  3:04pm,lpc,2025-02-11  3:02pm,roseamcc,false,false,false,,false,"(47.0,8.0)"
284095,"",Conception Abbey Linking - DS Catalog,2023-02-03,Digital Scriptorium Catalog Import,DS178,"","","","",,,"",De vita contemplativa (De vita contemplativa),"Pomerius, Julianus (Julianus Pomerius)",s. XV (1400 to 1499);  1400-1499 (1400 to 1499),"","",Latin (Latin),Paper (paper),"Italy, Europe (Italy)","",0,,,,,,,,,,,,,,,,"Humberd, Charles D., Dr. (Bequeathed to Conception Abbey by Dr. Charles D. Humberd of Barnard, Missouri.); Conception Abbey (Conception, Mo.) (Conception Abbey and Seminary, CA 34) [ 2023-02-03	]",2025-02-10  3:04pm,lpc,2025-02-11  3:03pm,roseamcc,false,false,false,,false,"(42.8333,12.8333)"
284096,"",Conception Abbey Linking - DS Catalog,2023-02-03,Digital Scriptorium Catalog Import,DS179,"","","","",,,"",Psalter (Psalter),"",s. XII (1100 to 1199);  1100-1199 (1100 to 1199),"","",Latin (Latin),Parchment (parchment),(?),"",0,,,,,,,,,,,,,,,,"Stiftsbibliothek Engelberg (Brought from the library of Engelberg Abbey in Switzerland to Conception Abbey sometime before 1900.) [1900 ]; Conception Abbey (Conception, Mo.) (Conception Abbey and Seminary, CA 03) [ 2023-02-03	]",2025-02-10  3:04pm,lpc,2025-02-11  3:04pm,roseamcc,false,false,false,,false,""
284097,"",Conception Abbey Linking - DS Catalog,2023-02-03,Digital Scriptorium Catalog Import,DS180,"","","","",,,"",Lectionary (Lectionary),"",s. IX/X (800 to 999);  890-910 (890 to 910),"","",Latin (Latin),Parchment (parchment),"Switzerland, Europe (Switzerland?)","",0,,,,,,,,,,,,,,,,"Stiftsbibliothek Engelberg (Brought from the library of Engelberg Abbey in Switzerland to Conception Abbey sometime before 1900.) [1900 ]; Conception Abbey (Conception, Mo.) (Conception Abbey and Seminary, CA 04) [ 2023-02-03	]",2025-02-10  3:04pm,lpc,2025-02-11  3:05pm,roseamcc,false,false,false,,false,"(47.0,8.0)"
