row_index,workflow_history,genre_as_recorded,vocabulary,source_authority_uri,structured_data
66,"GENRE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-05T12:15:14.449Z | GENRE RECON, STEP 3: START AAT RECON 2022-05-05T12:17:51.722Z | GENRE RECON, STEP 4: KNOWN AAT APPLIED 2022-05-05T12:19:11.833Z | GENRE RECON, STEP 5: AAT IDs ADDED 2022-05-05T12:21:23.574Z | GENRE FAST RECON, STEP 2: START FAST RECON 2022-05-05T13:41:06.750Z | GENRE FAST RECON, STEP 5: FAST IDs ADDED 2022-05-05T14:42:30.995Z | GENRE RECON, STEP 6: FINALIZED 2022-05-05T14:45:15.158Z",Helical primary endbands.,lobt,,
73,"GENRE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-05T12:15:14.449Z | GENRE RECON, STEP 3: START AAT RECON 2022-05-05T12:17:51.723Z | GENRE RECON, STEP 4: KNOWN AAT APPLIED 2022-05-05T12:19:11.833Z | GENRE RECON, STEP 5: AAT IDs ADDED 2022-05-05T12:21:23.574Z | GENRE FAST RECON, STEP 2: START FAST RECON 2022-05-05T13:41:06.750Z | GENRE FAST RECON, STEP 5: FAST IDs ADDED 2022-05-05T14:42:30.996Z | GENRE RECON, STEP 6: FINALIZED 2022-05-05T14:45:15.158Z",Hybrid books.,,,
82,"GENRE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-05T12:15:14.449Z | GENRE RECON, STEP 3: START AAT RECON 2022-05-05T12:17:51.723Z | GENRE RECON, STEP 4: KNOWN AAT APPLIED 2022-05-05T12:19:11.833Z | GENRE RECON, STEP 5: AAT IDs ADDED 2022-05-05T12:21:23.574Z | GENRE FAST RECON, STEP 2: START FAST RECON 2022-05-05T13:41:06.750Z | GENRE FAST RECON, STEP 5: FAST IDs ADDED 2022-05-05T14:42:30.996Z | GENRE RECON, STEP 6: FINALIZED 2022-05-05T14:45:15.159Z",Inlays.,lobt,,
83,"GENRE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-05T12:15:14.449Z | GENRE RECON, STEP 3: START AAT RECON 2022-05-05T12:17:51.723Z | GENRE RECON, STEP 4: KNOWN AAT APPLIED 2022-05-05T12:19:11.833Z | GENRE RECON, STEP 5: AAT IDs ADDED 2022-05-05T12:21:23.574Z | GENRE FAST RECON, STEP 2: START FAST RECON 2022-05-05T13:41:06.751Z | GENRE FAST RECON, STEP 5: FAST IDs ADDED 2022-05-05T14:42:30.996Z | GENRE RECON, STEP 6: FINALIZED 2022-05-05T14:45:15.159Z",Insertions (Provenance),rbprov,,
84,"GENRE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-05T12:15:14.449Z | GENRE RECON, STEP 3: START AAT RECON 2022-05-05T12:17:51.723Z | GENRE RECON, STEP 4: KNOWN AAT APPLIED 2022-05-05T12:19:11.833Z | GENRE RECON, STEP 5: AAT IDs ADDED 2022-05-05T12:21:23.574Z | GENRE FAST RECON, STEP 2: START FAST RECON 2022-05-05T13:41:06.751Z | GENRE FAST RECON, STEP 5: FAST IDs ADDED 2022-05-05T14:42:30.996Z | GENRE RECON, STEP 6: FINALIZED 2022-05-05T14:45:15.159Z",Islamic bindings (Binding),rbbin,,
85,"GENRE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-05T12:15:14.449Z | GENRE RECON, STEP 3: START AAT RECON 2022-05-05T12:17:51.723Z | GENRE RECON, STEP 4: KNOWN AAT APPLIED 2022-05-05T12:19:11.833Z | GENRE RECON, STEP 5: AAT IDs ADDED 2022-05-05T12:21:23.574Z | GENRE FAST RECON, STEP 2: START FAST RECON 2022-05-05T13:41:06.751Z | GENRE FAST RECON, STEP 5: FAST IDs ADDED 2022-05-05T14:42:30.996Z | GENRE RECON, STEP 6: FINALIZED 2022-05-05T14:45:15.159Z",Lacquered bindings (Binding),rbbin,,
90,"GENRE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-05T12:15:14.449Z | GENRE RECON, STEP 3: START AAT RECON 2022-05-05T12:17:51.723Z | GENRE RECON, STEP 4: KNOWN AAT APPLIED 2022-05-05T12:19:11.833Z | GENRE RECON, STEP 5: AAT IDs ADDED 2022-05-05T12:21:23.574Z | GENRE FAST RECON, STEP 2: START FAST RECON 2022-05-05T13:41:06.751Z | GENRE FAST RECON, STEP 5: FAST IDs ADDED 2022-05-05T14:42:30.996Z | GENRE RECON, STEP 6: FINALIZED 2022-05-05T14:45:15.159Z",Limp covers.,lobt,,
91,"GENRE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-05T12:15:14.449Z | GENRE RECON, STEP 3: START AAT RECON 2022-05-05T12:17:51.723Z | GENRE RECON, STEP 4: KNOWN AAT APPLIED 2022-05-05T12:19:11.833Z | GENRE RECON, STEP 5: AAT IDs ADDED 2022-05-05T12:21:23.574Z | GENRE FAST RECON, STEP 2: START FAST RECON 2022-05-05T13:41:06.751Z | GENRE FAST RECON, STEP 5: FAST IDs ADDED 2022-05-05T14:42:30.996Z | GENRE RECON, STEP 6: FINALIZED 2022-05-05T14:45:15.159Z",Linings.,lobt,,
92,"GENRE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-05T12:15:14.449Z | GENRE RECON, STEP 3: START AAT RECON 2022-05-05T12:17:51.723Z | GENRE RECON, STEP 4: KNOWN AAT APPLIED 2022-05-05T12:19:11.833Z | GENRE RECON, STEP 5: AAT IDs ADDED 2022-05-05T12:21:23.574Z | GENRE FAST RECON, STEP 2: START FAST RECON 2022-05-05T13:41:06.751Z | GENRE FAST RECON, STEP 5: FAST IDs ADDED 2022-05-05T14:42:30.996Z | GENRE RECON, STEP 6: FINALIZED 2022-05-05T14:45:15.159Z",Manicules.,rbprov,,
95,"GENRE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-05T12:15:14.449Z | GENRE RECON, STEP 3: START AAT RECON 2022-05-05T12:17:51.723Z | GENRE RECON, STEP 4: KNOWN AAT APPLIED 2022-05-05T12:19:11.833Z | GENRE RECON, STEP 5: AAT IDs ADDED 2022-05-05T12:21:23.574Z | GENRE FAST RECON, STEP 2: START FAST RECON 2022-05-05T13:41:06.752Z | GENRE FAST RECON, STEP 5: FAST IDs ADDED 2022-05-05T14:42:30.996Z | GENRE RECON, STEP 6: FINALIZED 2022-05-05T14:45:15.159Z",Manuscript waste (Binding)--15th century.,rbbin,,
