row_index,workflow_history,subject_as_recorded,source_authority_uri,structured_data
39,"NAMED SUBJECT RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-10T15:44:05.569Z | NAMED SUBJECT RECON, STEP 3: START NAMED SUBJECT RECON 1 2022-05-10T15:44:44.666Z | KNOWN NAMED SUBJECT RECON APPLIED 2022-05-10T15:45:00.967Z | NAMED SUBJECT RECON, STEP 3: START NAMED SUBJECT RECON 2 2022-05-10T15:45:32.321Z | KNOWN NAMED SUBJECT RECON APPLIED 2022-05-10T15:45:51Z | NAMED SUBJECT RECON STEP 9: FINALIZED 2022-05-10T15:46:08.945Z","Garcia y la Puente, Johan.",,
41,"NAMED SUBJECT RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-10T15:44:05.569Z | NAMED SUBJECT RECON, STEP 3: START NAMED SUBJECT RECON 1 2022-05-10T15:44:44.666Z | KNOWN NAMED SUBJECT RECON APPLIED 2022-05-10T15:45:00.967Z | NAMED SUBJECT RECON, STEP 3: START NAMED SUBJECT RECON 2 2022-05-10T15:45:32.321Z | KNOWN NAMED SUBJECT RECON APPLIED 2022-05-10T15:45:51Z | NAMED SUBJECT RECON STEP 9: FINALIZED 2022-05-10T15:46:08.945Z","Golle, John.",,
45,"NAMED SUBJECT RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-10T15:44:05.569Z | NAMED SUBJECT RECON, STEP 3: START NAMED SUBJECT RECON 1 2022-05-10T15:44:44.666Z | KNOWN NAMED SUBJECT RECON APPLIED 2022-05-10T15:45:00.968Z | NAMED SUBJECT RECON, STEP 3: START NAMED SUBJECT RECON 2 2022-05-10T15:45:32.321Z | KNOWN NAMED SUBJECT RECON APPLIED 2022-05-10T15:45:51.001Z | NAMED SUBJECT RECON STEP 9: FINALIZED 2022-05-10T15:46:08.945Z","Ibn Abī Zayd al-Qayrawānī, ʻAbd Allāh ibn ʻAbd al-Raḥmān,--active 10th century.--Risālah.",,
57,"NAMED SUBJECT RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-10T15:44:05.569Z | NAMED SUBJECT RECON, STEP 3: START NAMED SUBJECT RECON 1 2022-05-10T15:44:44.667Z | KNOWN NAMED SUBJECT RECON APPLIED 2022-05-10T15:45:00.968Z | NAMED SUBJECT RECON, STEP 3: START NAMED SUBJECT RECON 2 2022-05-10T15:45:32.322Z | KNOWN NAMED SUBJECT RECON APPLIED 2022-05-10T15:45:51.003Z | NAMED SUBJECT RECON STEP 9: FINALIZED 2022-05-10T15:46:08.946Z","Martini, Luca.",,
72,"NAMED SUBJECT RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-10T15:44:05.570Z | NAMED SUBJECT RECON, STEP 3: START NAMED SUBJECT RECON 1 2022-05-10T15:44:44.669Z | KNOWN NAMED SUBJECT RECON APPLIED 2022-05-10T15:45:00.969Z | NAMED SUBJECT RECON, STEP 3: START NAMED SUBJECT RECON 2 2022-05-10T15:45:32.324Z | KNOWN NAMED SUBJECT RECON APPLIED 2022-05-10T15:45:51.004Z | NAMED SUBJECT RECON STEP 9: FINALIZED 2022-05-10T15:46:08.946Z",Pseudo-Ptolemy.--Centiloquium.,,
75,"NAMED SUBJECT RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-10T15:44:05.570Z | NAMED SUBJECT RECON, STEP 3: START NAMED SUBJECT RECON 1 2022-05-10T15:44:44.669Z | KNOWN NAMED SUBJECT RECON APPLIED 2022-05-10T15:45:00.970Z | NAMED SUBJECT RECON, STEP 3: START NAMED SUBJECT RECON 2 2022-05-10T15:45:32.324Z | KNOWN NAMED SUBJECT RECON APPLIED 2022-05-10T15:45:51.004Z | NAMED SUBJECT RECON STEP 9: FINALIZED 2022-05-10T15:46:08.946Z","Rucellai, Cosimo.",,
80,"NAMED SUBJECT RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-10T15:44:05.570Z | NAMED SUBJECT RECON, STEP 3: START NAMED SUBJECT RECON 1 2022-05-10T15:44:44.669Z | KNOWN NAMED SUBJECT RECON APPLIED 2022-05-10T15:45:00.970Z | NAMED SUBJECT RECON, STEP 3: START NAMED SUBJECT RECON 2 2022-05-10T15:45:32.324Z | KNOWN NAMED SUBJECT RECON APPLIED 2022-05-10T15:45:51.004Z | NAMED SUBJECT RECON STEP 9: FINALIZED 2022-05-10T15:46:08.947Z","Soderini, Giovanni di Luigi.",,
81,"NAMED SUBJECT RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-10T15:44:05.570Z | NAMED SUBJECT RECON, STEP 3: START NAMED SUBJECT RECON 1 2022-05-10T15:44:44.669Z | KNOWN NAMED SUBJECT RECON APPLIED 2022-05-10T15:45:00.970Z | NAMED SUBJECT RECON, STEP 3: START NAMED SUBJECT RECON 2 2022-05-10T15:45:32.325Z | KNOWN NAMED SUBJECT RECON APPLIED 2022-05-10T15:45:51.004Z | NAMED SUBJECT RECON STEP 9: FINALIZED 2022-05-10T15:46:08.947Z","Sveti Nikola (Abbey : Šibenik, Croatia)",,
85,"NAMED SUBJECT RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-10T15:44:05.571Z | NAMED SUBJECT RECON, STEP 3: START NAMED SUBJECT RECON 1 2022-05-10T15:44:44.669Z | KNOWN NAMED SUBJECT RECON APPLIED 2022-05-10T15:45:00.970Z | NAMED SUBJECT RECON, STEP 3: START NAMED SUBJECT RECON 2 2022-05-10T15:45:32.325Z | KNOWN NAMED SUBJECT RECON APPLIED 2022-05-10T15:45:51.004Z | NAMED SUBJECT RECON STEP 9: FINALIZED 2022-05-10T15:46:08.947Z","Vettori, Jacopo.",,
87,"NAMED SUBJECT RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-10T15:44:05.571Z | NAMED SUBJECT RECON, STEP 3: START NAMED SUBJECT RECON 1 2022-05-10T15:44:44.672Z | KNOWN NAMED SUBJECT RECON APPLIED 2022-05-10T15:45:00.971Z | NAMED SUBJECT RECON, STEP 3: START NAMED SUBJECT RECON 2 2022-05-10T15:45:32.325Z | KNOWN NAMED SUBJECT RECON APPLIED 2022-05-10T15:45:51.004Z | NAMED SUBJECT RECON STEP 9: FINALIZED 2022-05-10T15:46:08.947Z","Wryghte, Thomas.",,
