name_as_recorded,role,name_agr,source_authority_uri,instance_of,authorized_label,label-correct,structured_value
"Mawāhidī, Abū ʻAbd al-Raḥmān Yaʻqūb ibn Ayyūb, active 1350-1389",author,مواهدي، ابو عبد الرحمن يعقوب بن ايوب. كان حيا 1350-1389,http://id.loc.gov/authorities/names/no2021032187,human,Abū ʻAbd al-Raḥmān Yaʻqūb ibn Ayyūb Mawāhidī,Abū ʻAbd al-Raḥmān Yaʻqūb ibn Ayyūb Mawāhidī,Q116460016
"Mawāhidī, Abū ʻAbd al-Raḥmān Yaʻqūb ibn Ayyūb, active 1350-1389",author,,,human,Abū ʻAbd al-Raḥmān Yaʻqūb ibn Ayyūb Mawāhidī,Abū ʻAbd al-Raḥmān Yaʻqūb ibn Ayyūb Mawāhidī,Q116460016
"Mawāhidī, Abū ʻAbd al-Raḥmān Yaʻqūb ibn Ayyūb, active 1350-1389",author,مواهدي، ابو عبد الرحمن يعقوب بن ايوب. كان حيا 1350-1389,http://id.loc.gov/authorities/names/no2021032187,human,Abū ʻAbd al-Raḥmān Yaʻqūb ibn Ayyūb Mawāhidī,Abū ʻAbd al-Raḥmān Yaʻqūb ibn Ayyūb Mawāhidī,Q116460016
"Māwardī, ʻAlī ibn Muḥammad, 974?-1058",author,,,human,Al-Mawardi,Al-Mawardi,Q335635
"Māwardī, ʻAlī ibn Muḥammad, 974?-1058",author,ماوردي، علي بن محمد، 974؟-1058,http://id.loc.gov/authorities/names/n83162975,human,Al-Mawardi,Al-Mawardi,Q335635
"Māwardī, ʻAlī ibn Muḥammad, 974?-1058",author,ماوردي، علي بن محمد، 974؟-1058,http://id.loc.gov/authorities/names/n83162975,human,Al-Mawardi,Al-Mawardi,Q335635
"Māwardī, ʻAlī ibn Muḥammad, 974?-1058",author,,,human,Al-Mawardi,Al-Mawardi,Q335635
"Māwardī, ʻAlī ibn Muḥammad, 974?-1058",author,ماوردي، علي بن محمد، 974?-1058,http://id.loc.gov/authorities/names/n83162975,human,Al-Mawardi,Al-Mawardi,Q335635
"Mawṣilī, ʻAbd Allāh ibn Maḥmūd, 1202 or 1203-1284",author,موصلي، عبد الله بن محمود، 1202 or 1203-1284,http://id.loc.gov/authorities/names/n85307246,human,ʻAbd Allāh ibn Maḥmūd Mawṣilī,ʻAbd Allāh ibn Maḥmūd Mawṣilī,Q122946971
"Maximilian Heinrich, Archbishop and Elector of Cologne, 1621-1688",former owner,,http://id.loc.gov/authorities/names/n85215184,human,Maximilian Henry of Bavaria,Maximilian Henry of Bavaria,Q76722
"Maximilian Heinrich, Archbishop and Elector of Cologne, 1621-1688",former owner,,,human,Maximilian Henry of Bavaria,Maximilian Henry of Bavaria,Q76722
"Maximilian II, Holy Roman Emperor, 1527-1576",author,,http://id.loc.gov/authorities/names/n80073725,human,"Maximilian II, Holy Roman Emperor","Maximilian II, Holy Roman Emperor",Q150862
