File,material_as_recorded,authorized_label,structured_value,ds_qid
materials.csv,"[""paper, ill., charts""]",paper,http://vocab.getty.edu/aat/300014109,Q31
materials.csv,"[""paper, ill., maps, diagrams""]",paper,http://vocab.getty.edu/aat/300014109,Q31
materials.csv,"[""paper, ill., music""]",paper,http://vocab.getty.edu/aat/300014109,Q31
materials.csv,"[""paper, ill.""]",paper,http://vocab.getty.edu/aat/300014109,Q31
materials.csv,"[""paper, illumination""]",paper,http://vocab.getty.edu/aat/300014109,Q31
materials.csv,"[""paper, illuminations, maps, charts""]",paper,http://vocab.getty.edu/aat/300014109,Q31
materials.csv,"[""paper, illuminations""]",paper,http://vocab.getty.edu/aat/300014109,Q31
materials.csv,"[""paper, illustrated""]",paper,http://vocab.getty.edu/aat/300014109,Q31
materials.csv,"[""paper, illustration""]",paper,http://vocab.getty.edu/aat/300014109,Q31
materials.csv,"[""paper, illustrations, illuminations""]",paper,http://vocab.getty.edu/aat/300014109,Q31
materials.csv,"[""paper, illustrations, music""]",paper,http://vocab.getty.edu/aat/300014109,Q31
materials.csv,"[""paper, illustrations ; 202 x 142 (135-155 x 67-85) mm. bound to 201 x 138 mm""]",paper,http://vocab.getty.edu/aat/300014109,Q31
materials.csv,"[""paper, illustrations""]",paper,http://vocab.getty.edu/aat/300014109,Q31
materials.csv,"[""paper, music""]",paper,http://vocab.getty.edu/aat/300014109,Q31
materials.csv,"[""paper, orn: initial with crude profile""]",paper,http://vocab.getty.edu/aat/300014109,Q31
materials.csv,"[""paper, parchment""]",paper;parchment,http://vocab.getty.edu/aat/300014109;http://vocab.getty.edu/aat/300011851,Q31;Q33
materials.csv,"[""paper, seals""]",paper,http://vocab.getty.edu/aat/300014109,Q31
materials.csv,"[""paper, slight pen-work ornament""]",paper,http://vocab.getty.edu/aat/300014109,Q31
materials.csv,"[""paper, tables""]",paper,http://vocab.getty.edu/aat/300014109,Q31
materials.csv,"[""paper ; 180 x 135 (123-135 x 86-105) mm""]",paper,http://vocab.getty.edu/aat/300014109,Q31
materials.csv,"[""paper ; 201 x 140 (160 x 95) mm. bound to 202 x 140 mm""]",paper,http://vocab.getty.edu/aat/300014109,Q31
materials.csv,"[""paper ; 205 x 145 (150-160 x 90) mm. bound to 204 x 152 mm""]",paper,http://vocab.getty.edu/aat/300014109,Q31
materials.csv,"[""paper ; 209 x 152 (163 x 115) mm. bound to 207 x 153 mm""]",paper,http://vocab.getty.edu/aat/300014109,Q31
materials.csv,"[""paper ; 210 x 152 (140 x 90) mm. bound to 208 x 160 mm""]",paper,http://vocab.getty.edu/aat/300014109,Q31
materials.csv,"[""paper ; 210 x 154 (150-170 x 92-120) mm bound to 214 x 155 mm""]",paper,http://vocab.getty.edu/aat/300014109,Q31
materials.csv,"[""paper ; 213 x 149 (138 x 60) mm. bound to 210 x 147 mm""]",paper,http://vocab.getty.edu/aat/300014109,Q31
materials.csv,"[""paper ; 216 x 159 (155 x 90) mm. bound to 214 x 167 mm""]",paper,http://vocab.getty.edu/aat/300014109,Q31
materials.csv,"[""paper ; 220 x 162 (195 x 125) mm. bound to 220 x 160 mm""]",paper,http://vocab.getty.edu/aat/300014109,Q31
materials.csv,"[""paper.""]",paper,http://vocab.getty.edu/aat/300014109,Q31
materials.csv,"[""paper""]",paper,http://vocab.getty.edu/aat/300014109,Q31
materials.csv,"[""Paper""]",paper,http://vocab.getty.edu/aat/300014109,Q31
materials.csv,"[""paper and parchment, color illustrations""]",paper;parchment,http://vocab.getty.edu/aat/300014109;http://vocab.getty.edu/aat/300011851,Q31;Q33
materials.csv,"[""paper and parchment, illuminations""]",paper;parchment,http://vocab.getty.edu/aat/300014109;http://vocab.getty.edu/aat/300011851,Q31;Q33
materials.csv,"[""paper and parchment, music""]",paper;parchment,http://vocab.getty.edu/aat/300014109;http://vocab.getty.edu/aat/300011851,Q31;Q33
materials.csv,"[""paper and parchment""]",paper;parchment,http://vocab.getty.edu/aat/300014109;http://vocab.getty.edu/aat/300011851,Q31;Q33
materials.csv,"[""paper illustrations""]",paper,http://vocab.getty.edu/aat/300014109,Q31
materials.csv,"[""papyrus""]",papyrus,http://vocab.getty.edu/aat/300014127,Q32
materials.csv,"[""parchment, coats of arms""]",parchment,http://vocab.getty.edu/aat/300011851,Q33
materials.csv,"[""parchment, color""]",parchment,http://vocab.getty.edu/aat/300011851,Q33
materials.csv,"[""parchment, colored illustration""]",parchment,http://vocab.getty.edu/aat/300011851,Q33
materials.csv,"[""parchment, color illustrations, coats of arms""]",parchment,http://vocab.getty.edu/aat/300011851,Q33
materials.csv,"[""parchment, color illustrations, maps""]",parchment,http://vocab.getty.edu/aat/300011851,Q33
materials.csv,"[""parchment, color illustrations, music""]",parchment,http://vocab.getty.edu/aat/300011851,Q33
materials.csv,"[""parchment, color illustrations""]",parchment,http://vocab.getty.edu/aat/300011851,Q33
materials.csv,"[""parchment, decorated initials, music (neumes)""]",parchment,http://vocab.getty.edu/aat/300011851,Q33
materials.csv,"[""parchment, decorated initials""]",parchment,http://vocab.getty.edu/aat/300011851,Q33
materials.csv,"[""parchment, ill., music""]",parchment,http://vocab.getty.edu/aat/300011851,Q33
materials.csv,"[""parchment, ill. ; 550 x 382 (365 x 270) mm""]",parchment,http://vocab.getty.edu/aat/300011851,Q33
materials.csv,"[""parchment, ill""]",parchment,http://vocab.getty.edu/aat/300011851,Q33
materials.csv,"[""parchment, illuminated, miniatures""]",parchment,http://vocab.getty.edu/aat/300011851,Q33
materials.csv,"[""parchment, illuminated""]",parchment,http://vocab.getty.edu/aat/300011851,Q33
materials.csv,"[""parchment, illuminations, frontispiece, coat of arms""]",parchment,http://vocab.getty.edu/aat/300011851,Q33
materials.csv,"[""parchment, illuminations, genealogical tables""]",parchment,http://vocab.getty.edu/aat/300011851,Q33
materials.csv,"[""parchment, illuminations, portraits, coat of arms""]",parchment,http://vocab.getty.edu/aat/300011851,Q33
materials.csv,"[""parchment, illuminations, portraits, genealogical tables""]",parchment,http://vocab.getty.edu/aat/300011851,Q33
materials.csv,"[""parchment, illuminations""]",parchment,http://vocab.getty.edu/aat/300011851,Q33
materials.csv,"[""parchment, illustration""]",parchment,http://vocab.getty.edu/aat/300011851,Q33
materials.csv,"[""parchment, illustrations, maps""]",parchment,http://vocab.getty.edu/aat/300011851,Q33
materials.csv,"[""parchment, illustrations, music""]",parchment,http://vocab.getty.edu/aat/300011851,Q33
materials.csv,"[""parchment, illustrations""]",parchment,http://vocab.getty.edu/aat/300011851,Q33
materials.csv,"[""parchment, illustrations (miniatures)""]",parchment,http://vocab.getty.edu/aat/300011851,Q33
materials.csv,"[""parchment, initials""]",parchment,http://vocab.getty.edu/aat/300011851,Q33
materials.csv,"[""parchment, miniatures""]",parchment,http://vocab.getty.edu/aat/300011851,Q33
materials.csv,"[""parchment, music, illustrations""]",parchment,http://vocab.getty.edu/aat/300011851,Q33
materials.csv,"[""parchment, music""]",parchment,http://vocab.getty.edu/aat/300011851,Q33
materials.csv,"[""parchment, music (diastematic neumes)""]",parchment,http://vocab.getty.edu/aat/300011851,Q33
materials.csv,"[""parchment, orn, decorated initials""]",parchment,http://vocab.getty.edu/aat/300011851,Q33
materials.csv,"[""parchment, orn, illustrations""]",parchment,http://vocab.getty.edu/aat/300011851,Q33
materials.csv,"[""parchment, orn, initial""]",parchment,http://vocab.getty.edu/aat/300011851,Q33
materials.csv,"[""parchment, orn: drawing: eagle""]",parchment,http://vocab.getty.edu/aat/300011851,Q33
materials.csv,"[""parchment, ornamented initial, penwork""]",parchment,http://vocab.getty.edu/aat/300011851,Q33
materials.csv,"[""parchment, orn initial""]",parchment,http://vocab.getty.edu/aat/300011851,Q33
materials.csv,"[""parchment, paper""]",parchment;paper,http://vocab.getty.edu/aat/300011851;http://vocab.getty.edu/aat/300014109,Q33;Q31
materials.csv,"[""parchment""]",parchment,http://vocab.getty.edu/aat/300011851,Q33
materials.csv,"[""parchment (9 paper)""]",parchment;paper,http://vocab.getty.edu/aat/300011851;http://vocab.getty.edu/aat/300014109,Q33;Q31
materials.csv,"[""parchment (framed)""]",parchment,http://vocab.getty.edu/aat/300011851,Q33
materials.csv,"[""parchment and paper, color illustrations, music""]",parchment;paper,http://vocab.getty.edu/aat/300011851;http://vocab.getty.edu/aat/300014109,Q33;Q31
materials.csv,"[""parchment and paper, color illustrations""]",parchment;paper,http://vocab.getty.edu/aat/300011851;http://vocab.getty.edu/aat/300014109,Q33;Q31
materials.csv,"[""parchment and paper, ill.""]",parchment;paper,http://vocab.getty.edu/aat/300011851;http://vocab.getty.edu/aat/300014109,Q33;Q31
materials.csv,"[""parchment and paper, illustrations""]",parchment;paper,http://vocab.getty.edu/aat/300011851;http://vocab.getty.edu/aat/300014109,Q33;Q31
materials.csv,"[""parchment and paper""]",parchment;paper,http://vocab.getty.edu/aat/300011851;http://vocab.getty.edu/aat/300014109,Q33;Q31
materials.csv,"[""rag paper""]",paper,http://vocab.getty.edu/aat/300014109,Q31
materials.csv,"[""vellulm""]",parchment,http://vocab.getty.edu/aat/300011851,Q33
materials.csv,"[""vellum, ink, manuscript, music""]",parchment,http://vocab.getty.edu/aat/300011851,Q33
materials.csv,"[""vellum""]",parchment,http://vocab.getty.edu/aat/300011851,Q33
materials.csv,"[""wove paper""]",paper,http://vocab.getty.edu/aat/300014109,Q31
materials.csv,[],undetermined,http://vocab.getty.edu/aat/300379012,Q38412
materials.csv,banana leaf,leaf,http://vocab.getty.edu/aat/300011892,Q26
materials.csv,bark,bark,http://vocab.getty.edu/aat/300011860,Q23
materials.csv,Chancery 2������ paper,paper,http://vocab.getty.edu/aat/300014109,Q31
materials.csv,Chancery 2������ paper;,paper,http://vocab.getty.edu/aat/300014109,Q31
materials.csv,cloth,cloth,http://vocab.getty.edu/aat/300162391,Q26528
materials.csv,"European laid paper, illuminations",paper,http://vocab.getty.edu/aat/300014109,Q31
materials.csv,European laid paper with watermarks,paper,http://vocab.getty.edu/aat/300014109,Q31
materials.csv,"European watermarked paper, illuminations",paper,http://vocab.getty.edu/aat/300014109,Q31
materials.csv,fine vellum,parchment,http://vocab.getty.edu/aat/300011851,Q33
materials.csv,glazed paper,paper,http://vocab.getty.edu/aat/300014109,Q31
materials.csv,"ill., vellum",parchment,http://vocab.getty.edu/aat/300011851,Q33
materials.csv,illumination on parchment,parchment,http://vocab.getty.edu/aat/300011851,Q33
materials.csv,"illustrations (woodcuts), parchment",parchment,http://vocab.getty.edu/aat/300011851,Q33
materials.csv,"inset paper, illuminations",paper,http://vocab.getty.edu/aat/300014109,Q31
materials.csv,Lacquered color painting framed in wood mounted on metal stand,wood,http://vocab.getty.edu/aat/300011914,Q38
materials.csv,laid paper,paper,http://vocab.getty.edu/aat/300014109,Q31
materials.csv,"laid paper, illumination",paper,http://vocab.getty.edu/aat/300014109,Q31
materials.csv,"laid paper, illuminations",paper,http://vocab.getty.edu/aat/300014109,Q31
materials.csv,"Laid paper, illuminations",paper,http://vocab.getty.edu/aat/300014109,Q31
materials.csv,"laid paper, illustrations",paper,http://vocab.getty.edu/aat/300014109,Q31
materials.csv,"laid paper, illustrations, illuminations",paper,http://vocab.getty.edu/aat/300014109,Q31
materials.csv,"Laid paper with embossed margin, illuminations",paper,http://vocab.getty.edu/aat/300014109,Q31
materials.csv,laid paper with watermark,paper,http://vocab.getty.edu/aat/300014109,Q31
materials.csv,"laid paper with watermark, illustrations, illuminations",paper,http://vocab.getty.edu/aat/300014109,Q31
materials.csv,laid paper with watermarks,paper,http://vocab.getty.edu/aat/300014109,Q31
materials.csv,"Laid paper with watermarks, illuminations",paper,http://vocab.getty.edu/aat/300014109,Q31
materials.csv,"light brown paper, glazed and watermarked with letters V. G.",paper,http://vocab.getty.edu/aat/300014109,Q31
materials.csv,machine-made wove paper,paper,http://vocab.getty.edu/aat/300014109,Q31
materials.csv,membrane,parchment,http://vocab.getty.edu/aat/300011851,Q33
materials.csv,Mixed,mixed media,http://vocab.getty.edu/aat/300163347,Q29
materials.csv,non-European laid paper,paper,http://vocab.getty.edu/aat/300014109,Q31
materials.csv,Non-European laid paper,paper,http://vocab.getty.edu/aat/300014109,Q31
materials.csv,"non-European laid paper, illuminations",paper,http://vocab.getty.edu/aat/300014109,Q31
materials.csv,"non-European laid paper, illustrations",paper,http://vocab.getty.edu/aat/300014109,Q31
materials.csv,"Non-European laid paper, illustrations, illuminations",paper,http://vocab.getty.edu/aat/300014109,Q31
materials.csv,palm (taliput) leaf,palm leaf,http://vocab.getty.edu/aat/300011894,Q30
materials.csv,palm leaf,palm leaf,http://vocab.getty.edu/aat/300011894,Q30
materials.csv,"palm leaf, illustrations",palm leaf,http://vocab.getty.edu/aat/300011894,Q30
materials.csv,paper,paper,http://vocab.getty.edu/aat/300014109,Q31
materials.csv,Paper,paper,http://vocab.getty.edu/aat/300014109,Q31
materials.csv,"paper, 41 col. ill.",paper,http://vocab.getty.edu/aat/300014109,Q31
materials.csv,"paper, charts",paper,http://vocab.getty.edu/aat/300014109,Q31
