place_as_recorded,authorized_label,structured_value,ds_qid
Andorra,Andorra,http://vocab.getty.edu/tgn/1000061,Q38138
"Angers, France?",Angers;France,http://vocab.getty.edu/tgn/7008480;http://vocab.getty.edu/tgn/1000070,Q42092;Q122
"Anghiari, Italy",Anghiari;Italy,http://vocab.getty.edu/tgn/7006115;http://vocab.getty.edu/tgn/1000080,Q42073;Q134
Antakya,Antakya,http://vocab.getty.edu/tgn/7594295,Q52691
"Antequera, Spain",Antequera;Spain,http://vocab.getty.edu/tgn/7007265;http://vocab.getty.edu/tgn/1000095,Q108127;Q129
"Antigua, Guatemala",Antigua Guatemala;Guatemala,http://vocab.getty.edu/tgn/7005496;http://vocab.getty.edu/tgn/7005493,Q66884;Q66885
Antwerp,Antwerp,http://vocab.getty.edu/tgn/7007856,Q38139
"Aquitaine?, France",Aquitaine;France,http://vocab.getty.edu/tgn/7002878;http://vocab.getty.edu/tgn/1000070,Q12693;Q122
Arabian Peninsula,Arabian Peninsula,http://vocab.getty.edu/tgn/1012700,Q27492
Arabian Peninsula?,Arabian Peninsula,http://vocab.getty.edu/tgn/1012700,Q27492
Aradabīl,Ardabīl,http://vocab.getty.edu/tgn/7002103,Q103460
"Aragon, Spain",Aragon;Spain,http://vocab.getty.edu/tgn/7024276;http://vocab.getty.edu/tgn/1000095,Q38142;Q129
Arak,Arāk,http://vocab.getty.edu/tgn/1078967,Q48706
Ārān,Ārān,http://vocab.getty.edu/tgn/1078919,Q48689
Arcade,Arcade,http://vocab.getty.edu/tgn/1043256,Q76318
Arce,Arce,http://vocab.getty.edu/tgn/1043257,Q76297
Ardabīl,Ardabīl,http://vocab.getty.edu/tgn/7002103,Q103460
Arequipa,Arequipa,http://vocab.getty.edu/tgn/7005825,Q38144
Arles,Arles,http://vocab.getty.edu/tgn/7008775,Q8029
Armenia,Armenia,http://vocab.getty.edu/tgn/7006651,Q791
Armenia?,Armenia,http://vocab.getty.edu/tgn/7006651,Q791
"Arras, France",Arras;France,http://vocab.getty.edu/tgn/7008468;http://vocab.getty.edu/tgn/1000070,Q7504;Q122
Arroya,Castile-Leon,http://vocab.getty.edu/tgn/7001158,Q6992
"Ashybuen, Ancrum, Roxburghshire",Ancrum;Roxburghshire,http://vocab.getty.edu/tgn/1050378;http://vocab.getty.edu/tgn/7448522,Q38137;Q38292
"Ashybuen, Ancrum, Roxburghshire,",Ancrum;Roxburghshire,http://vocab.getty.edu/tgn/1050378;http://vocab.getty.edu/tgn/7448522,Q38137;Q38292
Assam,Assam,http://vocab.getty.edu/tgn/1001832,Q76341
