File,title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label,ds_qid
titles.csv,"Additions to Statuta, constitutiones ac decreta ducalis provincae Friniani",,,,"Statuta, constitutiones ac decreta",Q7006
titles.csv,addressed to Ginolpho de' Bianchi of Bologna,,,,Poetry,Q1330
titles.csv,Addresses and letters,,,,Letters,Q5068
titles.csv,Address to Süleyman the Magnificent,,,,Address to Suleyman the Magnificent,Q39164
titles.csv,Adhikaraṇamālā,अधिकरणमाला,Vaiyāsikanyāyamālā,,Vaiyāsikanyāyamālā,Q27850
titles.csv,Ādhikaraṇaratnamālā,आधिकरणरत्नमाला,Nyāyamālāvistara,,Nyāyamālāvistara,Q27840
titles.csv,Adhyātmarāmāyaṇa,अध्यात्मरामायण,Puranas,,Puranas,Q27588
titles.csv,Adhyātmarāmāyaṇa āraṇyakhaṇḍa,अध्यात्मरामायण आरण्यखण्ड,Puranas,,Puranas,Q27588
titles.csv,Adhyātmarāmāyaṇa ayodhyakāṇḍa,अध्यात्मरामायण अयोध्यकाण्ड,Puranas,,Puranas,Q27588
titles.csv,Adhyātmarāmāyaṇa kiṣkindhākāṇḍa,अध्यात्मरामायण किष्किन्धाकाण्ड,Puranas,,Puranas,Q27588
titles.csv,Adhyātmarāmāyaṇa sundarakāṇḍa,अध्यात्मरामायण सुन्दरकाण्ड,Puranas,,Puranas,Q27588
titles.csv,Adhyātmarāmāyaṇa uttarakāṇḍa,अध्यात्मरामायण उत्तरकण्ड,Puranas,,Puranas,Q27588
titles.csv,Adhyātmarāmāyaṇa yuddhakāṇḍa,अध्यात्मरामायण युद्धकाण्ड,Puranas,,Puranas,Q27588
titles.csv,"A dialog or conference betwixt the father & childe; trying & sounding the necessitie, utilitie, use and end of afflictions",,,,Text on suffering,Q39165
titles.csv,A dialogue on the maridge of Q[ueen] E[lizabeth] /,,,,Orations,Q38343
titles.csv,Ad illustriss. p. Ven. Paulum Nanum Taruisii Praetorem praefectu[m]que liber,,,,Letters,Q5068
titles.csv,"Ad invictissimum Maximilianum II, el. Romanum Imperatorem Augustum",,,,To Maximilian II,Q39166
titles.csv,A discourse of Predestination & Grace Between Theodidactus and Philalethes,,,,Discourse on predestination,Q17553
titles.csv,Ādityahṛdaya,आदित्यहृदय,Rāmāyaṇa,,Ramayana,Q27562
titles.csv,Ādityahṛdaya,आदित्यहृदय,Yogavāsiṣṭha,,Yogavāsiṣṭha,Q27810
titles.csv,Ādityahṛdayastotra,आदित्यहृदयस्तोत्र,Puranas,,Puranas,Q27588
titles.csv,Ādityavrata,आदित्यव्रत,Puranas,,Puranas,Q27588
titles.csv,Admission letter to the Third Order Secular of St. Francis,,,,Letters,Q5068
titles.csv,Admonitio ad Nonsuindam reclusam,,,,Admonitio ad Nonsuindam reclusam,Q39167
titles.csv,"A doctor with two amputees, illuminated miniature from Le Livre des Propriétés des choses",,,,Livre des propriétés des choses,Q40033
titles.csv,Adoration of the Magi,,,,Adoration of the Magi,Q1455
titles.csv,Ad praetantissimum patrem et meritissimum Rhavenatem antistitem Philiam Roverellam Angeli Callimachi Siculi; in libellum de oratione,,,,Libellus de oratione dominica,Q39168
titles.csv,A Drawing of a Woman by a Tree with a Peacock,,,,Drawing,Q20466
titles.csv,"A Drawing of Sayyid Jalal Bukhari, Seated",,,,Drawing,Q20466
titles.csv,A dream of bounden dutie,,,,A dream of bounden dutie,Q39169
titles.csv,Ad statutum positum sub rubrica de contractibus cum minoribus,,,,Ad statutum positum sub rubrica de contractibus cum minoribus,Q7850
titles.csv,Aduertencias sobre los Euangelios que canta la iglesia en las Dominicas de entre las dos Pascuas; y desde la Epiphania del Aduiento : collgidas /,,,,Liturgical text,Q10839
titles.csv,Aduḥkhanavamīkathā,अदुःखनवमीकथा,Puranas,,Puranas,Q27588
titles.csv,Aduḥkhanavamīvratakathā,अदुःखनवमीव्रतकथा,Puranas,,Puranas,Q27588
titles.csv,A dutifull defence of the lawfull regiment of weomen; devided into three bookes ; the first conteyneth reasons and examples grownded on the lawe of nature ; the second reasons and examples grownded on the ciuile lawes ; the third reasons and examples grownded on the sacred lawes of God with an answer to all false & frivolouse obiections ...,,,,Text on women,Q39170
titles.csv,Advaitānanda,अद्वैतानन्द,Pañcadaśī,,Pañcadaśī,Q27684
