File,subject_as_recorded,vocab,subfield_codes,source_authority_uri,authorized_label,structured_value,ds_qid
subjects.csv,Accounting--France--14th century.,0,a--z--y,,Accounting;France;Fourteenth century,http://id.worldcat.org/fast/795379;http://id.worldcat.org/fast/1204289;http://id.worldcat.org/fast/933420,Q291;Q152;Q295
subjects.csv,Accounting--Germany--16th century,0,a--z--y,,Accounting;Germany;Sixteenth century,http://id.worldcat.org/fast/795379;http://id.worldcat.org/fast/1210272;http://id.worldcat.org/fast/1119851,Q291;Q3032;Q335
subjects.csv,Accounting--Germany--16th century.,0,a--z--y,,Accounting;Germany;Sixteenth century,http://id.worldcat.org/fast/795379;http://id.worldcat.org/fast/1210272;http://id.worldcat.org/fast/1119851,Q291;Q3032;Q335
subjects.csv,"Accounting--Handbooks, manuals, etc.--Early works to 1800",0,a--x--v,,"Accounting--Handbooks, manuals, etc.;Handbooks and manuals;Early works",http://id.worldcat.org/fast/1424436;http://id.worldcat.org/fast/1423877;http://id.worldcat.org/fast/1411636,Q38802;Q212;Q300
subjects.csv,Accounting--Italy--15th century,0,a--z--y,,Accounting;Italy;Fifteenth century,http://id.worldcat.org/fast/795379;http://id.worldcat.org/fast/1204565;http://id.worldcat.org/fast/923962,Q291;Q249;Q154
subjects.csv,Accounting--Italy--15th century.,0,a--z--y,,Accounting;Italy;Fifteenth century,http://id.worldcat.org/fast/795379;http://id.worldcat.org/fast/1204565;http://id.worldcat.org/fast/923962,Q291;Q249;Q154
subjects.csv,Accounting--Italy--16th century,0,a--z--y,,Accounting;Italy;Sixteenth century,http://id.worldcat.org/fast/795379;http://id.worldcat.org/fast/1204565;http://id.worldcat.org/fast/1119851,Q291;Q249;Q335
subjects.csv,Accounting--Italy--16th century.,0,a--z--y,,Accounting;Italy;Sixteenth century,http://id.worldcat.org/fast/795379;http://id.worldcat.org/fast/1204565;http://id.worldcat.org/fast/1119851,Q291;Q249;Q335
subjects.csv,Accounting--Italy--17th century,0,a--z--y,,Accounting;Italy;Seventeenth century,http://id.worldcat.org/fast/795379;http://id.worldcat.org/fast/1204565;http://id.worldcat.org/fast/1113663,Q291;Q249;Q2771
subjects.csv,Accounting--Italy--17th century.,0,a--z--y,,Accounting;Italy;Seventeenth century,http://id.worldcat.org/fast/795379;http://id.worldcat.org/fast/1204565;http://id.worldcat.org/fast/1113663,Q291;Q249;Q2771
subjects.csv,Accounting--Spain--16th century,0,a--z--y,,Accounting;Spain;Sixteenth century,http://id.worldcat.org/fast/795379;http://id.worldcat.org/fast/1204303;http://id.worldcat.org/fast/1119851,Q291;Q343;Q335
subjects.csv,Accounting--Spain--16th century.,0,a--z--y,,Accounting;Spain;Sixteenth century,http://id.worldcat.org/fast/795379;http://id.worldcat.org/fast/1204303;http://id.worldcat.org/fast/1119851,Q291;Q343;Q335
subjects.csv,Accounts,aat,a,http://vocab.getty.edu/aat/300145802,accounts,http://vocab.getty.edu/aat/300145802,Q178
subjects.csv,Accounts.,aat,a,http://vocab.getty.edu/aat/300145802,accounts,http://vocab.getty.edu/aat/300145802,Q178
subjects.csv,Acquittals,fast,a,(OCoLC)fst00796034,Acquittals,http://id.worldcat.org/fast/796034,Q48480
subjects.csv,Acquittals--Germany,0,a--z,,Acquittals;Germany,http://id.worldcat.org/fast/796034;http://id.worldcat.org/fast/1210272,Q48480;Q3032
subjects.csv,"Acre (Israel)--History--Siege, 1799",0,a--x--y,,"Israel--Acre;History;Siege of Acre (Acre, Israel : 1799)",http://id.worldcat.org/fast/1207296;http://id.worldcat.org/fast/958235;http://id.worldcat.org/fast/1354712,Q11129;Q6879;Q11464
subjects.csv,"Acre (Israel)--History--Siege, 1799.",0,a--x--y,,"Israel--Acre;History;Siege of Acre (Acre, Israel : 1799)",http://id.worldcat.org/fast/1207296;http://id.worldcat.org/fast/958235;http://id.worldcat.org/fast/1354712,Q11129;Q6879;Q11464
subjects.csv,Acrostics,fast,a,http://id.worldcat.org/fast/796098,Acrostics,http://id.worldcat.org/fast/796098,Q7756
subjects.csv,Acrostics.,fast,a,http://id.worldcat.org/fast/796098,Acrostics,http://id.worldcat.org/fast/796098,Q7756
subjects.csv,Acrostics--Early works to 1800,0,a--v,,Acrostics;Early works,http://id.worldcat.org/fast/796098;http://id.worldcat.org/fast/1411636,Q7756;Q300
subjects.csv,Acrostics--Early works to 1800.,0,a--v,,Acrostics;Early works,http://id.worldcat.org/fast/796098;http://id.worldcat.org/fast/1411636,Q7756;Q300
subjects.csv,Actes formalistes--France--Manuscrits--Ouvrages avant 1800,6,a--z--x--v,(CaQQLa)201-0081310--(CaQQLa)201-0452039--(CaQQLa)201-0379055--(CaQQLa)201-0377050,Deeds;France;Manuscripts;Early works,http://id.worldcat.org/fast/889460;http://id.worldcat.org/fast/1204289;http://id.worldcat.org/fast/1008230;http://id.worldcat.org/fast/1411636,Q38803;Q152;Q38609;Q300
subjects.csv,Actions and defenses,fast,a,,Actions and defenses,http://id.worldcat.org/fast/796238,Q7485
subjects.csv,Actions and defenses,fast,a,http://id.worldcat.org/fast/796238,Actions and defenses,http://id.worldcat.org/fast/796238,Q7485
subjects.csv,Actions and defenses.,fast,a,http://id.worldcat.org/fast/796238,Actions and defenses,http://id.worldcat.org/fast/796238,Q7485
subjects.csv,Actions and defenses--Italy--Milan--15th century,0,a--z--z--y,,Actions and defenses;Italy--Milan;Fifteenth century,http://id.worldcat.org/fast/796238;http://id.worldcat.org/fast/1208698;http://id.worldcat.org/fast/923962,Q7485;Q2808;Q154
subjects.csv,Actions and defenses--Italy--Milan--15th century.,0,a--z--z--y,,Actions and defenses;Italy--Milan;Fifteenth century,http://id.worldcat.org/fast/796238;http://id.worldcat.org/fast/1208698;http://id.worldcat.org/fast/923962,Q7485;Q2808;Q154
subjects.csv,Actions and defenses--Spain--Early works to 1800,0,a--z--v,,Actions and defenses;Spain;Early works,http://id.worldcat.org/fast/796238;http://id.worldcat.org/fast/1204303;http://id.worldcat.org/fast/1411636,Q7485;Q343;Q300
subjects.csv,Acupuncture--Early works to 1800,0,a--v,,Acupuncture;Early works,http://id.worldcat.org/fast/796357;http://id.worldcat.org/fast/1411636,Q12607;Q300
subjects.csv,Acupuncture--Early works to 1800.,0,a--v,,Acupuncture;Early works,http://id.worldcat.org/fast/796357;http://id.worldcat.org/fast/1411636,Q12607;Q300
subjects.csv,Acupuncture points--Early works to 1800,0,a--v,,Acupuncture points;Early works,http://id.worldcat.org/fast/796375;http://id.worldcat.org/fast/1411636,Q12654;Q300
subjects.csv,Acupuncture points--Early works to 1800.,0,a--v,,Acupuncture points;Early works,http://id.worldcat.org/fast/796375;http://id.worldcat.org/fast/1411636,Q12654;Q300
subjects.csv,Adhan,fast,a,(OCoLC)fst01742302,Adhan,http://id.worldcat.org/fast/1742302,Q11547
subjects.csv,Adhan.,fast,a,(OCoLC)fst01742302,Adhan,http://id.worldcat.org/fast/1742302,Q11547
subjects.csv,Adhan--Early works to 1800,0,a--v,,Adhan;Early works,http://id.worldcat.org/fast/1742302;http://id.worldcat.org/fast/1411636,Q11547;Q300
subjects.csv,Adhan--Early works to 1800.,0,a--v,,Adhan;Early works,http://id.worldcat.org/fast/1742302;http://id.worldcat.org/fast/1411636,Q11547;Q300
subjects.csv,Administration,fast,a,http://id.worldcat.org/fast/1351613,Administration,http://id.worldcat.org/fast/1351613,Q6907
subjects.csv,Administration.,fast,a,http://id.worldcat.org/fast/1351613,Administration,http://id.worldcat.org/fast/1351613,Q6907
subjects.csv,Adriatic Sea,0,a,,Mediterranean Sea--Adriatic Sea,http://id.worldcat.org/fast/1239504,Q17505
subjects.csv,Adriatic Sea.,0,a,,Mediterranean Sea--Adriatic Sea,http://id.worldcat.org/fast/1239504,Q17505
subjects.csv,Advaita,0,a,,Advaita,http://id.worldcat.org/fast/797410,Q26701
subjects.csv,Advaita,0,a,http://id.loc.gov/authorities/subjects/sh85001058,Advaita,http://id.worldcat.org/fast/797410,Q26701
subjects.csv,Advaita,fast,a,http://id.worldcat.org/fast/797410,Advaita,http://id.worldcat.org/fast/797410,Q26701
subjects.csv,Advaita--Early works to 1800,0,a--x,,Advaita;Early works,http://id.worldcat.org/fast/797410;http://id.worldcat.org/fast/1411636,Q26701;Q300
subjects.csv,Advaita--Early works to 1800,0,a--v,http://id.loc.gov/authorities/subjects/sh2007100676,Advaita;Early works,http://id.worldcat.org/fast/797410;http://id.worldcat.org/fast/1411636,Q26701;Q300
subjects.csv,Advent--Liturgy--Texts--Early works to 1800,0,a--x--v--v,,Advent--Liturgy;Texts;Early works,http://id.worldcat.org/fast/797428;http://id.worldcat.org/fast/1423705;http://id.worldcat.org/fast/1411636,Q48320;Q3066;Q300
subjects.csv,"Adventure stories, Spanish",0,a,http://id.loc.gov/authorities/subjects/sh95004520,"Adventure stories, Spanish",http://id.worldcat.org/fast/797496,Q48474
subjects.csv,"Adventure stories, Spanish",fast,a,,"Adventure stories, Spanish",http://id.worldcat.org/fast/797496,Q48474
subjects.csv,Aesthetics,fast,a,http://id.worldcat.org/fast/798702,Aesthetics,http://id.worldcat.org/fast/798702,Q27340
subjects.csv,"Aesthetics, Indic",fast,a,http://id.worldcat.org/fast/798781,"Aesthetics, Indic",http://id.worldcat.org/fast/798781,Q26715
subjects.csv,"Aesthetics, Indic",0,a,http://id.loc.gov/authorities/subjects/sh85001462,"Aesthetics, Indic",http://id.worldcat.org/fast/798781,Q26715
subjects.csv,Aesthetics--Poetry,0,a--v,,Aesthetics;Poetry,http://id.worldcat.org/fast/798702;http://id.worldcat.org/fast/1423828,Q27340;Q247
subjects.csv,Affinity (Law),fast,a,(OCoLC)fst00798890,Affinity (Law),http://id.worldcat.org/fast/798890,Q5900
subjects.csv,Affinity (Law)--Early works to 1800,0,a--v,,Affinity (Law);Early works,http://id.worldcat.org/fast/798890;http://id.worldcat.org/fast/1411636,Q5900;Q300
subjects.csv,Affinity (Law)--Early works to 1800.,0,a--v,,Affinity (Law);Early works,http://id.worldcat.org/fast/798890;http://id.worldcat.org/fast/1411636,Q5900;Q300
subjects.csv,Africa,fast,a,(OCoLC)fst01239509,Africa,http://id.worldcat.org/fast/1239509,Q11337
subjects.csv,"Africa, North--Description and travel",0,a--x,,North Africa;Voyages and travels,http://id.worldcat.org/fast/1239515;http://id.worldcat.org/fast/1169308,Q26769;Q3600
subjects.csv,Africa.,fast,a,(OCoLC)fst01239509,Africa,http://id.worldcat.org/fast/1239509,Q11337
subjects.csv,Africa--Description and travel--Early works to 1800,0,a--x--v,,Africa;Voyages and travels;Early works,http://id.worldcat.org/fast/1239509;http://id.worldcat.org/fast/1169308;http://id.worldcat.org/fast/1411636,Q11337;Q3600;Q300
subjects.csv,Africa--Description and travel--Early works to 1800.,0,a--x--v,,Africa;Voyages and travels;Early works,http://id.worldcat.org/fast/1239509;http://id.worldcat.org/fast/1169308;http://id.worldcat.org/fast/1411636,Q11337;Q3600;Q300
subjects.csv,Agama,fast,a,http://id.worldcat.org/fast/800080,Agama,http://id.worldcat.org/fast/800080,Q27315
subjects.csv,Agama,0,a,http://id.loc.gov/authorities/subjects/sh85002033,Agama,http://id.worldcat.org/fast/800080,Q27315
subjects.csv,Aggada--Commentaries--Early works to 1800,0,a--v--v,,Aggada;Commentaries;Early works,http://id.worldcat.org/fast/800216;http://id.worldcat.org/fast/1423723;http://id.worldcat.org/fast/1411636,Q38804;Q2812;Q300
subjects.csv,Aghorīs,0,a,http://id.loc.gov/authorities/subjects/sh86001295,Aghorīs,http://id.worldcat.org/fast/800288,Q26757
subjects.csv,Aghorīs,fast,a,http://id.worldcat.org/fast/800288,Aghorīs,http://id.worldcat.org/fast/800288,Q26757
subjects.csv,Agni (Hindu deity),0,a,,Agni (Hindu deity),http://id.worldcat.org/fast/800393,Q27033
subjects.csv,Agnihotra (Hindu rite),fast,a,http://id.worldcat.org/fast/800396,Agnihotra (Hindu rite),http://id.worldcat.org/fast/800396,Q26993
subjects.csv,Agnihotra (Hindu rite),0,a,http://id.loc.gov/authorities/subjects/sh85002227,Agnihotra (Hindu rite),http://id.worldcat.org/fast/800396,Q26993
subjects.csv,Agnihotra (Hindu rite)--Early works to 1800,0,a--v,,Agnihotra (Hindu rite);Early works,http://id.worldcat.org/fast/800396;http://id.worldcat.org/fast/1411636,Q26993;Q300
subjects.csv,Agniṣṭoma (Hindu rite),fast,a,http://id.worldcat.org/fast/1737600,Agniṣṭoma (Hindu rite),http://id.worldcat.org/fast/1737600,Q27230
subjects.csv,Agniṣṭoma (Hindu rite),0,a,http://id.loc.gov/authorities/subjects/sh2003007140,Agniṣṭoma (Hindu rite),http://id.worldcat.org/fast/1737600,Q27230
subjects.csv,Agriculture,fast,a,http://id.worldcat.org/fast/801355,Agriculture,http://id.worldcat.org/fast/801355,Q326
subjects.csv,Agriculture.,fast,a,http://id.worldcat.org/fast/801355,Agriculture,http://id.worldcat.org/fast/801355,Q326
subjects.csv,Agriculture--Early works to 1800,0,a--v,http://id.loc.gov/authorities/subjects/sh2007100872,Agriculture;Early works,http://id.worldcat.org/fast/801355;http://id.worldcat.org/fast/1411636,Q326;Q300
subjects.csv,Agriculture--Early works to 1800,0,a--v,,Agriculture;Early works,http://id.worldcat.org/fast/801355;http://id.worldcat.org/fast/1411636,Q326;Q300
subjects.csv,Agriculture--Early works to 1800.,0,a--v,http://id.loc.gov/authorities/subjects/sh2007100872,Agriculture;Early works,http://id.worldcat.org/fast/801355;http://id.worldcat.org/fast/1411636,Q326;Q300
subjects.csv,Agriculture--Economic aspects,fast,a--x,http://id.worldcat.org/fast/801415,Agriculture--Economic aspects,http://id.worldcat.org/fast/801415,Q7951
subjects.csv,Agriculture--Economic aspects.,fast,a--x,http://id.worldcat.org/fast/801415,Agriculture--Economic aspects,http://id.worldcat.org/fast/801415,Q7951
subjects.csv,Agriculture--Economic aspects--France--History,0,a--x--z--x,,Agriculture--Economic aspects;France;History,http://id.worldcat.org/fast/801415;http://id.worldcat.org/fast/1204289;http://id.worldcat.org/fast/958235,Q7951;Q152;Q6879
subjects.csv,Agriculture--Economic aspects--France--History.,0,a--x--z--x,,Agriculture--Economic aspects;France;History,http://id.worldcat.org/fast/801415;http://id.worldcat.org/fast/1204289;http://id.worldcat.org/fast/958235,Q7951;Q152;Q6879
subjects.csv,Agriculture--Economic aspects--Italy,0,a--x--z,http://id.loc.gov/authorities/subjects/sh2007100846,Agriculture--Economic aspects;Italy,http://id.worldcat.org/fast/801415;http://id.worldcat.org/fast/1204565,Q7951;Q249
subjects.csv,Agriculture--Economic aspects--Italy.,0,a--x--z,http://id.loc.gov/authorities/subjects/sh2007100846,Agriculture--Economic aspects;Italy,http://id.worldcat.org/fast/801415;http://id.worldcat.org/fast/1204565,Q7951;Q249
subjects.csv,Agriculture--Religious aspects--Hinduism,0,a--x--x,http://id.loc.gov/authorities/subjects/sh2019001010,Agriculture--Religious aspects--Hinduism,http://id.worldcat.org/fast/2004291,Q26979
subjects.csv,Agriculture--Religious aspects--Hinduism,fast,a--x--x,http://id.worldcat.org/fast/2004291,Agriculture--Religious aspects--Hinduism,http://id.worldcat.org/fast/2004291,Q26979
subjects.csv,Agriculture--Rome--Poetry,0,a--z--v,,Agriculture;Rome (Empire);Poetry,http://id.worldcat.org/fast/801355;http://id.worldcat.org/fast/1204885;http://id.worldcat.org/fast/1423828,Q326;Q3038;Q247
subjects.csv,Alassio (Italy),0,a,http://id.loc.gov/authorities/names/n85039139,Italy--Alassio,http://id.worldcat.org/fast/1232716,Q8026
subjects.csv,Albenga (Italy),0,a,http://id.loc.gov/authorities/names/n80001314,Italy--Albenga,http://id.worldcat.org/fast/1207333,Q7999
subjects.csv,Albi (France),0,a,http://id.loc.gov/authorities/names/n81043405,France--Albi,http://id.worldcat.org/fast/1213039,Q5479
subjects.csv,Albigenses,0,a,http://id.loc.gov/authorities/subjects/sh85003228,Albigenses,http://id.worldcat.org/fast/804195,Q7687
subjects.csv,Albigenses,fast,a,http://id.worldcat.org/fast/804195,Albigenses,http://id.worldcat.org/fast/804195,Q7687
subjects.csv,Albigenses.,0,a,http://id.loc.gov/authorities/subjects/sh85003228,Albigenses,http://id.worldcat.org/fast/804195,Q7687
subjects.csv,Albigenses.,fast,a,http://id.worldcat.org/fast/804195,Albigenses,http://id.worldcat.org/fast/804195,Q7687
subjects.csv,"Albinhac (Aveyron, France)--Early works to 1800",0,a--v,,Early works,http://id.worldcat.org/fast/1411636,Q300
subjects.csv,Albums--Italy,0,a--z,,Albums;Italy,http://id.worldcat.org/fast/804224;http://id.worldcat.org/fast/1204565,Q5869;Q249
subjects.csv,Albums--Italy.,0,a--z,,Albums;Italy,http://id.worldcat.org/fast/804224;http://id.worldcat.org/fast/1204565,Q5869;Q249
subjects.csv,Alchemy,fast,a,http://id.worldcat.org/fast/804245,Alchemy,http://id.worldcat.org/fast/804245,Q3005
subjects.csv,Alchemy.,fast,a,http://id.worldcat.org/fast/804245,Alchemy,http://id.worldcat.org/fast/804245,Q3005
subjects.csv,Alchemy--Bibliography,0,a--x,,Alchemy--Bibliography,http://id.worldcat.org/fast/1424492,Q3072
subjects.csv,Alchemy--Bibliography,fast,a--x,http://id.worldcat.org/fast/1424492,Alchemy--Bibliography,http://id.worldcat.org/fast/1424492,Q3072
subjects.csv,Alchemy--Bibliography.,fast,a--x,http://id.worldcat.org/fast/1424492,Alchemy--Bibliography,http://id.worldcat.org/fast/1424492,Q3072
subjects.csv,Alchemy--Bibliography.,0,a--x,,Alchemy--Bibliography,http://id.worldcat.org/fast/1424492,Q3072
subjects.csv,Alchemy--Early works to 1800,0,a--v,http://id.loc.gov/authorities/subjects/sh2007100968,Alchemy;Early works,http://id.worldcat.org/fast/804245;http://id.worldcat.org/fast/1411636,Q3005;Q300
subjects.csv,Alchemy--Early works to 1800,0,a--v,,Alchemy;Early works,http://id.worldcat.org/fast/804245;http://id.worldcat.org/fast/1411636,Q3005;Q300
subjects.csv,Alchemy--Early works to 1800.,0,a--v,http://id.loc.gov/authorities/subjects/sh2007100968,Alchemy;Early works,http://id.worldcat.org/fast/804245;http://id.worldcat.org/fast/1411636,Q3005;Q300
subjects.csv,Alchemy--France--Early works to 1800,0,a--z--v,,Alchemy;France;Early works,http://id.worldcat.org/fast/804245;http://id.worldcat.org/fast/1204289;http://id.worldcat.org/fast/1411636,Q3005;Q152;Q300
subjects.csv,Alchemy--India,0,a--z,,Alchemy;India,http://id.worldcat.org/fast/804245;http://id.worldcat.org/fast/1210276,Q3005;Q26595
subjects.csv,Alchemy--Manuscripts,0,a--v,,Alchemy--Manuscripts,http://id.worldcat.org/fast/804250,Q27138
subjects.csv,Alchemy--Poetry--Early works to 1800,0,a--v--v,,Alchemy;Poetry;Early works,http://id.worldcat.org/fast/804245;http://id.worldcat.org/fast/1423828;http://id.worldcat.org/fast/1411636,Q3005;Q247;Q300
subjects.csv,Alchemy--Poetry--Early works to 1800.,0,a--v--v,,Alchemy;Poetry;Early works,http://id.worldcat.org/fast/804245;http://id.worldcat.org/fast/1423828;http://id.worldcat.org/fast/1411636,Q3005;Q247;Q300
subjects.csv,Alcoholism--Religious aspects--Islam,fast,a--x--x,(OCoLC)fst00804537,Alcoholism--Religious aspects--Islam,http://id.worldcat.org/fast/804537,Q11560
subjects.csv,Alcoholism--Religious aspects--Islam.,fast,a--x--x,(OCoLC)fst00804537,Alcoholism--Religious aspects--Islam,http://id.worldcat.org/fast/804537,Q11560
subjects.csv,Alcoholism--Religious aspects--Islam--Early works to 1800,0,a--x--x--v,(uri) http://id.loc.gov/authorities/subjects/sh85003292,Alcoholism--Religious aspects;Islam;Early works,http://id.worldcat.org/fast/804530;http://id.worldcat.org/fast/979776;http://id.worldcat.org/fast/1411636,Q11144;Q3549;Q300
subjects.csv,Alcoholism--Religious aspects--Islam--Early works to 1800.,0,a--x--x--v,(uri) http://id.loc.gov/authorities/subjects/sh85003292,Alcoholism--Religious aspects;Islam;Early works,http://id.worldcat.org/fast/804530;http://id.worldcat.org/fast/979776;http://id.worldcat.org/fast/1411636,Q11144;Q3549;Q300
subjects.csv,Algebra,fast,a,http://id.worldcat.org/fast/804885,Algebra,http://id.worldcat.org/fast/804885,Q2815
subjects.csv,Algebra.,fast,a,http://id.worldcat.org/fast/804885,Algebra,http://id.worldcat.org/fast/804885,Q2815
subjects.csv,Algebra--Early works to 1800,0,a--v,,Algebra;Early works,http://id.worldcat.org/fast/804885;http://id.worldcat.org/fast/1411636,Q2815;Q300
subjects.csv,Algebra--Early works to 1800,0,a--v,http://id.loc.gov/authorities/subjects/sh2007100984,Algebra;Early works,http://id.worldcat.org/fast/804885;http://id.worldcat.org/fast/1411636,Q2815;Q300
subjects.csv,Algebra--Early works to 1800.,0,a--v,http://id.loc.gov/authorities/subjects/sh2007100984,Algebra;Early works,http://id.worldcat.org/fast/804885;http://id.worldcat.org/fast/1411636,Q2815;Q300
subjects.csv,Aljamía,fast,a,(OCoLC)fst00805361,Aljamía,http://id.worldcat.org/fast/805361,Q27260
