name_as_recorded,role,name_agr,source_authority_uri,instance_of_add,authorized_label_add,structured_value_add,ds_qid_add,ds_id_add,instance_of,authorized_label,structured_value,ds_qid
"Gascón de Torquemada, Gerónimo, 1572?-1637",author,,,human,Gerónimo Gascón de Torquemada,Q104529993,Q42681,DSNAME5989,,,,
"Giles, of Rome, Archbishop of Bourges, approximately 1243-1316",author,,,,,,,,human,Giles of Rome,Q380647,Q40080
"Giovio, Francesco, active 19th century",former owner,,,human,Francesco Giovio,Q127510438,Q42682,DSNAME5990,,,,
"Giovio, Paolo, 1483-1552",former owner,,http://id.loc.gov/authorities/names/n82154669,,,,,,human,Paolo Giovio,Q437543,Q2839
"Gómez de Castro, Alvar, active 16th century",former owner,,,human,Álvar Gómez de Castro,Q6172688,Q42683,DSNAME5991,,,,
"Gómez de Castro, Alvar, active 16th century.",author,,,human,Álvar Gómez de Castro,Q6172688,Q42683,DSNAME5991,,,,
"Graham, Patrick Graham, Lord, -1466",author,,,human,"Patrick Graham, 1st Lord Graham",Q19325067,Q42684,DSNAME5992,,,,
"Gregory I, Pope, approximately 540-604",author,,,,,,,,human,Gregory I,Q42827,Q889
"Grimaldi, Giovanni Battista, active 16th century",author,,,human,Giovanni Battista Grimaldi,Q127510471,Q42685,DSNAME5993,,,,
"Guillaume, de Lorris, active 1230",author,,http://id.loc.gov/authorities/names/n50018450,,,,,,human,Guillaume de Lorris,Q544959,Q7918
"Guzmán, Jaime Miguel de, marqués de la Mina, 1690-1767",author,,,human,"Jaime Miguel de Guzmán de Avalos y Spinola, Marquis of la Mina, Duke of Palata and Prince of Masa",Q637693,Q42686,DSNAME5994,,,,
"Guzmán, Luis",author,,,human,Luis Guzmán,Q127510446,Q42687,DSNAME5995,,,,
"Guzmán Dávalos Ponce de León Santillán y Mesía, Pedro José de, Marqués de la Mina, -1720",author,,,human,"Pedro José de Guzmán Davalos, Marqués de la Mina",Q113883014,Q42688,DSNAME5996,,,,
"Guzmán y Palafox, Jaime Miguel de, Marqués de la Mina, 1689-1767",author,,,human,"Jaime Miguel de Guzmán de Avalos y Spinola, Marquis of la Mina, Duke of Palata and Prince of Masa",Q637693,Q42686,DSNAME5994,,,,
"Ḥāfiẓ, active 14th century",author,,,,,,,,human,Hafez,Q6240,Q10870
"Ḥāfiẓ, active 14th century.",author,,,,,,,,human,Hafez,Q6240,Q10870
"Hamilton, Sidney Graves",former owner,,,human,Sidney Graves Hamilton,Q76232060,Q42689,DSNAME5997,,,,
"Hearst, Phoebe Apperson, 1842-1919",former owner,,,human,Phoebe Hearst,Q463046,Q42690,DSNAME5998,,,,
"Hearst, Phoebe Apperson, 1842-1919.",former owner,,,human,Phoebe Hearst,Q463046,Q42690,DSNAME5998,,,,
"Hernández de Valderrueda, Hernando",author,,,human,Hernando Hernández de Valderrueda,Q127510493,Q42691,DSNAME5999,,,,
"Hintterkircher, Sigmund",author,,,human,Sigmund Hintterkircher,Q127510481,Q42692,DSNAME6000,,,,
Horace,author,,http://id.loc.gov/authorities/names/n79081354.html,,,,,,human,Horace,Q6197,Q1599
"Hugh, of Fouilloy, -1172 or 1173",author,,,,,,,,human,Hugh of Fouilloy,Q5631,Q1576
"Hugh, of Saint-Cher, Cardinal, approximately 1200-1263",author,,,,,,,,human,Hugh of Saint-Cher,Q1365254,Q6092
"Hugo, Argentinensis, approximately 1210-approximately 1270",author,,,,,,,,human,Hugo Argentinensis,Q113866261,Q6073
"Hurtado de Mendoza, Diego, 1503-1575",author,,,,,,,,human,Diego Hurtado de Mendoza,Q2297287,Q7640
"Ibn Ḥusām, Muḥammad, -1470",author,,,human,Mohammad Ebn Hosam Khvafi,Q5951994,Q42693,DSNAME6001,,,,
"Ibn Nubātah, Muḥammad ibn Muḥammad, 1287-1366",author,,,human,Ibn Nubata,Q1655892,Q42694,DSNAME6002,,,,
"Isidore, of Seville, Saint, -636",author,,http://id.loc.gov/authorities/names/n80139470,,,,,,human,Isidore of Seville,Q166876,Q428
"Jalāl al-Dīn Rūmī, Maulana, 1207-1273",author,,,,,,,,human,Rumi,Q43347,Q27901
"Jāmī, 1414-1492",author,,,,,,,,human,Jami,Q312458,Q3803
"Jerome, Saint, -419 or 420",author,,,,,,,,human,Jerome,Q44248,Q898
"Johannes Paulus, active 1441-1442",author,,,human,Johannes Paulus,Q127510451,Q42695,DSNAME6003,,,,
Kaccāyana,author,,,human,Pakudha Kaccayana,Q6135087,Q42696,DSNAME6004,,,,
"Katz, Farley P",former owner,,,human,Farley P. Katz,Q127510473,Q42697,DSNAME6005,,,,
"Khāqānī, Afz̤al al-Dīn Shirvānī, approximately 1126-1198 or 1199",author,,,,,,,,human,Afz̤al al-Dīn Shirvānī Khāqānī,Q123581745,Q18696
"Kloster St. Johann der Evangelist (Waldhausen, Austria)",former owner,,,organization,Parish Church of Waldhausen im Strudengau,Q37881281,Q42698,DSNAME6006,,,,
"Kraus, Hans Peter, 1907-1988",former owner,,,,,,,,human,Hans P. Kraus,Q85506,Q20316
"Lafões, Pedro Henrique de Bragança, Duque de, 1718-1761",author,,,human,Pedro Henrique de Bragança,Q10347508,Q42699,DSNAME6007,,,,
"Landauer, Samuel",scribe,,,human,Samuel Landauer,Q7411966,Q42700,DSNAME6008,,,,
