name_as_recorded,role,name_agr,source_authority_uri,instance_of,authorized_label,structured_value
"Ibn al-Naḥḥās, Fatḥ Allāh ibn ʻAbd Allāh, -1642 or 1643",author,ابن النحاس، فتح الله بن عبد الله، -1642 or 1643,"","","",""
"Ibn al-Ṣayrafī, Muḥammad ibn Ṭughrīl, 1293 or 1294-1336 or 1337",author,ابن الصيرفي، محمد بن طغريل، 1293 or 1294-1336 or 1337,"","","",""
"Iōannou, Philippos",author,"",http://id.loc.gov/authorities/names/n87877969,"","",""
"Iznīqī, ʻAlī, -1609",author,ازنيقي، علي,http://id.loc.gov/authorities/names/no2007093287,"","",""
"Jayyānī, al-Ḥusayn ibn Muḥammad, 1035-1105",author,جياني، الحسين بن محمد,http://id.loc.gov/authorities/names/nr90002999,"","",""
"Jean, de Meun, approximately 1240-approximately 1305",author,"",http://id.loc.gov/authorities/names/n50051578,"","",""
"Jesup, William Croghan",author,"","","","",""
"John Chrysostom, Saint, -407",author,"",http://id.loc.gov/authorities/names/n80001460,human,John Chrysostom,Q43706
"John XXI, Pope, -1277",author,"",http://id.loc.gov/authorities/names/n86820241,human,John XXI,Q172916
"Kaisares, S. 1857-1946",author,"",http://id.loc.gov/authorities/names/nb2012025436,"","",""
"Kane, Grenville, 1854-1943",former owner,"",http://id.loc.gov/authorities/names/no2001073978,"","",""
"Kane, Grenville, 1854-1943",former owner,"",http://id.loc.gov/authorities/names/no2001073978(uri) http://id.loc.gov/authorities/names/no2001073978(uri) http://viaf.org/viaf/sourceID/LC%7cno2001073978,"","",""
"Kartäuserkloster Marienburg (Weddern, Dülmen, Germany)",former owner,"",http://id.loc.gov/authorities/names/no2008022966,"","",""
"Katsh, Abraham Isaac, 1908-1998",former owner,"",http://id.loc.gov/authorities/names/n80020435,"","",""
Königliche Museen zu Berlin,former owner,"","","","",""
"Lando, Agostino",author,"","","","",""
Librairie Damascène Morgand,former owner,"",http://id.loc.gov/authorities/names/n82088943,"","",""
Livy,author,"",http://id.loc.gov/authorities/names/n79015690,human,Titus Livius,Q2039
"Manuel I, King of Portugal, 1469-1521",author,"",http://id.loc.gov/authorities/names/n85133328,"","",""
"Mayakovsky, Vladimir, 1893-1930",author,"",http://id.loc.gov/authorities/names/n79021383,"","",""
"Mōraitidēs, Alexandros, 1850-1929",author,"",http://id.loc.gov/authorities/names/n82086344,"","",""
"Murtaḍá al-Zabīdī, Muḥammad ibn Muḥammad, 1732 or 1733-1791",author,مرتضى الزبيدي، محمد بن محمد، 1732 or 1733-1791,"","","",""
Muḥammad ibn Abī Bakr,author,محمد بن ابي بكر,http://id.loc.gov/authorities/names/n2017056543(uri) http://id.loc.gov/authorities/names/n2017056543(uri) http://viaf.org/viaf/sourceID/LC%7cn2017056543,"","",""
"Nesvold, Annie",author,"","","","",""
"Olschki, Leo S. 1861-1940",former owner,"",http://id.loc.gov/authorities/names/nr99026841,human,Leo Olschki,Q15051199
Orthodox Eastern Church,author,"",http://id.loc.gov/authorities/names/n50000556,organization,Eastern Orthodox Church,Q35032
"Patterson, Robert W., 1850-1921","former owner,","",http://id.loc.gov/authorities/names/no2019090456,"","",""
"Petros, ho Peloponnēsios, approximately 1730-approximately 1778",author,"",http://id.loc.gov/authorities/names/n95049500,"","",""
"Potter, Beatrix, 1866-1943",author,"",http://id.loc.gov/authorities/names/n80017651,"","",""
"Potter, Mary",author,"","","","",""
"Rashīdī, Muḥammad ibn Salāmah, active 19th century",author,رشيدي، محمد بن سلامة، active 19th century,"","","",""
"Rollins, Philip Ashton, 1869-1950",former owner,"",http://id.loc.gov/authorities/names/n86840544,"","",""
"Rosenthal, Bernard M",former owner,"",http://id.loc.gov/authorities/names/n84077725,human,Bernard M. Rosenthal,Q94805275
"Sandoz, Ernest",author,"",http://id.loc.gov/authorities/names/n78027953,"","",""
"Scheide, John Hinsdale, 1875-1942",former owner,"",http://id.loc.gov/authorities/names/nr96026642,"","",""
"Scheide, William Taylor, 1847-1907",former owner,"",http://id.loc.gov/authorities/names/nr96026641,"","",""
"Servetus, Michael, 1511?-1553",author,"",http://id.loc.gov/authorities/names/n50004735,"","",""
"Shahn, Ben, 1898-1969",author,"",http://id.loc.gov/authorities/names/n79085084,"","",""
"Sherwin, Henry Alden, 1842-1916",former owner,"",http://id.loc.gov/authorities/names/nr95012470,"","",""
"Spencer, Edward",author,"","","","",""
"Squire, Ann",author,"",https://viaf.org/viaf/50712689,"","",""
St. Albans Abbey,former owner,"","","","",""
Stift Admont. Bibliothek,former owner,"","","","",""
"Stockton, Sara Marks, d. 1887",author,"","","","",""
"Suhaylī, ʻAbd al-Raḥmān ibn ʻAbd Allāh, 1114 or 1115-1185",author,سهيلي، عبد الرحمن بن عبد الله، 1114 or 1115-1185,http://id.loc.gov/authorities/names/n85230420,"","",""
"Suyūṭī, 1445-1505",author,سيوطي,http://id.loc.gov/authorities/names/n80081636,human,Jalal al-Din al-Suyuti,Q468432
"Suzannet, Alain de, comte, 1882-1950",former owner,"",http://id.loc.gov/authorities/names/nr98012313,"","",""
"Taylor, Robert H., 1908-1985",former owner,"",http://id.loc.gov/authorities/names/no2019069487,"","",""
Terence,author,"",http://id.loc.gov/authorities/names/n79066715,human,Terence,Q172048
"Themelēs, Geōrgios, 1900-1976",author,"",http://id.loc.gov/authorities/names/n85174964,"","",""
"Thompson, Henry Yates, 1838-1928",former owner,"","","","",""
"Thompson, Henry Yates, 1838-1928",former owner,"",http://id.loc.gov/authorities/names/n83139111,"","",""
"Tuscus, Alexander, active 15th century",author,"",http://id.loc.gov/authorities/names/no2019126375,"","",""
"Ṭarasūsī, ʻUthmān ibn Muṣṭafá",author,طرسوسي، عثمان بن مصطفى,"","","",""
Università di Roma,author,"",http://id.loc.gov/authorities/names/n79125125,"","",""
Venice (Republic : To 1797),author,"",http://id.loc.gov/authorities/names/n81035331,organization,Republic of Venice,Q4948
"Von Kienbusch, Carl Otto Kretzschmar, 1884-1976",former owner,"",http://id.loc.gov/authorities/names/n91126737,"","",""
"Wagner, A. D",former owner,"","","","",""
"Wallfahrtskirche zur Heiligsten Dreifaltigkeit (Gössweinstein, Germany)",former owner,"","","","",""
"Walter, of Châtillon, active 1170-1180",author,"",http://id.loc.gov/authorities/names/n85065445,"","",""
"Waterhouse, Loyal Nelson, 1826-1902",author,"","","","",""
"Weakley, Henry V",author,"","","","",""
"Wunder, Andreas, active 19th century",former owner,"","","","",""
"Wycliffe, John, -1384",author,"",http://id.loc.gov/authorities/names/n79060439,"","",""
"Wāḥī, ʻAlī ibn Ibrāhīm, active 18th century",scribe,واحي، علي بن ابراهيم، active 18th century,"","","",""
Xenophon,author,"",http://id.loc.gov/authorities/names/n80036673,human,Xenophon,Q129772
"Zayn al-ʻArab, ʻAlī ibn ʻUbayd Allāh, 14th cent",author,"","","","",""
"Zhu, Honglin, 1950-",author,"朱鴻林, 1950-",http://id.loc.gov/authorities/names/nr93022509,"","",""
"Zurqānī, Muḥammad ibn ʻAbd al-Bāqī, 1645-1710",author,زرقاني، محمد بن عبد الباقي، 1645-1710,http://id.loc.gov/authorities/names/n82078406,"","",""
"ʻAlāʼī, Khalīl ibn Kaykaldī, 1295-1359",author,علائي، خليل بن كيكلدي، 1295-1359,"","","",""
"ʻIyāḍ ibn Mūsá, 1083-1149",author,عياض بن موسى,"",human,Qadi Ayyad,Q3101035
