item,itemLabel,description,DSID,manuscriptQID,recordQID,collection,identifiers
http://www.wikidata.org/entity/Q131477625,"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.454",manuscript containing Gradual,DS11871,Q50977,Q50978,Ohio State University,Spec.Rare.MS.MR.Frag.454
http://www.wikidata.org/entity/Q131477629,"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.455",manuscript containing Gradual,DS11872,Q50980,Q50981,Ohio State University,Spec.Rare.MS.MR.Frag.455
http://www.wikidata.org/entity/Q131477630,"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.456",manuscript containing Psalter,DS11873,Q50983,Q50984,Ohio State University,Spec.Rare.MS.MR.Frag.456
http://www.wikidata.org/entity/Q131477631,"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.457",manuscript containing Pontifical,DS11874,Q50986,Q50987,Ohio State University,Spec.Rare.MS.MR.Frag.457
http://www.wikidata.org/entity/Q131478412,"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.458","manuscript containing Liber Sententiarum, cum glossis",DS11875,Q50989,Q50990,Ohio State University,Spec.Rare.MS.MR.Frag.458
http://www.wikidata.org/entity/Q131478414,"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.459",manuscript containing Institutiones Grammaticae,DS11876,Q50992,Q50993,Ohio State University,Spec.Rare.MS.MR.Frag.459
http://www.wikidata.org/entity/Q131478416,"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.460",manuscript containing Moralia in Iob,DS11877,Q50995,Q50996,Ohio State University,Spec.Rare.MS.MR.Frag.460
http://www.wikidata.org/entity/Q131478417,"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.461",manuscript containing Opus quaestionum super sententias,DS11878,Q50998,Q50999,Ohio State University,Spec.Rare.MS.MR.Frag.461
http://www.wikidata.org/entity/Q131478419,"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.462",manuscript containing Bible (pocket),DS11879,Q51001,Q51002,Ohio State University,Spec.Rare.MS.MR.Frag.462
http://www.wikidata.org/entity/Q131477745,"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.463",manuscript containing Book of Hours (Kalendar),DS11880,Q51004,Q51005,Ohio State University,Spec.Rare.MS.MR.Frag.463
http://www.wikidata.org/entity/Q131477632,"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.464",manuscript containing Prayer book (Dominican nun),DS11881,Q51007,Q51008,Ohio State University,Spec.Rare.MS.MR.Frag.464
http://www.wikidata.org/entity/Q131477746,"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.465",manuscript containing Missal (noted),DS11882,Q51010,Q51011,Ohio State University,Spec.Rare.MS.MR.Frag.465
http://www.wikidata.org/entity/Q131477633,"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.466",manuscript containing Unidentified theological encyclopedia,DS11883,Q51013,Q51014,Ohio State University,Spec.Rare.MS.MR.Frag.466
http://www.wikidata.org/entity/Q131477747,"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.467",manuscript containing Antiphonal,DS11884,Q51016,Q51017,Ohio State University,Spec.Rare.MS.MR.Frag.467
http://www.wikidata.org/entity/Q131477748,"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.468",manuscript containing Practica Iohannis Serapionis,DS11885,Q51019,Q51020,Ohio State University,Spec.Rare.MS.MR.Frag.468
http://www.wikidata.org/entity/Q131477749,"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.469",manuscript containing Noted Breviary,DS11886,Q51022,Q51023,Ohio State University,Spec.Rare.MS.MR.Frag.469
http://www.wikidata.org/entity/Q131477750,"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.470",manuscript containing Breviary,DS11887,Q51025,Q51026,Ohio State University,Spec.Rare.MS.MR.Frag.470
