item,itemLabel,description,DSID,collection,identifiers
http://www.wikidata.org/entity/Q131478239,"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.229",manuscript containing Book of Hours,DS11648,Ohio State University,Spec.Rare.MS.MR.Frag.229
http://www.wikidata.org/entity/Q131478241,"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.230",manuscript containing Gradual,DS11649,Ohio State University,Spec.Rare.MS.MR.Frag.230
http://www.wikidata.org/entity/Q131750000,"Lawrence, Kansas, University of Kansas, MS C131","manuscript containing Regula, with Latin commentary",DS1165,University of Kansas,2959848|MS C131
http://www.wikidata.org/entity/Q131478242,"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.231",manuscript containing Gradual,DS11650,Ohio State University,Spec.Rare.MS.MR.Frag.231
http://www.wikidata.org/entity/Q131478244,"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.232",manuscript containing Breviary,DS11651,Ohio State University,Spec.Rare.MS.MR.Frag.232
http://www.wikidata.org/entity/Q131478246,"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.233",manuscript containing Bible (pocket),DS11652,Ohio State University,Spec.Rare.MS.MR.Frag.233
http://www.wikidata.org/entity/Q131478248,"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.234",manuscript containing Bible (pocket),DS11653,Ohio State University,Spec.Rare.MS.MR.Frag.234
http://www.wikidata.org/entity/Q131478249,"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.235",manuscript containing Stimulus amoris,DS11654,Ohio State University,Spec.Rare.MS.MR.Frag.235
http://www.wikidata.org/entity/Q131478251,"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.236",manuscript containing Missal,DS11655,Ohio State University,Spec.Rare.MS.MR.Frag.236
http://www.wikidata.org/entity/Q131478253,"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.237",manuscript containing Pontifical,DS11656,Ohio State University,Spec.Rare.MS.MR.Frag.237
http://www.wikidata.org/entity/Q131478256,"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.238",manuscript containing Book of Hours,DS11657,Ohio State University,Spec.Rare.MS.MR.Frag.238
http://www.wikidata.org/entity/Q131478258,"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.239",manuscript containing Scholastic commentary on the Praedicamenta of Aristotle,DS11658,Ohio State University,Spec.Rare.MS.MR.Frag.239
http://www.wikidata.org/entity/Q131478259,"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.240",manuscript containing Liber sententiarum,DS11659,Ohio State University,Spec.Rare.MS.MR.Frag.240
http://www.wikidata.org/entity/Q131750001,"Lawrence, Kansas, University of Kansas, MS C143",manuscript containing Collection of religious and theological treatises /,DS1166,University of Kansas,2959860|MS C143
http://www.wikidata.org/entity/Q131478261,"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.241",manuscript containing Antiphonal,DS11660,Ohio State University,Spec.Rare.MS.MR.Frag.241
http://www.wikidata.org/entity/Q131478263,"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.242",manuscript containing Choir Psalter,DS11661,Ohio State University,Spec.Rare.MS.MR.Frag.242
http://www.wikidata.org/entity/Q131478265,"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.243",manuscript containing Missal,DS11662,Ohio State University,Spec.Rare.MS.MR.Frag.243
http://www.wikidata.org/entity/Q131478266,"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.244",manuscript containing Book of Hours,DS11663,Ohio State University,Spec.Rare.MS.MR.Frag.244
