item,itemLabel,description,DSID,collection,identifiers
http://www.wikidata.org/entity/Q132169967,"Berkeley, California, University of California, Berkeley, BANC MS UCB 167",manuscript containing Book of hours,DS12695,"University of California, Berkeley",991047733759706532|BANC MS UCB 167
http://www.wikidata.org/entity/Q132169969,"Berkeley, California, University of California, Berkeley, 4MS S8.B2",manuscript containing Bark book,DS12696,"University of California, Berkeley",4MS S8.B2|991047770899706532
http://www.wikidata.org/entity/Q132169970,"Berkeley, California, University of California, Berkeley, 4MS S8.B21",manuscript containing Bark book,DS12697,"University of California, Berkeley",4MS S8.B21|991047770929706532
http://www.wikidata.org/entity/Q132169971,"Berkeley, California, University of California, Berkeley, BANC MS UCB 177",manuscript containing Devotional hymnal with glosses,DS12698,"University of California, Berkeley",991047778539706532|BANC MS UCB 177
http://www.wikidata.org/entity/Q132169972,"Berkeley, California, University of California, Berkeley, BANC MS UCB 178",manuscript containing De l'amour de Leriano a Laureolle,DS12699,"University of California, Berkeley",991047784589706532|BANC MS UCB 178
http://www.wikidata.org/entity/Q132169973,"Berkeley, California, University of California, Berkeley, BANC MS UCB 179","manuscript containing Indenture, 1635 Dec. 29, between John Skyrrow and Thomas Awcocke above Wray, Lancashire, England",DS12700,"University of California, Berkeley",991047788969706532|BANC MS UCB 179
http://www.wikidata.org/entity/Q132169974,"Berkeley, California, University of California, Berkeley, 4MS PK6540.G2 1800z",manuscript containing Gulistān,DS12701,"University of California, Berkeley",4MS PK6540.G2 1800z|991047807549706532
http://www.wikidata.org/entity/Q132169975,"Berkeley, California, University of California, Berkeley, 4MS DS47.Z39 1800z",manuscript containing al-Tarjumānah al-Kubrá; Morocco,DS12702,"University of California, Berkeley",4MS DS47.Z39 1800z|991047838059706532
http://www.wikidata.org/entity/Q132171009,"Berkeley, California, University of California, Berkeley, BANC MS UCB 171",manuscript containing Catalonian and Spanish notarial documents; Catalonia,DS12703,"University of California, Berkeley",991047844269706532|BANC MS UCB 171
http://www.wikidata.org/entity/Q132169976,"Berkeley, California, University of California, Berkeley, BANC MS UCB 143 v.12-14",manuscript containing Memorial de los derechos patrimoniales pertenecientes en la Capital y Reyno de Valencia,DS12704,"University of California, Berkeley",991047882879706532|BANC MS UCB 143 v.12-14
http://www.wikidata.org/entity/Q132169977,"Berkeley, California, University of California, Berkeley, BANC MS UCB 143 v.15","manuscript containing Papel de D. Mauro de Castella Ferrer auctor del libro intitulado Historia del apostal Santiago, scrito a D.P. Fernandez de Velasco conde stable de Castilla, sobre la venida de Santiago a Hespaña",DS12705,"University of California, Berkeley",991047886739706532|BANC MS UCB 143 v.15
http://www.wikidata.org/entity/Q132169979,"Berkeley, California, University of California, Berkeley, BANC MS UCB 143 v.16",manuscript containing Prouincia de Cercaria de España,DS12706,"University of California, Berkeley",991047889819706532|BANC MS UCB 143 v.16
http://www.wikidata.org/entity/Q132169980,"Berkeley, California, University of California, Berkeley, BANC MS UCB 143 v.18","manuscript containing Comedia de la ynuencion de la sortija; en la venida a Monforte del yllustrisimo Señor, don Rodrigo de Castro Arcobispo de Sevilla Cardenal de nal [sic] de la santa ylgesia de Roma",DS12707,"University of California, Berkeley",991047895599706532|BANC MS UCB 143 v.18
http://www.wikidata.org/entity/Q132169981,"Berkeley, California, University of California, Berkeley, BANC MS UCB 143 v.19",manuscript containing Tratado del compas de proporcion /,DS12708,"University of California, Berkeley",991047895639706532|BANC MS UCB 143 v.19
http://www.wikidata.org/entity/Q132169982,"Berkeley, California, University of California, Berkeley, BANC MS UCB 143 v.21",manuscript containing Historia de Medina del Campo,DS12709,"University of California, Berkeley",991047900049706532|BANC MS UCB 143 v.21
http://www.wikidata.org/entity/Q132171006,"Berkeley, California, University of California, Berkeley, BANC MS UCB 120","manuscript containing Catalonian documents; first collection, Catalonia",DS12710,"University of California, Berkeley",991047908729706532|BANC MS UCB 120
http://www.wikidata.org/entity/Q132171007,"Berkeley, California, University of California, Berkeley, BANC MS UCB 125","manuscript containing Catalonian documents; second collection, Catalonia",DS12711,"University of California, Berkeley",991047908769706532|BANC MS UCB 125
http://www.wikidata.org/entity/Q132171008,"Berkeley, California, University of California, Berkeley, BANC MS UCB 136","manuscript containing Catalonian documents; third collection, Catalonia",DS12712,"University of California, Berkeley",991047908839706532|BANC MS UCB 136
http://www.wikidata.org/entity/Q132169920,"Berkeley, California, University of California, Berkeley, BANC MS UCB 155",manuscript containing Biblia pequeña,DS12713,"University of California, Berkeley",991047908879706532|BANC MS UCB 155
http://www.wikidata.org/entity/Q132169916,"Berkeley, California, University of California, Berkeley, BANC MS UCB 161","manuscript containing El laberinto de fortuna, o, Las trescientas",DS12714,"University of California, Berkeley",991047918639706532|BANC MS UCB 161
http://www.wikidata.org/entity/Q132169917,"Berkeley, California, University of California, Berkeley, BANC MS UCB 160",manuscript containing De consolacio,DS12715,"University of California, Berkeley",991047920129706532|BANC MS UCB 160
http://www.wikidata.org/entity/Q132169918,"Berkeley, California, University of California, Berkeley, 4MS PK6451 1800z",manuscript containing Vāmiq va ʻAzrā; India,DS12716,"University of California, Berkeley",4MS PK6451 1800z|991047927169706532
http://www.wikidata.org/entity/Q132169922,"Berkeley, California, University of California, Berkeley, 4MS PK6451.B49.B37 1700z",manuscript containing Barguzīdah-i Ashʻār; Iran,DS12717,"University of California, Berkeley",4MS PK6451.B49.B37 1700z|991047927219706532
http://www.wikidata.org/entity/Q132169923,"Berkeley, California, University of California, Berkeley, BANC MS UCB 139",manuscript containing Book of hours; use of Rome,DS12718,"University of California, Berkeley",991047928849706532|BANC MS UCB 139
http://www.wikidata.org/entity/Q132169924,"Berkeley, California, University of California, Berkeley, BANC MS UCB 143 v.25",manuscript containing Historia de la vida y hechos del conde Fernan Gonzalez /,DS12719,"University of California, Berkeley",991047940229706532|BANC MS UCB 143 v.25
http://www.wikidata.org/entity/Q132169925,"Berkeley, California, University of California, Berkeley, BANC MS UCB 143 v.55",manuscript containing Histori[a] de Nabarra,DS12720,"University of California, Berkeley",991047940289706532|BANC MS UCB 143 v.55
http://www.wikidata.org/entity/Q132169926,"Berkeley, California, University of California, Berkeley, BANC MS UCB 143 v.26",manuscript containing Coronjca del muy noble rey don Fernando el terçero hijo del rey don Ssancho e njeto del rey don Alfon[so] el Sabio,DS12721,"University of California, Berkeley",991047940329706532|BANC MS UCB 143 v.26
http://www.wikidata.org/entity/Q132169928,"Berkeley, California, University of California, Berkeley, BANC MS UCB 143 v.30",manuscript containing Chronica de las illustrassiones de la cassa de Niebla /,DS12722,"University of California, Berkeley",991047940379706532|BANC MS UCB 143 v.30
http://www.wikidata.org/entity/Q132169929,"Berkeley, California, University of California, Berkeley, BANC MS UCB 143 v.32",manuscript containing Libro intitulado Defensa del reygno,DS12723,"University of California, Berkeley",991047940429706532|BANC MS UCB 143 v.32
http://www.wikidata.org/entity/Q132169930,"Berkeley, California, University of California, Berkeley, BANC MS UCB 143 v.35",manuscript containing Pedaço y del libro de linages que scribio el conde D. Fra[ncis]co de Mendoça y Bobadilla arçobispo de Burgos,DS12724,"University of California, Berkeley",991047940459706532|BANC MS UCB 143 v.35
http://www.wikidata.org/entity/Q132169931,"Berkeley, California, University of California, Berkeley, BANC MS UCB 143 v.46",manuscript containing Hec[h]os del Car[denal] Ximen[ez,DS12725,"University of California, Berkeley",991047940489706532|BANC MS UCB 143 v.46
http://www.wikidata.org/entity/Q132169934,"Berkeley, California, University of California, Berkeley, BANC MS UCB 143 v.52-54",manuscript containing Chronica Jerosolimitana,DS12726,"University of California, Berkeley",991047940539706532|BANC MS UCB 143 v.52-54
http://www.wikidata.org/entity/Q132169936,"Berkeley, California, University of California, Berkeley, BANC MS UCB 292",manuscript containing Book of hours; use of Rome,DS12727,"University of California, Berkeley",991047982459706532|BANC MS UCB 292
http://www.wikidata.org/entity/Q132169937,"Berkeley, California, University of California, Berkeley, BANC MS UCB 143 v.65",manuscript containing En este libro primero de las coronicas de Nauarra,DS12728,"University of California, Berkeley",991048030729706532|BANC MS UCB 143 v.65
