item,itemLabel,description,DSID,collection,identifiers
http://www.wikidata.org/entity/Q131086687,"Columbia, Missouri, University of Missouri, Fragmenta Manuscripta 168",manuscript containing Breviary,DS10241,University of Missouri,Fragmenta Manuscripta 168
http://www.wikidata.org/entity/Q131086689,"Columbia, Missouri, University of Missouri, Fragmenta Manuscripta 169",manuscript containing Breviary?,DS10242,University of Missouri,Fragmenta Manuscripta 169
http://www.wikidata.org/entity/Q131086691,"Columbia, Missouri, University of Missouri, Fragmenta Manuscripta 170",manuscript containing Breviary,DS10243,University of Missouri,Fragmenta Manuscripta 170
http://www.wikidata.org/entity/Q131086696,"Columbia, Missouri, University of Missouri, Fragmenta Manuscripta 171",manuscript containing Breviary,DS10244,University of Missouri,Fragmenta Manuscripta 171
http://www.wikidata.org/entity/Q131086698,"Columbia, Missouri, University of Missouri, Fragmenta Manuscripta 172",manuscript containing Missal,DS10245,University of Missouri,Fragmenta Manuscripta 172
http://www.wikidata.org/entity/Q131086847,"Columbia, Missouri, University of Missouri, Fragmenta Manuscripta 173",manuscript containing Martyrologium,DS10246,University of Missouri,Fragmenta Manuscripta 173
http://www.wikidata.org/entity/Q131086855,"Columbia, Missouri, University of Missouri, Fragmenta Manuscripta 174",manuscript containing Meditationes,DS10247,University of Missouri,Fragmenta Manuscripta 174
http://www.wikidata.org/entity/Q131086704,"Columbia, Missouri, University of Missouri, Fragmenta Manuscripta 175",manuscript containing Medical text,DS10248,University of Missouri,Fragmenta Manuscripta 175
http://www.wikidata.org/entity/Q131086707,"Columbia, Missouri, University of Missouri, Fragmenta Manuscripta 176",manuscript containing Bible,DS10249,University of Missouri,Fragmenta Manuscripta 176
http://www.wikidata.org/entity/Q131086858,"Columbia, Missouri, University of Missouri, Fragmenta Manuscripta 177",manuscript containing Instructions to his son,DS10250,University of Missouri,Fragmenta Manuscripta 177
http://www.wikidata.org/entity/Q131086849,"Columbia, Missouri, University of Missouri, Fragmenta Manuscripta 178",manuscript containing Life of our Lady,DS10251,University of Missouri,Fragmenta Manuscripta 178
http://www.wikidata.org/entity/Q131086701,"Columbia, Missouri, University of Missouri, Fragmenta Manuscripta 179",manuscript containing Regulations for monks,DS10252,University of Missouri,Fragmenta Manuscripta 179
http://www.wikidata.org/entity/Q131086703,"Columbia, Missouri, University of Missouri, Fragmenta Manuscripta 180",manuscript containing Theological text,DS10253,University of Missouri,Fragmenta Manuscripta 180
http://www.wikidata.org/entity/Q131086708,"Columbia, Missouri, University of Missouri, Fragmenta Manuscripta 181",manuscript containing Medical text,DS10254,University of Missouri,Fragmenta Manuscripta 181
http://www.wikidata.org/entity/Q131086710,"Columbia, Missouri, University of Missouri, Fragmenta Manuscripta 182",manuscript containing Psalter,DS10255,University of Missouri,Fragmenta Manuscripta 182
http://www.wikidata.org/entity/Q131086712,"Columbia, Missouri, University of Missouri, Fragmenta Manuscripta 183",manuscript containing Medical text,DS10256,University of Missouri,Fragmenta Manuscripta 183
http://www.wikidata.org/entity/Q131086861,"Columbia, Missouri, University of Missouri, Fragmenta Manuscripta 184",manuscript containing Martyrologium,DS10257,University of Missouri,Fragmenta Manuscripta 184
http://www.wikidata.org/entity/Q131086717,"Columbia, Missouri, University of Missouri, Fragmenta Manuscripta 185",manuscript containing Medical text,DS10258,University of Missouri,Fragmenta Manuscripta 185
http://www.wikidata.org/entity/Q131086719,"Columbia, Missouri, University of Missouri, Fragmenta Manuscripta 186",manuscript containing Theological text,DS10259,University of Missouri,Fragmenta Manuscripta 186
http://www.wikidata.org/entity/Q131086722,"Columbia, Missouri, University of Missouri, Fragmenta Manuscripta 187",manuscript containing Theological text,DS10260,University of Missouri,Fragmenta Manuscripta 187
http://www.wikidata.org/entity/Q131086863,"Columbia, Missouri, University of Missouri, Fragmenta Manuscripta 188",manuscript containing Paris et Vienne,DS10261,University of Missouri,Fragmenta Manuscripta 188
http://www.wikidata.org/entity/Q131086865,"Columbia, Missouri, University of Missouri, Fragmenta Manuscripta 189",manuscript containing Conferences,DS10262,University of Missouri,Fragmenta Manuscripta 189
http://www.wikidata.org/entity/Q131086724,"Columbia, Missouri, University of Missouri, Fragmenta Manuscripta 190",manuscript containing Calendrical information,DS10263,University of Missouri,Fragmenta Manuscripta 190
http://www.wikidata.org/entity/Q131086726,"Columbia, Missouri, University of Missouri, Fragmenta Manuscripta 191",manuscript containing Death of the Blessed Virgin Mary,DS10264,University of Missouri,Fragmenta Manuscripta 191
http://www.wikidata.org/entity/Q131086729,"Columbia, Missouri, University of Missouri, Fragmenta Manuscripta 192",manuscript containing Death of the Blessed Virgin Mary,DS10265,University of Missouri,Fragmenta Manuscripta 192
http://www.wikidata.org/entity/Q131086730,"Columbia, Missouri, University of Missouri, Fragmenta Manuscripta 193","manuscript containing Bible, subject index to",DS10266,University of Missouri,Fragmenta Manuscripta 193
http://www.wikidata.org/entity/Q131086733,"Columbia, Missouri, University of Missouri, Fragmenta Manuscripta 194",manuscript containing Chess diagrams,DS10267,University of Missouri,Fragmenta Manuscripta 194
http://www.wikidata.org/entity/Q131086735,"Columbia, Missouri, University of Missouri, Fragmenta Manuscripta 195",manuscript containing Legal document,DS10268,University of Missouri,Fragmenta Manuscripta 195
http://www.wikidata.org/entity/Q131086737,"Columbia, Missouri, University of Missouri, Fragmenta Manuscripta 196",manuscript containing Legal document,DS10269,University of Missouri,Fragmenta Manuscripta 196
http://www.wikidata.org/entity/Q131086738,"Columbia, Missouri, University of Missouri, Fragmenta Manuscripta 197",manuscript containing Sermons on the deadly sins,DS10270,University of Missouri,Fragmenta Manuscripta 197
http://www.wikidata.org/entity/Q131086867,"Columbia, Missouri, University of Missouri, Fragmenta Manuscripta 198",manuscript containing Legal document,DS10271,University of Missouri,Fragmenta Manuscripta 198
http://www.wikidata.org/entity/Q131086739,"Columbia, Missouri, University of Missouri, Fragmenta Manuscripta 199",manuscript containing Pen trials,DS10272,University of Missouri,Fragmenta Manuscripta 199
http://www.wikidata.org/entity/Q131086740,"Columbia, Missouri, University of Missouri, Fragmenta Manuscripta 200",manuscript containing Ownership note,DS10273,University of Missouri,Fragmenta Manuscripta 200
http://www.wikidata.org/entity/Q131086741,"Columbia, Missouri, University of Missouri, Fragmenta Manuscripta 201",manuscript containing Volvelle,DS10274,University of Missouri,Fragmenta Manuscripta 201
http://www.wikidata.org/entity/Q131086744,"Columbia, Missouri, University of Missouri, Fragmenta Manuscripta 202",manuscript containing Book inscription,DS10275,University of Missouri,Fragmenta Manuscripta 202
