ds_id,date_added,date_last_updated,source_type,holding_institution,holding_institution_as_recorded,holding_institution_id_number,link_to_holding_institution_record,iiif_manifest,production_place_as_recorded,production_place,production_date_as_recorded,production_date,century,century_aat,dated,uniform_title,uniform_title_as_recorded,uniform_title_agr,title_as_recorded_245,title_as_recorded_245_agr,genre_as_recorded,genre_as_recorded_lcsh,genre_as_recorded_aat,genre_as_recorded_rbprov,genre,named_subject_as_recorded,subject_as_recorded,subject,author_as_recorded,author_as_recorded_agr,author,artist_as_recorded,artist_as_recorded_agr,artist,scribe_as_recorded,scribe_as_recorded_agr,scribe,language_as_recorded,language,former_owner_as_recorded,former_owner_as_recorded_agr,former_owner,material,material_placeholder,physical_description,acknowledgements,data_processed_at,data_source_modified,source_file
,,,marc-xml,Q766145,University of Oregon,"Eugene, OR, Special Collections and University Archives, University of Oregon, MS 041.|99900470084701852","",,"",,1475-1500,1475^1500,15,http://vocab.getty.edu/aat/300404465,,,Book of hours.,"",Horae Beatae Virginis Mariae.,"","","Manuscripts, Latin (medieval and modern).","","",,"","Manuscripts, Medieval--Oregon--Eugene.|Manuscripts, Medieval.|Oregon--Eugene.",,Catholic Church.,"",,"Master of the Burgundian Prelates,","",,"","",,In Latin.,|lat,"Burgess, Edward Sandford, 1855-1928,|Burgess, Julia,",|,,,parchment ;,Extent: 101 leaves parchment ; 163 x 102 mm.,,2022-04-04T09:34:58-04:00,2020-03-08,/Users/emeryr/code/GIT/ds-scripts/scripts/../data/prototype-data/oregon/oregon-marc-010.xml
,,,marc-xml,Q766145,University of Oregon,"Eugene, OR, Special Collections and University Archives, University of Oregon, MS 038.|99900470084801852","",,"",,1484,1484,15,http://vocab.getty.edu/aat/300404465,,,Book of hours,"",Horae Beatae Virginis Mariae cum Calendario (Book of Hours with Calendar).,"","","Manuscripts, Dutch.","","",,"","Manuscripts, Medieval--Oregon--Eugene.|Manuscripts, Medieval.|Oregon--Eugene.",,Catholic Church.,"",,"","",,"","",,In Flemish.,|lat,"Burgess, Edward Sandford, 1855-1928,|Burgess, Julia,",|,,,parchment ;,Extent: 206 leaves : parchment ; 112 x 168 mm bound to 116 x 178 mm.,,2022-04-04T09:34:58-04:00,2020-03-08,/Users/emeryr/code/GIT/ds-scripts/scripts/../data/prototype-data/oregon/oregon-marc-011.xml
,,,marc-xml,Q766145,University of Oregon,"Eugene, OR, Special Collections and University Archives, University of Oregon, MS 030.|99900470084901852","",,"",,1533-1538,1533^1538,16,http://vocab.getty.edu/aat/300404510,,,"","",Privilegia et documenta de monasterium S. Zenonis aiorii Veronae spectantia ab anno 883 usque ad annum 1533.,"","","Manuscripts, Latin (medieval and modern).|Privileges and immunities, Ecclesiastical.","","",,"San Zeno Maggiore (Church : Verona, Italy)--Doctrines--Early works to 1800.|San Zeno Maggiore (Church : Verona, Italy)--History--Early works to 1800.|San Zeno Maggiore (Church : Verona, Italy)","Manuscripts, Medieval--Oregon--Eugene.|Manuscripts, Medieval.|Theology, Doctrinal.|Oregon--Eugene.",,"","",,"","",,"","",,In Latin.,|lat,"Burgess, Edward Sandford, 1855-1928,|Burgess, Julia,",|,,,parchment ;,Extent: 76 folios : parchment ; 250 x 350 mm.,,2022-04-04T09:34:58-04:00,2020-01-15,/Users/emeryr/code/GIT/ds-scripts/scripts/../data/prototype-data/oregon/oregon-marc-012.xml
,,,marc-xml,Q766145,University of Oregon,"Eugene, OR, Special Collections and University Archives, University of Oregon, MS 017.|99900470085001852","",,"",,1558,1558,16,http://vocab.getty.edu/aat/300404510,,,"","",Al Beharistan.,"","","Manuscripts, Persian.","","",,"Jāmī,--1414-1492.--Bahāristān.","Manuscripts, Medieval--Oregon--Eugene.|Poetry--Early works to 1800.|Manuscripts, Medieval.|Poetry.|Oregon--Eugene.",,"Jāmī, 1414-1492,","",,"","",,"","",,In Persian.,|per,"Burgess, Edward Sandford, 1855-1928,|Burgess, Julia,",|,,,tinted smooth paper ;,Extent: 130 leaves : tinted smooth paper ; 196 x 128 mm.,,2022-04-04T09:34:58-04:00,2020-01-15,/Users/emeryr/code/GIT/ds-scripts/scripts/../data/prototype-data/oregon/oregon-marc-013.xml
,,,marc-xml,Q766145,University of Oregon,"Eugene, OR, Special Collections and University Archives, University of Oregon, Deed 002.|99900470285101852","",,"",,1434,1434,15,http://vocab.getty.edu/aat/300404465,,,"","",Deed.,"","","",Manuscripts (documents),"",,"","Manuscripts, Medieval--Oregon--Eugene.|Manuscripts, Medieval.|Oregon--Eugene.",,"","",,"","",,"","",,In German.,"","","",,,parchment ;,Extent: 1 sheet : parchment ; 34 x 49 cm.,,2022-04-04T09:34:58-04:00,2020-05-13,/Users/emeryr/code/GIT/ds-scripts/scripts/../data/prototype-data/oregon/oregon-marc-014.xml
,,,marc-xml,Q766145,University of Oregon,"Eugene, OR, Special Collections and University Archives, University of Oregon, MS 050.|99900470285201852","",,"",,1546,1546,16,http://vocab.getty.edu/aat/300404510,,,"","",Deed.,"","","Manuscripts, Latin (medieval and modern).",Seals (marks).,"",,"",Manuscripts--Oregon--Eugene.|Manuscripts.|Oregon--Eugene.,,"","",,"","",,"","",,In Latin.,|lat,"Burgess, Edward Sandford, 1855-1928,|Burgess, Julia,",|,,,parchment ;,Extent: 1 sheet : parchment ; 165 mm x 380 mm.,,2022-04-04T09:34:58-04:00,2020-05-20,/Users/emeryr/code/GIT/ds-scripts/scripts/../data/prototype-data/oregon/oregon-marc-015.xml
,,,marc-xml,Q766145,University of Oregon,"Eugene, OR, Special Collections and University Archives, University of Oregon, MS 76.|99900470481401852","",,"",,1400,1400,15,http://vocab.getty.edu/aat/300404465,,,"","",Book of hours calendar leaf.,"","","",Manuscripts.,"",,"","Manuscripts, Medieval--Oregon--Eugene.|Manuscripts, Medieval.|Oregon--Eugene.",,"","",,"","",,"","",,In Latin.,"","","",,,parchment ;,Extent: 1 sheet : parchment ; 103 x 74 mm.,,2022-04-04T09:34:58-04:00,2020-05-14,/Users/emeryr/code/GIT/ds-scripts/scripts/../data/prototype-data/oregon/oregon-marc-016.xml
,,,marc-xml,Q766145,University of Oregon,"Eugene, OR, Special Collections and University Archives, University of Oregon, MS 77.|99900470481501852","",,"",,1201-1500,1201^1500,13;14;15,http://vocab.getty.edu/aat/300404505;http://vocab.getty.edu/aat/300404506;http://vocab.getty.edu/aat/300404465,,,"","",Choirbook leaf with hymn dedicated to Saint Hilarion.,"","","",Manuscripts (documents)|Choirbooks.|Hymns (documents),"",,"","Manuscripts, Medieval--Oregon--Eugene.|Manuscripts, Medieval.|Oregon--Eugene.",,"","",,"","",,"","",,In Latin.,"","","",,,parchment ;,Extent: 1 leaf : parchment ; 434 x 319 mm.,,2022-04-04T09:34:58-04:00,2020-05-14,/Users/emeryr/code/GIT/ds-scripts/scripts/../data/prototype-data/oregon/oregon-marc-017.xml
,,,marc-xml,Q766145,University of Oregon,"Eugene, OR, Special Collections and University Archives, University of Oregon, MS 84.|99900470481701852","",,"",,1301-1400,1301^1400,14,http://vocab.getty.edu/aat/300404506,,,"","",Leaf from a pre-15th century manuscript used as binding waste.,"","","",Manuscripts (documents),"",,"","Manuscripts, Medieval--Oregon--Eugene.|Manuscripts, Medieval.|Oregon--Eugene.",,"","",,"","",,"","",,In Latin.,"","","",,,parchment ;,Extent: 1 leaf : parchment ; 321 x 253 mm.,,2022-04-04T09:34:58-04:00,2020-05-14,/Users/emeryr/code/GIT/ds-scripts/scripts/../data/prototype-data/oregon/oregon-marc-018.xml
,,,marc-xml,Q766145,University of Oregon,"Eugene, OR, Special Collections and University Archives, University of Oregon, MS 82.|99900470481801852","",,"",,1420,1420,15,http://vocab.getty.edu/aat/300404465,,,"","",Leaf from a Breviary.,"","","",Manuscripts (documents),"",,"","Manuscripts, Medieval--Oregon--Eugene.|Manuscripts, Medieval.|Oregon--Eugene.",,"","",,"","",,"","",,In Latin.,"","","",,,parchment ;,Extent: 1 leaf : parchment ; 120 x 83 mm.,,2022-04-04T09:34:58-04:00,2020-05-14,/Users/emeryr/code/GIT/ds-scripts/scripts/../data/prototype-data/oregon/oregon-marc-019.xml
