row_index,workflow_history,name_as_recorded,role,name_agr,source_authority_uri,instance_of,authorized_label,structured_value
679,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-11-30T17:35:32.767011Z | NAME RECON STEP 3: START HUMAN RECON 2022-11-30T17:59:48.090168300Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-12-05T20:25:59.704428200Z | NAME RECON STEP 6: START ORG RECON 2022-12-05T22:36:18.201823800Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-12-05T23:00:18.450618700Z | NAME RECON STEP 9: FINALIZED 2022-12-05T23:03:29.372667100Z",Aelianus Tacitus,author,,,human,Aelianus Tacticus,Q380793
680,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-11-30T17:35:32.767011Z | NAME RECON STEP 3: START HUMAN RECON 2022-11-30T17:59:48.090168300Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-12-05T20:25:59.704428200Z | NAME RECON STEP 6: START ORG RECON 2022-12-05T22:36:18.201823800Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-12-05T23:00:18.450618700Z | NAME RECON STEP 9: FINALIZED 2022-12-05T23:03:29.372667100Z",Aelred of Rievaulx,author,,,human,Aelred of Rievaulx,Q380845
681,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-11-30T17:35:32.767011Z | NAME RECON STEP 3: START HUMAN RECON 2022-11-30T17:59:48.090168300Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-12-05T20:25:59.704428200Z | NAME RECON STEP 6: START ORG RECON 2022-12-05T22:36:18.201823800Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-12-05T23:00:18.450618700Z | NAME RECON STEP 9: FINALIZED 2022-12-05T23:03:29.372667100Z","Aelred of Rievaulx, Saint 1110-1167.",author,,,human,Aelred of Rievaulx,Q380845
682,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-11-30T17:35:32.767011Z | NAME RECON STEP 3: START HUMAN RECON 2022-11-30T17:59:48.090168300Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-12-05T20:25:59.704428200Z | NAME RECON STEP 6: START ORG RECON 2022-12-05T22:36:18.201823800Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-12-05T23:00:18.450618700Z | NAME RECON STEP 9: FINALIZED 2022-12-05T23:03:29.372667100Z",Aeneas Silvius Piccolomini (Pius II),author,,,human,Pius II,Q101437
684,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-11-30T17:35:32.767011Z | NAME RECON STEP 3: START HUMAN RECON 2022-11-30T17:59:48.090168300Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-12-05T20:25:59.704428200Z | NAME RECON STEP 6: START ORG RECON 2022-12-05T22:36:18.201823800Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-12-05T23:00:18.450618700Z | NAME RECON STEP 9: FINALIZED 2022-12-05T23:03:29.372667100Z",Aesop,author,,,human,Aesop,Q43423
685,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-11-30T17:35:32.767011Z | NAME RECON STEP 3: START HUMAN RECON 2022-11-30T17:59:48.090168300Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-12-05T20:25:59.704428200Z | NAME RECON STEP 6: START ORG RECON 2022-12-05T22:36:18.201823800Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-12-05T23:00:18.450618700Z | NAME RECON STEP 9: FINALIZED 2022-12-05T23:03:29.372667100Z",Aesop.,author,,,human,Aesop,Q43423
686,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-11-30T17:35:32.767011Z | NAME RECON STEP 3: START HUMAN RECON 2022-11-30T17:59:48.090168300Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-12-05T20:25:59.704428200Z | NAME RECON STEP 6: START ORG RECON 2022-12-05T22:36:18.201823800Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-12-05T23:00:18.450618700Z | NAME RECON STEP 9: FINALIZED 2022-12-05T23:03:29.372667100Z","Africanus, Sextus Julius.",author,,,human,Sextus Julius Africanus,Q317014
687,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-11-30T17:35:32.767011Z | NAME RECON STEP 3: START HUMAN RECON 2022-11-30T17:59:48.090168300Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-12-05T20:25:59.704428200Z | NAME RECON STEP 6: START ORG RECON 2022-12-05T22:36:18.201823800Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-12-05T23:00:18.450618700Z | NAME RECON STEP 9: FINALIZED 2022-12-05T23:03:29.372667100Z","Agnese, Battista 16th cent.",author,,,human,Battista Agnese,Q612967
688,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-11-30T17:35:32.767011Z | NAME RECON STEP 3: START HUMAN RECON 2022-11-30T17:59:48.090168300Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-12-05T20:25:59.704428200Z | NAME RECON STEP 6: START ORG RECON 2022-12-05T22:36:18.201823800Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-12-05T23:00:18.450618700Z | NAME RECON STEP 9: FINALIZED 2022-12-05T23:03:29.372667100Z",Agostino Dati,author,,,human,Agostino Dati,Q5659931
689,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-11-30T17:35:32.767011Z | NAME RECON STEP 3: START HUMAN RECON 2022-11-30T17:59:48.090168300Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-12-05T20:25:59.704428200Z | NAME RECON STEP 6: START ORG RECON 2022-12-05T22:36:18.201823800Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-12-05T23:00:18.450618700Z | NAME RECON STEP 9: FINALIZED 2022-12-05T23:03:29.372667100Z",Agostino Staccoli,author,,,human,Agostino Staccoli,Q45535876
