row_index,workflow_history,name_as_recorded,role,name_agr,source_authority_uri,instance_of,authorized_label,structured_value
3463,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-11-30T17:35:32.833000500Z | NAME RECON STEP 3: START HUMAN RECON 2022-11-30T17:59:48.203160800Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-12-05T20:25:59.714678Z | NAME RECON STEP 6: START ORG RECON 2022-12-05T22:36:18.210823400Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-12-05T23:00:18.461615100Z | NAME RECON STEP 9: FINALIZED 2022-12-05T23:03:29.382661900Z",Jan de Keyser,author,,,human,Jan de Keyser,Q29935006
3465,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-11-30T17:35:32.833000500Z | NAME RECON STEP 3: START HUMAN RECON 2022-11-30T17:59:48.204162100Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-12-05T20:25:59.714678Z | NAME RECON STEP 6: START ORG RECON 2022-12-05T22:36:18.210823400Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-12-05T23:00:18.461615100Z | NAME RECON STEP 9: FINALIZED 2022-12-05T23:03:29.382661900Z",Jans Enikel,author,,,human,Jans der Enikel,Q689252
3469,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-11-30T17:35:32.833000500Z | NAME RECON STEP 3: START HUMAN RECON 2022-11-30T17:59:48.204162100Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-12-05T20:25:59.714678Z | NAME RECON STEP 6: START ORG RECON 2022-12-05T22:36:18.211823700Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-12-05T23:00:18.461615100Z | NAME RECON STEP 9: FINALIZED 2022-12-05T23:03:29.382661900Z",Jean Calvin,author,,,human,John Calvin,Q37577
3471,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-11-30T17:35:32.833000500Z | NAME RECON STEP 3: START HUMAN RECON 2022-11-30T17:59:48.204162100Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-12-05T20:25:59.714678Z | NAME RECON STEP 6: START ORG RECON 2022-12-05T22:36:18.211823700Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-12-05T23:00:18.461615100Z | NAME RECON STEP 9: FINALIZED 2022-12-05T23:03:29.382661900Z",Jean Foy-Vaillant,author,,,human,Jean Foy-Vaillant,Q3172080
3473,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-11-30T17:35:32.833000500Z | NAME RECON STEP 3: START HUMAN RECON 2022-11-30T17:59:48.204162100Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-12-05T20:25:59.714678Z | NAME RECON STEP 6: START ORG RECON 2022-12-05T22:36:18.211823700Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-12-05T23:00:18.461615100Z | NAME RECON STEP 9: FINALIZED 2022-12-05T23:03:29.382661900Z",Jean Froissart,author,,,human,Jean Froissart,Q315000
3475,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-11-30T17:35:32.833000500Z | NAME RECON STEP 3: START HUMAN RECON 2022-11-30T17:59:48.204162100Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-12-05T20:25:59.714678Z | NAME RECON STEP 6: START ORG RECON 2022-12-05T22:36:18.211823700Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-12-05T23:00:18.461615100Z | NAME RECON STEP 9: FINALIZED 2022-12-05T23:03:29.382661900Z",Jean Gerson,author,,,human,Jean Gerson,Q281179
3476,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-11-30T17:35:32.833000500Z | NAME RECON STEP 3: START HUMAN RECON 2022-11-30T17:59:48.204162100Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-12-05T20:25:59.714678Z | NAME RECON STEP 6: START ORG RECON 2022-12-05T22:36:18.211823700Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-12-05T23:00:18.461615100Z | NAME RECON STEP 9: FINALIZED 2022-12-05T23:03:29.382661900Z",Jean Gerson (Johannes Gerson),author,,,human,Jean Gerson,Q281179
3477,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-11-30T17:35:32.833000500Z | NAME RECON STEP 3: START HUMAN RECON 2022-11-30T17:59:48.204162100Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-12-05T20:25:59.714678Z | NAME RECON STEP 6: START ORG RECON 2022-12-05T22:36:18.211823700Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-12-05T23:00:18.461615100Z | NAME RECON STEP 9: FINALIZED 2022-12-05T23:03:29.382661900Z",Jean Gerson 1363-1429,author,,,human,Jean Gerson,Q281179
3478,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-11-30T17:35:32.833000500Z | NAME RECON STEP 3: START HUMAN RECON 2022-11-30T17:59:48.204162100Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-12-05T20:25:59.714678Z | NAME RECON STEP 6: START ORG RECON 2022-12-05T22:36:18.211823700Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-12-05T23:00:18.461615100Z | NAME RECON STEP 9: FINALIZED 2022-12-05T23:03:29.382661900Z",Jean Gerson?,author,,,human,Jean Gerson,Q281179
3482,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-11-30T17:35:32.833000500Z | NAME RECON STEP 3: START HUMAN RECON 2022-11-30T17:59:48.204162100Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-12-05T20:25:59.714678Z | NAME RECON STEP 6: START ORG RECON 2022-12-05T22:36:18.211823700Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-12-05T23:00:18.461615100Z | NAME RECON STEP 9: FINALIZED 2022-12-05T23:03:29.382661900Z",Jean Mansel,author,,,human,Jean Mansel,Q16645535
3484,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-11-30T17:35:32.833000500Z | NAME RECON STEP 3: START HUMAN RECON 2022-11-30T17:59:48.204162100Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-12-05T20:25:59.714678Z | NAME RECON STEP 6: START ORG RECON 2022-12-05T22:36:18.211823700Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-12-05T23:00:18.461615100Z | NAME RECON STEP 9: FINALIZED 2022-12-05T23:03:29.382661900Z",Jean Passerat,author,,,human,Jean Passerat,Q1394699
3485,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-11-30T17:35:32.833000500Z | NAME RECON STEP 3: START HUMAN RECON 2022-11-30T17:59:48.204162100Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-12-05T20:25:59.714678Z | NAME RECON STEP 6: START ORG RECON 2022-12-05T22:36:18.211823700Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-12-05T23:00:18.461615100Z | NAME RECON STEP 9: FINALIZED 2022-12-05T23:03:29.382661900Z",Jean de Blois,author,,,human,John I of Blois-Châtillon,Q2478500
3488,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-11-30T17:35:32.833000500Z | NAME RECON STEP 3: START HUMAN RECON 2022-11-30T17:59:48.204162100Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-12-05T20:25:59.714678Z | NAME RECON STEP 6: START ORG RECON 2022-12-05T22:36:18.211823700Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-12-05T23:00:18.461615100Z | NAME RECON STEP 9: FINALIZED 2022-12-05T23:03:29.382661900Z",Jean de Fe'camp,author,,,human,John of Fécamp,Q3175409
3489,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-11-30T17:35:32.833000500Z | NAME RECON STEP 3: START HUMAN RECON 2022-11-30T17:59:48.204162100Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-12-05T20:25:59.714678Z | NAME RECON STEP 6: START ORG RECON 2022-12-05T22:36:18.211823700Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-12-05T23:00:18.461615100Z | NAME RECON STEP 9: FINALIZED 2022-12-05T23:03:29.382661900Z",Jean de Meun,author,,,human,Jean de Meun,Q544925
3490,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-11-30T17:35:32.833000500Z | NAME RECON STEP 3: START HUMAN RECON 2022-11-30T17:59:48.204162100Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-12-05T20:25:59.714678Z | NAME RECON STEP 6: START ORG RECON 2022-12-05T22:36:18.211823700Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-12-05T23:00:18.461615100Z | NAME RECON STEP 9: FINALIZED 2022-12-05T23:03:29.382661900Z",Jean de Meun d. 1305?,author,,,human,Jean de Meun,Q544925
3499,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-11-30T17:35:32.834000800Z | NAME RECON STEP 3: START HUMAN RECON 2022-11-30T17:59:48.205162300Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-12-05T20:25:59.714678Z | NAME RECON STEP 6: START ORG RECON 2022-12-05T22:36:18.211823700Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-12-05T23:00:18.461615100Z | NAME RECON STEP 9: FINALIZED 2022-12-05T23:03:29.382661900Z",Jehan de Wavrin,author,,,human,Jean de Wavrin,Q321881
3501,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-11-30T17:35:32.834000800Z | NAME RECON STEP 3: START HUMAN RECON 2022-11-30T17:59:48.205162300Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-12-05T20:25:59.714678Z | NAME RECON STEP 6: START ORG RECON 2022-12-05T22:36:18.211823700Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-12-05T23:00:18.461615100Z | NAME RECON STEP 9: FINALIZED 2022-12-05T23:03:29.382661900Z",Jerome,author,,,human,Jerome,Q44248
3502,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-11-30T17:35:32.834000800Z | NAME RECON STEP 3: START HUMAN RECON 2022-11-30T17:59:48.205162300Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-12-05T20:25:59.714678Z | NAME RECON STEP 6: START ORG RECON 2022-12-05T22:36:18.211823700Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-12-05T23:00:18.461615100Z | NAME RECON STEP 9: FINALIZED 2022-12-05T23:03:29.382661900Z",Jerome (Sophronius Eusebius Hieronymus),author,,,human,Jerome,Q44248
3504,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-11-30T17:35:32.834000800Z | NAME RECON STEP 3: START HUMAN RECON 2022-11-30T17:59:48.205162300Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-12-05T20:25:59.714678Z | NAME RECON STEP 6: START ORG RECON 2022-12-05T22:36:18.211823700Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-12-05T23:00:18.461615100Z | NAME RECON STEP 9: FINALIZED 2022-12-05T23:03:29.382661900Z",Jerome Saint d. 419 or 20.,author,,,human,Jerome,Q44248
3505,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-11-30T17:35:32.834000800Z | NAME RECON STEP 3: START HUMAN RECON 2022-11-30T17:59:48.205162300Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-12-05T20:25:59.714678Z | NAME RECON STEP 6: START ORG RECON 2022-12-05T22:36:18.211823700Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-12-05T23:00:18.461615100Z | NAME RECON STEP 9: FINALIZED 2022-12-05T23:03:29.382661900Z",Jerónimo Román (Hieronymo Roman),author,,,human,Jerónimo Román de la Higuera,Q328849
3511,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-11-30T17:35:32.834000800Z | NAME RECON STEP 3: START HUMAN RECON 2022-11-30T17:59:48.205162300Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-12-05T20:25:59.714678Z | NAME RECON STEP 6: START ORG RECON 2022-12-05T22:36:18.211823700Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-12-05T23:00:18.461615100Z | NAME RECON STEP 9: FINALIZED 2022-12-05T23:03:29.382661900Z",Joachim of Fiore,author,,,human,Joachim of Fiore,Q199991
3512,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-11-30T17:35:32.834000800Z | NAME RECON STEP 3: START HUMAN RECON 2022-11-30T17:59:48.205162300Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-12-05T20:25:59.714678Z | NAME RECON STEP 6: START ORG RECON 2022-12-05T22:36:18.211823700Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-12-05T23:00:18.461615100Z | NAME RECON STEP 9: FINALIZED 2022-12-05T23:03:29.382661900Z",Joachim of Fiore ca. 1132-1202.,author,,,human,Joachim of Fiore,Q199991
3514,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-11-30T17:35:32.834000800Z | NAME RECON STEP 3: START HUMAN RECON 2022-11-30T17:59:48.205162300Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-12-05T20:25:59.714678Z | NAME RECON STEP 6: START ORG RECON 2022-12-05T22:36:18.211823700Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-12-05T23:00:18.461615100Z | NAME RECON STEP 9: FINALIZED 2022-12-05T23:03:29.382661900Z",Joannes Andreae,author,,,human,Giovanni d'Andrea,Q920858
3515,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-11-30T17:35:32.834000800Z | NAME RECON STEP 3: START HUMAN RECON 2022-11-30T17:59:48.205162300Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-12-05T20:25:59.714678Z | NAME RECON STEP 6: START ORG RECON 2022-12-05T22:36:18.211823700Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-12-05T23:00:18.461615100Z | NAME RECON STEP 9: FINALIZED 2022-12-05T23:03:29.382661900Z",Joannes Cassianus,author,,,human,John Cassian,Q313795
3517,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-11-30T17:35:32.834000800Z | NAME RECON STEP 3: START HUMAN RECON 2022-11-30T17:59:48.205162300Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-12-05T20:25:59.714678Z | NAME RECON STEP 6: START ORG RECON 2022-12-05T22:36:18.211823700Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-12-05T23:00:18.461615100Z | NAME RECON STEP 9: FINALIZED 2022-12-05T23:03:29.382661900Z",Joannes Chrysostomus,author,,,human,John Chrysostom,Q43706
3518,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-11-30T17:35:32.834000800Z | NAME RECON STEP 3: START HUMAN RECON 2022-11-30T17:59:48.205162300Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-12-05T20:25:59.714678Z | NAME RECON STEP 6: START ORG RECON 2022-12-05T22:36:18.211823700Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-12-05T23:00:18.461615100Z | NAME RECON STEP 9: FINALIZED 2022-12-05T23:03:29.382661900Z",Joannes Oecolampadius,author,,,human,Johannes Oecolampadius,Q123450
3519,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-11-30T17:35:32.834000800Z | NAME RECON STEP 3: START HUMAN RECON 2022-11-30T17:59:48.205162300Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-12-05T20:25:59.714678Z | NAME RECON STEP 6: START ORG RECON 2022-12-05T22:36:18.211823700Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-12-05T23:00:18.461615100Z | NAME RECON STEP 9: FINALIZED 2022-12-05T23:03:29.382661900Z",Joannes Oliva,author,,,human,Joannes Oliva,Q112428342
3520,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-11-30T17:35:32.834000800Z | NAME RECON STEP 3: START HUMAN RECON 2022-11-30T17:59:48.205162300Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-12-05T20:25:59.714678Z | NAME RECON STEP 6: START ORG RECON 2022-12-05T22:36:18.211823700Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-12-05T23:00:18.461615100Z | NAME RECON STEP 9: FINALIZED 2022-12-05T23:03:29.382661900Z",Joannes Teutonicus d. 1245?,author,,,human,Johannes Teutonicus Zemeke,Q1698481
3521,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-11-30T17:35:32.834000800Z | NAME RECON STEP 3: START HUMAN RECON 2022-11-30T17:59:48.205162300Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-12-05T20:25:59.714678Z | NAME RECON STEP 6: START ORG RECON 2022-12-05T22:36:18.211823700Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-12-05T23:00:18.461615100Z | NAME RECON STEP 9: FINALIZED 2022-12-05T23:03:29.382661900Z",Johann Meyer,author,,,human,Johann Meyer,Q114242449
3522,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-11-30T17:35:32.834000800Z | NAME RECON STEP 3: START HUMAN RECON 2022-11-30T17:59:48.205162300Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-12-05T20:25:59.714678Z | NAME RECON STEP 6: START ORG RECON 2022-12-05T22:36:18.211823700Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-12-05T23:00:18.461615100Z | NAME RECON STEP 9: FINALIZED 2022-12-05T23:03:29.382661900Z",Johann Neudorffer,author,,,human,Johann Neudörffer the Elder,Q1695681
3523,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-11-30T17:35:32.834000800Z | NAME RECON STEP 3: START HUMAN RECON 2022-11-30T17:59:48.205162300Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-12-05T20:25:59.714678Z | NAME RECON STEP 6: START ORG RECON 2022-12-05T22:36:18.211823700Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-12-05T23:00:18.461615100Z | NAME RECON STEP 9: FINALIZED 2022-12-05T23:03:29.382661900Z",Johann Reger,author,,,human,Johann Reger,Q18223621
3525,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-11-30T17:35:32.834000800Z | NAME RECON STEP 3: START HUMAN RECON 2022-11-30T17:59:48.205162300Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-12-05T20:25:59.714678Z | NAME RECON STEP 6: START ORG RECON 2022-12-05T22:36:18.211823700Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-12-05T23:00:18.461615100Z | NAME RECON STEP 9: FINALIZED 2022-12-05T23:03:29.382661900Z",Johannes Andreas,author,,,human,Andreas Johannes,Q68905190
3527,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-11-30T17:35:32.834000800Z | NAME RECON STEP 3: START HUMAN RECON 2022-11-30T17:59:48.205162300Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-12-05T20:25:59.714678Z | NAME RECON STEP 6: START ORG RECON 2022-12-05T22:36:18.211823700Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-12-05T23:00:18.461615100Z | NAME RECON STEP 9: FINALIZED 2022-12-05T23:03:29.382661900Z",Johannes Auerbach,author,,,human,Johannes Auerbach,Q41559634
3528,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-11-30T17:35:32.834000800Z | NAME RECON STEP 3: START HUMAN RECON 2022-11-30T17:59:48.205162300Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-12-05T20:25:59.714678Z | NAME RECON STEP 6: START ORG RECON 2022-12-05T22:36:18.211823700Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-12-05T23:00:18.461615100Z | NAME RECON STEP 9: FINALIZED 2022-12-05T23:03:29.382661900Z",Johannes Caldrini,author,,,human,Giovanni Calderini,Q17279931
3529,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-11-30T17:35:32.834000800Z | NAME RECON STEP 3: START HUMAN RECON 2022-11-30T17:59:48.205162300Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-12-05T20:25:59.714678Z | NAME RECON STEP 6: START ORG RECON 2022-12-05T22:36:18.211823700Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-12-05T23:00:18.461615100Z | NAME RECON STEP 9: FINALIZED 2022-12-05T23:03:29.382661900Z",Johannes Cassianus,author,,,human,John Cassian,Q313795
3530,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-11-30T17:35:32.834000800Z | NAME RECON STEP 3: START HUMAN RECON 2022-11-30T17:59:48.205162300Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-12-05T20:25:59.715677Z | NAME RECON STEP 6: START ORG RECON 2022-12-05T22:36:18.211823700Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-12-05T23:00:18.461615100Z | NAME RECON STEP 9: FINALIZED 2022-12-05T23:03:29.382661900Z",Johannes Duns Scotus,author,,,human,Duns Scotus,Q190089
3533,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-11-30T17:35:32.834000800Z | NAME RECON STEP 3: START HUMAN RECON 2022-11-30T17:59:48.205162300Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-12-05T20:25:59.715677Z | NAME RECON STEP 6: START ORG RECON 2022-12-05T22:36:18.211823700Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-12-05T23:00:18.461615100Z | NAME RECON STEP 9: FINALIZED 2022-12-05T23:03:29.382661900Z",Johannes Gerson,author,,,human,Jean Gerson,Q281179
3534,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-11-30T17:35:32.834000800Z | NAME RECON STEP 3: START HUMAN RECON 2022-11-30T17:59:48.205162300Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-12-05T20:25:59.715677Z | NAME RECON STEP 6: START ORG RECON 2022-12-05T22:36:18.211823700Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-12-05T23:00:18.461615100Z | NAME RECON STEP 9: FINALIZED 2022-12-05T23:03:29.382661900Z",Johannes Gobi,author,,,human,Jean Gobi,Q112370992
3535,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-11-30T17:35:32.834000800Z | NAME RECON STEP 3: START HUMAN RECON 2022-11-30T17:59:48.205162300Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-12-05T20:25:59.715677Z | NAME RECON STEP 6: START ORG RECON 2022-12-05T22:36:18.211823700Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-12-05T23:00:18.461615100Z | NAME RECON STEP 9: FINALIZED 2022-12-05T23:03:29.382661900Z",Johannes Grassus,author,,,human,Giovanni Grassi,Q41569872
3536,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-11-30T17:35:32.834000800Z | NAME RECON STEP 3: START HUMAN RECON 2022-11-30T17:59:48.205162300Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-12-05T20:25:59.715677Z | NAME RECON STEP 6: START ORG RECON 2022-12-05T22:36:18.211823700Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-12-05T23:00:18.461615100Z | NAME RECON STEP 9: FINALIZED 2022-12-05T23:03:29.382661900Z",Johannes Hagen,author,,,human,Johannes Hagen,Q19687584
3537,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-11-30T17:35:32.834000800Z | NAME RECON STEP 3: START HUMAN RECON 2022-11-30T17:59:48.205162300Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-12-05T20:25:59.715677Z | NAME RECON STEP 6: START ORG RECON 2022-12-05T22:36:18.211823700Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-12-05T23:00:18.461615100Z | NAME RECON STEP 9: FINALIZED 2022-12-05T23:03:29.382661900Z",Johannes Halgrinus de Abbatisvilla,author,,,human,John Halgren of Abbeville,Q3129519
3538,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-11-30T17:35:32.834000800Z | NAME RECON STEP 3: START HUMAN RECON 2022-11-30T17:59:48.205162300Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-12-05T20:25:59.715677Z | NAME RECON STEP 6: START ORG RECON 2022-12-05T22:36:18.211823700Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-12-05T23:00:18.461615100Z | NAME RECON STEP 9: FINALIZED 2022-12-05T23:03:29.382661900Z",Johannes Herolt,author,,,human,Johann Herolt,Q1697670
3543,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-11-30T17:35:32.834000800Z | NAME RECON STEP 3: START HUMAN RECON 2022-11-30T17:59:48.206160500Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-12-05T20:25:59.715677Z | NAME RECON STEP 6: START ORG RECON 2022-12-05T22:36:18.211823700Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-12-05T23:00:18.461615100Z | NAME RECON STEP 9: FINALIZED 2022-12-05T23:03:29.382661900Z",Johannes Nicolaus de Milis,author,,,human,Johannes Milis,Q6216858
3544,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-11-30T17:35:32.834000800Z | NAME RECON STEP 3: START HUMAN RECON 2022-11-30T17:59:48.206160500Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-12-05T20:25:59.715677Z | NAME RECON STEP 6: START ORG RECON 2022-12-05T22:36:18.211823700Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-12-05T23:00:18.461615100Z | NAME RECON STEP 9: FINALIZED 2022-12-05T23:03:29.382661900Z","Johannes Nider, O.P.",author,,,human,Johannes Nider,Q66836
3546,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-11-30T17:35:32.835Z | NAME RECON STEP 3: START HUMAN RECON 2022-11-30T17:59:48.206160500Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-12-05T20:25:59.715677Z | NAME RECON STEP 6: START ORG RECON 2022-12-05T22:36:18.211823700Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-12-05T23:00:18.461615100Z | NAME RECON STEP 9: FINALIZED 2022-12-05T23:03:29.382661900Z",Johannes Regiomontanus,author,,,human,Regiomontanus,Q76365
3548,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-11-30T17:35:32.835Z | NAME RECON STEP 3: START HUMAN RECON 2022-11-30T17:59:48.206160500Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-12-05T20:25:59.715677Z | NAME RECON STEP 6: START ORG RECON 2022-12-05T22:36:18.211823700Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-12-05T23:00:18.461615100Z | NAME RECON STEP 9: FINALIZED 2022-12-05T23:03:29.382661900Z",Johannes Scheubel,author,,,human,Johannes Scheubel,Q89466
