title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label
Collation of L'ethica d'Aristotile ridotta in compendio,,,,Nicomachean Ethics
Collection of astronomical texts,,,,Astronomy
Collection of notarial documents,,,,Notarial documents
Commentaria ad Rhetoricam Ciceronis,,,,Explanationes in Ciceronis Rhetoricam
Commentaries on Aristotle,,,,Commentary on Aristotle
Commentaries on De generatione et corruptione and Meteorologica,,,,"Commentary on De generatione et corruptione;Commentary on Meteorologica
"
Commentaries on canon law,,Corpus juris canonici,,Corpus juris canonici
Commentaries on the De generatione et corruptione and Analytica,,,,Commentary on De generatione et corruptione;Commentary on Analytica
Commentary on Andria and Eunuch,,,,Commentary on Andria;Commentary on Eunuch
Commentary on the Clementines,,,,Commentary on Corpus Juris Canonici
Commentary on the Ethica Nicomachea,,,,Commentary on Nichomachean Ethics
Commentary on the Sentences of Peter Lombard,,,,Commentary on the Sentences
Concini family papers,,,,Family documents
Confessione generale,,,,Confessione generale
Consejo de Inquisición (Spain) genealogy for Bartholome Escola,,,,Spanish Inquisition
Consejo de Inquisición (Spain) genealogy for Marçal Traveria,,,,Spanish Inquisition
Consejo de Inquisición (Spain) genealogy for Miguel Ros Pelayre,,,,Spanish Inquisition
Consilium generale legal document,,,,Legal documents
Consilium notarial document,,,,Notarial documents
Contemplations of the dread and love of God ... etc,,Contemplations of the dread and love of God.,,Contemplations of the dread and love of God
Coppetto Coppetti power of attorney,,,,Power of attorney
Copy of Pope Pius II bull,,,,Bull
Cose di geometria /,,"Summa de arithmetica, geometria, proportioni et proportionalità.",,"Summa de arithmetica, geometria, proportioni et proportionalità"
Cosmographia /,,De chorographia,,De chorographia
Cosmographies,,,,De chorographia
Council notarial document,,,,Notarial documents
Crispi Sallustii de Catheline conjuracione liber,,Bellum Catilinae,,De coniuratione Catilinae
Curia episcopalis notarial document,,,,Notarial documents
Davanzato di Fagno power of attorney,,,,Power of attorney
De Canticis canticorum,,,,Cantica Canticorum
"De amore et dilectione dei et proximi, ac de forma vitae ... etc",,,,Liber de amore et dilectione dei et proximi et aliarum rerum et de forma vitae
De casibus conscientiae ... etc,,,,Summa de casibus conscientiae
De coloribus urinae ... etc,,,,De coloribus urinae
De consolatione philosophiae,,,,De consolatione philosophiae
De consolatione philosophiae,,De consolatione philosophiae,,De consolatione philosophiae
De decem praeceptis decalogi,,,,De decem praeceptis decalogi
De descriptione terre sancte ... etc,,,,De descriptione terre sancte
De educatione liberorum et eorum claris morbis,,,,De educatione liberorum et eorum claris moribus
De improbatione concentricorum et epicyclorum ... etc,,,,De improbatione concentricorum et epicyclorum
De institutione musica,,,,De institutione musica
De la rapina di Proserpina,,De raptu Proserpinae.,,De raptu Proserpinae
De las doze cargas,,Aqui se contiene una disputa o controversia.,,Aqui se contiene una disputa o controversia
De misericordia,,,,De misericordia
De philosophia mundi ... etc,,Philosophia mundi,,Philosophia mundi
De planctu naturae,,,,De planctu naturae
De re medicina,,Circa instans,,Circa instans
De regimine principium ... etc,,Secretum secretorum.,,Secretum secretorum
De reparatione lapsi hominis,,,,De reparatione lapsi hominis
De republica Veneta /,,,,De republica Veneta
De secretis mulierum,,De secretis mulierum.,,De secretis mulierum
De spiritu et anima ... etc,,,,Liber de spiritu et anima
De urinarum judiciis,,,,Carmina de urinarum iudiciis et de pulsibus
De venatione divini amoris,,,,De venatione divini amoris
De vita christiana,,,,De vita christiana
De vita xii Caesarum ... etc. /,,,,De vita Caesarum
Decameron,,Decamerone.,,Decameron
Decretales Gregorii IX,,Decretales Gregorii IX,,Decretales Gregorii IX
Decretales abbreviate,,Decretales Gregorii IX.,,Decretales Gregorii IX
"Deed of a dowry of 250,000 ducats to Maria de Urria",,,,Deed
Deed of confiscated property,,,,Deed
Del Pero family deed,,,,Deed
Descriptio Terrae Sanctae,,,,Descriptio Terrae Sanctae
Detti family papers,,,,Family documents
Devotional book,,,,Devotional book
Devotional roll,,,,Devotional book
Dictionary leaves,,,,Dictionary
Dictionary of synonyms,,,,Dictionary
Diocese of Siena legal decision,,,,Legal documents
"Discrittione delle cose di Cipro, con le ragioni in favore, ò contra diverse openioni , et delle provisioni, che erano necessarie per quel Regno",,,,"Discrittione delle cose di Cipro, con le ragioni in favore, o contra diverse openioni, et delle provisioni, che erano necessarie per quel Regno"
Dits moraux des philosophes,,Dicta philosophorum.,,Dicta philosophorum
"Dogale issued by Doge Alvise Mocenigo to Girolamo Pruli, podestà of Brescia",,,,Dogale
"Dogale issued by Doge Leonardo Loredan to Paolo Nani, podestà and capitaneus of Treviso",,,,Dogale
Domenico Duti power of attorney,,,,Power of attorney
Domenico Ruffaldi and Jacopo de Buralis power of attorney,,,,Power of attorney
Domenico Taparelli testament,,,,Will
Domenico di Bardo power of attorney,,,,Power of attorney
Dominican prayer book,,,,Prayerbook
Don Matteo Zati deed of gift,,,,Deed
Duo libri contemplationis ... etc,,Scale of perfection,,Scale of perfection
Ḍawʼ al-sirāj,ضوء السراج.,,,Ḍawʼ al-sirāj
Eis ta Harmonika Ptolemaiou hypomnēma,,,,Commentarius in Claudii Ptolemaei Harmonica
English religious poems,,,,Poetry
Epistola Mahomethi Turchiae Graeciaeque Imperatoris ad Ferdinandum Regem Siciliae de expugnatione Negropontis. Responsio dicti Ferdinandi Regis Siciliae de eadem re,,,,Epistles
Epistolae latinae,,,,Epistles
Erbario,,,,Herbarium
Erotopaignion /,,,,Erotopaegnion
Ethica Nicomachea,,Nicomachean ethics.,,Nicomachean Ethics
Ethica secondo la dottrina d'Aristotile,,,,Nicomachean Ethics
Explanatio librorum physicorum,,,,Commentary on Aristotle's Physics
Expositio super regulam beati Augustini episcopi,,,,Expositio in regulam beati Augustini
Extract from Secretum secretorum,,Secretum secretorum.,,Secretum secretorum
Fabrizio Celleri will,,,,Will
Fasciculus temporum,,,,Fasciculus temporum
Ferial psalter,,,,Psalter
Ferial psalter bifolium,,Bible.,,Psalter
Feuerwerkbuch,,,,Feuerwerkbuch
Fifteenth-century miscellany,,,,Miscellany
Filippo della Casa power of attorney,,,,Power of attorney
Filofistea /,,,,Filofistea
Fiorecti del libro de Sancto Francesco ... etc,,Fioretti di San Francesco.,,Fioretti di San Francesco
Florilegium,,,,Florilegium
Forme romane curie super beneficiis et questionibus... etc,,,,Forme Romane curie super beneficiis et questionibus
Fragment from De mysteriis,,De mysteriis.,,De mysteriis
Fragment of Canon medicinae,,Qānūn fī al-ṭibb.,,Qānūn fī al-ṭibb
"Fragment of Joshua, chapters IV, 18-VIII, 6",,Bible.,,Bible
Fragment of a choral antiphonary ?,,Antiphonary,,Antiphonary
Fragment of manuscript bifolium from the Liber ad Almansorem,,Kitāb al-Manṣūrī.,,Kitāb al-Manṣūrī
Fragments from Books III-V of Qānūn fī al-ṭibb,,Qānūn fī al-ṭibb.,قانون في الطب.,Qānūn fī al-ṭibb
"Fragments of the Digests of Justinian, Book 37, Titles 7-9",,Corpus juris civilis.,,Corpus juris civilis
Francesca Massi power of attorney,,,,Power of attorney
Francesco Armaiolo power of attorney,,,,Power of attorney
Francesco Bertini deed,,,,Deed
Francesco Fazio will,,,,Will
Francesco di Sigismondo will,,,,Will
Franciscan miscellany,,,,Miscellany
Gathering from Ikhtiṣār lil-maqālāt min kitāb Uqlīdis,,Elements.,,Elements
Gathering from glossed Second Corinthians,,Bible.,,Bible
Ghilo di Francesco legal decision,,,,Legal documents
Ghita Gabrielli power of attorney,,,,Power of attorney
Giannino Minuzio deed of sale,,,,Deed
Giovanni Battista di Lorenzo power of attorney,,,,Power of attorney
Giovanni Stafileo legal decision,,,,Legal documents
Giovanni de' Medici power of attorney,,,,Power of attorney
Giovanni de' Rossi power of attorney,,,,Power of attorney
Giovanni di Bernardo deed,,,,Deed
Giovanni di Fatio Piccolomini deed,,,,Deed
Girolamo Piccolomini notarial document,,,,Notarial documents
Girolamo and Pandolfo Corbinelli power of attorney,,,,Power of attorney
Girolamo de Piglis deed,,,,Deed
Gli amori di Tibullo e Glicera,,,,Gli amori di Tibullo e Glicera
Glossa ordinaria fragments,,Glossa ordinaria.,,Glossa ordinaria
Glossed psalter,,,,Psalter
Glossed psalter leaf,,Bible.,,Psalter
Gospel lessons for the Office of the Dead,,Book of hours.,,Book of hours
Graduale /,,Gradual (Diocese of Bressanone),,Gradual
Gregorio di San Miniato deed,,,,Deed
Guglielmo Maro power of attorney,,,,Power of attorney
Guida di Stefano power of attorney,,,,Power of attorney
Guido di Biagio di Carlo Piccolomini will,,,,Will
Hebrew Bible,,Bible.,,Bible
Historia Troiana,,Historia destructionis Troiae,,Historia destructionis Troiae
Historical miscellany,,,,Historical miscellany
Historical miscellany concerning Poland,,,,Historical miscellany
Horae de Sancta Katherina,,,,Book of hours
Horalogium sapientiae,,Horologium sapientiae,,Horologium sapientiae
Hybrid book of hours,,,,Book of hours
Hymni cum glossis,,,,Hymns
Hymns and prayers,,,,Hymns
Ibn Malak ʻalá al-Manār fī uṣūl al-fiqh,ابن ملك على المنار في اصول الفقه.,Sharḥ Manār al-anwār fī uṣūl al-fiqh,شرح منار الانوار في اصول الفقه,Sharḥ Manār al-anwār fī uṣūl al-fiqh
Ikhtiṣār lil-maqālāt min kitāb Uqlīdis,اختصار للمقالات من كتاب اقليدس.,Elements.,,Elements
Il Genesi,,,,Genesis;Bible
Ildibrandinus legal document,,,,Legal documents
Illuminated leaf from a printed book of hours,,Penitential Psalms.,,Penitential Psalms
Illuminated missal,,,,Missal
In Aristotelis libros de generatione et corruptione ... etc,,,,Commentary on Aristotle's De generatione et corruptione
In metaphysica Aristotelis,,,,Commentary on Aristotle's Metaphysics
In physicam seu philosophiam naturalem commentarius una cum quaestionibus,,,,Commentary on Aristotle's Physics
In universam Aristotelis physicam,,,,Commentary on Aristotle's Physics
Inni della Beata Vergine Maria,,,,Hymns
Italian alchemical miscellany,,,,Alchemical miscellany
Italian historical miscellany,,,,Historical miscellany
Italian religious miscellany,,,,Religious miscellany
"Iuramentum capitulare, advocatorum per offitia rivoalti",,,,Advocati Rivoalti
Īn kitāb dar ṭibb,اين کتاب در طب.,Nūr al-fuʼād,نور الفؤاد,Nūr al-fuʼād
Jesuit miscellany,,,,Religious miscellany
Joannes Thomas Beltamino will,,,,Will
Joannis Passeratii Coniecturarum et opinionum liber,,,,Coniecturarum liber
Kitāb Mīzān al-ḥikmah,كتاب ميزان الحكمة.,Mīzān al-ḥikmah.,ميزان الحكمة.,Mīzān al-ḥikmah
Kitāb Rawḍ al-rayāḥīn fī ḥikāyāt al-ṣāliḥīn,كتاب روض الرياحين في حكايات الصالحين ،,Rawḍ al-rayāḥīn fī ḥikāyāt al-ṣāliḥīn,روض الرياحين في حكايات الصالحين,Rawḍ al-rayāḥīn fī ḥikāyāt al-ṣāliḥīn
Kitāb al-Miṣbāḥ wa-nuzʹhat al-arwāḥ fī ʻilm al-miftāḥ fī al-ḥikmah al-Ilāhīyah wa-al-ṣināʻah al-falsafīyah wa al-natījah al-ʻalīyah,كتاب المصباح ونزهة الارواح في علم المفتاح في الحكمة الالاهية والصناعة الفلسفية و النتيجة العلية.,Miṣbāḥ fī ʻilm al-miftāḥ fī al-ḥikmah al-Ilāhīyah wa-al-ṣināʻah al-ḥikmīyah,مصباح في علم المفتاح في الحكمة الالاهية والصناعة الحكمية,Miṣbāḥ fī ʻilm al-miftāḥ fī al-ḥikmah al-Ilāhīyah wa-al-ṣināʻah al-ḥikmīyah
Kitāb al-Shifā bi-taʻrīf ḥuqūq al-Muṣṭafá,كتاب الشفا بتعريف حقوق المصطفى.,Shifāʼ fī taʻrīf ḥuqūq al-Muṣṭafá,شفا بتعريف حقوق المصطفى,Shifāʼ fī taʻrīf ḥuqūq al-Muṣṭafá
Kitāb al-Siyāsah al-sharʻīyah al-musammá tasʹhīl al-naẓar wa-taʻjīl al-ẓafar,كتاب السياسة الشرعية المسمى تسهيل النظر وتعجيل الظفر.,Tasʹhīl al-naẓar wa-taʻjīl al-ẓafar,تسهيل النظر وتعجيل الظفر,Tasʹhīl al-naẓar wa-taʻjīl al-ẓafar
Kitāb al-Siyāsah fī tadbīr al-riyāsah,كتاب السياسة في تدبير الرياسة.,Secretum secretorum.,,Secretum secretorum
Kitāb-i Advār,کتاب ادوار.,Adwār.,ادوار.,Adwār
Kitāb-i Gulistān,کتاب گلستان.,Gulistān,گلستان,Gulistān
Kitāb-i Tīmūrnāmah,کتاب تىمورنامه.,Tīmūrnāmah,تىمورنامه,Tīmūrnāmah
Koran,,Qurʼan.,قرآن.,Qurʼan
Kıya-yı Hazret-i Yûsuf Zulaykhâ,كيايۀ حضرت يوسف زليخا.,Yūsuf va Zulaykhā.,ىوسف و زلىخا.,Yūsuf va Zulaykhā
L'arbre des batailles,,Arbre des batailles,,Arbre des batailles
L'arte de la medicina de le bestie,,Mulomedicina,,Mulomedicina
L'arte del navegare,,,,L'arte del navegare
L'image del monde ... etc,,Image du monde.,,Image du monde
La destruction de Troye ... etc,,Istoire de la destruction de Troye la grant,,Historia destructionis Troiae
La fontaine de toute science,,Livre de Sydrac,,Book of Sydrac
La legenda di sanctissimi Thebey soto Dioclitiano & Maximiano imperatori,,,,Legend of the Theban legion
Lapa Torti power of attorney,,,,Power of attorney
Lapo di Michele and Bartolomeo Fiori power of attorney,,,,Power of attorney
Lapo di Niccolò power of attorney,,,,Power of attorney
Latin miscellany,,,,Miscellany
Le epistole,,Epistolae.,,Epistolae
Le livre des Eneydes,,Aeneis.,,Aeneid
Leaf of De fide Sanctae Trinitatis shaped into envelope,,,,De fide Sanctae Trinitatis
Legal decision,,,,Legal documents
Legal document,,,,Legal documents
Legal documents,,,,Legal documents
Legal proceedings,,,,Legal documents
Legal records,,,,Legal documents
Legenda aurea,,,,Legenda Aurea
Lena Risaliti power of attorney,,,,Power of attorney
Leticha /,,,,Nicomachean Ethics
Libellus de speculativa mistice theologie /,,,,De mystica theologia
Libellus super electionibus faciendis et earum ordinandis,,,,Libellus super electionibus faciendis et earum ordinandis
Libellus super electionibus faciendis et earum processibus ordinandis,,,,Libellus super electionibus faciendis et earum ordinandis
Liber canonis,,Qānūn fī al-ṭibb.,,Qānūn fī al-ṭibb
Liber de amore et dilectione dei ... etc,,,,De amore et dilectione dei
Liber de astronomia,,,,De astronomia
Liber epistularum Senecae ad Lucillium,,,,Epistulae ad Lucilium
Liber ethicorum Aristotelis,,,,Nicomachean Ethics
Liber ettichorum Aristottelis in vulgari,,,,Nicomachean Ethics
Liber mayor Prisciani de ordinatione partium orationis,,Institutio de arte grammaticae,,Institutio de arte grammaticae
Liber rethoricorum /,,Rhetorica ad Herennium.,,Rhetorica ad Herennium
Libri animalium notata supra librum animalium Aristotelis,,,,De animalibus
Libro di Santo Justo Paladino,,,,Cantare di Giusto Paladino
Libro fortune,,Liber fortunae.,,Liber fortunae
"Life of the Virgin Mary, together with two poems on the Passion and Resurrection of Christ",,,,Life of the Virgin Mary
Literary miscellany,,,,Literary miscellany
Liturgical miscellany,,,,Liturgical miscellany
Logica parva,,,,Logica parva
Lorenzo di Antonio power of attorney,,,,Power of attorney
Lorenzo di Pierfrancesco de' Medici power of attorney,,,,Power of attorney
Los Benavides,,,,Los Benavides
Loyca parva ... etc,,Logica parva,,Logica parva
Luigi Gaddi power of attorney,,,,Power of attorney
Luigi de Covoni power of attorney,,,,Power of attorney
Luigi di Giovanni power of attorney,,,,Power of attorney
Maḥazor minhag Ashkenaz le-Yamim ha-noraʼim ule-Sukot,מחזור מנהג אשכנז לימים הנוראים ולסוכות.,Maḥzor.,מחזור.,Maḥzor
Malavolti family records of guardianship,,,,Family documents
Manresa legal documents,,,,Legal documents
Manuscript fragment of the Seven Sleepers of Ephesus,,Seven sleepers of Ephesus.,,Seven sleepers of Ephesus
Manuscript leaf from Aurora,,,,Aurora
Manuscript leaf from Diaeta salutis,,Diaeta salutis,,Diaeta salutis
Manuscript leaf from In libros De caelo et mundo Aristotelis,,In libros De caelo et mundo Aristotelis,,In libros De caelo et mundo Aristotelis
Manuscript leaf from Physics,,Physics.,,Physics
Manuscript leaf from Régime du corps,,Régime du corps,,Régime du corps
Manuscript leaf from Vulgate Deuteronomy,,Bible.,,Bible
Manuscript leaf from a book of hours,,Book of hours.,,Book of hours
Manuscript leaf from an Ashkenazic maḥzor for Pesaḥ,,,,Maḥzor
Manuscript leaf from the Book of Numbers,,Bible.,,Bible
Manuscript leaf of glossed Gospel of John,,Bible.,,Bible
"Manuscript leaf of most of Deuteronomy XV, 6-XVI, 10, with Masorah",קטע דברים.,Bible.,,Bible
Manuscript leaves from Defecerunt scrutantes scrutinio,,Defecerunt scrutantes scrutinio.,,Defecerunt scrutantes scrutinio
Manuscript leaves from a breviary,,Breviary.,,Breviary
Manuscript leaves from a canon law text,,Decretales Gregorii IX.,,Decretales Gregorii IX
Manuscript leaves from an Ashkenazic Maḥzor for the High Holidays,,Maḥzor.,מחזור.,Maḥzor
Manuscript pastedowns from De proprietatibus rerum,,De proprietatibus rerum.,,De proprietatibus rerum
Maria Riccomanni copies of legal proceedings,,,,Legal documents
Mariotto Cresci power of attorney,,,,Power of attorney
Martini family deed of gift and power of attorney,,,,Power of attorney;Deed
Martini family power of attorney,,,,Power of attorney
Marʼeh ha-ofanim ... etc,,Sphaera mundi.,,Sphaera mundi
Masālik al-abṣār fī mamālik al-amṣār,مسالك الابصار في ممالك الامصار.,Masālik al-abṣār fī mamālik al-amṣār.,مسالك الابصار في ممالك الامصار.,Masālik al-abṣār fī mamālik al-amṣār
Mattea Petrini power of attorney,,,,Power of attorney
Matteo d'Alessandro d'Andrea Todeschini Piccolomini legal brief,,,,Legal documents
Mea Lupi power of attorney,,,,Power of attorney
Medical and astrological miscellany,,,,Medical miscellany;Astrological miscellany
Medical and astronomical miscellany,,,,Medical miscellany;Astronomical miscellany
Medical and magical compendium,,,,Medical miscellany;magical miscellany
Medical manual and prescriptions ... etc,,,,Medical miscellany
Medical miscellany,,,,Medical miscellany
Medicina cordis,,,,Medicina cordis
Megilat Ester ... etc,,Bible.,,Bible
Memoranda and account book,,,,Account book
Mercantia notarial document,,,,Notarial documents
Metaphysics,,Metaphysics.,,Metaphysics
Michele Chiari power of attorney,,,,Power of attorney
Michele di Fidanza power of attorney,,,,Power of attorney
Michele di Niccolò deed,,,,Deed
Miniato di Cimatore and Antonio dei Biffoli power of attorney,,,,Power of attorney
Miracoli e leggende,,,,Religious miscellany
Miscellanea storica di Guastalla,,,,Historical miscellany
Miscellaneous manuscripts,,,,Miscellany
Miscellaneous manuscripts (Large),,,,Miscellany
Miscellaneous manuscripts (Large),,Bible.,,Bible
Miscellaneous manuscripts (Large),,Missal.,,Missal
Miscellaneous manuscripts (Large),,In Evangelium Iohannis tractatus.,,In Evangelium Iohannis tractatus
"Miscellaneous manuscripts, (Large)",,,,Miscellany
Miscellany,,,,Miscellany
Miscellany of religious verse and prose,,,,Religious miscellany
Miscellany of religious works,,,,Religious miscellany
Miscellany of scientific treatises,,,,Scientific miscellany
Miscellany of theological and devotional works,,,,Religious miscellany
"Miscellany of theological, devotional and liturgical works",,,,Religious miscellany
"Miscellany of works on Catholic doctrine, canon law and religious life",,,,Religious miscellany
Missal leaf,,,,Missal
Monticchiello notarial document,,,,Notarial documents
Mughnī al-labīb,مغني اللبيب.,Mughnī al-labīb ʻan kutub al-aʻārīb,مغني اللبيب عن كتب الاعاريب,Mughnī al-labīb ʻan kutub al-aʻārīb
Mystical miscellany,,,,Religious miscellany
Naples legal document,,,,Legal documents
Nastasia Falcucci power of attorney,,,,Power of attorney
Nepo Brunelleschi power of attorney,,,,Power of attorney
New Testament in the translation of John Wycliffe,,Bible.,,Bible
Niccolò de Marignis power of attorney,,,,Power of attorney
Nicola Antonio Marini deed,,,,Deed
Nicola di Primo deed,,,,Deed
Nicolaccio de' Mignanellis deed,,,,Deed
Nonnina Balducci power of attorney,,,,Power of attorney
Notarial document,,,,Notarial documents
Notarial document concerning sale of horses,,,,Notarial documents
Notarial document excerpt,,,,Notarial documents
Notarial documents,,,,Notarial documents
Notated breviary,,,,Breviary
Novum testamentum domini nostri Jesu Christi,,Bible.,,Bible
Oculus sacerdotis,,,,Oculus sacerdotis
Omnes ad praeda venient,,,,Omnes ad praeda venient
Orthodox liturgical roll fragments,,Liturgy of St. Basil.,,Liturgy of St. Basil
Panormia,,,,Panormia
Paolo Bertini power of attorney,,,,Power of attorney
Paolo del Calandra deed of gift,,,,Deed
Pasquillus in aulicos,,,,Pasquillus in aulicos
Passio sancti Blasii ... etc,,,,Passio sancti Blasii
"Passion of Christ and apocryphal stories, including translations from the Nicodemus Gospel",,,,Gospel of Nicodemus
Pattern-books of bridles and harnesses,,,,Pattern-books
Pawilhar,,,,Pawilhar
Perpetual calendar with Metonic cycle,,,,Calendar
Pesiḳta rabata,פסיקתא רבתא.,Pesikta rabbati.,פסיקתא רבתי.,Pesikta rabbati
Petrino Blassori power of attorney,,,,Power of attorney
Piccolomini family land agreement,,,,Family documents
Piero di Binduccio power of attorney,,,,Power of attorney
Pietro Lamberto legal decision,,,,Legal documents
Pietro Parenzi notarial document,,,,Notarial documents
Pietro Partini deed,,,,Deed
Pistoia notarial documents,,,,Notarial documents
Poems on monastic life,,,,Poetry
Poesias y obras,,,,Poetry
Poetical miscellany,,,,Poetry
Pontifical bifolium,,,,Pontifical
Pope Adrian VI bull,,,,Bull
Pope Alexander VI bull,,,,Bull
Pope Clement VII bull,,,,Bull
Pope Gregory XIII papal brief,,,,Bull
Pope Gregory XIV bull,,,,Bull
Pope Julius II bull,,,,Bull
Pope Leo X bull,,,,Bull
Pope Paul III bull,,,,Bull
Pope Pius III bull,,,,Bull
Porcelii poetae clarissimi et oratoris Ortographia,,,,Orthographia
Portolan atlas,,,,Atlas
Power of attorney,,,,"Power of attorney
"
Prayer book and processional,,,,Prayerbook
Prayers and commentary,,,,Prayerbook
Prenosticatio,,Prognosticatio,,Prognosticatio
Processional,,,,Processional
Proprium de tempore ... etc,,,,Proprium de tempore
Pros mathēmatikous ... etc,,,,Pros mathēmatikous
Psalter bifolium,,Bible.,,Bible
Psalter fragment,,Bible.,,Bible
Psalter leaf,,Bible.,,Bible
Psalterium cum canticis,,,,Psalter
Pupilla oculi,,,,Pupilla oculi
Questions on Aristotle's Physics,,,,Commentary on Aristotle's Physics
Raginamento d'amore /,,,,Ragionamenti d'amore
Rationale divinorum officiorum,,,,Rationale divinorum officiorum
