name_as_recorded,role,name_agr,source_authority_uri,instance_of,authorized_label,structured_value
"Cardelinis, Julius de",former owner,,,human,Julius de Cardelinis,Q116041094
"Carilli, Clemente",former owner,,,human,Clemente Carilli,Q116270227
"Carnesecchi, Bernardo",author,,,human,Bernardo Carnesecchi,Q3638770
Carretto family,author,,,human,Del Carretto,Q587716
"Carteron, Jean",author,,http://id.loc.gov/authorities/names/n2001104125,human,Jean Carteron,Q3171141
"Casas, Bartolomé de las, 1484-1566",author,,http://id.loc.gov/authorities/names/n80010286,human,Bartolomé de Las Casas,Q207416
"Cassett, Louis N",former owner,,,human,Louis N. Cassett,Q116269877
"Cassuto, Alfonso, 1910-1990",former owner,,,human,Alfonso Cassuto,Q111547141
"Castagna, Giovanni Battista",author,,,human,Urban VII,Q134337
"Castaldo, Antonino",author,,,human,Antonino Castaldo,Q109837947
Castello del Vivaro (Italy),author,,,organization,Castello del Vivaro,Q116710170
Castino (Italy),author,,,organization,Castino,Q19920
"Cathédrale Saint-Jean-Baptiste (Lyon, France)",former owner,,http://id.loc.gov/authorities/names/n50046743,organization,Lyon Cathedral,Q1521
Catholic Church,author,,http://id.loc.gov/authorities/names/n79041716,organization,Catholic Church,Q9592
Catholic Church,author,,,organization,Catholic Church,Q9592
"Catholic Church. Archdiocese of Mainz (Rhineland-Palatinate, Germany)",author,,http://id.loc.gov/authorities/names/n88036907,organization,Roman Catholic Archdiocese of Mainz,Q47194649
Catholic Church. Archdiocese of Siena (Italy),author,,http://id.loc.gov/authorities/names/n94012231,organization,Roman Catholic Archdiocese of Siena,Q111439511
Catholic Church. Archdiocese of Zaragoza (Spain),author,,http://id.loc.gov/authorities/names/n81027991,organization,Diocese of the Roman Catholic Church of Zaragoza,Q49576506
Catholic Church. Camera Apostolica,author,,http://id.loc.gov/authorities/names/n86855976,organization,Apostolic Camera,Q620030
Catholic Church. Curia Romana,author,,http://id.loc.gov/authorities/names/n82123664,organization,Roman Curia,Q108169
Catholic Church. Diocese of Arezzo (Italy),author,,http://id.loc.gov/authorities/names/n80140665,organization,Roman Catholic Diocese of Arezzo,Q111419916
Catholic Church. Diocese of Osma-Soria. Bishop,author,,,organization,Roman Catholic Diocese of Osma-Soria,Q873575
Catholic Church. Diocese of Regensburg (Germany),author,,http://id.loc.gov/authorities/names/n80152865,organization,Roman Catholic Diocese of Regensburg,Q258606
Catholic Church. Diocese of Toul (France),author,,http://id.loc.gov/authorities/names/n79075244,organization,Prince-Bishopric of Toul,Q328001
Catholic Church. Pope,author,,http://id.loc.gov/authorities/names/n80009898,organization,pope,Q19546
Catholic Church. Pope (1513-1521 : Leo X),author,,http://id.loc.gov/authorities/names/n85086835,human,Leo X,Q49237
Cattanei family,author,,,organization,Cattanei family,Q116730964
"Cattaneus, Silvester",former owner,,,human,Silvester Cattaneus,Q116272203
"Cattani, Alberto",author,,,human,Alberto Cattani,Q116269885
"Cattochii, Pietro Giuseppe Ignati Mattei",former owner,,,human,Pietro Giuseppe Ignati Mattei Cattochii,Q116272207
"Cavaciis, Agnes de",author,,,human,Agnes de Cavaciis,Q116272217
Cavalli family,author,,,organization,Cavalli,Q2943239
"Cavalli, Francesco",former owner,,http://id.loc.gov/authorities/names/n82121110,human,Franco Cavalli,Q120654
"Cánovas del Castillo, Antonio, 1828-1897",former owner,,http://id.loc.gov/authorities/names/n50058793,human,Antonio Cánovas del Castillo,Q336901
"Ceccharini, Baldinus",author,,,human,Baldinus Ceccharini,Q116272250
"Celotti, Luigi, approximately 1768-approximately 1846",former owner,,http://id.loc.gov/authorities/names/nr00020351,human,Luigi Celotti,Q113774991
"Cesano, Gabriel",author,,,human,Gabriele Cesano,Q3756567
