row_index,workflow_history,subject_as_recorded,subject-term,subfield_codes,vocab,source_authority_uri,authorized_label_add,structured_value_add,authorized_label,structured_value
26,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-19T18:35:51.311418Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2023-09-19T18:36:32.079980100Z | KNOWN SUBJECT RECON APPLIED 2023-09-21T22:14:04.468656Z | SUBJECT RECON, STEP 45: FINALIZED 2023-09-26T16:46:44.079017Z",Bible -- Commentaries,Bible -- Commentaries,,openn-subjects,https://lccn.loc.gov/sh85013597,Bible;Commentaries,http://id.worldcat.org/fast/1356024;http://id.worldcat.org/fast/1423723,,
27,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-19T18:35:51.311418Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2023-09-19T18:36:32.079980100Z | KNOWN SUBJECT RECON APPLIED 2023-09-21T22:14:04.469539300Z | SUBJECT RECON, STEP 45: FINALIZED 2023-09-26T16:46:44.079017Z",Biblical,Biblical,,openn-keywords,,biblical,http://vocab.getty.edu/aat/300263186,,
28,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-19T18:35:51.311418Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2023-09-19T18:36:32.079980100Z | KNOWN SUBJECT RECON APPLIED 2023-09-21T22:14:04.469539300Z | SUBJECT RECON, STEP 45: FINALIZED 2023-09-26T16:46:44.080018100Z",Binding,Binding,,openn-keywords,,binding (textile material),http://vocab.getty.edu/aat/300421867,,
29,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-19T18:35:51.311418Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2023-09-19T18:36:32.079980100Z | KNOWN SUBJECT RECON APPLIED 2023-09-21T22:14:04.469539300Z | SUBJECT RECON, STEP 45: FINALIZED 2023-09-26T16:46:44.080018100Z",Binding waste,Binding waste,,openn-keywords,,,,,
30,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-19T18:35:51.311418Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2023-09-19T18:36:32.079980100Z | KNOWN SUBJECT RECON APPLIED 2023-09-21T22:14:04.469539300Z | SUBJECT RECON, STEP 45: FINALIZED 2023-09-26T16:46:44.080018100Z",Biography,,,openn-keywords,,,,Biographies,http://id.worldcat.org/fast/1919896
31,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-19T18:35:51.311418Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2023-09-19T18:36:32.079980100Z | KNOWN SUBJECT RECON APPLIED 2023-09-21T22:14:04.469539300Z | SUBJECT RECON, STEP 45: FINALIZED 2023-09-26T16:46:44.080018100Z",Book of Hours,Book of Hours,,openn-keywords,,Books of hours,http://id.worldcat.org/fast/836484,,
32,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-19T18:35:51.311418Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2023-09-19T18:36:32.079980100Z | KNOWN SUBJECT RECON APPLIED 2023-09-21T22:14:04.469539300Z | SUBJECT RECON, STEP 45: FINALIZED 2023-09-26T16:46:44.080018100Z",Books of hours,Books of hours,,openn-subjects,http://id.loc.gov/authorities/subjects/sh85062530.html,Books of hours,http://id.worldcat.org/fast/836484,,
33,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-19T18:35:51.311418Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2023-09-19T18:36:32.079980100Z | KNOWN SUBJECT RECON APPLIED 2023-09-21T22:14:04.469539300Z | SUBJECT RECON, STEP 45: FINALIZED 2023-09-26T16:46:44.080018100Z",Breviary,Breviary,,openn-keywords,,Breviaries,http://id.worldcat.org/fast/838495,,
34,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-19T18:35:51.311418Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2023-09-19T18:36:32.079980100Z | KNOWN SUBJECT RECON APPLIED 2023-09-21T22:14:04.469539300Z | SUBJECT RECON, STEP 45: FINALIZED 2023-09-26T16:46:44.080018100Z",Byzantine,Byzantine,,openn-keywords,,Byzantine (culture and style),http://vocab.getty.edu/aat/300020669,,
35,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-19T18:35:51.311418Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2023-09-19T18:36:32.079980100Z | KNOWN SUBJECT RECON APPLIED 2023-09-21T22:14:04.469539300Z | SUBJECT RECON, STEP 45: FINALIZED 2023-09-26T16:46:44.080018100Z",Caroline minuscule,Caroline minuscule,,openn-keywords,,Caroline minuscule,http://vocab.getty.edu/aat/300195207,,
