row_index,workflow_history,name_as_recorded,role,name_agr,source_authority_uri,authorized_label_add,instance_of_add,structured_value_add,instance_of,authorized_label,structured_value
565,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-08T13:48:59.864885Z | NAME RECON STEP 3: START HUMAN RECON 2023-09-08T13:51:25.948446200Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-09-08T13:51:36.141795300Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-09-08T13:51:55.911438500Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-09-08T13:52:12.531320900Z | NAME RECON STEP 6: START ORG RECON 2023-09-08T13:53:50.362573300Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-09-08T13:54:11.553517Z | NAME RECON STEP 9: FINALIZED 2023-09-08T13:54:27.786130100Z","Mīrim Chalabī, Maḥmūd ibn Muḥammad, 1475-1524 or 1525",author,ميرم چلبي، محمود بن محمد، 1475-1524 or 1525,http://id.loc.gov/authorities/names/no2013013957 http://id.loc.gov/authorities/names/no2013013957 http://viaf.org/viaf/sourceID/LC%7cno2013013957,Maḥmūd ibn Muḥammad Mīrim Chalabī,human,Q122946974,,,
522,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-08T13:48:59.864885Z | NAME RECON STEP 3: START HUMAN RECON 2023-09-08T13:51:25.948446200Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-09-08T13:51:36.141795300Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-09-08T13:51:55.911438500Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-09-08T13:52:12.531320900Z | NAME RECON STEP 6: START ORG RECON 2023-09-08T13:53:50.362573300Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-09-08T13:54:11.553517Z | NAME RECON STEP 9: FINALIZED 2023-09-08T13:54:27.786130100Z","Mīrzā Jān, Ḥabīb Allāh, -1586",author,ميرزا جان، حبيب الله، 1586؟,,,,,,,
515,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-08T13:48:59.864885Z | NAME RECON STEP 3: START HUMAN RECON 2023-09-08T13:51:25.948446200Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-09-08T13:51:36.141795300Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-09-08T13:51:55.911438500Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-09-08T13:52:12.531320900Z | NAME RECON STEP 6: START ORG RECON 2023-09-08T13:53:50.362573300Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-09-08T13:54:11.553517Z | NAME RECON STEP 9: FINALIZED 2023-09-08T13:54:27.786130100Z","Miṣrī, Ḥasanayn ibn Muḥammad",scribe,مصري، حسنين بن محمد,,,,,,,
516,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-08T13:48:59.864885Z | NAME RECON STEP 3: START HUMAN RECON 2023-09-08T13:51:25.948446200Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-09-08T13:51:36.141795300Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-09-08T13:51:55.911438500Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-09-08T13:52:12.531320900Z | NAME RECON STEP 6: START ORG RECON 2023-09-08T13:53:50.362573300Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-09-08T13:54:11.553517Z | NAME RECON STEP 9: FINALIZED 2023-09-08T13:54:27.786130100Z","Miṣrī, Ḥasanayn ibn Muḥammad ibn Muṣṭafá",scribe,مصري، حسنين بن محمد بن مصطفى,,,,,,,
517,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-08T13:48:59.864885Z | NAME RECON STEP 3: START HUMAN RECON 2023-09-08T13:51:25.948446200Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-09-08T13:51:36.141795300Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-09-08T13:51:55.911438500Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-09-08T13:52:12.531320900Z | NAME RECON STEP 6: START ORG RECON 2023-09-08T13:53:50.362573300Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-09-08T13:54:11.553517Z | NAME RECON STEP 9: FINALIZED 2023-09-08T13:54:27.786130100Z","Miṣrī, Muḥammad ʻAbd al-Jawād, active 19th century",scribe,مصري، محمد عبد الجواد، active 19th century,,,,,,,
518,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-08T13:48:59.864885Z | NAME RECON STEP 3: START HUMAN RECON 2023-09-08T13:51:25.948446200Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-09-08T13:51:36.141795300Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-09-08T13:51:55.911438500Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-09-08T13:52:12.531320900Z | NAME RECON STEP 6: START ORG RECON 2023-09-08T13:53:50.362573300Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-09-08T13:54:11.553517Z | NAME RECON STEP 9: FINALIZED 2023-09-08T13:54:27.786130100Z","Miʻmār, ʻAlī Nūr al-Dīn ibn Muḥammad Badr al-Dīn, active 16th century",scribe,معمار، علي نور الدين بن محمد بدر الدين، active 16th century,,,,,,,
523,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-08T13:48:59.864885Z | NAME RECON STEP 3: START HUMAN RECON 2023-09-08T13:51:25.948446200Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-09-08T13:51:36.141795300Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-09-08T13:51:55.911438500Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-09-08T13:52:12.531320900Z | NAME RECON STEP 6: START ORG RECON 2023-09-08T13:53:50.362573300Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-09-08T13:54:11.553517Z | NAME RECON STEP 9: FINALIZED 2023-09-08T13:54:27.786130100Z","Molla Lûtfi, -1494",author,ملا لطفى، -1494,,Molla Lutfî,human,Q20472625,,,
524,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-08T13:48:59.864885Z | NAME RECON STEP 3: START HUMAN RECON 2023-09-08T13:51:25.948446200Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-09-08T13:51:36.141795300Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-09-08T13:51:55.911438500Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-09-08T13:52:12.531320900Z | NAME RECON STEP 6: START ORG RECON 2023-09-08T13:53:50.362573300Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-09-08T13:54:11.553517Z | NAME RECON STEP 9: FINALIZED 2023-09-08T13:54:27.786130100Z","Molla Lûtfi, -1494",author,ملا لطفي، -1494,,Molla Lutfî,human,Q20472625,,,
525,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-08T13:48:59.864885Z | NAME RECON STEP 3: START HUMAN RECON 2023-09-08T13:51:25.948446200Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-09-08T13:51:36.141795300Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-09-08T13:51:55.911438500Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-09-08T13:52:12.531320900Z | NAME RECON STEP 6: START ORG RECON 2023-09-08T13:53:50.362573300Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-09-08T13:54:11.553517Z | NAME RECON STEP 9: FINALIZED 2023-09-08T13:54:27.786130100Z","Monastère de Luxeuil (Luxeuil-les-Bains, France)","scribe,",,,,,,,,
526,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-08T13:48:59.864885Z | NAME RECON STEP 3: START HUMAN RECON 2023-09-08T13:51:25.948446200Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-09-08T13:51:36.141795300Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-09-08T13:51:55.911438500Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-09-08T13:52:12.531320900Z | NAME RECON STEP 6: START ORG RECON 2023-09-08T13:53:50.362573300Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-09-08T13:54:11.553517Z | NAME RECON STEP 9: FINALIZED 2023-09-08T13:54:27.786130100Z","Mubarrad, Muḥammad ibn Yazīd, -898",author,مبرد، محمد بن يزيد، 898,,,,,,,
527,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-08T13:48:59.864885Z | NAME RECON STEP 3: START HUMAN RECON 2023-09-08T13:51:25.948446200Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-09-08T13:51:36.141795300Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-09-08T13:51:55.911438500Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-09-08T13:52:12.531320900Z | NAME RECON STEP 6: START ORG RECON 2023-09-08T13:53:50.362573300Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-09-08T13:54:11.553517Z | NAME RECON STEP 9: FINALIZED 2023-09-08T13:54:27.786130100Z","Mudawwar, Niqūlā, active 19th century",scribe,مدور، نقولا، active 19th century,,,,,,,
528,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-08T13:48:59.864885Z | NAME RECON STEP 3: START HUMAN RECON 2023-09-08T13:51:25.948446200Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-09-08T13:51:36.141795300Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-09-08T13:51:55.911438500Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-09-08T13:52:12.531320900Z | NAME RECON STEP 6: START ORG RECON 2023-09-08T13:53:50.362573300Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-09-08T13:54:11.553517Z | NAME RECON STEP 9: FINALIZED 2023-09-08T13:54:27.786130100Z","Muftīʹzādah, Muḥammad Ṣādiq ibn ʻAbd al-Raḥīm, -1808 or 1809",author,مفتيزادة، محمد صادق بن عبد الرحيم، -1808 or 1809,,,,,,,
550,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-08T13:48:59.864885Z | NAME RECON STEP 3: START HUMAN RECON 2023-09-08T13:51:25.948446200Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-09-08T13:51:36.141795300Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-09-08T13:51:55.911438500Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-09-08T13:52:12.531320900Z | NAME RECON STEP 6: START ORG RECON 2023-09-08T13:53:50.362573300Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-09-08T13:54:11.553517Z | NAME RECON STEP 9: FINALIZED 2023-09-08T13:54:27.786130100Z",Muḥammad ibn Abī Bakr,author,محمد بن ابي بكر,http://id.loc.gov/authorities/names/n2017056543(uri) http://id.loc.gov/authorities/names/n2017056543(uri) http://viaf.org/viaf/sourceID/LC%7cn2017056543,Muhammad ibn Abi Bakr,human,Q1112754,,,
553,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-08T13:48:59.864885Z | NAME RECON STEP 3: START HUMAN RECON 2023-09-08T13:51:25.948446200Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-09-08T13:51:36.141795300Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-09-08T13:51:55.911438500Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-09-08T13:52:12.531320900Z | NAME RECON STEP 6: START ORG RECON 2023-09-08T13:53:50.362573300Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-09-08T13:54:11.553517Z | NAME RECON STEP 9: FINALIZED 2023-09-08T13:54:27.786130100Z","Muḥammad ibn Ḥasan, active 15th century",scribe,محمد بن حسن، active 15th century,,,,,,,
531,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-08T13:48:59.864885Z | NAME RECON STEP 3: START HUMAN RECON 2023-09-08T13:51:25.948446200Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-09-08T13:51:36.141795300Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-09-08T13:51:55.911438500Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-09-08T13:52:12.531320900Z | NAME RECON STEP 6: START ORG RECON 2023-09-08T13:53:50.362573300Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-09-08T13:54:11.553517Z | NAME RECON STEP 9: FINALIZED 2023-09-08T13:54:27.786130100Z","Muḥammad ibn Ḥasanayn, active 19th century",scribe,محمد بن حسنين، active 19th century,,,,,,,
551,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-08T13:48:59.864885Z | NAME RECON STEP 3: START HUMAN RECON 2023-09-08T13:51:25.948446200Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-09-08T13:51:36.141795300Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-09-08T13:51:55.911438500Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-09-08T13:52:12.531320900Z | NAME RECON STEP 6: START ORG RECON 2023-09-08T13:53:50.362573300Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-09-08T13:54:11.553517Z | NAME RECON STEP 9: FINALIZED 2023-09-08T13:54:27.786130100Z","Muḥammad ibn Muṣṭafá, active 17th century",scribe,محمد بن مصطفى، active 17th century,,,,,,,
552,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-08T13:48:59.864885Z | NAME RECON STEP 3: START HUMAN RECON 2023-09-08T13:51:25.948446200Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-09-08T13:51:36.141795300Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-09-08T13:51:55.911438500Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-09-08T13:52:12.531320900Z | NAME RECON STEP 6: START ORG RECON 2023-09-08T13:53:50.362573300Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-09-08T13:54:11.553517Z | NAME RECON STEP 9: FINALIZED 2023-09-08T13:54:27.786130100Z",Muḥammad ibn Nājī,author,محمد بن ناجي,,Muhammad bin Nayef,human,Q455341,,,
532,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-08T13:48:59.864885Z | NAME RECON STEP 3: START HUMAN RECON 2023-09-08T13:51:25.948446200Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-09-08T13:51:36.141795300Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-09-08T13:51:55.911438500Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-09-08T13:52:12.531320900Z | NAME RECON STEP 6: START ORG RECON 2023-09-08T13:53:50.362573300Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-09-08T13:54:11.553517Z | NAME RECON STEP 9: FINALIZED 2023-09-08T13:54:27.786130100Z",Muḥammad ibn Salāmah ibn ʻAbd al-Khāliq,scribe,محمد بن سلامة بن عبد الخالق,,,,,,,
533,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-08T13:48:59.864885Z | NAME RECON STEP 3: START HUMAN RECON 2023-09-08T13:51:25.948446200Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-09-08T13:51:36.141795300Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-09-08T13:51:55.911438500Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-09-08T13:52:12.531320900Z | NAME RECON STEP 6: START ORG RECON 2023-09-08T13:53:50.362573300Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-09-08T13:54:11.553517Z | NAME RECON STEP 9: FINALIZED 2023-09-08T13:54:27.786130100Z",Muḥammad ibn ʻAbd al-Karīm,scribe,محمد بن عبد الكريم,,,,,,,
530,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-08T13:48:59.864885Z | NAME RECON STEP 3: START HUMAN RECON 2023-09-08T13:51:25.948446200Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-09-08T13:51:36.141795300Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-09-08T13:51:55.911438500Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-09-08T13:52:12.531320900Z | NAME RECON STEP 6: START ORG RECON 2023-09-08T13:53:50.362573300Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-09-08T13:54:11.553517Z | NAME RECON STEP 9: FINALIZED 2023-09-08T13:54:27.786130100Z",Muḥammad Shākir ibn Kāmilī Ismāʻīl,scribe,محمد شاكر بن كاملي اسماعيل,,,,,,,
529,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-08T13:48:59.864885Z | NAME RECON STEP 3: START HUMAN RECON 2023-09-08T13:51:25.948446200Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-09-08T13:51:36.141795300Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-09-08T13:51:55.911438500Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-09-08T13:52:12.531320900Z | NAME RECON STEP 6: START ORG RECON 2023-09-08T13:53:50.362573300Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-09-08T13:54:11.553517Z | NAME RECON STEP 9: FINALIZED 2023-09-08T13:54:27.786130100Z","Muhtadī, Naṣr ibn Yaḥyá",author,مهتدي، نصر بن يحيى,http://id.loc.gov/authorities/names/nr91004073 http://id.loc.gov/authorities/names/nr91004073 http://viaf.org/viaf/sourceID/LC%7cnr91004073,Naṣr ibn Yaḥyá Muhtadī,human,Q122946972,,,
534,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-08T13:48:59.864885Z | NAME RECON STEP 3: START HUMAN RECON 2023-09-08T13:51:25.948446200Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-09-08T13:51:36.141795300Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-09-08T13:51:55.911438500Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-09-08T13:52:12.531320900Z | NAME RECON STEP 6: START ORG RECON 2023-09-08T13:53:50.362573300Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-09-08T13:54:11.553517Z | NAME RECON STEP 9: FINALIZED 2023-09-08T13:54:27.786130100Z","Mulāzim, ʻAbd al-Ḥalīm ibn Rajab",scribe,ملازم، عبد الحليم بن رجب,,,,,,,
535,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-08T13:48:59.864885Z | NAME RECON STEP 3: START HUMAN RECON 2023-09-08T13:51:25.948446200Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-09-08T13:51:36.141795300Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-09-08T13:51:55.911438500Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-09-08T13:52:12.531320900Z | NAME RECON STEP 6: START ORG RECON 2023-09-08T13:53:50.362573300Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-09-08T13:54:11.553517Z | NAME RECON STEP 9: FINALIZED 2023-09-08T13:54:27.786130100Z","Munāwī, ʻAbd al-Raʼūf ibn Tāj al-ʻĀrifīn, -1621",author,مناوي، عبد الرءوف بن تاج العارفين، -1621,http://id.loc.gov/authorities/names/n80013467,Muhammad al-Munawi,human,Q3594807,,,
537,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-08T13:48:59.864885Z | NAME RECON STEP 3: START HUMAN RECON 2023-09-08T13:51:25.948446200Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-09-08T13:51:36.141795300Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-09-08T13:51:55.911438500Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-09-08T13:52:12.531320900Z | NAME RECON STEP 6: START ORG RECON 2023-09-08T13:53:50.362573300Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-09-08T13:54:11.553517Z | NAME RECON STEP 9: FINALIZED 2023-09-08T13:54:27.786130100Z","Munāwī, ʻAbd al-Raʼūf ibn Tāj al-ʻĀrifīn, -1621",author,مناوي، عبد الرأوف بن تاج العارفين، -1621,http://id.loc.gov/authorities/names/n80013467,Muhammad al-Munawi,human,Q3594807,,,
536,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-08T13:48:59.864885Z | NAME RECON STEP 3: START HUMAN RECON 2023-09-08T13:51:25.948446200Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-09-08T13:51:36.141795300Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-09-08T13:51:55.911438500Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-09-08T13:52:12.531320900Z | NAME RECON STEP 6: START ORG RECON 2023-09-08T13:53:50.362573300Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-09-08T13:54:11.553517Z | NAME RECON STEP 9: FINALIZED 2023-09-08T13:54:27.786130100Z","Mundhirī, ʻAbd al-ʻAẓīm ibn ʻAbd al-Qawī, 1185-1258",author,منذري، عبد العظيم بن عبد القوي، 1185-1258,,Mundhirī,human,Q12193844,,,
538,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-08T13:48:59.864885Z | NAME RECON STEP 3: START HUMAN RECON 2023-09-08T13:51:25.948446200Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-09-08T13:51:36.141795300Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-09-08T13:51:55.911438500Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-09-08T13:52:12.531320900Z | NAME RECON STEP 6: START ORG RECON 2023-09-08T13:53:50.362573300Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-09-08T13:54:11.553517Z | NAME RECON STEP 9: FINALIZED 2023-09-08T13:54:27.786130100Z","Muqātil ibn Sulaymān al-Balkhī, -767",author,مقاتل بن سليمان البلخي، -767,http://id.loc.gov/authorities/names/n83175347 http://id.loc.gov/authorities/names/n83175347 http://viaf.org/viaf/sourceID/LC%7cn83175347,Muqātil ibn Sulaymān,human,Q14095767,,,
540,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-08T13:48:59.864885Z | NAME RECON STEP 3: START HUMAN RECON 2023-09-08T13:51:25.948446200Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-09-08T13:51:36.141795300Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-09-08T13:51:55.911438500Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-09-08T13:52:12.531320900Z | NAME RECON STEP 6: START ORG RECON 2023-09-08T13:53:50.362573300Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-09-08T13:54:11.553517Z | NAME RECON STEP 9: FINALIZED 2023-09-08T13:54:27.786130100Z","Murādī, ʻAbd Allāh ibn ʻĪsá, active 12th century",scribe,مرادي، عبد الله بن عيسى، active 12th century,,,,,,,
539,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-08T13:48:59.864885Z | NAME RECON STEP 3: START HUMAN RECON 2023-09-08T13:51:25.948446200Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-09-08T13:51:36.141795300Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-09-08T13:51:55.911438500Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-09-08T13:52:12.531320900Z | NAME RECON STEP 6: START ORG RECON 2023-09-08T13:53:50.362573300Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-09-08T13:54:11.553517Z | NAME RECON STEP 9: FINALIZED 2023-09-08T13:54:27.786130100Z","Murtaḍá al-Zabīdī, Muḥammad ibn Muḥammad, 1732 or 1733-1791",author,مرتضى الزبيدي، محمد بن محمد، 1732 or 1733-1791,,Murtaḍá al-Zabīdī,human,Q4120098,,,
549,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-08T13:48:59.864885Z | NAME RECON STEP 3: START HUMAN RECON 2023-09-08T13:51:25.948446200Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-09-08T13:51:36.141795300Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-09-08T13:51:55.911438500Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-09-08T13:52:12.531320900Z | NAME RECON STEP 6: START ORG RECON 2023-09-08T13:53:50.362573300Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-09-08T13:54:11.553517Z | NAME RECON STEP 9: FINALIZED 2023-09-08T13:54:27.786130100Z","Mūsá ibn Ibrāhīm, active 14th century-15th century",author,موسى بن ابراهيم، active 14th century-15th century,,,,,,,
543,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-08T13:48:59.864885Z | NAME RECON STEP 3: START HUMAN RECON 2023-09-08T13:51:25.948446200Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-09-08T13:51:36.141795300Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-09-08T13:51:55.911438500Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-09-08T13:52:12.531320900Z | NAME RECON STEP 6: START ORG RECON 2023-09-08T13:53:50.362573300Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-09-08T13:54:11.553517Z | NAME RECON STEP 9: FINALIZED 2023-09-08T13:54:27.786130100Z","Muṣannifak, ʻAlī ibn Majd al-Dīn Muḥammad, 1400 or 1401-1470 or 1471",author,مصنفك، علي بن مجد الدين محمد، 1400 or 1401-1470 or 1471,,Ali al-Bistami,human,Q42343964,,,
541,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-08T13:48:59.864885Z | NAME RECON STEP 3: START HUMAN RECON 2023-09-08T13:51:25.948446200Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-09-08T13:51:36.141795300Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-09-08T13:51:55.911438500Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-09-08T13:52:12.531320900Z | NAME RECON STEP 6: START ORG RECON 2023-09-08T13:53:50.362573300Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-09-08T13:54:11.553517Z | NAME RECON STEP 9: FINALIZED 2023-09-08T13:54:27.786130100Z","Musawwirī, al-Ḥusayn ibn Aḥmad al-Muqrī, active 17th century",scribe,مسوري، الحسين بن احمد المقري، active 17th century,,,,,,,
