title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label
Sportula fragmentorum /,,,,Sportula fragmentorum
Steinhardt Antiphonary,,Antiphonary (Steinhardt),,Antiphonary
Steinhardt Gradual,,,,Gradual
Summarium totius Biblie distinctum per libros et capitula,,,,Bible
Super Matheum cum tabula in fine /,,,,Gospel of Matthew
Tabula Ethicorum Aristotelis,,,,Ethics
Tessoro,,,,Tresor
The voyages and travels of Sir John Mandeville /,,Itinerarium.,,Voyages and travels
Theological material,,,,Theological texts
Tractatus de veneno spirituali,,,,De veneno spirituali
Tractatus juris,,,,Legal texts
Tractatus optimus de arte bene moriendi,,,,De arte bene moriendi
Tractatus super Cantica Canticorum. Expositio super Psalumum XXVIII,,,,Cantica Canticorum
Transfer of goods,,,,Legal texts
Trattato de'sette vitii capitali cioè de peccati mortali,,Confessionale: Specchio di Coscienza.,,Trattato dei sette vizi capitali
Treatise on conveyancing,,,,Treatises
"Two treatises on the nobility by Werner Rolevinck and Jean Gerson, and selected passages from Poggio Bracciolini's Invectivae",,,,Treatises;Invectivae
Villacucca cartulary,,,,Cartulary
Virgilii Aeneidos,,Aeneis.,,Aeneid
Vita del beato S. Giovanni Battista,,,,Life of John the Baptist
"Vita del Re Alfonso d'Aragona, Re di Napoli",,,,Vita del Re Alfonso d'Aragona
Vita Sancti Eudecii,,,,Vita Sancti Eudecii
Vocabularius rerum,,,,Vocabularius rerum
Von Warsagen auss vil puechern in Kurtz begriffen,,,,Astrology
