row_index,workflow_history,place_as_recorded,authorized_label_add,structured_value_add,authorized_label,structured_value
22,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-28T20:05:46.623179100Z | PLACE RECON, STEP 3: START RECON 2023-11-28T20:06:04.157973100Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-11-28T22:44:01.521769200Z | PLACE RECON, STEP 6: FINALIZED 2023-11-28T22:45:25.173304400Z",Bohemia?,,,Bohemia,http://vocab.getty.edu/tgn/7006470
23,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-28T20:05:46.623179100Z | PLACE RECON, STEP 3: START RECON 2023-11-28T20:06:04.157973100Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-11-28T22:44:01.521769200Z | PLACE RECON, STEP 6: FINALIZED 2023-11-28T22:45:25.173304400Z","Bologna or Padua?, Italy",,,Bologna;Padua;Italy,http://vocab.getty.edu/tgn/7004847;http://vocab.getty.edu/tgn/7003085;http://vocab.getty.edu/tgn/1000080
24,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-28T20:05:46.623179100Z | PLACE RECON, STEP 3: START RECON 2023-11-28T20:06:04.157973100Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-11-28T22:44:01.521769200Z | PLACE RECON, STEP 6: FINALIZED 2023-11-28T22:45:25.173304400Z","Bologna, Italy",,,Bologna;Italy,http://vocab.getty.edu/tgn/7004847;http://vocab.getty.edu/tgn/1000080
25,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-28T20:05:46.623179100Z | PLACE RECON, STEP 3: START RECON 2023-11-28T20:06:04.157973100Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-11-28T22:44:01.521769200Z | PLACE RECON, STEP 6: FINALIZED 2023-11-28T22:45:25.173304400Z","Bologna?, Italy",,,Bologna;Italy,http://vocab.getty.edu/tgn/7004847;http://vocab.getty.edu/tgn/1000080
26,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-28T20:05:46.623179100Z | PLACE RECON, STEP 3: START RECON 2023-11-28T20:06:04.157973100Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-11-28T22:44:01.521769200Z | PLACE RECON, STEP 6: FINALIZED 2023-11-28T22:45:25.173304400Z","Bourges, France",,,Bourges;France,http://vocab.getty.edu/tgn/7017415;http://vocab.getty.edu/tgn/1000070
27,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-28T20:05:46.623179100Z | PLACE RECON, STEP 3: START RECON 2023-11-28T20:06:04.157973100Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-11-28T22:44:01.521769200Z | PLACE RECON, STEP 6: FINALIZED 2023-11-28T22:45:25.173304400Z","Bourges?, France",,,Bourges;France,http://vocab.getty.edu/tgn/7017415;http://vocab.getty.edu/tgn/1000070
28,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-28T20:05:46.623179100Z | PLACE RECON, STEP 3: START RECON 2023-11-28T20:06:04.157973100Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-11-28T22:44:01.521769200Z | PLACE RECON, STEP 6: FINALIZED 2023-11-28T22:45:25.173304400Z","Brabant?, Netherlands",,,Brabant;Netherlands,http://vocab.getty.edu/tgn/7003463;http://vocab.getty.edu/tgn/7016845
29,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-28T20:05:46.623179100Z | PLACE RECON, STEP 3: START RECON 2023-11-28T20:06:04.157973100Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-11-28T22:44:01.521769200Z | PLACE RECON, STEP 6: FINALIZED 2023-11-28T22:45:25.173304400Z","Brittany?, France",,,Brittany;France,http://vocab.getty.edu/tgn/7024267;http://vocab.getty.edu/tgn/1000070
30,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-28T20:05:46.623179100Z | PLACE RECON, STEP 3: START RECON 2023-11-28T20:06:04.157973100Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-11-28T22:44:01.521769200Z | PLACE RECON, STEP 6: FINALIZED 2023-11-28T22:45:25.173304400Z","Bruges, Belgium",,,Bruges;Belgium,http://vocab.getty.edu/tgn/7007867;http://vocab.getty.edu/tgn/1000063
31,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-28T20:05:46.623179100Z | PLACE RECON, STEP 3: START RECON 2023-11-28T20:06:04.157973100Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-11-28T22:44:01.521769200Z | PLACE RECON, STEP 6: FINALIZED 2023-11-28T22:45:25.173304400Z","Bruges, Flanders",,,Bruges;Flanders,http://vocab.getty.edu/tgn/7007867;http://vocab.getty.edu/tgn/7024097
