title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label_add,authorized_label
Hādhā Sharḥ al-Khamrīyah naẓm Abī Ḥafẓ ʻUmar ibn al-Fāriḍ /,هذا شرح الخمرية نظم ابي حفظ عمر بن الفارض /,Sharḥ al-Khamrīyah.,شرح الخمرية.,Sharḥ al-Khamrīyah,
Hādhā Sharḥ al-Shamāyil /,هذا شرح الشمايل /,Mawāhib al-Muḥammadīyah bi-sharḥ al-Shamāʼil al-Tirmidhīyah,مواهب المحمدية بشرح الشمائل الترمذية,,
Hādhā Sharḥ al-Shaykh Badr al-Dīn ibn Mālik ʻalá Alfiyat Ibn Mālik fī ʻilm al-ʻArabīyah,"هذا شرح الشيخ بدر الدين ابن مالك على الفية ابن مالك فى علم
				العربية.",Sharḥ Alfīyat Ibn Mālik,شرح الفية ابن مالك,,
Hādhā Sharḥ al-Ṣughrá al-ṣughrá /,هذا شرح الصغرى الصغرى /,Sharḥ Ṣughrá al-ṣughrá fī ʻilm al-tawḥīd,شرح صغرى الصغرى في علم التوحيد,Sharḥ Ṣughrá al-ṣughrá fī ʻilm al-tawḥīd,
Hādhā Sharḥ Gharāmī ṣaḥīḥ /,هذا شرح غرامي صحيح /,Zawāl al-taraḥ fī sharḥ manẓūmat Ibn Faraḥ,زوال الترح في شرح منظومة ابن فرح,,
Hādhā Sharḥ Ghāyat al-ikhtiṣār ʻalá matn Abū Shujāʻ al-Shāfiʻī /,هذا شرح غاية الاختصار على متن ابو شجاع الشافعي /,Fatḥ al-qarīb al-mujīb fī sharḥ alfāẓ al-Taqrīb,فتح القريب المجيب في شرح الفاظ التقريب,,
Hādhā Sharḥ Ḥizb al-Shādhilī al-kabīr ... etc,هذا شرح حزب الشاذلي الكبير ... الخ.,,,,
Hādhā Sharḥ Ibn ʻAqīl ʻalá Alfīyat Ibn Mālik,هذا شرح ابن عقيل على الفية ابن مالك.,Sharḥ Ibn ʻAqīl ʻalá Alfīyat Ibn Mālik.,شرح ابن عقيل على الفيه ابن مالك.,,
Hādhā Sharḥ laṭīf al-muṣaḥḥaḥ fī ṣifat Sayyid al-Mursalīn wa-al-ʻasharah al-mubashsharah wa-al-Ḥasan wa-al-Ḥusayn wa-ʻadad zawajātihi ṣallá Allāh ʻalayhi wa-sallam wa-ʻadad awlādihi wa-jaddātihi wa-asmāʼ aṣḥāb al-kahf ʻalá al-qawl al-aṣḥaḥḥ /,"هذا شرح لطيف المصحح في صفة سيد المرسلين والعشرة المبشرة والحسن والحسين وعدد
				زوجاته صلى الله عليه وسلم وعدد اولاده وجداته واسماء اصحاب الكهف على القول الاصحح
				/","Sharḥ fī ṣifat Sayyid al-Mursalīn wa-al-ʻasharah al-mubashsharah
				wa-al-Ḥasan wa-al-Ḥusayn wa-ʻadad zawajātihi wa-awlādihi wa-jaddātihi wa-asmāʼ
				aṣḥāb al-kahf","شرح في صفة سيد المرسلين والعشرة المبشرة والحسن والحسين وعدد زوجاته واولاده
				وجداته واسماء اصحاب الكهف",,
Hādhā sharḥ laṭīf li-baʻḍ al-fuḍalā ʻalá qaṣīdat Ibn al-Fāriḍ,هذا شرح لطيف لبعض الفضلا على قصيدة ابن الفارض.,"Sharḥ laṭīf li-baʻḍ al-fuḍalā' ʻalá qaṣīdat Ibn
				al-Fāriḍ.",شرح لطيف لبعض الفضلاء على قصيدة ابن الفارض.,,
Hādhā Sharḥ laṭīf ʻalá Manẓūmat al-ʻAllāmah al-Shabrāmallisī fī ʻilm al-ʻarūḍ /,هذا شرح لطيف على منظومة العلامة الشبراملسي في علم العروض /,"Kashf al-ghumūḍ bi-fahm al-Rajaz al-mafrūḍ fī ʻilm mā yuqṣadu min
				al-ʻarūḍ.",کشف الغموض بفهم الرجز المفروض في علم ما يقصد من العروض.,,
Hādhā Sharḥ Maqṣūrat Ibn Durayd Abī Bakr Muḥammad ibn al-Ḥasan /,هذا شرح مقصورة ابن دريد ابي بكر محمد بن الحسن /,Āyāt al-maqṣūrah ʻalá al-abyāt al-maqṣūrah,آيات المقصورة على الابيات المقصورة,,
Hādhā Sharḥ yusammá bi-al-Bahjah al-sanīyah ʻalá al-qaṣīdah al-musammāh bi-al-Zaynabīyah /,هذا شرح يسمى بالبهجة السنية على القصيدة المسماه بالزينبية /,Bahjah al-sanīyah ʻalá al-Qaṣīdah al-Zaynabīyah,بهجة السنية على القصيدة الزينبية,,
Hādhā Sharḥ ʻalá Qiṣṣat al-miʻrāj lil-Shaykh Najm al-Dīn al-Ghayṭī,هذا شرح على قصة المعراج للشيخ نجم الدين الغيطي.,Sharḥ ʻalá Qiṣṣat al-miʻrāj,شرح على قصة المعراج,Sharḥ ʻalá Qiṣṣat al-miʻrāj,
Hādhā Sharḥ ʻalá sharḥ al-Kāfī fī ʻilm al-ʻarūḍ wa-al-qawāfī,هذا شرح على شرح الكافي في علم العروض والقوافي.,Fatḥ al-wakīl al-kāfī bi-sharḥ matn al-Kāfī,فتح الوکيل الکافي بشرح متن الکافي,,
Hādhā Sharḥ ʻAlī ibn Majd al-Dīn al-Shāmardawrī al-Busṭāmī ʻalá Burdat al-madīḥ,هذا شرح علي بن مجد الدين الشامردوري البسطامي على بردة المديح.,Sharḥ ʻalá Burdat al-madīḥ.,شرح على بردة المديح.,Sharḥ ʻalá Burdat al-madīḥ,
Hādhā Takhmīs ʻalá Qaṣīdat ʻAbd Allāh al-Shabrāwī,هذا تخميس على قصيدة عبد الله الشبراوي.,Takhmīs ʻalá Qaṣīdat ʻAbd Allāh al-Shabrāwī,تخميس على قصيدة عبدالله الشبراوي,,
Hādhā Talkhīṣ laṭīf min Tahdhīb al-asmāʼ wa-al-lughāt,هذا تلخيص لطيف من تهذيب الاسماء واللغات.,Talkhīṣ laṭīf min Tahdhīb al-asmāʼ wa-al-lughāt,تلخيص لطيف من تهذيب الاسماء واللغات,Talkhīṣ laṭīf min Tahdhīb al-asmāʼ wa-al-lughāt,
Hādhā Tārīkh ḥiṣār al-Ifranj li-ʻAkkah al-maḥrūsah wa-ḥuṣūl al-naṣr ʻalayhim /,هذا تاريخ حصار الافرنج لعكة المحروسة وحصول النصر عليهم /,"Tārīkh ḥiṣār al-Ifranj li-ʻAkkah al-maḥrūsah wa-ḥuṣūl al-naṣr
				ʻalayhim.",تاريخ حصار الافرنج لعکة المحروسة وحصول النصر عليهم.,Tārīkh ḥiṣār al-Ifranj li-ʻAkkah al-maḥrūsah wa-ḥuṣūl al-naṣr ʻalayhim,
Hādhihi al-Qaṣīdah al-Zaynabīyah wa-tafsīruhā ʻalá al-tamām wa-al-kamāl,هذه القصيدة الزينبية وتفسيرها على التمام والکمال.,Bahjah al-sanīyah li-sharḥ al-Qaṣīdah al-Zaynabīyah,بهجة السنية لشرح القصيدة الزينبية,,
Hādhihi Arbaʻūn ḥadīth fī faḍl Qul huwa Allāh aḥad ... etc,هذه اربعون حديثا في فضل قل هو الله احد ... الخ.,,,Hadiths,
Hādhihi Asānīd al-kutub al-sittah wa-asānīd al-aʼimmah al-arbaʻah /,هذه اسانيد الكتب الستة واسانيد الايمة الاربعة /,Asānīd al-kutub al-sittah wa-asānīd al-aʻimmah al-arbaʻah,اسانيد الکتب الستة واسانيد الائمة الاربعة,Asānīd al-kutub al-sittah wa-asānīd al-aʻimmah al-arbaʻah,
Hādhihi Badīʻīyat ʻAlī Ṣadr al-Dīn ibn Aḥmad Niẓām al-Dīn al-Ḥusaynī al-Ḥasanī al-Madanī,"هذه بديعية علي صدر الدين بن احمد نظام الدين الحسيني الحسني
				المدني.",Anwār al-rabīʻ fī anwāʻ al-badīʻ,انوار الربيع في انواع البديع,Anwār al-rabīʻ fī anwāʻ al-badīʻ,
Hādhihi Ḥaqāyiq al-Sanūsīyah Umm al-barāhīn /,هذه حقايق السنوسية ام البراهين /,Ḥaqāʼiq al-Sanūsīyah Umm al-barāhīn,حقائق السنوسية ام البراهين,,
Hādhihi Ḥāshiyah ʻalá al-sharḥ al-mashhūr bi-Sharḥ Jamʻ al-Jawāmiʻ /,هذه حاشية على الشرح المشهور بشرح جمع الجوامع /,Ḥāshiyah ʻalá sharḥ Jamʻ al-jawāmiʻ,حاشية على شرح جمع الجوامع,Ḥāshiyah,
Hādhihi Ḥāshiyah ʻalá Sharḥ al-Sittīn masʼalah lil-Shaykh Aḥmad al-Ramlī ... etc,هذه حاشية على شرح الستين مسألة للشيخ احمد الرملي ... الخ.,,,Ḥāshiyah,
Hādhihi Ḥāshiyah ʻalá Sharḥ Ibn Qāsim al-Ghazzī /,هذه حاشية على شرح ابن قاسم الغزي /,Ḥāshiyah ʻalá Fatḥ al-qarīb al-mujīb fī sharḥ alfāẓ al-Taqrīb,حاشية على فتح القريب المجيب في شرح الفاظ التقريب,Ḥāshiyah,
Hādhihi Ḥāshiyat al-Nuqāyah al-musammá bi-ʻUnwān ahl al-ʻināyah ʻalá kashf ghawāmiḍ al-Nuqāyah /,"هذه حاشية النقاية المسمى بعنوان اهل العناية على كشف غوامض النقاية
				/",ʻUnwān ahl al-ʻināyah ʻalá kashf ghawāmiḍ al-Nuqāyah,عنوان اهل العناية على کشف غوامض النقاية,Ḥāshiyah,
Hādhihi Ḥāshiyat al-Yūsī ʻalá Sharḥ Mukhtaṣar al-Sunūsī fī ʻilm al-manṭiq,هذه حاشية اليوسي على شرح مختصر السنوسي في علم المنطق.,Nafāʼis al-durar fī ḥawāshī al-Mukhtaṣar,نفائس الدرر في حواشي المختصر,Ḥāshiyah,
Hādhihi Ḥāshiyat Muḥammad al-Khuḍarī al-Shāfiī ʻalá Sharḥ Ibn ʻAqīl li-Alfīyat Ibn Mālik,هذه حاشية محمد الخضري الشافي على شرح ابن عقيل لالفية ابن مالك.,Ḥāshiyah ʻalá Sharḥ Ibn ʻAqīl li-Alfīyat Ibn Mālik.,حاشية على شرح ابن عقيل لالفية ابن مالك.,Ḥāshiyah,
Hādhihi Ḥ̣ilyat al-faṣīḥ fī naẓm mā qad jāʼa fī al-Faṣīḥ li-Thaʻlab /,هذه حلية الفصيح في نظم ما قد جاء في الفصيح لثعلب /,Ḥ̣ilyat al-faṣīḥ fī naẓm al-Faṣīḥ,حلية الفصيح في نظم الفصيح,,
Hādhihi ijāzat al-ʻalālim al-ʻallāmah al-Shaykh Aḥmad al-Ṣabbāgh al-Sikandarī,هذه اجازة العلالم العلامة الشيخ احمد الصباغ السكندري.,Ijāzah,اجازة,Ijāzah,
Hādhihi Jumlah min muhimmāt al-aḥkām lā yastaghnī ʻanhā al-khāṣṣ wa-al-ʻāmm /,هذه جملة من مهمات الاحكام لا يستغني عنها الخاص والعام /,"Jumlah min muhimmāt al-aḥkām lā yastaghnī ʻanhā al-khāṣṣ
				wa-al-ʻāmm",جملة من مهمات الاحکام لا يستغني عنها الخاص والعام,,
Hādhihi Muqniʻah kāmilah fī ʻilm al-jabr wa-al-muqābalah mukhtaṣarah min sharḥ al-Shaykh Muṣṭafá al-Ṭāʼī ʻalá al-Yāsmīnīyah,"هذه مقنعة كاملة في علم الجبر والمقابلة مختصرة من شرح الشيخ مصطفى الطائي على
				الياسمينية.",Muqniʻah kāmilah fī ʻilm al-jabr wa-al-muqābalah,مقنعة کاملة في علم الجبر والمقابلة.,,
Hādhihi Muthallathah fī ʻilm al-lughah al-ʻArabīyah /,هذه مثلثة في علم اللغة العربية /,Muthallathah fī ʻilm al-lughah al-ʻArabīyah.,مثلثة في علم اللغة العربية.,,
Hādhihi Qaṣīdat al-marḥūm al-Ḥājj Aḥmad al-Kabbāshī,هذه قصيدة المرحوم الحاج احمد الكباشي.,Qaṣīdah.,قصيدة.,Arabic poems,
Hādhihi Risālah Dimashqīyah fī tark rafʻ al-yadayn ʻinda al-rukūʻ wa-ʻinda rafʻ al-raʼs minhu /,"هذه رسالة دمشقية في ترك رفع اليدين عند الركوع وعند رفع الرأس منه
				/","Risālah Dimashqīyah fī tark rafʻ al-yadayn ʻinda al-rukūʻ wa-ʻinda rafʻ
				al-raʼs minhu",رسالة دمشقية في ترك رفع اليدين عند الرکوع وعند رفع الرأس منه,Risālah,
Hādhihi Risālah fī al-taqsīm wa-al-maqsim wa-al-qasīm /,هذه رسالة في التقسيم والمقسم والقسيم /,Risālah fī bayān al-taqsīm wa-al-qism wa-al-qasīm,رسالة في بيان التقسيم والقسم والقسيم,Risālah,
Hādhihi Risālah fī awāʼil kutub al-ḥadīth /,هذه رسالة في اوائل كتب الحديث /,Risālah fī awāʼil kutub al-ḥadīth,رسالة في أوائل کتب الحديث,Risālah,
Hādhihi Risālah fī ḥukm al-māʼ al-mustaʻmal /,هذه رسالة في حكم الماء المستعمل /,Risālah fī ḥukm al-māʼ al-mustaʻmal,رسالة في حکم الماء المستعمل,Risālah,
Hādhihi Risālah fī qirāʼāt al-Imām al-Kisāʼī wa-rāwiyayhi Abī al-Ḥārith wa-al-Imām Ḥafṣ al-Dawrī,"هذه رسالة في قراءات الامام الكسائي وراوييه ابي الحارث والامام حفص
				الدوري.","Risālah fī qirāʼāt al-Imām al-Kisāʼī wa-rāwiyayhi Abī al-Ḥārith
				wa-al-Imām Ḥafṣ al-Dawrī","رسالة في قراءة الامام الکسائي وراوييه ابي الحارث والامام حفص
				الدوري",Risālah,
Hādhihi Risālah laṭīfah fī taḥwīl al-muʻāmalah,هذه رسالة لطيفة في تحويل المعاملة.,Risālah fī taḥwīl al-muʻāmalah,رسالة في تحويل المعاملة,Risālah,
Hādhihi Risālah mushtamilah ʻalá mabādiʼ iḥdā wa-ʻishrīn ʻilm min al-ʻulūm al-nāfiʻah /,هذه رسالة مشتملة على مبادئ احدا وعشرين علما من العلوم النافعة /,Risālah mushtamilah ʻalá mabādiʼ iḥdá wa-ʻishrīn ʻilm,رسالة مشتملة على مبادئ احدى وعشرين علمًا,Risālah,
Hādhihi Risālat dāʼirat ʻalá dāʼirat al-muʻaddal /,هذه رسالة دائرة على دائرة المعدل /,Risālah ʻalá dāʼirat al-muʻaddal,رسالة على دائرة المعدل,Risālah,
Hādhihi Risālat Ghayth nafʻ al-ṭālibīn wa-munyat al-rāghibīn fī maʻrifat tajwīd al-Qurʼān al-mubīn,"هذه رسالة غيث نفع الطالبين ومنية الراغبين في معرفة تجويد القرآن
				المبين.","Ghayth nafʻ al-ṭālibīn wa-munyat al-rāghibīn fī maʻrifat tajwīd
				al-Qurʼān al-mubīn",غيث نفع الطالبين ومنية الراغبين في معرفة تجويد القرآن المبين,Risālah,
Hādhihi Risālat Nūr al-ʻayn fī dhikr mashhad al-Sayyid al-Ḥusayn /,هذه رسالة نور العين في ذكر مشهد السيد الحسين /,Nūr al-ʻayn fī dhikr mashhad al-Ḥusayn.,نور العين في ذکر مشهد الحسين.,Risālah,
Hādhihi Risālat Qurrat al-ʻayn fī al-imālah wa-al-fatḥ wa-bayna al-lafẓayn /,هذه رسالة قرة العين في الامالة والفتح وبين اللفظين /,Qurrat al-ʻayn fī al-fatḥ wa-al-imālah wa-bayna al-lafẓayn,قرة العين في الفتح والامالة وبين اللفظين,Risālah,
Hādhihi Taqyīdāt ʻalá matn Īsāghūjī /,هذه تقييدات على متن ايساغوجي /,Sharḥ Īsāghūjī,شرح ايساغوجي,Sharḥ Īsāghūjī,
Hādhihi Tasbīʻ al-Burdah wa-yalīhā baʻḍ qaṣāʼid,هذه تسبيع البردة ويليها بعض قصائد.,Tasbīʻ al-Burdah wa-yalīhā baʻḍ qaṣāʼid.,تسبيع البردة ويليها بعض قصائد.,,
Hādhihi Tuḥfat al-murīdīn bi-sharḥ Wasīlat al-mubtadiʼīn,هذه تحفة المريدين بشرح وسيلة المبتدئين.,Tuḥfat al-murīdīn bi-sharḥ Wasīlat al-mubtadiʼīn,تحفة المريدين بشرح وسيلة المبتدئين,,
Hādhihi Tuḥfat al-ṭullāb fī ʻamal al-asṭurlāb,هذه تحفة الطلاب في عمل الاسطرلاب.,Tuḥfat al-ṭullāb fī ʻamal al-asṭurlāb.,تحفة الطلاب في عمل الاسطرلاب.,Tuḥfat al-ṭullāb fī ʻamal al-asṭurlāb,
Hārūnīyah wa-Sharḥuhā,هارونية وشرحها.,,,,
Ḥāshiyah-i Sharḥ-i Tajrīd-i ʻAlī al-Iṣbahānī /,حاشيه شرح تجريد علي الاصبهاني /,Ḥāshiyah ʻalá Sharḥ al-Iṣfahānī,حاشية على شرح الاصفهاني,Ḥāshiyah,
Ḥāshiyah laṭīfah ʻalá baʻḍ alfāẓ waqaʻat fī al-Maqāmāt al-Ḥarīrīyah,حاشية لطيفة على بعض الفاظ وقعت في المقامات الحريرية.,"Intiṣāf bayna Ibn Barrī wa-Ibn al-Khashshāb fī kalāmihima ʻalá
				al-Maqāmāt",انتصاف بين ابن بري وابن الخشاب في كلامهم على المقامات,Ḥāshiyah,
Ḥāshiyah ʻalá al-Fawāʼid al-Ḍiyāʼīyah /,حاشية على الفوائد الضيائية /,,,Ḥāshiyah,
Ḥāshiyah ʻalá al-Ḥāshiyah al-Sharīfīyah ʻalá Sharḥ al-Maṭāliʻ /,حاشية على الحاشية الشريفية على شرح المطالع /,,,Ḥāshiyah,
Ḥāshiyah ʻalá al-Mukhtaṣar,حاشية على المختصر,,,Ḥāshiyah,
Ḥāshiyah ʻalá al-Mukhtaṣar ... etc,حاشية على المختصر ... الخ.,,,Ḥāshiyah,
Ḥāshiyah ʻalá al-Risālah al-Ḥusaynīyah ... etc,حاشية على الرسالة الحسينية ... الخ.,,,Ḥāshiyah,
Ḥāshiyah ʻalá al-Wāfiyah fī sharḥ al-Kāfiyah ... etc,حاشية على الوافية في شرح الكافية ... الخ.,,,Ḥāshiyah,
Ḥāshiyah ʻalá Anwār al-tanzīl wa-asrār al-taʼwīl,حاشية على انوار التنزيل واسرار التأويل,,,Ḥāshiyah ʻalá Anwār al-tanzīl wa-asrār al-taʼwīl,
Ḥāshiyah ʻalá Sharḥ al-Dawwānī ʻalá al-Tahdhīb /,حاشية على شرح الدواني على التهذيب /,Ḥāshiyah ʻalá Sharḥ al-Dawwānī,حاشية على شرح الدواني,Ḥāshiyah,
Ḥāshiyah ʻalá Sharḥ al-Hidāyah ... etc,حاشية على شرح الهداية ... الخ.,,,Ḥāshiyah,
Ḥāshiyah ʻalá Sharḥ al-Jazarīyah li-Shaykh al-Islām al-Qāḍī Zakarīyā al-Anṣārī /,حاشية على شرح الجزرية لشيخ الاسلام القاضي زكريا الانصاري /,Nukat al-lawdhaʻīyah ʻalá Sharḥ al-Jazarīyah,نکت اللوذعية على شرح الجزرية,Ḥāshiyah,
Ḥāshiyah ʻalá Sharḥ al-Risālah al-Sharṭīyah,حاشية على شرح الرسالة الشرطية.,,,Ḥāshiyah,
Ḥāshiyah ʻalá Sharḥ al-Risālah fī ādāb al-baḥth ... etc,حاشية على شرح الرسالة في آداب البحث ... الخ.,,,Ḥāshiyah,
Ḥāshiyah ʻalá sharḥ Jamʻ al-jawāmiʻ,حاشية على شرح جمع الجوامع.,,,Ḥāshiyah ʻalá sharḥ Jamʻ al-jawāmiʻ,
Ḥāshiyat al-Qāmūs /,حاشية القاموس /,,,Ḥāshiyah,
Ḥāshiyat al-Sayyid al-Sharīf al-Jurjānī ʻalá al-Muṭawwal ... etc,حاشية السيد الشريف الجرجاني على المطول ... الخ.,,,Ḥāshiyah,
Ḥāshiyat al-Sayyid al-Sharīf al-Jurjānī ʻalá Sharḥ al-Shamsīyah lil-Quṭb wa-Sharḥuhu ayḍan ʻalá al-Jighmīnī fī ʻilm al-hayʼah,"حاشية السيد الشريف الجرجاني على شرح الشمسية للقطب وشرحه ايضا على الجغميني
				في علم الهيئة.",Ḥāshiyat ʻalá Sharḥ al-Shamsīyah,حاشية على شرح الشمسية,Ḥāshiyah,
Ḥāshiyat al-Sujāʻī ʻalá Sharḥ Ibn ʻAqīl,حاشية السجاعي على شرح ابن عقيل.,Fatḥ al-jalīl ʻalá sharḥ Ibn ʻAqīl.,فتح الجليل على شرح ابن عقيل.,Ḥāshiyah,
Ḥāshiyat al-ʻAllāmah al-Imām Aḥmad ibn Qāsim al-ʻAbbādī ʻalá Sharḥ Talkhīṣ al-miftāḥ li-Saʻd al-Dīn al-Taftāzānī,"حاشية العلامة الامام احمد بن قاسم العبادي على شرح تلخيص المفتاح لسعد الدين
				التفتازاني.",Ḥāshiyah ʻalá al-Sharḥ al-mukhtaṣar,حاشية على الشرح المختصر,Ḥāshiyah,
Ḥāshiyat al-ʻAllāmah Ibn Abī al-Sharīf,حاشية العلامة ابن ابي الشريف.,Durar al-lawāmiʻ fī taḥrīr Jamʻ al-jawāmiʻ,درر اللوامع في تحرير جمع الجوامع,Durar al-lawāmiʻ fī taḥrīr Jamʻ al-jawāmiʻ,
Ḥāshiyat al-ʻAllāmah ʻAbd al-Ḥalīm al-Hindī al-shahīr bi-Siyālkūtī ʻalá al-Muṭawwal,حاشية العلامة عبد الحليم الهندي الشهير بسيالكوتي على المطول.,Ḥāshiyah ʻalá al-Muṭawwal.,حاشية على المطول.,Ḥāshiyah,
Ḥāshiyat Bayḍāwī ʻalá juzʼ al-Nabaʼ li-Ismāʻīl al-Ḥaqqī,حاشية بيضاوي على جزء النبأ لاسماعيل الحقي,Ḥāshiyah ʻalá Anwār al-tanzīl wa-asrār al-taʼwīl.,حاشية على انوار التنزيل واسرار التأويل.,Ḥāshiyah ʻalá Anwār al-tanzīl wa-asrār al-taʼwīl,
Ḥāshiyat Jalāl li-Sharḥ al-Quṭb lil-Shamsīyah,حاشية جلال لشرح القطب للشمسية.,,,Ḥāshiyah,
Ḥāshiyat Maqāmāt al-Ḥarīrī /,حاشية مقامات الحريري /,,,Ḥāshiyah,
Ḥāshiyat mawlānā Khusraw lil-Qāḍī,حاشية مولانا خسرو للقاضي.,Ḥāshiyah ʻalá Anwār al-tanzīl,حاشية على انوار التنزيل,Ḥāshiyah ʻalá Anwār al-tanzīl,
Ḥāshiyat Mīrzā Jān ʻalá Ḥāshiyat al-Khiṭāʼī ʻalá al-Mukhtaṣar al-maʻānī,حاشية ميرزا جان على حاشية الخطائي على المختصر المعاني.,Ḥāshiyah ʻalá ḥāshiyat al-Khiṭāʼī ʻalá al-Mukhtaṣar.,حاشية على حاشية الخطائي على المختصر.,Ḥāshiyah,
Ḥ̣āshiyat Sharḥ al-Alfīyah li-Ibn al-Nāẓim /,حاشية شرح الالفية لابن الناظم /,,,Ḥāshiyah,
Ḥāwiyat al-ṣalāḥ li-man arāda al-najāḥ /,حاوية الصلاح لمن اراد النجاح /,,,Ḥāwiyat al-ṣalāḥ li-man arāda al-najāḥ,
Ḥayāt al-qulūb,حياة القلوب.,,,Ḥayāt al-qulūb,
Haza Kitab-ı Şerh-i Kâfiye /,هذا كتاب شرح كافية /,Şerh-i Kâfiye,شرح الکافية,Şerh-i Kâfiye,
Hāz̲ā Qaṣīdah-i Qasṭallānī,هذا قصيده قسطلانى,Mukhammasāt al-Qasṭallānī.,مخمسات القسطلاني.,Arabic poetry,
Hidāyat al-ḥayārá fī ajwibat al-Yahūd wa-al-Naṣārá /,هداية الحيارى في اجوبة اليهود والنصارى /,,,Hidāyat al-ḥayārá fī ajwibat al-Yahūd wa-al-Naṣārá,
Ḥikāyat Abī Hiffān,حکاية ابي هفان.,,,Ḥikāyat Abī Hiffān,
Ḥilyat al-awliyāʼ,حلية الاولياء.,Ḥilyat al-awliyāʼ.,حلية الاولاء.,Ḥilyat al-awliyāʼ,
Ḥirz al-amānī wa-wajh al-tahānī,حرز الاماني ووجه التهاني,,,,
Ḥujjat al-qirāʼāt /,حجة القراءات /,,,Ḥujjat al-qirāʼāt,
Ḥullat al-dhahab al-ibrīz fī riḥlat Baʻlbak wa-al-Biqāʻ /,حلة الذهب الابريز في رحلة بعلبك والبقاع /,,,,
Ḥusn al-daʻwah lil-ijābah ilá al-qahwah /,حسن الدعوة للاجابة الى القهوة /,,,,
Ifādat al-khabar bi-naṣṣihi fī ziyādat al-ʻumr wa-naqṣih /,افادة الخبر بنصه في زيادة العمر ونقصه /,,,,
Iftitāḥ ʻalá al-Miṣbāḥ,افتتاح على المصباح.,Iftitāḥ,افتتاح,Iftitāḥ,
Ijāzah,اجازة.,,,Ijāzah,
Ijāzat al-Shaykh ʻAbd Allāh al-Ḥanbalī,اجازة الشيخ عبد الله الحنبلي.,Ijāzah,اجازة,Ijāzah,
Ijāzat Ḥāfiẓ al-Dīn Muṣṭafá ibn Rajab al-Izmīrī,اجازة حافظ الدين مصطفى ابن رجب الازميري.,,,,
Ikhtiṣār Durrat al-ghawwāṣ fīmā wahima ʻalá al-khawāṣṣ /,اختصار درة الغواص فيما وهم على الخواص /,"Mukhtaṣar Durrat al-ghawwāṣ fīmā wahima ʻalá
				al-khawāṣṣ.",مختصر درة الغواص فيما وهم على الخواص.,,
Ikhtiṣār Mukhtaṣar al-Maqāṣid al-ḥasanah,اختصار مختصر المقاصد الحسنة.,,,,
Incomplete Arabic-Turkish vocabulary,,,,Arabic-Turkish vocabulary,
Institutionum Arithmeticorum /,,De institutione arithmetica,,De institutione arithmetica,
Ishārāt Ṣaḥīḥ al-Bukhārī wa-asānīduh /,اشارات صحيح البخاري واسانيده /,,,,
Iṣlāḥ al-isfār ʻan wujūh baʻḍ mukhaddarāt al-Durr al-mukhtār /,اصلاح الاسفار عن وجوه بعض مخدرات الدر المختار /,,,,
Istiʻārat Muftīʹzādah,استعارة مفتي‌زادة,Muftīʹzādah ʻalá Istiʻārāt al-ʻIṣām,مفتي‌زادة على استعارات العصام,Muftīʹzādah ʻalá Istiʻārāt al-ʻIṣām,
Itḥāf arbāb al-dirāyah bi-fatḥ al-Hidāyah /,اتحاف ارباب الدراية بفتح الهداية /,,,Itḥāf arbāb al-dirāyah bi-fatḥ al-Hidāyah,
Iʻrāb al-Qurʼān /,اعراب القرآن /,,,Iʻrāb al-Qurʼān,
Iʻrāb ʻan qawāʻid al-iʻrāb ... etc,اعراب عن قواعد الاعراب ... الخ,,,Iʻrāb ʻan qawāʻid al-iʻrāb,
Jāmiʻ al-lughah /,جامع اللغة /,,,Jāmiʻ al-lughah,
Jamʻ al-fawāyid al-mukhtaṣar min Jāmiʻ al-uṣūl wa-Majmaʻ al-zawāyid /,جمع الفوايد المختصر من جامع الاصول ومجمع الزوايد /,Jamʻ al-fawāʼid min Jāmiʻ al-uṣūI wa-Majmaʻ al-zawāʼid,جمع الفوائد من جامع الاصول ومجمع الزوائد,,
Jamʻ al-wasāʼil fī sharḥ al-Shamāʼil,جمع الوسائل في شرح الشمائل.,,,,
Jawharat al-tawḥīd ... etc,جوهرة التوحيد ... الخ.,,,Jawharat al-tawḥīd,
Jaʻbarī ʻalá al-Shāṭibīyah,جعبري على الشاطبية,Kanz al-maʻānī fī sharḥ Ḥirz al-amānī,كنز المعاني في شرح حرز الاماني,Kanz al-maʻānī fī sharḥ Ḥirz al-amānī,
Juhd al-muqill,جهدالمقل.,,,Juhd al-muqill,
Juzʼ fīhi arbaʻūn ḥadīth muntaqāh min Kitāb al-Shifā bi-taʻrīf ḥuqūq al-Muṣṭafā /,جز فيه اربعون حديثا منتقاه من كتاب الشفا بتعريف حقوق المصطفا /,,,Hadīth,
Juzʼ min tafsīr al-Qurʼān,جزء من تفسير القرآن.,Tafsīr Muqātil ibn Sulaymān,تفسير مقاتل بن سليمان,Tafsīr Muqātil ibn Sulaymān,
Kashf al-asrār ʻan ḥurūf al-ghubār,کشف الاسرار عن حروف الغبار.,,,Kashf al-asrār ʻan ḥurūf al-ghubār,
Kashf al-lithām ʻan wujūh mukhdarāt al-Ṣinf al-awwal min dhawī al-arḥām /,كشف اللثهام عن وجوه مخدرات الصنف الاول من ذوي الارحام /,,,,
