title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label_add,authorized_label
al-Juzʼ al-awwal al-sābiʻ min Naẓm al-laʼālī fī al-miʼah al-ʻawālī al-mukhrajah lil-Burhān al-Shāmī /,"الجزء الاول السابع من نظم اللألي في المائة العوالي المخرجة للبرهان الشامي
				/",Naẓm al-laʼālī fī al-miʼah al-ʻawālī,نظم اللألي في المائة العوالي,Naẓm al-laʼālī fī al-miʼah al-ʻawālī,
al-Juzʼ al-awwal min al-fawāʼid al-sanīyah fī sharḥ al-Alfīyah al-uṣūlīyah /,الجزء الاول من الفوائد السنية في شرح الالفية الاصولية /,Fawāʼid al-sanīyah fī sharḥ al-Alfīyah.,فوائد السنية في شرح الالفية.,Fawāʼid al-sanīyah fī sharḥ al-Alfīyah,
al-Juzʼ al-awwal min al-Kashshāf ʻan ḥaqāʼiq ghawāmiḍ al-tanzīl wa-ʻuyūn al-aqāwīl fī wujūh al-taʼwīl /,"الجزء الاول من الكشاف عن حقائق غوامض التنزيل وعيون الاقاويل في وجوه التأويل
				/","Kashshāf ʻan ḥaqāʼiq ghawāmiḍ al-tanzīl wa-ʻuyūn al-aqāwīl fī wujūh
				al-taʼwīl",کشاف عن حقائق غوامض التنزيل وعيون الاقاويل في وجوه التأويل,Kashshāf ʻan ḥaqāʼiq ghawāmiḍ al-tanzīl wa-ʻuyūn al-aqāwīl fī wujūh al-taʼwīl,
al-Juzʼ al-awwal min al-Maṣābīḥ /,الجزء الاول من المصابيح /,Maṣābīḥ al-sunnah.,مصابيح السنة,Maṣābīḥ al-sunnah,
al-Juzʼ al-awwal min al-Turjumān,الجزء الاول من الترجمان.,Turjumān.,ترجمان.,Turjumān,
al-Juzʼ al-awwal min Kitāb al-Aghānī,الجزء الاول من كتاب الاغاني.,Kitāb al-Aghānī.,كتاب الاغاني.,Kitāb al-Aghānī,
al-Juzʼ al-awwal min Kitāb Jawāhir al-ʻuqūd wa-muʻīn al-quḍāh wa-al-muwaqqiʻīn wa-al-shuhūd /,"الجزؤ الاول من كتاب جواهر العقود ومعين القضاه والموقعين والشهود
				/","Jawāhir al-ʻuqūd wa-muʻīn al-quḍāh wa-al-muwaqqiʻīn
				wa-al-shuhūd.",جواهرالعقود وميعن القضاة والموقعين والشهود.,Jawāhir al-ʻuqūd wa-muʻīn al-quḍāh wa-al-muwaqqiʻīn wa-al-shuhūd,
al-Juzʼ al-awwal min mukhtaṣar Sharḥ Muslim sharḥ al-Imām ... shaykh al-Islām Muḥyī al-Dīn al-Nawāwī ikhtiṣār al-Shaykh al-imām al-ʻālim al-fāḍil Jamāl al-Dīn ʻAbd Allāh ibn Shams al-Dīn Muḥammad al-Anṣarī al-Shāfiʻī al-Ḥalabī raḥimahu Allāh taʻālá wa-huwa bi-khaṭṭ muʼallifih,"الجزء الاول من مختصر شرح مسلم شرح الامام ... شيخ الاسلام محيي الدين
				النواوي اختصار الشيخ الامام العالم الفاضل جمال الدين عبد الله بن شمس الدين محمد
				الانصري الشافعي الحلبي رحمه الله تعالى وهو بخط مؤلفه",Talkhīṣ Sharḥ Ṣaḥīḥ Muslim.,تلخيص شرح صحيح مسلم.,Talkhīṣ Sharḥ Ṣaḥīḥ Muslim,
al-Juzʼ al-awwal min Sharḥ al-Bahjah /,الجزؤ الاول من شرح البهجة /,Bahjah al-marḍīyah.,بهجة المرضية.,Bahjah al-marḍīyah,
al-Juzʼ al-awwal min Sīrat al-Ḥalabī,الجزؤ الاول من سيرة الحلبي,Sīrah al-Ḥalabīyah,سيرة الحلبية,Sīrah al-Ḥalabīyah,
al-Juzʼ al-awwal min Zād al-masīr fī ʻilm al-tafsīr /,الجزء الاول من زاد المسير في علم التفسير /,Zād al-masīr fī ʻilm al-tafsīr.,زاد المسير في علم التفسير.,Zād al-masīr fī ʻilm al-tafsīr,
al-Juzʼ al-rābiʻ min al-Aḥkām al-kubrá /,الجزء الرابع من الاحكام الكبرى /,Aḥkām al-sharʻīyah al-kubrá.,احكام الشرعية الكبرى.,Aḥkām al-sharʻīyah al-kubrá,
al-Juzʼ al-rābiʻ min Ghawāmiḍ al-fikar fī tartīb masāyil al-Minhāj ʻalá al-mukhtaṣar /,الجز الرابع من غوامض الفكر في ترتيب مسايل المنهاج على المختصر /,Ghawāmiḍ al-fikar fī tartīb masāʼil al-Minhāj ʻalá al-mukhtaṣar.,غوامض الفکر في ترتيب مسائل المنهاج على المختصر.,Ghawāmiḍ al-fikar fī tartīb masāʼil al-Minhāj ʻalá al-mukhtaṣar,
al-Juzʼ al-rābiʻ min Kitāb al-Kawkab al-munīr bi-sharḥ al-Jāmiʻ al-ṣaghīr /,الجزء الرابع من كتاب الكوكب المنير بشرح الجامع الصغير /,Kawkab al-munīr bi-sharḥ al-Jāmiʻ al-ṣaghīr.,کوکب المنير بشرح الجامع الصغير.,Kawkab al-munīr bi-sharḥ al-Jāmiʻ al-ṣaghīr,
al-Juzʼ al-rābiʻ min Sharḥ Kitāb al-Durrah al-bahīyah fī al-masāyil al-fiqhīyah /,الجز الرابع من شرح كتاب الدرة البهية في المسايل الفقهية /,Sharḥ al-Durrah al-bahīyah fī al-masāʼil al-fiqhīyah.,شرح الدرة البهية في المسائل الفقهية.,Sharḥ al-Durrah al-bahīyah fī al-masāʼil al-fiqhīyah,
al-Juzʼ al-rābiʻ min Tafsīr al-wasīṭ /,الجزء الرابع من تفسير الوسيط /,Wasīṭ bayna al-maqbūd wa-al-basīṭ.,وسيط بين المقبود والبسيط.,Wasīṭ bayna al-maqbūd wa-al-basīṭ,
al-Juzʼ al-thālith min Kitāb al-Burhān fī ʻulūm al-Qurʼān /,الجزء الثالث من كتاب البرهان في علوم القرآن /,Burhān fī ʻulūm al-Qurʼān,برهان في علوم القرآن,Burhān fī ʻulūm al-Qurʼān,
al-Juzʼ al-thālith min Kitāb al-Rawḍah al-ṭālibīn wa-ʻumdat al-muftīyīn /,الجزء الثالث من كتاب الروضة الطالبين وعمدة المفتيين /,Rawḍat al-ṭālibīn wa-ʻumdat al-muftīn.,روضة الطالين وعمدة المفتين.,Rawḍat al-ṭālibīn wa-ʻumdat al-muftīn,
al-Juzʼ al-thālith min Kitāb al-Wāḍiḥ fī uṣūl al-fiqh ʻalá madhhab al-Imām Abī ʻAbd Allāh Aḥmad ibn Muḥammad ibn Ḥanbal /,"الجز الثالث من كتاب الواضح في اصول الفقه على مذهب الامام ابي عبد الله احمد
				بن محمد بن حنبل /",Wāḍiḥ fī uṣūl al-fiqh.,واضح في اصول الفقه.,Wāḍiḥ fī uṣūl al-fiqh,
al-Juzʼ al-thālith min Sharḥ al-Muḥarrar /,الجزؤ الثالث من شرح المحرر /,Sharḥ al-Muḥarrar.,شرح المحرر.,Sharḥ al-Muḥarrar,
al-Juzʼ al-thānī min al-Rawḍ al-unuf /,الجزء الثاني من الروض الانف /,Rawḍ al-unuf.,روض الانف,Rawḍ al-unuf,
al-Juzʼ al-thānī min al-Taḥrīr fī sharḥ al-Jāmiʻ al-kabīr /,الجزء الثاني من التحرير في شرح الجامع الكبير /,Taḥrīr fī sharḥ al-Jāmiʻ al-kabīr.,تحرير في شرح الجامع الكبير.,Taḥrīr fī sharḥ al-Jāmiʻ al-kabīr,
al-Juzʼ al-thānī min Kitāb al-Tibyān fī tafsīr al-Qurʼān /,الجزء الثاني من كتاب التبيان في تفسير القرآن /,Tibyān fī tafsīr al-Qurʼān,تبيان في تفسير القرآن,Tibyān fī tafsīr al-Qurʼān,
al-Juzʼ al-thānī min Kitāb Ḥilyat al-awliyāʼ wa-ṭabaqat al-aṣfiyāʼ /,الجزء الثاني من كتاب حلية الاوليا وطبقة الاصفيا /,Ḥilyat al-awliyāʼ.,حلية الاولياء.,Ḥilyat al-awliyāʼ,
al-Juzʼ al-Thānī min Kitāb Jāmiʻ aḥkām al-Qurʼān wa-al-mubīn limā taḍammana min al-sunnah wa-ayy al-furqān /,"الجزء الثاني من كتاب جامع احكام القرآن والمبين لما تضمن من السنة واي
				الفرقان /",Jāmiʻ li-aḥkām al-Qurʼān.,جامع لاحكام القرآن.,Jāmiʻ li-aḥkām al-Qurʼān,
al-Juzʼ al-thānī min Sharḥ al-Shāṭibīyah,الجزء الثاني من شرح الشاطبية,Ibrāz al-maʻānī min Ḥirz al-amānī.,ابراز المعاني من حرز الاماني.,Ibrāz al-maʻānī min Ḥirz al-amānī,
al-Juzʼ al-thānī min Sharḥ Ṣaḥīḥ al-Bukhārī /,الجزء الثاني من شرح صحيح البخاري /,Sharḥ Ṣaḥīḥ al-Bukhārī.,شرح صحيح البخاري.,Sharḥ Ṣaḥīḥ al-Bukhārī,
