subject_as_recorded,vocab,subfield_codes,source_authority_uri,authorized_label,structured_value,ds_qid
"Shaʻrānī, ʻAbd al-Wahhāb ibn Aḥmad, approximately 1493-1565 or 1566. Lubāb al-iʻrāb al-māniʻ min al-laḥn fī al-sunnah wa-al-Kitāb",0,a;d;t,,"Lubāb al-iʻrāb al-māniʻ min al-laḥn fī al-sunnah wa-al-Kitāb (Shaʻrānī, ʻAbd al-Wahhāb ibn Aḥmad)",http://id.worldcat.org/fast/1391140,Q11170
"Shaʻrānī, ʻAbd al-Wahhāb ibn Aḥmad, approximately 1493-1565 or 1566. Lubāb al-iʻrāb al-māniʻ min al-laḥn fī al-sunnah











				wa-al-Kitāb.",0,a;d;t,,"Lubāb al-iʻrāb al-māniʻ min al-laḥn fī al-sunnah wa-al-Kitāb (Shaʻrānī, ʻAbd al-Wahhāb ibn Aḥmad)",http://id.worldcat.org/fast/1391140,Q11170
"Shihāb (Quḍāʻī, Muḥammad ibn Salāmah)",fast,a,(OCoLC)fst01938125,"Shihāb (Quḍāʻī, Muḥammad ibn Salāmah)",http://id.worldcat.org/fast/1938125,Q11283
"Shihāb (Quḍāʻī, Muḥammad ibn Salāmah)",fast,a,(OCoLC)fst01938125,"Shihāb (Quḍāʻī, Muḥammad ibn Salāmah)",http://id.worldcat.org/fast/1938125,Q11283
"Shudhūr al-dhahab fī maʻrifat kalām al-ʻArab (Ibn Hishām, ʻAbd Allāh ibn Yūsuf)",fast,a,(OCoLC)fst01938130,"Shudhūr al-dhahab fī maʻrifat kalām al-ʻArab (Ibn Hishām, ʻAbd Allāh ibn Yūsuf)",http://id.worldcat.org/fast/1938130,Q11158
"Shudhūr al-dhahab fī maʻrifat kalām al-ʻArab (Ibn Hishām, ʻAbd Allāh ibn











				Yūsuf)",fast,a,(OCoLC)fst01938130,"Shudhūr al-dhahab fī maʻrifat kalām al-ʻArab (Ibn Hishām, ʻAbd Allāh ibn Yūsuf)",http://id.worldcat.org/fast/1938130,Q11158
"Shurunbulālī, Ḥasan ibn ʻAmmār, 1585 or 1586-1659. Nūr al-īḍāḥ fī al-fiqh ʻalá madhhab al-Imām Abī Ḥanīfah",0,a;d;t,http://id.loc.gov/authorities/names/n97907226,"Nūr al-īḍāḥ fī al-fiqh ʻalá madhhab al-Imām Abī Ḥanīfah (Shurunbulālī, Ḥasan ibn ʻAmmār)",http://id.worldcat.org/fast/1390906,Q11285
"Shurunbulālī, Ḥasan ibn ʻAmmār, 1585 or 1586-1659. Nūr al-īḍāḥ fī al-fiqh ʻalá madhhab al-Imām Abī Ḥanīfah.",0,a;d;t,http://id.loc.gov/authorities/names/n97907226,"Nūr al-īḍāḥ fī al-fiqh ʻalá madhhab al-Imām Abī Ḥanīfah (Shurunbulālī, Ḥasan ibn ʻAmmār)",http://id.worldcat.org/fast/1390906,Q11285
"Sībawayh, ʻAmr ibn ʻUthmān, active 8th century. Kitāb",0,a;d;t,,"Kitāb (Sībawayh, ʻAmr ibn ʻUthmān)",http://id.worldcat.org/fast/1361543,Q38775
"Siege of Acre (Acre, Israel : 1799)",fast,a;c;d,(OCoLC)fst01354712,"Siege of Acre (Acre, Israel : 1799)",http://id.worldcat.org/fast/1354712,Q11464
"Sigismund II Augustus, 1548-1572",fast,a,,1548-1572,http://id.worldcat.org/fast/1355598,Q6953
"Sigismund II Augustus, 1548-1572.",fast,a,,1548-1572,http://id.worldcat.org/fast/1355598,Q6953
"Sigismund II Augustus, King of Poland, 1520-1572",0,a;b;c;d,http://id.loc.gov/authorities/names/n83073801,"Sigismund II Augustus, King of Poland, 1520-1572",http://id.worldcat.org/fast/113495,Q6897
"Sigismund II Augustus, King of Poland, 1520-1572",fast,a;b;c;d,http://id.worldcat.org/fast/113495,"Sigismund II Augustus, King of Poland, 1520-1572",http://id.worldcat.org/fast/113495,Q6897
