subject_as_recorded,subfield_codes,vocab,source_authority_uri,authorized_label,structured_value
"Abū Nuwās, approximately 756-approximately 810.",a;d,0,,"Abū Nuwās, approximately 756-approximately 810",http://id.worldcat.org/fast/1803251
"Abū Shujāʻ al-Iṣfahānī, Aḥmad ibn al-Ḥusayn, approximately 1042- Mukhtaṣar fī al-fiqh ʻalá madhhab al-Shāfiʻī.",a;d;t,0,http://id.loc.gov/authorities/names/n2005023737,"Mukhtaṣar fī al-fiqh ʻalá madhhab al-Shāfiʻī (Abū Shujāʻ al-Iṣfahānī, Aḥmad ibn al-Ḥusayn)",http://id.worldcat.org/fast/1403587
"Abū ʻAmr ibn al-ʻAlāʼ, 689 or 690-770 or 771.",a;d,0,,"Abū ʻAmr ibn al-ʻAlāʼ, 689 or 690-770 or 771",http://id.worldcat.org/fast/1803221
Adam (Biblical figure)--Islamic interpretations--Early works to 1800.,a;c--x--v,0,,Adam (Biblical figure);Islamic interpretations of Adam;Early works,http://id.worldcat.org/fast/87719;http://id.worldcat.org/fast/1353429;http://id.worldcat.org/fast/1411636
"Adrian VI, Pope, 1459-1523.",a;b;c;d,0,http://id.loc.gov/authorities/names/n80020628,"Adrian VI, Pope, 1459-1523",http://id.worldcat.org/fast/50541
"Adrian VI, Pope, 1459-1523.",a;b;c;d,fast,http://id.worldcat.org/fast/50541,"Adrian VI, Pope, 1459-1523",http://id.worldcat.org/fast/50541
"Aegidius, Saint, Abbot",a;c,fast,http://id.worldcat.org/fast/130602,"Aegidius, Saint, Abbot",http://id.worldcat.org/fast/130602
"Aegidius, Saint, Abbot--Poetry.",a;c--v,0,,"Aegidius, Saint, Abbot;Poetry",http://id.worldcat.org/fast/130602;http://id.worldcat.org/fast/1423828
"Aḥmad Rashīd ibn Ṣidqī Muṣṭafá, active 19th century--Knowledge and learning.",a;d--x,0,,Learning and scholarship,http://id.worldcat.org/fast/994857
"Akhḍarī, ʻAbd al-Raḥmān ibn Muḥammad, 1512 or 1513-1575 or 1576. Sullam.",a;d;t,0,,"Sullam (Akhḍarī, ʻAbd al-Raḥmān ibn Muḥammad)",http://id.worldcat.org/fast/2058152
"Alban, Saint, -304?",a;c;d,fast,http://id.worldcat.org/fast/1803873,"Alban, Saint, -304?",http://id.worldcat.org/fast/1803873
"Alban, Saint, -304?",a;c;d,0,http://id.loc.gov/authorities/names/n80056890,"Alban, Saint, -304?",http://id.worldcat.org/fast/1803873
"Alexander, the Great, 356 B.C.-323 B.C.",a;c;d,fast,http://id.worldcat.org/fast/1800513,"Alexander, the Great, 356 B.C.-323 B.C.",http://id.worldcat.org/fast/1800513
"Alexander, the Great, 356 B.C.-323 B.C.",a;c;d,0,http://id.loc.gov/authorities/names/n79004067,"Alexander, the Great, 356 B.C.-323 B.C.",http://id.worldcat.org/fast/1800513
"Alexander, the Great, 356 B.C.-323 B.C.--In literature.",a;c;d--x,0,,"Alexander, the Great, 356 B.C.-323 B.C.",http://id.worldcat.org/fast/1800513
"Alexander, the Great, 356 B.C.-323 B.C.--Romances.",a;c;d--v,0,,"Alexander, the Great, 356 B.C.-323 B.C.;Romances",http://id.worldcat.org/fast/1800513;http://id.worldcat.org/fast/1423856
"Alexander, the Great, 356 B.C.-323 B.C.--Romances.",a;c;d--x,0,,"Alexander, the Great, 356 B.C.-323 B.C.;Romances",http://id.worldcat.org/fast/1800513;http://id.worldcat.org/fast/1099892
"Alexander Balas, King of Syria, -145 B.C.",a;c;d,0,http://id.loc.gov/authorities/names/nr94004851,"Alexander Balas, King of Syria, -145 B.C.",http://id.worldcat.org/fast/1804028
"Alexander Balas, King of Syria, -145 B.C.",a;c;d,fast,http://id.worldcat.org/fast/1804028,"Alexander Balas, King of Syria, -145 B.C.",http://id.worldcat.org/fast/1804028
"Alexander III, Pope, -1181.",a;b;c;d,0,http://id.loc.gov/authorities/names/n82090954,"Alexander III, Pope, -1181",http://id.worldcat.org/fast/1804036
"Alexander III, Pope, -1181.",a;b;c;d,fast,http://id.worldcat.org/fast/1804036,"Alexander III, Pope, -1181",http://id.worldcat.org/fast/1804036
"Alexius, Saint",a;c,fast,http://id.worldcat.org/fast/19214,"Alexius, Saint",http://id.worldcat.org/fast/19214
"Alexius, Saint",a;c,0,http://id.loc.gov/authorities/names/n50072216,"Alexius, Saint",http://id.worldcat.org/fast/19214
"Alfīyah (Ibn Mālik, Muḥammad ibn ʻAbd Allāh)",a,fast,(OCoLC)fst01360506,"Alfīyah (Ibn Mālik, Muḥammad ibn ʻAbd Allāh)",http://id.worldcat.org/fast/1360506
"Alfīyat al-ʻIrāqī (ʻIrāqī, ʻAbd al-Raḥīm ibn al-Ḥusayn)",a,fast,(OCoLC)fst01398866,"Alfīyat al-ʻIrāqī (ʻIrāqī, ʻAbd al-Raḥīm ibn al-Ḥusayn)",http://id.worldcat.org/fast/1398866
"Alfonso II, King of Naples, 1448-1495.",a;b;c;d,0,,"Alfonso II, King of Naples, 1448-1495",http://id.worldcat.org/fast/1911455
"Alfonso V, King of Aragon, 1396-1458.",a;b;c;d,0,http://id.loc.gov/authorities/names/n83234911,"Alfonso V, King of Aragon, 1396-1458",http://id.worldcat.org/fast/122728
"Alfonso V, King of Aragon, 1396-1458.",a;b;c;d,fast,http://id.worldcat.org/fast/122728,"Alfonso V, King of Aragon, 1396-1458",http://id.worldcat.org/fast/122728
"Alfonso X, King of Castile and Leon, 1221-1284.",a;b;c;d,fast,http://id.worldcat.org/fast/49335,"Alfonso X, King of Castile and Leon, 1221-1284",http://id.worldcat.org/fast/49335
"Alfonso X, King of Castile and Leon, 1221-1284.",a;b;c;d,0,http://id.loc.gov/authorities/names/n80010185,"Alfonso X, King of Castile and Leon, 1221-1284",http://id.worldcat.org/fast/49335
Alliata family.,a,fast,http://id.worldcat.org/fast/475805,Alliata family,http://id.worldcat.org/fast/475805
Alliata family.,a,0,http://id.loc.gov/authorities/subjects/sh2002003755,Alliata family,http://id.worldcat.org/fast/475805
Almagest (Ptolemy),a,fast,http://id.worldcat.org/fast/1359711,Almagest (Ptolemy),http://id.worldcat.org/fast/1359711
"Amadori, Andrea.",a,fast,http://id.worldcat.org/fast/1775889,"Amadori, Andrea",http://id.worldcat.org/fast/1775889
"Amadori, Andrea.",a,0,http://id.loc.gov/authorities/names/nr00031831,"Amadori, Andrea",http://id.worldcat.org/fast/1775889
"Ambrose, Saint, Bishop of Milan, -397.",a;c;d,0,http://id.loc.gov/authorities/names/n79029712,"Ambrose, Saint, Bishop of Milan, -397",http://id.worldcat.org/fast/1804362
"Ambrose, Saint, Bishop of Milan, -397.",a;c;d,fast,http://id.worldcat.org/fast/1804362,"Ambrose, Saint, Bishop of Milan, -397",http://id.worldcat.org/fast/1804362
"Amīr al-Kabīr, Muḥammad ibn Muḥammad, 1742-1817--Knowledge and learning.",a;d--x,0,,Learning and scholarship,http://id.worldcat.org/fast/994857
"Anas ibn Mālik, -approximately 711--Criticism and interpretation--Early works to 1800.",a;d--x--v,0,,"Anas ibn Mālik, -approximately 711;Criticism and interpretation;Early works",http://id.worldcat.org/fast/1804536;http://id.worldcat.org/fast/1198648;http://id.worldcat.org/fast/1411636
"Andronicus II Palaeologus, Emperor of the East, 1260-1332.",a;b;c;d,fast,http://id.worldcat.org/fast/153957,"Andronicus II Palaeologus, Emperor of the East, 1260-1332",http://id.worldcat.org/fast/153957
"Andronicus II Palaeologus, Emperor of the East, 1260-1332.",a;b;c;d,0,http://id.loc.gov/authorities/names/n85041124,"Andronicus II Palaeologus, Emperor of the East, 1260-1332",http://id.worldcat.org/fast/153957
"Anne (Mother of the Virgin Mary), Saint",a;c,fast,http://id.worldcat.org/fast/78132,"Anne (Mother of the Virgin Mary), Saint",http://id.worldcat.org/fast/78132
"Anne (Mother of the Virgin Mary), Saint--Early works to 1800.",a;c--v,0,,"Anne (Mother of the Virgin Mary), Saint;Early works",http://id.worldcat.org/fast/78132;http://id.worldcat.org/fast/1411636
"Annibale, di Capua, approximately 1544-1595.",a;c;d,fast,http://id.worldcat.org/fast/1804800,"Annibale, di Capua, approximately 1544-1595",http://id.worldcat.org/fast/1804800
"Annibale, di Capua, approximately 1544-1595.",a;c;d,0,http://id.loc.gov/authorities/names/n86123964,"Annibale, di Capua, approximately 1544-1595",http://id.worldcat.org/fast/1804800
"Anṣārī, Zakarīyā ibn Muḥammad, approximately 1423-approximately 1520. Fatḥ al-Wahhāb bi-sharḥ Manhaj al-ṭullāb.",a;d;t,0,http://id.loc.gov/authorities/names/n91022484--(uri) http://id.loc.gov/authorities/names/n91022484--(uri) http://viaf.org/viaf/sourceID/LC%7cn91022484,"Fatḥ al-Wahhāb bi-sharḥ Manhaj al-ṭullāb (Anṣārī, Zakarīyā ibn Muḥammad)",http://id.worldcat.org/fast/1378040
"Anṣārī, Zakarīyā ibn Muḥammad, approximately 1423-approximately 1520. Manhaj al-ṭullāb.",a;d;t,0,(uri) http://id.loc.gov/authorities/names/no2019033251--(uri) http://viaf.org/viaf/sourceID/LC%7cno2019033251,"Fatḥ al-Wahhāb bi-sharḥ Manhaj al-ṭullāb (Anṣārī, Zakarīyā ibn Muḥammad)",http://id.worldcat.org/fast/1378040
"Anthony, of Padua, Saint, 1195-1231.",a;c;d,fast,(OCoLC)fst00017594,"Anthony, of Padua, Saint, 1195-1231",http://id.worldcat.org/fast/17594
"Anthony, of Padua, Saint, 1195-1231--Art.",a;c;d--v,0,,"Anthony, of Padua, Saint, 1195-1231;Art",http://id.worldcat.org/fast/17594;http://id.worldcat.org/fast/1423702
"Anwār al-tanzīl wa-asrār al-taʼwīl (Bayḍāwī, ʻAbd Allāh ibn
				ʻUmar)",a,fast,(OCoLC)fst01369620,"Anwār al-tanzīl wa-asrār al-taʼwīl (Bayḍāwī, ʻAbd Allāh ibn ʻUmar)",http://id.worldcat.org/fast/1369620
"Anwār al-tanzīl wa-asrār al-taʼwīl (Bayḍāwī, ʻAbd Allāh ibn
				ʻUmar)",a,fast,(OCoLC)fst01369620,"Anwār al-tanzīl wa-asrār al-taʼwīl (Bayḍāwī, ʻAbd Allāh ibn ʻUmar)",http://id.worldcat.org/fast/1369620
Aphorisms (Hippocrates),a,fast,http://id.worldcat.org/fast/1359727,Aphorisms (Hippocrates),http://id.worldcat.org/fast/1359727
"Apollonius, of Tyana",a;c,fast,http://id.worldcat.org/fast/29864,"Apollonius, of Tyana",http://id.worldcat.org/fast/29864
"Apollonius, of Tyana",a;c,0,http://id.loc.gov/authorities/names/n79004116,"Apollonius, of Tyana",http://id.worldcat.org/fast/29864
Arbaʻūn al-Nawawīyah (Nawawī),a,fast,(OCoLC)fst01366772,Arbaʻūn al-Nawawīyah (Nawawī),http://id.worldcat.org/fast/1366772
Aristotle.,a,fast,http://id.worldcat.org/fast/29885,Aristotle,http://id.worldcat.org/fast/29885
Aristotle. Categoriae.,a;t,0,http://id.loc.gov/authorities/names/nr96035857,Categoriae (Aristotle),http://id.worldcat.org/fast/1357313
Aristotle. De anima--Early works to 1800.,a;t--v,0,,De anima (Aristotle);Early works,http://id.worldcat.org/fast/1356409;http://id.worldcat.org/fast/1411636
Aristotle. De caelo.,a;t,0,http://id.loc.gov/authorities/names/n84052455,De caelo (Aristotle),http://id.worldcat.org/fast/1357825
Aristotle. De caelo--Early works to 1800.,a;t--v,0,,De caelo (Aristotle);Early works,http://id.worldcat.org/fast/1357825;http://id.worldcat.org/fast/1411636
Aristotle. De generatione et corruptione--Early works to 1800.,a;t--v,0,,De generatione et corruptione (Aristotle);Early works,http://id.worldcat.org/fast/1357327;http://id.worldcat.org/fast/1411636
Aristotle. De interpretatione.,a;t,0,http://id.loc.gov/authorities/names/n82039372,De interpretatione (Aristotle),http://id.worldcat.org/fast/1359296
Aristotle. De motu animalium--Early works to 1800.,a;t--v,0,,De motu animalium (Aristotle);Early works,http://id.worldcat.org/fast/1373852;http://id.worldcat.org/fast/1411636
Aristotle. De mundo--Early works to 1800.,a;t--v,0,,De mundo (Aristotle);Early works,http://id.worldcat.org/fast/1358012;http://id.worldcat.org/fast/1411636
Aristotle. De partibus animalium--Early works to 1800.,a;t--v,0,,De partibus animalium (Aristotle);Early works,http://id.worldcat.org/fast/1363141;http://id.worldcat.org/fast/1411636
Aristotle. Eudemian ethics--Early works to 1800.,a;t--v,0,,Eudemian ethics (Aristotle);Early works,http://id.worldcat.org/fast/1357093;http://id.worldcat.org/fast/1411636
Aristotle. Historia animalium--Early works to 1800.,a;t--v,0,,Historia animalium (Aristotle);Early works,http://id.worldcat.org/fast/1363502;http://id.worldcat.org/fast/1411636
Aristotle. Metaphysics--Early works to 1800.,a;t--v,0,,Metaphysics (Aristotle);Early works,http://id.worldcat.org/fast/1357149;http://id.worldcat.org/fast/1411636
Aristotle. Meteorologica--Early works to 1800.,a;t--v,0,,Meteorologica (Aristotle);Early works,http://id.worldcat.org/fast/1359294;http://id.worldcat.org/fast/1411636
Aristotle. Nicomachean ethics.,a;t,0,http://id.loc.gov/authorities/names/n82035261,Nicomachean ethics (Aristotle),http://id.worldcat.org/fast/1357515
Aristotle. Nicomachean ethics--Early works to 1800.,a;t--v,0,,Nicomachean ethics (Aristotle);Early works,http://id.worldcat.org/fast/1357515;http://id.worldcat.org/fast/1411636
Aristotle. On the generation of animals--Early works to 1800.,a;t--v,0,,On the generation of animals (Aristotle);Early works,http://id.worldcat.org/fast/1363949;http://id.worldcat.org/fast/1411636
Aristotle. Parva naturalia--Early works to 1800.,a;t--v,0,,Parva naturalia (Aristotle);Early works,http://id.worldcat.org/fast/1357548;http://id.worldcat.org/fast/1411636
Aristotle. Physics.,a;t,0,http://id.loc.gov/authorities/names/n82140881,Physics (Aristotle),http://id.worldcat.org/fast/1356964
Aristotle. Physics--Early works to 1800.,a;t--v,0,,Physics (Aristotle);Early works,http://id.worldcat.org/fast/1356964;http://id.worldcat.org/fast/1411636
Aristotle. Poetics--Early works to 1800.,a;t--v,0,,Poetics (Aristotle);Early works,http://id.worldcat.org/fast/1356362;http://id.worldcat.org/fast/1411636
Aristotle. Posterior analytics.,a;t,0,http://id.loc.gov/authorities/names/n82238506,Posterior analytics (Aristotle),http://id.worldcat.org/fast/1356595
Aristotle. Posterior analytics--Early works to 1800.,a;t--v,0,,Posterior analytics (Aristotle);Early works,http://id.worldcat.org/fast/1356595;http://id.worldcat.org/fast/1411636
Aristotle. Topics--Early works to 1800.,a;t--v,0,,Topics (Aristotle);Early works,http://id.worldcat.org/fast/1357722;http://id.worldcat.org/fast/1411636
Aristotle--Criticism and interpretation--Early works to 1800.,a--x--v,0,,Aristotle;Criticism and interpretation;Early works,http://id.worldcat.org/fast/29885;http://id.worldcat.org/fast/1198648;http://id.worldcat.org/fast/1411636
"Arnaldus, de Villanova, -1311.",a;c;d,0,http://id.loc.gov/authorities/names/n50001534,"Arnaldus, de Villanova, -1311",http://id.worldcat.org/fast/1801945
"Arnaldus, de Villanova, -1311.",a;c;d,fast,http://id.worldcat.org/fast/1801945,"Arnaldus, de Villanova, -1311",http://id.worldcat.org/fast/1801945
"Arte della lana (Guild : Florence, Italy)",a,fast,http://id.worldcat.org/fast/700569,"Arte della lana (Guild : Florence, Italy)",http://id.worldcat.org/fast/700569
"Arte della lana (Guild : Florence, Italy)",a,0,http://id.loc.gov/authorities/names/nr94031062,"Arte della lana (Guild : Florence, Italy)",http://id.worldcat.org/fast/700569
"Athīr al-Dīn al-Abharī, al-Mufaḍḍal ibn ʻUmar, -1265. Īsāghūjī.",a;d;t,0,,"Īsāghūjī (Athīr al-Dīn al-Abharī, al-Mufaḍḍal ibn ʻUmar)",http://id.worldcat.org/fast/1918514
"Attila, -453.",a;d,fast,http://id.worldcat.org/fast/1805681,"Attila, -453",http://id.worldcat.org/fast/1805681
"Attila, -453--Biography.",a;d--x,0,,"Attila, -453;Biographies",http://id.worldcat.org/fast/1805681;http://id.worldcat.org/fast/1919896
Augsburg Confession.,a,fast,http://id.worldcat.org/fast/1357041,Augsburg Confession,http://id.worldcat.org/fast/1357041
Augsburg Confession--Early works to 1800.,a--v,0,,Augsburg Confession;Early works,http://id.worldcat.org/fast/1357041;http://id.worldcat.org/fast/1411636
"Augustine, of Hippo, Saint, 354-430.",a;c;d,fast,http://id.worldcat.org/fast/61554,"Augustine, of Hippo, Saint, 354-430",http://id.worldcat.org/fast/61554
"Augustine, of Hippo, Saint, 354-430.",a;c;d,0,http://id.loc.gov/authorities/names/n80126290,"Augustine, of Hippo, Saint, 354-430",http://id.worldcat.org/fast/61554
"Augustine, of Hippo, Saint, 354-430. Regula.",a;c;d;t,0,http://id.loc.gov/authorities/names/n81104549,"Regula (Augustine, of Hippo, Saint)",http://id.worldcat.org/fast/1357235
"Augustine, of Hippo, Saint, 354-430. Regula--Commentaries.",a;c;d;t--v,0,,"Regula (Augustine, of Hippo, Saint);Commentaries",http://id.worldcat.org/fast/1357235;http://id.worldcat.org/fast/1423723
"Augustine, of Hippo, Saint, 354-430--Spurious and doubtful works.",a;c;d--v,0,,"Augustine, of Hippo, Saint, 354-430;Spurious and doubtful works",http://id.worldcat.org/fast/61554;http://id.worldcat.org/fast/1423886
"Augustine, of Hippo, Saint, 354-430--Spurious and doubtful works.",a;c;d--x,0,,"Augustine, of Hippo, Saint, 354-430;Spurious and doubtful works",http://id.worldcat.org/fast/61554;http://id.worldcat.org/fast/1423886
Augustinians.,a,0,http://id.loc.gov/authorities/names/n80119539,Augustinians,http://id.worldcat.org/fast/549127
Augustinians.,a,fast,http://id.worldcat.org/fast/549127,Augustinians,http://id.worldcat.org/fast/549127
Augustinians--Liturgy--Texts.,a--x--v,0,,Augustinians;Liturgics;Texts,http://id.worldcat.org/fast/549127;http://id.worldcat.org/fast/1000579;http://id.worldcat.org/fast/1423705
"Aurispa, Giovanni, approximately 1376-1459.",a;d,fast,http://id.worldcat.org/fast/1805773,"Aurispa, Giovanni, approximately 1376-1459",http://id.worldcat.org/fast/1805773
"Aurispa, Giovanni, approximately 1376-1459.",a;d,0,http://id.loc.gov/authorities/names/n87829557,"Aurispa, Giovanni, approximately 1376-1459",http://id.worldcat.org/fast/1805773
"Avicenna, 980-1037. Qānūn fī al-ṭibb.",a;d;t,0,http://id.loc.gov/authorities/names/n2005181563,Qānūn fī al-ṭibb (Avicenna),http://id.worldcat.org/fast/1363362
"Azharī, Khālid ibn ʻAbd Allāh, -1499. Muqaddimah al-Azharīyah fī ʻilm al-ʻArabīyah.",a;d;t,0,,"Muqaddimah al-Azharīyah fī ʻilm al-ʻArabīyah (Azharī, Khālid ibn ʻAbd Allāh)",http://id.worldcat.org/fast/1915579
"Badawī, Aḥmad, 1200?-1276--Poetry.",a;d--v,0,,"Badawī, Aḥmad, 1200?-1276;Poetry",http://id.worldcat.org/fast/117979;http://id.worldcat.org/fast/1423828
"Baghawī, al-Ḥusayn ibn Masʻūd, -1117? Maṣābīḥ al-sunnah.",a;d;t,0,http://id.loc.gov/authorities/names/no2004061221,"Maṣābīḥ al-sunnah (Baghawī, al-Ḥusayn ibn Masʻūd)",http://id.worldcat.org/fast/1360739
"Bālisī, Abū Bakr ibn Qiwām, -1260--Early works to 1800.",a;d--v,0,,Early works,http://id.worldcat.org/fast/1411636
Bā Qushayr family--Genealogy--Early works to 1800.,a--x--v,0,,Genealogy;Early works,http://id.worldcat.org/fast/1423818;http://id.worldcat.org/fast/1411636
"Barbara, Saint",a;c,fast,http://id.worldcat.org/fast/112129,"Barbara, Saint",http://id.worldcat.org/fast/112129
"Barbara, Saint--Prayers and devotions.",a;c--v,0,,"Barbara, Saint;Prayers and devotions",http://id.worldcat.org/fast/112129;http://id.worldcat.org/fast/1423909
"Bardi, Giovanni de', conte di Vernio, 1534-1612.",a;c;d,fast,http://id.worldcat.org/fast/260422,"Bardi, Giovanni de', conte di Vernio, 1534-1612",http://id.worldcat.org/fast/260422
"Bardi, Giovanni de', conte di Vernio, 1534-1612.",a;c;d,0,http://id.loc.gov/authorities/names/n89664705,"Bardi, Giovanni de', conte di Vernio, 1534-1612",http://id.worldcat.org/fast/260422
"Bartolomeo, da Petroio, 1488?-1554.",a;c;d,fast,http://id.worldcat.org/fast/456145,"Bartolomeo, da Petroio, 1488?-1554",http://id.worldcat.org/fast/456145
"Bartolomeo, da Petroio, 1488?-1554.",a;c;d,0,http://id.loc.gov/authorities/names/nr00035841,"Bartolomeo, da Petroio, 1488?-1554",http://id.worldcat.org/fast/456145
"Barzanjī, Jaʻfar ibn Ḥasan, -1763 or 1764. Mawlid al-Nabī.",a;d;t,0,,"Mawlid al-Nabī (Barzanjī, Jaʻfar ibn Ḥasan)",http://id.worldcat.org/fast/1389179
"Battle of Badr (Badr Ḥunayn, Saudi Arabia : 624)",a;c;d,fast,(OCoLC)fst01709746,"Battle of Badr (Badr Ḥunayn, Saudi Arabia : 624)",http://id.worldcat.org/fast/1709746
"Bayḍāwī, ʻAbd Allāh ibn ʻUmar, -1286? Anwār al-tanzīl wa-asrār al-taʼwīl.",a;d;t,0,http://id.loc.gov/authorities/names/n98952101,"Anwār al-tanzīl wa-asrār al-taʼwīl (Bayḍāwī, ʻAbd Allāh ibn ʻUmar)",http://id.worldcat.org/fast/1369620
"Bebel, Heinrich, 1472-1518.",a;d,0,http://id.loc.gov/authorities/names/n85044526,"Bebel, Heinrich, 1472-1518",http://id.worldcat.org/fast/154251
"Bebel, Heinrich, 1472-1518.",a;d,fast,http://id.worldcat.org/fast/154251,"Bebel, Heinrich, 1472-1518",http://id.worldcat.org/fast/154251
Benavides family.,a,fast,http://id.worldcat.org/fast/358386,Benavides family,http://id.worldcat.org/fast/358386
Benavides family--Drama.,a--v,0,,Benavides family;Drama,http://id.worldcat.org/fast/358386;http://id.worldcat.org/fast/1423879
"Benedict, Saint, Abbot of Monte Cassino. Regula.",a;c;t,0,http://id.loc.gov/authorities/names/n81026379,"Regula (Benedict, Saint, Abbot of Monte Cassino)",http://id.worldcat.org/fast/1357012
"Benedict, Saint, Abbot of Monte Cassino. Regula--Commentaries.",a;c;t--v,0,,"Regula (Benedict, Saint, Abbot of Monte Cassino);Commentaries",http://id.worldcat.org/fast/1357012;http://id.worldcat.org/fast/1423723
"Benedict, Saint, Abbot of Monte Cassino. Regula--Criticism and interpretation.",a;c;t--x,0,,"Regula (Benedict, Saint, Abbot of Monte Cassino);Criticism and interpretation",http://id.worldcat.org/fast/1357012;http://id.worldcat.org/fast/1198648
"Benedict, Saint, Abbot of Monte Cassino--Early works to 1800.",a;c--v,0,,"Benedict, Saint, Abbot of Monte Cassino;Early works",http://id.worldcat.org/fast/33151;http://id.worldcat.org/fast/1411636
Benedictines.,a,fast,http://id.worldcat.org/fast/553736,Benedictines,http://id.worldcat.org/fast/553736
Benedictines.,a,0,http://id.loc.gov/authorities/names/n81012408,Benedictines,http://id.worldcat.org/fast/553736
Benedictines--Liturgy.,a--x,0,,Benedictines;Liturgics,http://id.worldcat.org/fast/553736;http://id.worldcat.org/fast/1000579
Bible.,a,fast,http://id.worldcat.org/fast/1356024,Bible,http://id.worldcat.org/fast/1356024
Bible.,a,0,http://id.loc.gov/authorities/names/n00020514,Bible,http://id.worldcat.org/fast/1356024
"Bible. Corinthians, 2nd",a;p,fast,http://id.worldcat.org/fast/1892892,"Bible. Corinthians, 2nd",http://id.worldcat.org/fast/1892892
"Bible. Corinthians, 2nd--Criticism, interpretation, etc.--Early works to 1800.",a;p--x--v,0,,"Bible. Corinthians, 2nd;Criticism and interpretation;Early works",http://id.worldcat.org/fast/1892892;http://id.worldcat.org/fast/1198648;http://id.worldcat.org/fast/1411636
Bible.--English (Middle English)--Versions--Wycliffe.,a--l--x--x,0,http://id.loc.gov/authorities/subjects/sh85013746,Bible;English language--Middle English,http://id.worldcat.org/fast/1356024;http://id.worldcat.org/fast/1710955
Bible. Exodus,a;p,fast,http://id.worldcat.org/fast/1892902,Bible. Exodus,http://id.worldcat.org/fast/1892902
Bible. Exodus--Commentaries--Early works to 1800.,a;p--v--v,0,,Bible. Exodus;Commentaries;Early works,http://id.worldcat.org/fast/1892902;http://id.worldcat.org/fast/1423723;http://id.worldcat.org/fast/1411636
Bible. Genesis,a;p,fast,http://id.worldcat.org/fast/1808046,Bible. Genesis,http://id.worldcat.org/fast/1808046
Bible. Genesis,a;p,0,http://id.loc.gov/authorities/names/n80017837,Bible. Genesis,http://id.worldcat.org/fast/1808046
"Bible. Genesis--Paraphrases, Italian.",a;p--v,0,,Bible. Genesis;Paraphrases,http://id.worldcat.org/fast/1808046;http://id.worldcat.org/fast/1423839
Bible. Gospels,a;p,fast,http://id.worldcat.org/fast/1808065,Bible. Gospels,http://id.worldcat.org/fast/1808065
Bible. Gospels,a;p,0,http://id.loc.gov/authorities/names/n79063688,Bible. Gospels,http://id.worldcat.org/fast/1808065
Bible. Gospels--Commentaries--Early works to 1800.,a;p--v--v,0,,Bible. Gospels;Commentaries;Early works,http://id.worldcat.org/fast/1808065;http://id.worldcat.org/fast/1423723;http://id.worldcat.org/fast/1411636
Bible. Gospels--Early works to 1800.,a;p--v,0,,Bible. Gospels;Early works,http://id.worldcat.org/fast/1808065;http://id.worldcat.org/fast/1411636
Bible. Gospels--Early works to 1800.,a;p--v,0,,Bible. Gospels;Early works,http://id.worldcat.org/fast/1808065;http://id.worldcat.org/fast/1411636
Bible. Gospels--Sermons--Early works to 1800.,a;p--x--v,0,,Bible. Gospels;Sermons;Early works,http://id.worldcat.org/fast/1808065;http://id.worldcat.org/fast/1113216;http://id.worldcat.org/fast/1411636
