title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label_add,ds_qid_add
Excerpt from the Psalter of the Virgin,,,,Psalter of the Virgin,Q100799
Excerpts from the Ordinary Prayer of the Mass,,,,Ordinary of the Mass,Q100798
Morning Prayer,,,,Prayer,Q20014
List of Šäwa Kings,,,,List of Šäwa Kings,Q100800
Princeton Ethiopic Manuscript No. 28: Psalter. Dawit,,,,Psalter,Q660
Magical Prayer Against Snakes,,,,Prayer;Magical texts,Q20014;Q38350
Image of the Savior of the World,,,,Image of the Savior of the World,Q100801
Princeton Ethiopic Manuscript No. 30: Homily [in Honor] of [the Archangel] Michael (Dərəsanä Mika'el),,,,Homily,Q100791
"Homily, Author Not Given, late 1700s",,,,Homily,Q100791
"Synaxary Entry: Mission of the Archangel to Samson, the Giant",,,,Synaxarium entry,Q100794
Homily by the Archbishop of Antioch,,,,Homily,Q100791
"Homily by Yohannəs, Bishop of Ethiopia, Who Came After Bishop Yəśhaq, on the Conflict Between the Consort of King Arqadewos and John Chysostom",,,,Homily,Q100791
Excerpt from Daily Prayer,,,,Prayer,Q20014
Poem,,,,Poetry,Q1330
Princeton Ethiopic Manuscript No. 31: Antiphonary of the Church (Mə'əraf),,,,Antiphonary,Q654
Mə'əraf (Incomplete At the Beginning),,,,,
"Princeton Ethiopic Manuscript No. 32: Sword of the Trinity (Säyəfä Səlasse), Sword of the Divinity (Säyəfä Mäläkot), Image of the Trinity (Mälkə'a Səlasse)",,,,Sword of the Trinity;Sword of the Divinity;Image of the Trinity,Q100802;Q100788;Q100803
Sword of the Trinity,,,,Sword of the Trinity,Q100802
Introductory Homily,,,,Homily,Q100791
Readings for Any Day,,,,,
Sword of the Divinity,,,,Sword of the Divinity,Q100788
Image of the Trinity,,,,Image of the Trinity,Q100803
"Princeton Ethiopic Manuscript No. 33: Prayer of Peter (Sälotä Petros), Prayer of Mary At Golgotha (Zä-Säne Golgota), Mystagogia (Təməhrətä Həbu'a)",,,,Prayers;Mystagogia,Q798;Q100787
"Prayer of Peter, Sälotä Petros",,,,Prayer,Q20014
"Prayer of Mary At Golgotha, Zä-Säne Golgota",,,,Prayer,Q20014
"Mystagogia, Təməhrətä Həbu'at",,,,Mystagogia,Q100787
Princeton Ethiopic Manuscript No. 34: Seal of Emperor Menelik II,,,,Seal,Q48595
Princeton Ethiopic Manuscript No. 35: Seal of Däjazmač Gäbrä Selassə,,,,Seal,Q48595
"Princeton Ethiopic Manuscript No. 36: Image of Täklä Haymanot, Prayer of Mary At Golgotha, Image of Paul and Peter, Image of the Trinity, Prayer of the Covenant, Hymns for the Passion of Christ. Mälkə'a Täklä Haymanot, Zä-Säne Golgota, Mälkə'a Petəros Wa Pawəlos, Mälkə'a Selassie, Sälotä Kidan, Mälkə'a Həmamat",,,,Religious texts,Q5037
List of Marian Feasts (1 Col.),,,,List of Marian feasts,Q100804
"Image of Täklä Haymanot, Mälkə'a Täklä Haymanot (2 Col.)",,,,,
Prayer of Mary At Golgotha,,,,Prayer,Q20014
"Image of Paul and Peter, Mälkə'a Petəros Wa Pawəlos",,,,,
"Image of the Trinity, Mälkə'a Selassie",,,,Image of the Trinity,Q100803
"Prayer of the Covenant, Sälotä Kidan",,,,Prayer,Q20014
"Hymns for the Passion of Christ, Mälkə'a Həmamat",,,,Hymns,Q3715
Magical Prayer Against a Disease (Malaria?),,,,Prayer;Magical texts;Medical text,Q20014;Q38350;Q20372
Synaxarium List of Feasts of Saint Michael,,,,List of feasts,Q100805
Hymn for Saint Michael (excerpt),,,,Hymns,Q666
First Chapter of Epistle: 1 John 1,,,,First Epistle of John,Q38353
Princeton Ethiopic Manuscript No. 37: Homily [in Honor] of [the Archangel] Michael. Dərəsanä Mika'el,,,,Homily,Q100791
Homily [in Honor] of [the Archangel] Michael,,,,Homily,Q100791
"Homily on the Glory of St Michael the Archangel, Author Given as Epifanəyos of Cyprus",,,,Homily,Q100791
Homily by Rətu' Haymanot the Orthodox,,,,Homily,Q100791
Magical Prayer Against Eye Disease and the Protection of Cattle,,,,Prayer;Magical texts;Medical text,Q20014;Q38350;Q20372
First Folio of a Gospel of John,,,,Gospel of John,Q665
Princeton Ethiopic Manuscript No. 38: Psalter. Dawit,,,,Psalter,Q660
"Princeton Ethiopic Manuscript No. 39: Mystigogia (Təməhrətä Həbu'at), Prayer of the Covenant (Sälotä Kidan), and Rampart of the Cross (Hasurä Mäskäl)",,,,Mystagogia;Prayers,Q798;Q100806
"Mystigogia, Təməhrətä Həbu'at",,,,Mystagogia,Q100787
"Prayer for the Covenant, Sälotä Kidan",,,,Prayer,Q20014
"Prayer Called Rampart of the Cross, Hasurä Mäskäl (Strelcyn 76.3)",,,,Prayer,Q20014
"Magical Prayer Undoing Charms, Hasurä Mäsqäl",,,,Prayer;Magical texts,Q20014;Q38350
Princeton Ethiopic Manuscript No. 40: Psalter. Dawit,,,,Psalter,Q660
Canticles of the Prophets of the Old and New Testaments (With Musical Notations),,,,Canticles,Q48572
Song of Songs (With Musical Notations),,,,Song of Solomon;Music,Q38389;Q20017
"Princeton Ethiopic Manuscript No. 41: Miracles of Mary (Tä'ammərä Maryam), Miracles of Jesus (Tä'ammərä Iyassus)",,,,Miracles of Mary;Miracles of Jesus,Q100782;Q100793
"Introductory Rite from Mu'alləqa, With Musical Notation",,,,Ritual text,Q100783
Extended Version of Introductory Rite from Mu'alləqa,,,,Ritual text,Q100783
Miracles of Mary,,,,Miracles of Mary,Q100782
Prayer to the Virgin Mary,,,,Prayer,Q20014
Ninety-Fifth Miracle of Mary,,,,Miracles of Mary,Q100782
Ninety-Sixth Miracle of Mary,,,,Miracles of Mary,Q100782
Ninety-Seventh Miracle of Mary,,,,Miracles of Mary,Q100782
Ninety-Eighth Miracle of Mary,,,,Miracles of Mary,Q100782
Ninety-Ninth Miracle of Mary,,,,Miracles of Mary,Q100782
One-Hundredth Miracle of Mary,,,,Miracles of Mary,Q100782
One-Hundredth and First Miracle of Mary,,,,Miracles of Mary,Q100782
One-Hundredth and Second Miracle of Mary,,,,Miracles of Mary,Q100782
One-Hundredth and Third Miracle of Mary,,,,Miracles of Mary,Q100782
One-Hundredth and Fourth Miracle of Mary,,,,Miracles of Mary,Q100782
One-Hundredth and Fifth Miracle of Mary,,,,Miracles of Mary,Q100782
One-Hundredth and Sixth Miracle of Mary,,,,Miracles of Mary,Q100782
One-Hundredth and Seventh Miracle of Mary,,,,Miracles of Mary,Q100782
One-Hundredth and Eighth Miracle of Mary,,,,Miracles of Mary,Q100782
One-Hundredth and Ninth Miracle of Mary,,,,Miracles of Mary,Q100782
Miracles of Jesus,,,,Miracles of Jesus,Q100793
One-Hundredth and Tenth Miracle of Jesus,,,,Miracles of Jesus,Q100793
One-Hundredth and Eleventh Miracle of Jesus,,,,Miracles of Jesus,Q100793
One-Hundredth and Twelfth Miracle of Jesus,,,,Miracles of Jesus,Q100793
