title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label_add,ds_qid_add
"Prayers, some unspecified, others for female ailments, incorporating lists of magical names [asmat]",,,,Prayers;Magical texts,Q798;Q38350
Astrological computations [hasabä käwakebt],,,,Astrological text;Computation,Q20378;Q100812
Computations for predicting an individual's preferment or appointment to office [hasabä simät],,,,Computation,Q100812
Unidentified prayer,,,,Prayer,Q20014
"Astrological text concerning ""the will of 7 stars and 12 stars' [mäfqedä 7 käwakebt wäzä-12 käwakebt]",,,,Astrological text,Q20378
Collection of unidentified magical prayers,,,,Prayers;Magical texts,Q798;Q38350
"""Calculation of hours [of daylight] and of darkness"" [Sefrä sä'at wäs'elalot]",,,,,
16 charts of the Awdä Nägäst [The Cycle of the Kings],,,,,
Prayer addressed to Jesus Christ seeking divine blessing and protection from and power over devils and spirits,,,,Prayer,Q20014
Unidentified divinatory text,,,,Divination texts,Q27675
[blank except for a single line of text],,,,,
Astrological text,,,,Astrological text,Q20378
A series (30 chapters or sections) of prescriptions for casting the fortunes of men and women,,,,Magical texts,Q38350
"""The Book of Precise Knowledge"" [Mäs'hafä Temhert T'eyyuq]",,,,Book of Precise Knowledge,Q100832
"A series of calculations [hasab] for divining various topics, such as success of a journey, birth of children, appointment to office, etc.",,,,Divination texts,Q27675
Loose Bifolium 1,,,,,
Loose Bifolium 2,,,,,
Loose Bifolium 3,,,,,
Loose Bifolium 4,,,,,
Princeton Ethiopic Manuscript No. 72: Unidentified Text,,,,Unidentified,Q38408
"Princeton Ethiopic Manuscript No. 73: Anaphora of Our Lady Mary of Cyriacus of Bhnsa, Office Prayers",,,,Anaphora,Q39195
Princeton Ethiopic Manuscript No. 74: Missal,,,,Missal,Q662
Princeton Ethiopic Manuscript No. 75: Asmat Prayer of the Disciples,,,,Prayer,Q20014
Princeton Ethiopic Manuscript No. 76: Office Prayers and Anaphora of Our Lord Jesus Christ,,,,Prayers;Anaphora,Q798;Q39195
Princeton Ethiopic Manuscript No. 77: Homiliary in Honor of the Archangel Michael,,,,Homiliary,Q1338
Princeton Ethiopic Manuscript No. 78: Homilies and Miracles of the Archangel Michael,,,,Homilies;Miracles of Saint Michael,Q1246;Q100792
Princeton Ethiopic Manuscript No. 79: Acts of Gabra Manfas,,,,,
"Princeton Ethiopic Manuscript No. 80: Bible Manuscript Codex, Hymn book called Ziq",,,,Hymns,Q3715
Princeton Ethiopic Manuscript No. 81: Antiphonary for the Fast,,,,Antiphonary,Q654
Princeton Ethiopic Manuscript No. 82: Psalter,,,,Psalter,Q660
Princeton Ethiopic Manuscript No. 83: Gadla Hawaryat Manuscript,,,,,
Princeton Ethiopic Manuscript No. 84: Magical Prayers to the Virgin Mary,,,,Prayers;Magical texts,Q798;Q38350
Princeton Ethiopic Manuscript No. 85: Unidentified Text,,,,Unidentified,Q38408
Princeton Ethiopic Manuscript No. 86: Unidentified Text,,,,Unidentified,Q38408
Princeton Ethiopic Manuscript No. 87: Unidentified Text,,,,Unidentified,Q38408
Princeton Ethiopic Manuscript No. 88: Unidentified Text,,,,Unidentified,Q38408
Princeton Ethiopic Manuscript No. 89: Unidentified Text,,,,Unidentified,Q38408
Princeton Ethiopic Manuscript No. 90: Unidentified Text,,,,Unidentified,Q38408
Princeton Ethiopic Manuscript No. 91: Unidentified Text,,,,Unidentified,Q38408
Princeton Ethiopic Manuscript No. 92: Unidentified Text,,,,Unidentified,Q38408
Princeton Ethiopic Manuscript No. 93: Unidentified Text,,,,Unidentified,Q38408
Princeton Ethiopic Manuscript No. 94: Unidentified Text,,,,Unidentified,Q38408
Princeton Ethiopic Manuscript No. 95: Unidentified Text,,,,Unidentified,Q38408
