File,signature,description,instanceOf,materialDS,centuryDS,earliestDate,latestDate,placeDS,scribeWikidata,artistWikidata,scriptNotes,languageWikidata,titleRecord,titleStandard,titleDS,authorWikidata,ownerWikidata,holderWikidata,DSID,institutionalID,shelfmark,iiifURL,record,search,link,dsItemID
flp-ds-wikidata-after-1500.csv,"Philadelphia, Pennsylvania, Free Library of Philadelphia, Lewis E 3",manuscript containing Canon super almanach; De 12 signis et eorum naturis in generali,Q87167,https://catalog.digital-scriptorium.org/entity/Q29,https://catalog.digital-scriptorium.org/entity/Q98|https://catalog.digital-scriptorium.org/entity/Q97|https://catalog.digital-scriptorium.org/entity/Q96,1340,1599,https://catalog.digital-scriptorium.org/entity/Q133,,,Script: Gothic--textualis|Script: Gothic--anglicana,Q1860|Q397,Canon super almanach; De 12 signis et eorum naturis in generali,Canon super almanach|De 12 signis et eorum naturis in generali,https://catalog.digital-scriptorium.org/entity/Q19944|https://catalog.digital-scriptorium.org/entity/Q20031,Q108732963,,Q3087288,DS4370,Lewis E 3,Lewis E 3,https://iiif.archive.org/iiif/lewis_e_003/manifest.json,https://catalog.digital-scriptorium.org/entity/Q20610,https://search.digital-scriptorium.org/catalog/DS4370,https://openn.library.upenn.edu/Data/0023/html/lewis_e_003.html,https://catalog.digital-scriptorium.org/entity/Q20609
flp-ds-wikidata-after-1500.csv,"Philadelphia, Pennsylvania, Free Library of Philadelphia, Lewis E 10","manuscript containing Antiphonary, diurnal (Ambrosian Rite)",Q87167,https://catalog.digital-scriptorium.org/entity/Q29,https://catalog.digital-scriptorium.org/entity/Q98,1500,1515,https://catalog.digital-scriptorium.org/entity/Q134|https://catalog.digital-scriptorium.org/entity/Q7499,,Q1901175|Q114242528,Script: Gothic--rotunda,Q397,"Antiphonary, diurnal (Ambrosian Rite)",Antiphonary,https://catalog.digital-scriptorium.org/entity/Q654,,,Q3087288,DS4377,Lewis E 10,Lewis E 10,https://iiif.archive.org/iiif/lewis_e_010/manifest.json,https://catalog.digital-scriptorium.org/entity/Q20631,https://search.digital-scriptorium.org/catalog/DS4377,https://openn.library.upenn.edu/Data/0023/html/lewis_e_010.html,https://catalog.digital-scriptorium.org/entity/Q20630
flp-ds-wikidata-after-1500.csv,"Philadelphia, Pennsylvania, Free Library of Philadelphia, Lewis E 7",manuscript containing Processional,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q98,1505,1515,https://catalog.digital-scriptorium.org/entity/Q122|https://catalog.digital-scriptorium.org/entity/Q136,,,Script: Gothic--textualis quadrata,Q397,Processional,Processional,https://catalog.digital-scriptorium.org/entity/Q1336,Q9592,,Q3087288,DS4374,Lewis E 7,Lewis E 7,https://iiif.archive.org/iiif/lewis_e_007/manifest.json,https://catalog.digital-scriptorium.org/entity/Q20622,https://search.digital-scriptorium.org/catalog/DS4374,https://openn.library.upenn.edu/Data/0023/html/lewis_e_007.html,https://catalog.digital-scriptorium.org/entity/Q20621
flp-ds-wikidata-after-1500.csv,"Philadelphia, Pennsylvania, Free Library of Philadelphia, Lewis E 52",manuscript containing Breviary,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q98,1585,1599,https://catalog.digital-scriptorium.org/entity/Q134|https://catalog.digital-scriptorium.org/entity/Q809|https://catalog.digital-scriptorium.org/entity/Q7499,,Q3104832|Q16138117,Script: Father Eliseus Bonettus of Milan (scribe)|Script: Humanistic,Q397,Breviary,Breviary,https://catalog.digital-scriptorium.org/entity/Q657,,,Q3087288,DS4416,Lewis E 52,Lewis E 52,https://iiif.archive.org/iiif/lewis_e_052/manifest.json,https://catalog.digital-scriptorium.org/entity/Q20748,https://search.digital-scriptorium.org/catalog/DS4416,https://openn.library.upenn.edu/Data/0023/html/lewis_e_052.html,https://catalog.digital-scriptorium.org/entity/Q20747
flp-ds-wikidata-after-1500.csv,"Philadelphia, Pennsylvania, Free Library of Philadelphia, Lewis E 179",manuscript containing Prayer Book,Q87167,https://catalog.digital-scriptorium.org/entity/Q31,https://catalog.digital-scriptorium.org/entity/Q98,1540,1550,https://catalog.digital-scriptorium.org/entity/Q126|https://catalog.digital-scriptorium.org/entity/Q19886,,,Script: Humanistic,Q397,Prayer Book,Prayer book,https://catalog.digital-scriptorium.org/entity/Q1486,Q347250|Q43499|Q1340193,,Q3087288,DS4525,Lewis E 179,Lewis E 179,https://iiif.archive.org/iiif/lewis_e_179/manifest.json,https://catalog.digital-scriptorium.org/entity/Q21075,https://search.digital-scriptorium.org/catalog/DS4525,https://openn.library.upenn.edu/Data/0023/html/lewis_e_179.html,https://catalog.digital-scriptorium.org/entity/Q21074
flp-ds-wikidata-after-1500.csv,"Philadelphia, Pennsylvania, Free Library of Philadelphia, Lewis E 195","manuscript containing Vitae XII caesarium (Lives of the twelve caesars), fragment and Book of Hours leaf",Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q97|https://catalog.digital-scriptorium.org/entity/Q98,1400|1500,1499|1599,https://catalog.digital-scriptorium.org/entity/Q122|https://catalog.digital-scriptorium.org/entity/Q134,,,Script: Bâtarde|Script: Humanistic,Q397,"Vitae XII caesarium (Lives of the twelve caesars), fragment and Book of Hours leaf",Book of hours|Lives of the twelve Caesars,https://catalog.digital-scriptorium.org/entity/Q795|https://catalog.digital-scriptorium.org/entity/Q20027,Q10133,,Q3087288,DS4540,Lewis E 195,Lewis E 195,https://iiif.archive.org/iiif/lewis_e_195/manifest.json,https://catalog.digital-scriptorium.org/entity/Q21120,https://search.digital-scriptorium.org/catalog/DS4540,https://openn.library.upenn.edu/Data/0023/html/lewis_e_195.html,https://catalog.digital-scriptorium.org/entity/Q21119
flp-ds-wikidata-after-1500.csv,"Philadelphia, Pennsylvania, Free Library of Philadelphia, Lewis E 203",manuscript containing Harmony of the Bible,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q98,1585,1599,https://catalog.digital-scriptorium.org/entity/Q133,,,Script: Bâtarde,Q1860,Harmony of the Bible,Harmony of the Bible,https://catalog.digital-scriptorium.org/entity/Q19916,Q5930147,,Q3087288,DS4547,Lewis E 203,Lewis E 203,https://iiif.archive.org/iiif/lewis_e_203/manifest.json,https://catalog.digital-scriptorium.org/entity/Q21141,https://search.digital-scriptorium.org/catalog/DS4547,https://openn.library.upenn.edu/Data/0023/html/lewis_e_203.html,https://catalog.digital-scriptorium.org/entity/Q21140
flp-ds-wikidata-after-1500.csv,"Philadelphia, Pennsylvania, Free Library of Philadelphia, Lewis E 211",manuscript containing Noels (Christmas carols),Q87167,https://catalog.digital-scriptorium.org/entity/Q31,https://catalog.digital-scriptorium.org/entity/Q98,1520,1530,https://catalog.digital-scriptorium.org/entity/Q122,,,Script: Humanistic Cursive|Script: Bâtarde|Script: Humanistic,Q1473289|Q397,Noels (Christmas carols),Hymnal|Carols,https://catalog.digital-scriptorium.org/entity/Q666|https://catalog.digital-scriptorium.org/entity/Q17601,Q3351180,,Q3087288,DS4555,Lewis E 211,Lewis E 211,https://iiif.archive.org/iiif/lewis_e_211/manifest.json,https://catalog.digital-scriptorium.org/entity/Q21165,https://search.digital-scriptorium.org/catalog/DS4555,https://openn.library.upenn.edu/Data/0023/html/lewis_e_211.html,https://catalog.digital-scriptorium.org/entity/Q21164
flp-ds-wikidata-after-1500.csv,"Philadelphia, Pennsylvania, Free Library of Philadelphia, Lewis E 214","manuscript containing Book of Hours, use of Rome",Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q98,1510,1520,https://catalog.digital-scriptorium.org/entity/Q122|https://catalog.digital-scriptorium.org/entity/Q136,,Q122753998,Script: Humanistic,Q397,"Book of Hours, use of Rome",Book of hours,https://catalog.digital-scriptorium.org/entity/Q795,,,Q3087288,DS4558,Lewis E 214,Lewis E 214,https://iiif.archive.org/iiif/lewis_e_214/manifest.json,https://catalog.digital-scriptorium.org/entity/Q21174,https://search.digital-scriptorium.org/catalog/DS4558,https://openn.library.upenn.edu/Data/0023/html/lewis_e_214.html,https://catalog.digital-scriptorium.org/entity/Q21173
flp-ds-wikidata-after-1500.csv,"Philadelphia, Pennsylvania, Free Library of Philadelphia, Lewis E M 1:9",manuscript containing Missal,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q98|https://catalog.digital-scriptorium.org/entity/Q97,1490,1510,https://catalog.digital-scriptorium.org/entity/Q131|https://catalog.digital-scriptorium.org/entity/Q4333,,,Script: Gothic bookhand,Q397,Missal,Missal,https://catalog.digital-scriptorium.org/entity/Q662,,,Q3087288,DS4606,Lewis E M 1:9,Lewis E M 1:9,,https://catalog.digital-scriptorium.org/entity/Q21318,https://search.digital-scriptorium.org/catalog/DS4606,https://openn.library.upenn.edu/Data/0023/html/lewis_e_m_001_009.html,https://catalog.digital-scriptorium.org/entity/Q21317
