signature,description,instanceOf,materialDS,centuryDS,earliestDate,latestDate,placeDS,scribeWikidata,artistWikidata,scriptNotes,languageWikidata,titleRecord,titleStandard,titleDS,authorWikidata,ownerWikidata,holderWikidata,DSID,check,institutionalID,shelfmark,iiifURL,record,search,link,dsItemID
"Poughkeepsie, New York, Vassar College, Persian ms. 6",manuscript containing Fragment of Haft paykar,Q87167,https://catalog.digital-scriptorium.org/entity/Q31,https://catalog.digital-scriptorium.org/entity/Q99|https://catalog.digital-scriptorium.org/entity/Q98,1500,1699,https://catalog.digital-scriptorium.org/entity/Q2822,,,Script: Written in Nastaʿlīq; romanization supplied by cataloger.,Q9168,Fragment of Haft paykar,Haft Paykar,https://catalog.digital-scriptorium.org/entity/Q18433,Q234908,,Q2093794,DS26359,,991019280223607396,Persian ms. 6,,https://catalog.digital-scriptorium.org/entity/Q101034,https://search.digital-scriptorium.org/catalog/DS26359,https://vassar.primo.exlibrisgroup.com/permalink/01VAC_INST/al3g85/alma991019280223607396,https://catalog.digital-scriptorium.org/entity/Q101033
"Poughkeepsie, New York, Vassar College, Arabic ms. 5",manuscript containing Hādhā Nathr al-La'ālī li-ʿAlī ʿalayhi al-salām,Q87167,https://catalog.digital-scriptorium.org/entity/Q31,https://catalog.digital-scriptorium.org/entity/Q101,1843,1844,https://catalog.digital-scriptorium.org/entity/Q2822,,,"Script: Written in Naskh, vocalized, by Abd al-Shakūr Aḥmad al-Shāʿir.",Q13955,Hādhā Nathr al-La'ālī li-ʿAlī ʿalayhi al-salām,Nathr al-laʼālī,https://catalog.digital-scriptorium.org/entity/Q67337,Q1990225,,Q2093794,DS29184,,991019267113507396,Arabic ms. 5,,https://catalog.digital-scriptorium.org/entity/Q110276,https://search.digital-scriptorium.org/catalog/DS29184,https://vassar.primo.exlibrisgroup.com/permalink/01VAC_INST/al3g85/alma991019267113507396,https://catalog.digital-scriptorium.org/entity/Q110275
"Poughkeepsie, New York, Vassar College, Scheetz MS. 2","manuscript containing Leaf from John Wycliffe, Quadraginta sermones de tempore",Q87167,https://catalog.digital-scriptorium.org/entity/Q31,https://catalog.digital-scriptorium.org/entity/Q96|https://catalog.digital-scriptorium.org/entity/Q97,1375,1425,https://catalog.digital-scriptorium.org/entity/Q133,,,Script: Written in cursive anglicana script.,Q397,"Leaf from John Wycliffe, Quadraginta sermones de tempore",Sermons|Quadraginta Sermones De Tempore,https://catalog.digital-scriptorium.org/entity/Q1400|https://catalog.digital-scriptorium.org/entity/Q108698,Q173893,,Q2093794,DS29185,,991019338835807396,Scheetz MS. 2,,https://catalog.digital-scriptorium.org/entity/Q110280,https://search.digital-scriptorium.org/catalog/DS29185,https://vassar.primo.exlibrisgroup.com/permalink/01VAC_INST/al3g85/alma991019340315407396,https://catalog.digital-scriptorium.org/entity/Q110279
"Poughkeepsie, New York, Vassar College, Scheetz MS. 5",manuscript containing Leaf from a Book of hours,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q97,1400,1400,https://catalog.digital-scriptorium.org/entity/Q122,,,Script: Written in gothic textura script.,Q397,Leaf from a Book of hours,Book of hours,https://catalog.digital-scriptorium.org/entity/Q795,,,Q2093794,DS29186,,991019340315407396,Scheetz MS. 5,,https://catalog.digital-scriptorium.org/entity/Q110283,https://search.digital-scriptorium.org/catalog/DS29186,https://vassar.primo.exlibrisgroup.com/permalink/01VAC_INST/al3g85/alma991019340315407396,https://catalog.digital-scriptorium.org/entity/Q110282
"Poughkeepsie, New York, Vassar College, Scheetz MS. 10",manuscript containing Leaf from a miniature Processional,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q98,1500,1500,https://catalog.digital-scriptorium.org/entity/Q122,,,Script: Written in gothic script emulating 14th-century style.,Q397,Leaf from a miniature Processional,Processional,https://catalog.digital-scriptorium.org/entity/Q1336,,,Q2093794,DS29187,,991019340715707396,Scheetz MS. 10,,https://catalog.digital-scriptorium.org/entity/Q110286,https://search.digital-scriptorium.org/catalog/DS29187,https://vassar.primo.exlibrisgroup.com/permalink/01VAC_INST/al3g85/alma991019340715707396,https://catalog.digital-scriptorium.org/entity/Q110285
"Poughkeepsie, New York, Vassar College, Scheetz MS. 9",manuscript containing Two consecutive bifolia from an Augustinian (?) Gradual,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q99|https://catalog.digital-scriptorium.org/entity/Q98,1500,1699,https://catalog.digital-scriptorium.org/entity/Q129,,,Script: Written in rounded gothic script.,Q397,Two consecutive bifolia from an Augustinian (?) Gradual,Gradual,https://catalog.digital-scriptorium.org/entity/Q1121,,,Q2093794,DS29188,,991019341016007396,Scheetz MS. 9,,https://catalog.digital-scriptorium.org/entity/Q110289,https://search.digital-scriptorium.org/catalog/DS29188,https://vassar.primo.exlibrisgroup.com/permalink/01VAC_INST/al3g85/alma991019341016007396,https://catalog.digital-scriptorium.org/entity/Q110288
"Poughkeepsie, New York, Vassar College, Scheetz MS. 11A-C",manuscript containing Three leaves from a Processional,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q97,1400,1400,https://catalog.digital-scriptorium.org/entity/Q122,,,Script: Written in gothic bookhand.,Q397,Three leaves from a Processional,Processional,https://catalog.digital-scriptorium.org/entity/Q1336,,,Q2093794,DS29189,,991019341115907396,Scheetz MS. 11A-C,,https://catalog.digital-scriptorium.org/entity/Q110292,https://search.digital-scriptorium.org/catalog/DS29189,https://vassar.primo.exlibrisgroup.com/permalink/01VAC_INST/al3g85/alma991019341115907396,https://catalog.digital-scriptorium.org/entity/Q110291
"Poughkeepsie, New York, Vassar College, Scheetz MS. 12",manuscript containing Leaf from a choir breviary,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q98,1500,1500,https://catalog.digital-scriptorium.org/entity/Q134,,,Script: Written in gothic bookhand.,Q397,Leaf from a choir breviary,Breviary,https://catalog.digital-scriptorium.org/entity/Q657,,,Q2093794,DS29190,,991019341916007396,Scheetz MS. 12,,https://catalog.digital-scriptorium.org/entity/Q110295,https://search.digital-scriptorium.org/catalog/DS29190,https://vassar.primo.exlibrisgroup.com/permalink/01VAC_INST/al3g85/alma991019341916007396,https://catalog.digital-scriptorium.org/entity/Q110294
"Poughkeepsie, New York, Vassar College, Scheetz MS. 20",manuscript containing Fragment of a missal,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q96|https://catalog.digital-scriptorium.org/entity/Q95,1275,1399,https://catalog.digital-scriptorium.org/entity/Q131,,,"Script: Written in gothic script in two sizes, with a majuscule 'W'.",Q397,Fragment of a missal,Missal,https://catalog.digital-scriptorium.org/entity/Q662,,,Q2093794,DS29191,,991019342014507396,Scheetz MS. 20,,https://catalog.digital-scriptorium.org/entity/Q110298,https://search.digital-scriptorium.org/catalog/DS29191,https://vassar.primo.exlibrisgroup.com/permalink/01VAC_INST/al3g85/alma991019342014507396,https://catalog.digital-scriptorium.org/entity/Q110297
"Poughkeepsie, New York, Vassar College, Scheetz MS. 19",manuscript containing Leaf from a Breviary,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q95,1250,1299,https://catalog.digital-scriptorium.org/entity/Q122,,,Script: Written in gothic bookhand.,Q397,Leaf from a Breviary,Breviary,https://catalog.digital-scriptorium.org/entity/Q657,,,Q2093794,DS29192,,991019342014707396,Scheetz MS. 19,,https://catalog.digital-scriptorium.org/entity/Q110301,https://search.digital-scriptorium.org/catalog/DS29192,https://vassar.primo.exlibrisgroup.com/permalink/01VAC_INST/al3g85/alma991019342014707396,https://catalog.digital-scriptorium.org/entity/Q110300
