signature,description,instanceOf,materialDS,centuryDS,earliestDate,latestDate,placeDS,scribeWikidata,artistWikidata,scriptNote,languageWikidata,titleRecord,titleStandard,titleDS,authorWikidata,ownerWikidata,holderWikidata,DSID,institutionalID,shelfmark,iiifURL,record,link
"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.164",manuscript containing Book of Hours,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q97,1445,1475,https://catalog.digital-scriptorium.org/entity/Q134|https://catalog.digital-scriptorium.org/entity/Q3099,,,,Q397,Book of Hours,Book of hours,https://catalog.digital-scriptorium.org/entity/Q795,,Q7109575|Q125930833,Q309331,DS11583,Spec.Rare.MS.MR.Frag.164,Spec.Rare.MS.MR.Frag.164,,https://catalog.digital-scriptorium.org/entity/Q50114,
"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.165",manuscript containing Book of Hours,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q97,1425,1475,https://catalog.digital-scriptorium.org/entity/Q122,,,,Q397,Book of Hours,Book of hours,https://catalog.digital-scriptorium.org/entity/Q795,,Q125930833,Q309331,DS11584,Spec.Rare.MS.MR.Frag.165,Spec.Rare.MS.MR.Frag.165,,https://catalog.digital-scriptorium.org/entity/Q50117,
"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.166",manuscript containing Bible (pocket); Interpretationem nominorum Hebraicorum,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q95,1225,1275,https://catalog.digital-scriptorium.org/entity/Q133,,,,Q397,Bible (pocket); Interpretationem nominorum Hebraicorum,Interpretationes nominum Hebraicorum|Bible,https://catalog.digital-scriptorium.org/entity/Q357|https://catalog.digital-scriptorium.org/entity/Q661,,Q125930833,Q309331,DS11585,Spec.Rare.MS.MR.Frag.166,Spec.Rare.MS.MR.Frag.166,,https://catalog.digital-scriptorium.org/entity/Q50120,
"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.168",manuscript containing Psalter,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q95,1225,1275,https://catalog.digital-scriptorium.org/entity/Q122,,,,Q397,Psalter,Psalter,https://catalog.digital-scriptorium.org/entity/Q660,,Q125930833,Q309331,DS11587,Spec.Rare.MS.MR.Frag.168,Spec.Rare.MS.MR.Frag.168,,https://catalog.digital-scriptorium.org/entity/Q50126,
"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.170",manuscript containing Noted Missal,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q96|https://catalog.digital-scriptorium.org/entity/Q97,1375,1425,https://catalog.digital-scriptorium.org/entity/Q132|https://catalog.digital-scriptorium.org/entity/Q652|https://catalog.digital-scriptorium.org/entity/Q4333,,,,Q397,Noted Missal,Missal,https://catalog.digital-scriptorium.org/entity/Q662,,Q125930833,Q309331,DS11589,Spec.Rare.MS.MR.Frag.170,Spec.Rare.MS.MR.Frag.170,,https://catalog.digital-scriptorium.org/entity/Q50132,
"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.171",manuscript containing Antiphonal,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q99,1600,1650,https://catalog.digital-scriptorium.org/entity/Q129,,,,Q397,Antiphonal,Antiphonary,https://catalog.digital-scriptorium.org/entity/Q654,,Q101018006,Q309331,DS11590,Spec.Rare.MS.MR.Frag.171,Spec.Rare.MS.MR.Frag.171,,https://catalog.digital-scriptorium.org/entity/Q50135,
"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.73",manuscript containing Book of Hours,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q97,1425,1450,https://catalog.digital-scriptorium.org/entity/Q122,,,,Q397,Book of Hours,Book of hours,https://catalog.digital-scriptorium.org/entity/Q795,,Q125930780,Q309331,DS11492,Spec.Rare.MS.MR.Frag.73,Spec.Rare.MS.MR.Frag.73,,https://catalog.digital-scriptorium.org/entity/Q49841,
"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.74",manuscript containing Bible (transitional),Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q95,1200,1225,https://catalog.digital-scriptorium.org/entity/Q122,,,,Q397,Bible (transitional),Bible,https://catalog.digital-scriptorium.org/entity/Q661,,Q65034936|Q966843|Q15438897|Q15706103|Q654762|Q5670578|Q18204370|Q503176|Q124139405|Q125930940|Q120898608|Q6830773|Q125930856,Q309331,DS11493,Spec.Rare.MS.MR.Frag.74,Spec.Rare.MS.MR.Frag.74,,https://catalog.digital-scriptorium.org/entity/Q49844,
"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.75",manuscript containing Liber sextus decretalium,Q87167,https://catalog.digital-scriptorium.org/entity/Q31,https://catalog.digital-scriptorium.org/entity/Q97,1425,1475,https://catalog.digital-scriptorium.org/entity/Q38191|https://catalog.digital-scriptorium.org/entity/Q131,,,,Q397,Liber sextus decretalium,Liber sextus decretalium,https://catalog.digital-scriptorium.org/entity/Q39559,,Q6830773,Q309331,DS11494,Spec.Rare.MS.MR.Frag.75,Spec.Rare.MS.MR.Frag.75,,https://catalog.digital-scriptorium.org/entity/Q49847,
"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.78",manuscript containing Book of Hours,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q97,1425,1475,https://catalog.digital-scriptorium.org/entity/Q122|https://catalog.digital-scriptorium.org/entity/Q16418,,,,Q397,Book of Hours,Book of hours,https://catalog.digital-scriptorium.org/entity/Q795,,Q125930775,Q309331,DS11497,Spec.Rare.MS.MR.Frag.78,Spec.Rare.MS.MR.Frag.78,,https://catalog.digital-scriptorium.org/entity/Q49856,
