signature,description,instanceOf,materialDS,centuryDS,earliestDate,latestDate,placeDS,scribeWikidata,artistWikidata,scriptNote,languageWikidata,titleRecord,titleStandard,titleDS,authorWikidata,ownerWikidata,holderWikidata,DSID,institutionalID,shelfmark,iiifURL,record,link
"Kansas City, Missouri, The Nelson-Atkins Museum of Art, KG 39",manuscript containing Book of Hours,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q97,1400,1499,https://catalog.digital-scriptorium.org/entity/Q122,,,,Q397,Book of Hours,Book of hours,https://catalog.digital-scriptorium.org/entity/Q795,,Q6369801|Q116850014,Q1976985,DS281,KG 39,KG 39,https://iiif.archive.org/iiif/images_KG39_46/manifest.json,https://catalog.digital-scriptorium.org/entity/Q1194,https://archive.org/details/KG39_46
"Kansas City, Missouri, The Nelson-Atkins Museum of Art, KG 14",manuscript containing Stephen Langton Interpretation of Hebrew Names of Bible,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q95,1225,1275,https://catalog.digital-scriptorium.org/entity/Q134,,,,Q397|Q9288,Stephen Langton Interpretation of Hebrew Names of Bible,Interpretationes nominum Hebraicorum,https://catalog.digital-scriptorium.org/entity/Q357,,Q6369801|Q112391468,Q1976985,DS282,KG 14,KG 14,https://iiif.archive.org/iiif/images_KG14_46/manifest.json,https://catalog.digital-scriptorium.org/entity/Q1197,https://archive.org/details/KG14_46
"Kansas City, Missouri, The Nelson-Atkins Museum of Art, KG 38",manuscript containing Stephen Langton Interpretation of Hebrew Names of Bible,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q95,1225,1250,https://catalog.digital-scriptorium.org/entity/Q133,,,,Q397|Q9288,Stephen Langton Interpretation of Hebrew Names of Bible,Interpretationes nominum Hebraicorum,https://catalog.digital-scriptorium.org/entity/Q357,,Q6369801|Q112391468,Q1976985,DS283,KG 38,KG 38,https://iiif.archive.org/iiif/images_KG38_46/manifest.json,https://catalog.digital-scriptorium.org/entity/Q1200,https://archive.org/details/KG38_46
"Kansas City, Missouri, The Nelson-Atkins Museum of Art, KG 15",manuscript containing Breviary,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q97,1400,1475,https://catalog.digital-scriptorium.org/entity/Q134,,,,Q397,Breviary,Breviary,https://catalog.digital-scriptorium.org/entity/Q657,,Q6369801|Q112391468,Q1976985,DS284,KG 15,KG 15,https://iiif.archive.org/iiif/images_KG15_46/manifest.json,https://catalog.digital-scriptorium.org/entity/Q1203,https://archive.org/details/KG15_46
"Kansas City, Missouri, The Nelson-Atkins Museum of Art, KG 18",manuscript containing Book of Hours,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q97,1400,1475,https://catalog.digital-scriptorium.org/entity/Q122,,,,Q397,Book of Hours,Book of hours,https://catalog.digital-scriptorium.org/entity/Q795,,Q6369801|Q112391468|Q116790542,Q1976985,DS285,KG 18,KG 18,https://iiif.archive.org/iiif/images_KG18_46/manifest.json,https://catalog.digital-scriptorium.org/entity/Q1206,https://archive.org/details/KG18_46
"Kansas City, Missouri, The Nelson-Atkins Museum of Art, KG 20",manuscript containing Book of Hours,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q97,1400,1425,https://catalog.digital-scriptorium.org/entity/Q122,,,,Q397,Book of Hours,Book of hours,https://catalog.digital-scriptorium.org/entity/Q795,,Q6369801|Q112391468|Q116790542,Q1976985,DS286,KG 20,KG 20,https://iiif.archive.org/iiif/images_KG20_46/manifest.json,https://catalog.digital-scriptorium.org/entity/Q1209,https://archive.org/details/KG20_46
"Kansas City, Missouri, The Nelson-Atkins Museum of Art, KG 21",manuscript containing Book of Hours (Bifolium),Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q97,1400,1499,https://catalog.digital-scriptorium.org/entity/Q1115,,,,Q397,Book of Hours (Bifolium),Book of hours,https://catalog.digital-scriptorium.org/entity/Q795,,Q6369801|Q112391468|Q116790542,Q1976985,DS287,KG 21,KG 21,https://iiif.archive.org/iiif/images_KG21_46/manifest.json,https://catalog.digital-scriptorium.org/entity/Q1212,https://archive.org/details/KG21_46
"Kansas City, Missouri, The Nelson-Atkins Museum of Art, KG 24",manuscript containing Psalter,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q96,1300,1399,https://catalog.digital-scriptorium.org/entity/Q122,,,,Q397,Psalter,Psalter,https://catalog.digital-scriptorium.org/entity/Q660,,Q6369801|Q112391468,Q1976985,DS288,KG 24,KG 24,https://iiif.archive.org/iiif/images_KG24_46/manifest.json,https://catalog.digital-scriptorium.org/entity/Q1215,https://archive.org/details/KG24_46
"Kansas City, Missouri, The Nelson-Atkins Museum of Art, KG 25",manuscript containing Book of Hours,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q97,1400,1499,https://catalog.digital-scriptorium.org/entity/Q1115,,,,Q397,Book of Hours,Book of hours,https://catalog.digital-scriptorium.org/entity/Q795,,Q6369801|Q112391468,Q1976985,DS289,KG 25,KG 25,https://iiif.archive.org/iiif/images_KG25_46/manifest.json,https://catalog.digital-scriptorium.org/entity/Q1218,https://archive.org/details/KG25_46
"Kansas City, Missouri, The Nelson-Atkins Museum of Art, KG 28 (LEV c)",manuscript containing Breviary,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q97,1400,1499,https://catalog.digital-scriptorium.org/entity/Q134,,,,Q397,Breviary,Breviary,https://catalog.digital-scriptorium.org/entity/Q657,,Q6369801|Q66985346|Q94805275,Q1976985,DS290,KG 28 (LEV c),KG 28 (LEV c),https://iiif.archive.org/iiif/images_KG28LEVc_46/manifest.json,https://catalog.digital-scriptorium.org/entity/Q1221,https://archive.org/details/KG28LEVc_46
"Kansas City, Missouri, The Nelson-Atkins Museum of Art, KG 30 (LEV e)",manuscript containing Book of Hours,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q97|https://catalog.digital-scriptorium.org/entity/Q96,1385,1420,https://catalog.digital-scriptorium.org/entity/Q122,,,,Q397,Book of Hours,Book of hours,https://catalog.digital-scriptorium.org/entity/Q795,,Q6369801|Q116790542|Q66985346,Q1976985,DS291,KG 30 (LEV e),KG 30 (LEV e),https://iiif.archive.org/iiif/images_KG30LEVe_46/manifest.json,https://catalog.digital-scriptorium.org/entity/Q1224,https://archive.org/details/KG30LEVe_46
"Kansas City, Missouri, The Nelson-Atkins Museum of Art, KG 32",manuscript containing Italian Notarial Loan Record,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q98,1510,1525,https://catalog.digital-scriptorium.org/entity/Q134,,,,Q397,Italian Notarial Loan Record,Missal,https://catalog.digital-scriptorium.org/entity/Q662,,Q6369801|Q116849845|Q116849885,Q1976985,DS292,KG 32,KG 32,https://iiif.archive.org/iiif/images_KG32_46/manifest.json,https://catalog.digital-scriptorium.org/entity/Q1227,https://archive.org/details/KG32_46
"Kansas City, Missouri, The Nelson-Atkins Museum of Art, KG 33",manuscript containing Book of Hours,Q87167,,https://catalog.digital-scriptorium.org/entity/Q98,1500,1515,https://catalog.digital-scriptorium.org/entity/Q122,,,,Q397,Book of Hours,Book of hours,https://catalog.digital-scriptorium.org/entity/Q795,,Q6369801|Q116849845|Q116849885,Q1976985,DS293,KG 33,KG 33,https://iiif.archive.org/iiif/images_KG33_46/manifest.json,https://catalog.digital-scriptorium.org/entity/Q1230,https://archive.org/details/KG33_46
"Kansas City, Missouri, The Nelson-Atkins Museum of Art, KG 34",manuscript containing Illuminated Missal,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q97,1450,1499,https://catalog.digital-scriptorium.org/entity/Q131,,,,Q397,Illuminated Missal,Missal,https://catalog.digital-scriptorium.org/entity/Q662,,Q6369801|Q116850155,Q1976985,DS294,KG 34,KG 34,https://iiif.archive.org/iiif/images_KG34_46/manifest.json,https://catalog.digital-scriptorium.org/entity/Q1233,https://archive.org/details/KG34_46
"Kansas City, Missouri, The Nelson-Atkins Museum of Art, KG 35","manuscript containing Ranulph Higden, Polychronicon Translation by John Trevisa",Q87167,https://catalog.digital-scriptorium.org/entity/Q31,https://catalog.digital-scriptorium.org/entity/Q97,1400,1499,https://catalog.digital-scriptorium.org/entity/Q133,,,,Q36395,"Ranulph Higden, Polychronicon Translation by John Trevisa",Polychronicon,https://catalog.digital-scriptorium.org/entity/Q1120,,Q6369801|Q116850155,Q1976985,DS295,KG 35,KG 35,https://iiif.archive.org/iiif/images_KG35_46/manifest.json,https://catalog.digital-scriptorium.org/entity/Q1236,https://archive.org/details/KG35_46
