row_index,workflow_history,place_as_recorded,authorized_label,structured_value
23,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T01:05:40.352233Z | PLACE RECON, STEP 3: START RECON 2022-10-07T01:05:58.581912Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-10-07T01:06:16.618397Z | PLACE RECON, STEP 6: FINALIZED 2022-10-07T01:09:52.358858Z","Diocese of Treviso, Montello, Italy",Treviso;Volpago del Montello;Italy,http://vocab.getty.edu/tgn/7002996;http://vocab.getty.edu/tgn/1047496;http://vocab.getty.edu/tgn/1000080
24,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T01:05:40.352245Z | PLACE RECON, STEP 3: START RECON 2022-10-07T01:05:58.581917Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-10-07T01:06:16.618412Z | PLACE RECON, STEP 6: FINALIZED 2022-10-07T01:09:52.358866Z",Egypt,Egypt,http://vocab.getty.edu/tgn/7016833
25,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T01:05:40.352254Z | PLACE RECON, STEP 3: START RECON 2022-10-07T01:05:58.581921Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-10-07T01:06:16.618421Z | PLACE RECON, STEP 6: FINALIZED 2022-10-07T01:09:52.358884Z",Engalnd,England,http://vocab.getty.edu/tgn/7002445
26,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T01:05:40.352261Z | PLACE RECON, STEP 3: START RECON 2022-10-07T01:05:58.581927Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-10-07T01:06:16.618431Z | PLACE RECON, STEP 6: FINALIZED 2022-10-07T01:09:52.358891Z",England,England,http://vocab.getty.edu/tgn/7002445
27,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T01:05:40.352277Z | PLACE RECON, STEP 3: START RECON 2022-10-07T01:05:58.581931Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-10-07T01:06:16.618446Z | PLACE RECON, STEP 6: FINALIZED 2022-10-07T01:09:52.358900Z",England and Spain,England;Spain,http://vocab.getty.edu/tgn/7002445;http://vocab.getty.edu/tgn/1000095
28,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T01:05:40.352285Z | PLACE RECON, STEP 3: START RECON 2022-10-07T01:05:58.581936Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-10-07T01:06:16.618455Z | PLACE RECON, STEP 6: FINALIZED 2022-10-07T01:09:52.358914Z","England,  Leicestershire and Staffordshire",England;Leicestershire;Staffordshire,http://vocab.getty.edu/tgn/7002445;http://vocab.getty.edu/tgn/7008155;http://vocab.getty.edu/tgn/7008174
29,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T01:05:40.352293Z | PLACE RECON, STEP 3: START RECON 2022-10-07T01:05:58.581949Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-10-07T01:06:16.618464Z | PLACE RECON, STEP 6: FINALIZED 2022-10-07T01:09:52.358921Z","England, Dorset",England;Dorset,http://vocab.getty.edu/tgn/7002445;http://vocab.getty.edu/tgn/7011961
30,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T01:05:40.352308Z | PLACE RECON, STEP 3: START RECON 2022-10-07T01:05:58.581954Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-10-07T01:06:16.618479Z | PLACE RECON, STEP 6: FINALIZED 2022-10-07T01:09:52.358928Z","England, East Anglia",England;East Anglia,http://vocab.getty.edu/tgn/7002445;http://vocab.getty.edu/tgn/7012973
31,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T01:05:40.352316Z | PLACE RECON, STEP 3: START RECON 2022-10-07T01:05:58.581958Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-10-07T01:06:16.618488Z | PLACE RECON, STEP 6: FINALIZED 2022-10-07T01:09:52.358940Z","England, Kent",England;Kent,http://vocab.getty.edu/tgn/7002445;http://vocab.getty.edu/tgn/7008153
32,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T01:05:40.352323Z | PLACE RECON, STEP 3: START RECON 2022-10-07T01:05:58.581965Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-10-07T01:06:16.618497Z | PLACE RECON, STEP 6: FINALIZED 2022-10-07T01:09:52.358947Z","England, Leicestershire and Rutland",England;Leicestershire;Rutland,http://vocab.getty.edu/tgn/7002445;http://vocab.getty.edu/tgn/7008155;http://vocab.getty.edu/tgn/5000748
33,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T01:05:40.352335Z | PLACE RECON, STEP 3: START RECON 2022-10-07T01:05:58.581969Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-10-07T01:06:16.618517Z | PLACE RECON, STEP 6: FINALIZED 2022-10-07T01:09:52.358954Z","England, Norfolk",England;Norfolk,http://vocab.getty.edu/tgn/7002445;http://vocab.getty.edu/tgn/7008160
34,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T01:05:40.352343Z | PLACE RECON, STEP 3: START RECON 2022-10-07T01:05:58.581973Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-10-07T01:06:16.618541Z | PLACE RECON, STEP 6: FINALIZED 2022-10-07T01:09:52.358965Z","England, Possibly south-east.",England,http://vocab.getty.edu/tgn/7002445
35,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T01:05:40.352351Z | PLACE RECON, STEP 3: START RECON 2022-10-07T01:05:58.581981Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-10-07T01:06:16.618556Z | PLACE RECON, STEP 6: FINALIZED 2022-10-07T01:09:52.358972Z","England, Staffordshire",England;Staffordshire,http://vocab.getty.edu/tgn/7002445;http://vocab.getty.edu/tgn/7008174
36,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T01:05:40.352363Z | PLACE RECON, STEP 3: START RECON 2022-10-07T01:05:58.581985Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-10-07T01:06:16.618567Z | PLACE RECON, STEP 6: FINALIZED 2022-10-07T01:09:52.358979Z","England, Sussex",England;Sussex,http://vocab.getty.edu/tgn/7002445;http://vocab.getty.edu/tgn/7008133
37,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T01:05:40.352371Z | PLACE RECON, STEP 3: START RECON 2022-10-07T01:05:58.581990Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-10-07T01:06:16.618576Z | PLACE RECON, STEP 6: FINALIZED 2022-10-07T01:09:52.359001Z","England, Warwickshire",England;Warwickshire,http://vocab.getty.edu/tgn/7002445;http://vocab.getty.edu/tgn/7008178
38,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T01:05:40.352380Z | PLACE RECON, STEP 3: START RECON 2022-10-07T01:05:58.581996Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-10-07T01:06:16.618590Z | PLACE RECON, STEP 6: FINALIZED 2022-10-07T01:09:52.359009Z","England, Worcestershire",England;Worcestershire,http://vocab.getty.edu/tgn/7002445;http://vocab.getty.edu/tgn/5000227
