row_index,workflow_history,material_as_recorded,authorized_label,structured_value
20,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T15:13:27.240694Z | MATERIAL RECON, STEP 3: FINALIZED 2022-10-07T15:13:46.942953Z",paper (2 leaves parchment),paper;parchment,http://vocab.getty.edu/aat/300014109;http://vocab.getty.edu/aat/300011851
21,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T15:13:27.240740Z | MATERIAL RECON, STEP 3: FINALIZED 2022-10-07T15:13:46.942976Z",paper and parchment,paper;parchment,http://vocab.getty.edu/aat/300014109;http://vocab.getty.edu/aat/300011851
22,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T15:13:27.240784Z | MATERIAL RECON, STEP 3: FINALIZED 2022-10-07T15:13:46.942997Z","paper reinforced by card, color illustrations",paper,http://vocab.getty.edu/aat/300014109
23,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T15:13:27.240827Z | MATERIAL RECON, STEP 3: FINALIZED 2022-10-07T15:13:46.943038Z","paper, col. ill.",paper,http://vocab.getty.edu/aat/300014109
24,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T15:13:27.240870Z | MATERIAL RECON, STEP 3: FINALIZED 2022-10-07T15:13:46.943060Z","paper, color illustrations",paper,http://vocab.getty.edu/aat/300014109
25,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T15:13:27.240911Z | MATERIAL RECON, STEP 3: FINALIZED 2022-10-07T15:13:46.943090Z","paper, diagrams",paper,http://vocab.getty.edu/aat/300014109
26,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T15:13:27.240953Z | MATERIAL RECON, STEP 3: FINALIZED 2022-10-07T15:13:46.943113Z","paper, ill.",paper,http://vocab.getty.edu/aat/300014109
27,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T15:13:27.241003Z | MATERIAL RECON, STEP 3: FINALIZED 2022-10-07T15:13:46.943135Z","paper, illuminations",paper,http://vocab.getty.edu/aat/300014109
28,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T15:13:27.241045Z | MATERIAL RECON, STEP 3: FINALIZED 2022-10-07T15:13:46.943154Z","paper, illustration",paper,http://vocab.getty.edu/aat/300014109
29,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T15:13:27.241087Z | MATERIAL RECON, STEP 3: FINALIZED 2022-10-07T15:13:46.943179Z","paper, illustrations",paper,http://vocab.getty.edu/aat/300014109
30,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T15:13:27.241129Z | MATERIAL RECON, STEP 3: FINALIZED 2022-10-07T15:13:46.943200Z","paper, illustrations, illuminations",paper,http://vocab.getty.edu/aat/300014109
31,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T15:13:27.241171Z | MATERIAL RECON, STEP 3: FINALIZED 2022-10-07T15:13:46.943220Z",paper|parchment,paper;parchment,http://vocab.getty.edu/aat/300014109;http://vocab.getty.edu/aat/300011851
32,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T15:13:27.241213Z | MATERIAL RECON, STEP 3: FINALIZED 2022-10-07T15:13:46.943241Z",parchment,parchment,http://vocab.getty.edu/aat/300011851
33,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T15:13:27.241256Z | MATERIAL RECON, STEP 3: FINALIZED 2022-10-07T15:13:46.943261Z",parchment and paper,parchment;paper,http://vocab.getty.edu/aat/300011851;http://vocab.getty.edu/aat/300014109
34,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T15:13:27.241305Z | MATERIAL RECON, STEP 3: FINALIZED 2022-10-07T15:13:46.943355Z","parchment, col. ill.",parchment,http://vocab.getty.edu/aat/300011851
35,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T15:13:27.241350Z | MATERIAL RECON, STEP 3: FINALIZED 2022-10-07T15:13:46.943892Z","parchment, ill.",parchment,http://vocab.getty.edu/aat/300011851
36,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T15:13:27.241392Z | MATERIAL RECON, STEP 3: FINALIZED 2022-10-07T15:13:46.943931Z","parchment, illuminations, tables",parchment,http://vocab.getty.edu/aat/300011851
37,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T15:13:27.241441Z | MATERIAL RECON, STEP 3: FINALIZED 2022-10-07T15:13:46.943963Z","parchment, illustration",parchment,http://vocab.getty.edu/aat/300011851
38,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T15:13:27.241483Z | MATERIAL RECON, STEP 3: FINALIZED 2022-10-07T15:13:46.943986Z","parchment, illustrations",parchment,http://vocab.getty.edu/aat/300011851
39,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T15:13:27.241532Z | MATERIAL RECON, STEP 3: FINALIZED 2022-10-07T15:13:46.944007Z","parchment, semi-translucent",parchment,http://vocab.getty.edu/aat/300011851
40,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T15:13:27.241590Z | MATERIAL RECON, STEP 3: FINALIZED 2022-10-07T15:13:46.944034Z","parchment, translucent",parchment,http://vocab.getty.edu/aat/300011851
41,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T15:13:27.241632Z | MATERIAL RECON, STEP 3: FINALIZED 2022-10-07T15:13:46.944055Z",parchment|paper,parchment;paper,http://vocab.getty.edu/aat/300011851;http://vocab.getty.edu/aat/300014109
42,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T15:13:27.241673Z | MATERIAL RECON, STEP 3: FINALIZED 2022-10-07T15:13:46.944075Z",rag paper,paper,http://vocab.getty.edu/aat/300014109
43,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T15:13:27.241714Z | MATERIAL RECON, STEP 3: FINALIZED 2022-10-07T15:13:46.944102Z",stone,stone,http://vocab.getty.edu/aat/300011176
44,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T15:13:27.241757Z | MATERIAL RECON, STEP 3: FINALIZED 2022-10-07T15:13:46.944123Z",tinted smooth paper,paper,http://vocab.getty.edu/aat/300014109
45,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T15:13:27.241810Z | MATERIAL RECON, STEP 3: FINALIZED 2022-10-07T15:13:46.944144Z",translucent parchment,parchment,http://vocab.getty.edu/aat/300011851
46,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T15:13:27.241857Z | MATERIAL RECON, STEP 3: FINALIZED 2022-10-07T15:13:46.944183Z",vellulm,parchment,http://vocab.getty.edu/aat/300011851
47,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T15:13:27.241899Z | MATERIAL RECON, STEP 3: FINALIZED 2022-10-07T15:13:46.944203Z",vellum,parchment,http://vocab.getty.edu/aat/300011851
