row_index,workflow_history,name_as_recorded,role,name_agr,source_authority_uri,authorized_name,instance_of,structured_value
74,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-24T01:51:33.371Z | NAME RECON STEP 3: START HUMAN RECON 2022-05-24T02:03:41.861Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-05-24T02:04:57.523Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-05-24T02:13:30.179Z | NAME RECON STEP 6: START ORG RECON 2022-05-24T02:26:02.445Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-05-24T02:27:18.964Z | NAME RECON STEP 9: FINALIZED 2022-05-24T02:29:25.179Z",Anselm of Canterbury,author,,,Anselm of Canterbury,human,Q43939
75,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-24T01:51:33.371Z | NAME RECON STEP 3: START HUMAN RECON 2022-05-24T02:03:41.861Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-05-24T02:04:57.523Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-05-24T02:13:30.179Z | NAME RECON STEP 6: START ORG RECON 2022-05-24T02:26:02.445Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-05-24T02:27:18.964Z | NAME RECON STEP 9: FINALIZED 2022-05-24T02:29:25.179Z","Anselm, Saint, Archbishop of Canterbury, 1033-1109",author,,http://viaf.org/viaf/100187025,Anselm of Canterbury,human,Q43939
76,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-24T01:51:33.371Z | NAME RECON STEP 3: START HUMAN RECON 2022-05-24T02:03:41.862Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-05-24T02:04:57.523Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-05-24T02:13:30.179Z | NAME RECON STEP 6: START ORG RECON 2022-05-24T02:26:02.445Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-05-24T02:27:18.964Z | NAME RECON STEP 9: FINALIZED 2022-05-24T02:29:25.179Z","Anselm, Saint, Archbishop of Canterbury, 1033-1109",author,,http://id.loc.gov/authorities/names/n50024763.html,Anselm of Canterbury,human,Q43939
77,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-24T01:51:33.371Z | NAME RECON STEP 3: START HUMAN RECON 2022-05-24T02:03:41.862Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-05-24T02:04:57.523Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-05-24T02:13:30.179Z | NAME RECON STEP 6: START ORG RECON 2022-05-24T02:26:02.445Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-05-24T02:27:18.964Z | NAME RECON STEP 9: FINALIZED 2022-05-24T02:29:25.179Z","Antoninus, Saint, Archbishop of Florence, 1389-1459",author,,http://viaf.org/viaf/89209643,Antoninus of Florence,human,Q773822
78,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-24T01:51:33.371Z | NAME RECON STEP 3: START HUMAN RECON 2022-05-24T02:03:41.862Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-05-24T02:04:57.523Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-05-24T02:13:30.179Z | NAME RECON STEP 6: START ORG RECON 2022-05-24T02:26:02.445Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-05-24T02:27:18.964Z | NAME RECON STEP 9: FINALIZED 2022-05-24T02:29:25.179Z",Antonio Pierozzi,author,,,Antoninus of Florence,human,Q773822
81,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-24T01:51:33.371Z | NAME RECON STEP 3: START HUMAN RECON 2022-05-24T02:03:41.862Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-05-24T02:04:57.523Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-05-24T02:13:30.179Z | NAME RECON STEP 6: START ORG RECON 2022-05-24T02:26:02.445Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-05-24T02:27:18.964Z | NAME RECON STEP 9: FINALIZED 2022-05-24T02:29:25.179Z",Aquiles Estaço,author,,,Achilles Statius,human,Q4673751
82,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-24T01:51:33.371Z | NAME RECON STEP 3: START HUMAN RECON 2022-05-24T02:03:41.862Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-05-24T02:04:57.523Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-05-24T02:13:30.179Z | NAME RECON STEP 6: START ORG RECON 2022-05-24T02:26:02.445Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-05-24T02:27:18.964Z | NAME RECON STEP 9: FINALIZED 2022-05-24T02:29:25.179Z",Aristotle,author,,,Aristotle,human,Q868
83,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-24T01:51:33.371Z | NAME RECON STEP 3: START HUMAN RECON 2022-05-24T02:03:41.862Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-05-24T02:04:57.523Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-05-24T02:13:30.179Z | NAME RECON STEP 6: START ORG RECON 2022-05-24T02:26:02.445Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-05-24T02:27:18.964Z | NAME RECON STEP 9: FINALIZED 2022-05-24T02:29:25.179Z",Aristotle,author,,http://id.loc.gov/authorities/names/n79004182.html,Aristotle,human,Q868
84,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-24T01:51:33.371Z | NAME RECON STEP 3: START HUMAN RECON 2022-05-24T02:03:41.862Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-05-24T02:04:57.523Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-05-24T02:13:30.179Z | NAME RECON STEP 6: START ORG RECON 2022-05-24T02:26:02.445Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-05-24T02:27:18.965Z | NAME RECON STEP 9: FINALIZED 2022-05-24T02:29:25.179Z",Aristotle (Aristoteles),author,,,Aristotle,human,Q868
85,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-24T01:51:33.371Z | NAME RECON STEP 3: START HUMAN RECON 2022-05-24T02:03:41.862Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-05-24T02:04:57.523Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-05-24T02:13:30.179Z | NAME RECON STEP 6: START ORG RECON 2022-05-24T02:26:02.445Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-05-24T02:27:18.965Z | NAME RECON STEP 9: FINALIZED 2022-05-24T02:29:25.179Z",Aristotle.,author,,,Aristotle,human,Q868
91,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-24T01:51:33.371Z | NAME RECON STEP 3: START HUMAN RECON 2022-05-24T02:03:41.862Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-05-24T02:04:57.523Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-05-24T02:13:30.179Z | NAME RECON STEP 6: START ORG RECON 2022-05-24T02:26:02.445Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-05-24T02:27:18.965Z | NAME RECON STEP 9: FINALIZED 2022-05-24T02:29:25.179Z",Arnaldus de Villanova,author,,http://viaf.org/viaf/100189814,Arnaldus de Villa Nova,human,Q356568
92,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-24T01:51:33.372Z | NAME RECON STEP 3: START HUMAN RECON 2022-05-24T02:03:41.862Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-05-24T02:04:57.523Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-05-24T02:13:30.179Z | NAME RECON STEP 6: START ORG RECON 2022-05-24T02:26:02.445Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-05-24T02:27:18.965Z | NAME RECON STEP 9: FINALIZED 2022-05-24T02:29:25.179Z","Arnaldus, de Villanova, d. 1311.",author,,,Arnaldus de Villa Nova,human,Q356568
