row_index,workflow_history,language_as_recorded,language_code,authorized_label,structured_value
80,"LANGUAGE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-06-05T23:27:14.600Z | LANGUAGE RECON STEP 3: START LANGUAGE RECON 2022-06-05T23:29:14.853Z | LANGUAGE RECON STEP 4: KNOWN LANGUAGES APPLIED 2022-06-05T23:32:05.307Z | LANGUAGE RECON STEP 6: FINALIZED 2022-06-05T23:33:11.947Z",Latin|Latin|Latin,,Latin,Q397
81,"LANGUAGE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-06-05T23:27:14.600Z | LANGUAGE RECON STEP 3: START LANGUAGE RECON 2022-06-05T23:29:14.853Z | LANGUAGE RECON STEP 4: KNOWN LANGUAGES APPLIED 2022-06-05T23:32:05.307Z | LANGUAGE RECON STEP 6: FINALIZED 2022-06-05T23:33:11.947Z",Latin|Latin|Latin|Latin,,Latin,Q397
82,"LANGUAGE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-06-05T23:27:14.600Z | LANGUAGE RECON STEP 3: START LANGUAGE RECON 2022-06-05T23:29:14.853Z | LANGUAGE RECON STEP 4: KNOWN LANGUAGES APPLIED 2022-06-05T23:32:05.307Z | LANGUAGE RECON STEP 6: FINALIZED 2022-06-05T23:33:11.947Z",Latin|Latin|Latin|Latin|Italian|Latin|Latin,,Italian|Latin,Q652|Q397
83,"LANGUAGE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-06-05T23:27:14.600Z | LANGUAGE RECON STEP 3: START LANGUAGE RECON 2022-06-05T23:29:14.853Z | LANGUAGE RECON STEP 4: KNOWN LANGUAGES APPLIED 2022-06-05T23:32:05.307Z | LANGUAGE RECON STEP 6: FINALIZED 2022-06-05T23:33:11.947Z",Latin|Latin|Latin|Latin|Latin,,Latin,Q397
84,"LANGUAGE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-06-05T23:27:14.600Z | LANGUAGE RECON STEP 3: START LANGUAGE RECON 2022-06-05T23:29:14.853Z | LANGUAGE RECON STEP 4: KNOWN LANGUAGES APPLIED 2022-06-05T23:32:05.307Z | LANGUAGE RECON STEP 6: FINALIZED 2022-06-05T23:33:11.947Z",Latin|Latin|Latin|Latin|Latin|Latin,,Latin,Q397
85,"LANGUAGE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-06-05T23:27:14.600Z | LANGUAGE RECON STEP 3: START LANGUAGE RECON 2022-06-05T23:29:14.853Z | LANGUAGE RECON STEP 4: KNOWN LANGUAGES APPLIED 2022-06-05T23:32:05.307Z | LANGUAGE RECON STEP 6: FINALIZED 2022-06-05T23:33:11.947Z",Latin|Latin|Latin|Latin|Latin|Latin|Latin|Latin|Latin|Latin|Latin|Latin|Latin|Latin|Latin,,Latin,Q397
86,"LANGUAGE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-06-05T23:27:14.600Z | LANGUAGE RECON STEP 3: START LANGUAGE RECON 2022-06-05T23:29:14.853Z | LANGUAGE RECON STEP 4: KNOWN LANGUAGES APPLIED 2022-06-05T23:32:05.307Z | LANGUAGE RECON STEP 6: FINALIZED 2022-06-05T23:33:11.947Z",Middle English,,Middle English,Q36395
87,"LANGUAGE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-06-05T23:27:14.600Z | LANGUAGE RECON STEP 3: START LANGUAGE RECON 2022-06-05T23:29:14.853Z | LANGUAGE RECON STEP 4: KNOWN LANGUAGES APPLIED 2022-06-05T23:32:05.307Z | LANGUAGE RECON STEP 6: FINALIZED 2022-06-05T23:33:11.947Z",Middle English.,enm,Middle English,Q36395
88,"LANGUAGE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-06-05T23:27:14.600Z | LANGUAGE RECON STEP 3: START LANGUAGE RECON 2022-06-05T23:29:14.853Z | LANGUAGE RECON STEP 4: KNOWN LANGUAGES APPLIED 2022-06-05T23:32:05.307Z | LANGUAGE RECON STEP 6: FINALIZED 2022-06-05T23:33:11.947Z",Middle English.,eng|enm,Middle English,Q36395
89,"LANGUAGE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-06-05T23:27:14.601Z | LANGUAGE RECON STEP 3: START LANGUAGE RECON 2022-06-05T23:29:14.853Z | LANGUAGE RECON STEP 4: KNOWN LANGUAGES APPLIED 2022-06-05T23:32:05.307Z | LANGUAGE RECON STEP 6: FINALIZED 2022-06-05T23:33:11.947Z",Middle French (ca. 1400-1600); Latin,frm|lat,Middle French|Latin,Q1473289|Q397
90,"LANGUAGE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-06-05T23:27:14.601Z | LANGUAGE RECON STEP 3: START LANGUAGE RECON 2022-06-05T23:29:14.853Z | LANGUAGE RECON STEP 4: KNOWN LANGUAGES APPLIED 2022-06-05T23:32:05.307Z | LANGUAGE RECON STEP 6: FINALIZED 2022-06-05T23:33:11.948Z",Middle French and Latin.,frm,Middle French|Latin,Q1473289|Q397
