File,title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label_add,ds_qid_add,authorized_label,ds_qid
20240902-titles-nelsonatkins-mets-legacy.csv,[Saint] Cyril of Alexandria Super Evangelium Joannis (1508 Printed Book Leaf,,,,Commentary on John,Q20515,,
20240902-titles-nelsonatkins-mets-legacy.csv,"15th century breviary for feast of August 29,30, September 8",,,,,,Breviary,"Q657"
20240902-titles-nelsonatkins-mets-legacy.csv,"Bartholomaeus de Sancto Concordio, Summa de Casibus Conscientiae (Incunable Leaf)",,,,,,Summa de casibus conscientiae,"Q813"
20240902-titles-nelsonatkins-mets-legacy.csv,Text for monastic liturgical use (proto-breviary),,,,Monastic text;Liturgical text,Q18620;Q10839,,
20240902-titles-nelsonatkins-mets-legacy.csv,"Book of Hours, excerpt Hours of the Cross",,,,,,Book of hours,"Q795"
20240902-titles-nelsonatkins-mets-legacy.csv,"Bible, II Kings 13:5 - II Kings 15:10",,,,,,Bible;Second Book of Kings,"Q661;Q1117"
20240902-titles-nelsonatkins-mets-legacy.csv,"Horatius Flaccus, Quintus, Opera, with Commentary by Christopher Landinus (Incunable Leaf)",,,,Works of Horace;Commentary on Horace,Q18562;Q18559,,
20240902-titles-nelsonatkins-mets-legacy.csv,"Horatius Flaccus, Quintus, Opera, with Commentary by Christophorus Landinus",,,,Works of Horace;Commentary on Horace,Q18562;Q18559,,
20240902-titles-nelsonatkins-mets-legacy.csv,Biblia Veteris et Novi Testamenti,,,,,,Bible;Old Testament;New Testament,"Q661;Q664;Q655"
20240902-titles-nelsonatkins-mets-legacy.csv,Stephen Langton Interpretation of Hebrew Names of Bible,,,,,,Interpretationes nominum Hebraicorum,"Q357"
20240902-titles-nelsonatkins-mets-legacy.csv,Breviary,,,,,,Breviary,"Q657"
20240902-titles-nelsonatkins-mets-legacy.csv,Book of Hours (Bifolium),,,,,,Book of hours,"Q795"
20240902-titles-nelsonatkins-mets-legacy.csv,Psalter,,,,,,Psalter,"Q660"
20240902-titles-nelsonatkins-mets-legacy.csv,Italian Notarial Loan Record,,,,,,Missal,"Q662"
20240902-titles-nelsonatkins-mets-legacy.csv,Illuminated Missal,,,,,,Missal,"Q662"
20240902-titles-nelsonatkins-mets-legacy.csv,"Ranulph Higden, Polychronicon Translation by John Trevisa",,,,,,Polychronicon,"Q1120"
20240902-titles-nelsonatkins-mets-legacy.csv,Antiphonal Music,,,,,,Antiphonary,"Q654"
20240902-titles-nelsonatkins-mets-legacy.csv,Book of Hours for Sarum Use,,,,,,Book of hours,"Q795"
20240902-titles-smith-mets-legacy.csv,[Missal].,,,,,,Missal,"Q662"
20240902-titles-smith-mets-legacy.csv,Missal (Smith College Ms. 263),,,,,,Missal,"Q662"
20240902-titles-smith-mets-legacy.csv,[Breviary],,,,,,Breviary,"Q657"
20240902-titles-smith-mets-legacy.csv,Missal. (Smith College Ms. 261),,,,,,Missal,"Q662"
20240902-titles-smith-mets-legacy.csv,[Book of hours (Use of Paris)].,,,,,,Book of hours,"Q795"
20240902-titles-smith-mets-legacy.csv,Book of hours (Smith College Ms. 254),,,,,,Book of hours,"Q795"
20240902-titles-smith-mets-legacy.csv,[Book of hours].,,,,,,Book of hours,"Q795"
20240902-titles-smith-mets-legacy.csv,Book of hours (Smith College Ms. 255),,,,,,Book of hours,"Q795"
20240902-titles-smith-mets-legacy.csv,[Book of hours (Use of Rouen)].,,,,,,Book of hours,"Q795"
