row_index,workflow_history,name_as_recorded,role,name_agr,source_authority_uri,instance_of_add,authorized_label_add,structured_value_add,ds_id_add,ds_qid_add,instance_of,authorized_label,structured_value,ds_qid
148,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-09-25T02:50:35.993262Z | NAME RECON STEP 3: START HUMAN RECON 2024-09-25T02:51:33.537693Z | NAME RECON STEP 6: START ORG RECON 2024-09-27T18:29:36.694851Z | NAME RECON STEP 9: FINALIZED 2024-09-27T18:29:54.270800Z","Maḥmud ibn Adʹham, active 15th century",author,محمود بن ادهم، active 15th century,,human,Maḥmud ibn Adʹham,Q130374979,DSNAME6815,Q54796,,,,
149,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-09-25T02:50:35.993265Z | NAME RECON STEP 3: START HUMAN RECON 2024-09-25T02:51:33.537696Z | NAME RECON STEP 6: START ORG RECON 2024-09-27T18:29:36.694859Z | NAME RECON STEP 9: FINALIZED 2024-09-27T18:29:54.270809Z","Hamadānī, ʻAbd al-Vahhāb ibn Muḥammad, -1547 or 1548",author,همدانى، عبد الوهاب بن محمد، -1547 or 1548,,human,ʻAbd al-Vahhāb ibn Muḥammad Hamadānī,Q130374980,DSNAME6816,Q54797,,,,
150,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-09-25T02:50:35.993268Z | NAME RECON STEP 3: START HUMAN RECON 2024-09-25T02:51:33.537701Z | NAME RECON STEP 6: START ORG RECON 2024-09-27T18:29:36.694872Z | NAME RECON STEP 9: FINALIZED 2024-09-27T18:29:54.270813Z",Yunus Vehbî bin Mehmet Rizevî,author,ىونس وهبى بن محمد رىزه وى,,human,Yunus Vehbî bin Mehmet Rizevî,Q130374981,DSNAME6817,Q54798,,,,
151,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-09-25T02:50:35.993274Z | NAME RECON STEP 3: START HUMAN RECON 2024-09-25T02:51:33.537706Z | NAME RECON STEP 6: START ORG RECON 2024-09-27T18:29:36.694881Z | NAME RECON STEP 9: FINALIZED 2024-09-27T18:29:54.270817Z","İbrahim Halil bin Osman, active 19th century",author,ابرهىم خلىل بن عثمان، active 19th century,,human,İbrahim Halil bin Osman,Q130374982,DSNAME6818,Q54799,,,,
152,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-09-25T02:50:35.993277Z | NAME RECON STEP 3: START HUMAN RECON 2024-09-25T02:51:33.537709Z | NAME RECON STEP 6: START ORG RECON 2024-09-27T18:29:36.694890Z | NAME RECON STEP 9: FINALIZED 2024-09-27T18:29:54.270827Z","Ahmet bin İbrahim, Tophanevî",author,"احمد بن ابراهىم, طوبخانوى",,human,Tophanevî Ahmet bin İbrahim,Q130374983,DSNAME6819,Q54800,,,,
153,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-09-25T02:50:35.993280Z | NAME RECON STEP 3: START HUMAN RECON 2024-09-25T02:51:33.537713Z | NAME RECON STEP 6: START ORG RECON 2024-09-27T18:29:36.694901Z | NAME RECON STEP 9: FINALIZED 2024-09-27T18:29:54.270831Z","Mehmet bin Malkoç, active 16th century",author,محمد بن مالقوچ، active 16th century,,human,Mehmet bin Malkoç,Q130374984,DSNAME6820,Q54801,,,,
154,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-09-25T02:50:35.993288Z | NAME RECON STEP 3: START HUMAN RECON 2024-09-25T02:51:33.537717Z | NAME RECON STEP 6: START ORG RECON 2024-09-27T18:29:36.694909Z | NAME RECON STEP 9: FINALIZED 2024-09-27T18:29:54.270835Z","Ūshī, ʻAlī ibn ʻUthmān, active 12th century",author,اوشي، علي بن عثمان، active 12th century,,human,ʻAlī ibn ʻUthmān Ūshī,Q130374985,DSNAME6821,Q54802,,,,
155,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-09-25T02:50:35.993291Z | NAME RECON STEP 3: START HUMAN RECON 2024-09-25T02:51:33.537720Z | NAME RECON STEP 6: START ORG RECON 2024-09-27T18:29:36.694920Z | NAME RECON STEP 9: FINALIZED 2024-09-27T18:29:54.270843Z","Ūshī, ʻAlī ibn ʻUthmān, active 12th century",author,اوشي، علي بن عثمان، active 12th century,,human,ʻAlī ibn ʻUthmān Ūshī,Q130374985,DSNAME6821,Q54802,,,,
156,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-09-25T02:50:35.993296Z | NAME RECON STEP 3: START HUMAN RECON 2024-09-25T02:51:33.537723Z | NAME RECON STEP 6: START ORG RECON 2024-09-27T18:29:36.694932Z | NAME RECON STEP 9: FINALIZED 2024-09-27T18:29:54.270847Z","Hüseyin, el-Keşfî",author,حسين، الكشفي,,human,el-Keşfî Hüseyin,Q130374986,DSNAME6822,Q54803,,,,
157,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-09-25T02:50:35.993299Z | NAME RECON STEP 3: START HUMAN RECON 2024-09-25T02:51:33.544053Z | NAME RECON STEP 6: START ORG RECON 2024-09-27T18:29:36.695003Z | NAME RECON STEP 9: FINALIZED 2024-09-27T18:29:54.270851Z","Kaffawī, Ayyūb ibn Mūsá, 1618 or 1619-1682 or 1683",author,کفوى، ايوب بن موسى، 1618 or 1619-1682 or 1683,,human,al-Kafawi,Q28713555,DSNAME6823,Q54804,,,,
