title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label_add,ds_qid_add,authorized_label,ds_qid
Hādhihi risālat Dhāt al-ʻajāʾib al-mubayyinah li-kull ṭālib rāghib,هذه رسالة ذات العجائب المبينة لكل طالب راغب,Dhāt al-ʻajāʾib al-mubayyinah li-kull ṭālib rāghib,ذات العجائب المبينة لكل طالب راغب,,,,
Hādhihi risālah fī riyāḍat al-ṣibyān wa-taʻlīmihim wa-taʼdībihim /,هذه رسالة في رياضة الصبيان وتعليمهم وتأديبهم /,Risālah fī riyāḍat al-ṣibyān,رسالة في رياضة الصبيان,,,,
Hādhihi Risālat irshād al-wará li-minhāj al-faqr /,هذه رسالة ارشاد الورى لمنهاج الفقر /,Irshād al-wará li-minhāj al-faqr,ارشاد الورى لمنهاج الفقر,,,,
Hādhā al-kitāb Lawḥ al-dhahab fī al-ḥikmah /,هذا الكتاب لوح الذهب في الحكمة/,Lawḥ al-dhahab fī al-ḥikmah,لوح الذهب في الحكمة,,,,
Hādhā al-nisf̣ min al-ʻIqd al-farīd /,هذا النصف من العقد الفريد/,ʻIqd al-farīd,,,,,
Nafāʼis al-ʻanāṣir lil-Mālik al-Nāṣir,نفائس العناصر للمالك الناصر,,,,,,
Duʻāʼ Kumayl,دعاء كميل,,,,,,
al-Qurʾān. Sūrah 1,القرآن. سورة 1,Qurʼan,,Qurʼan,Q3697,,
Nūr al-hudá li-maʻrifat ṭarīq al-fidā; jarīdah dīnīyah adabīyah,نور الهدى لمعرفة طريق الفدا,,,,,,
Nawādir al-zamān fī malāḥim Jabal Lubnān /,نوادر الزمان في ملاحم جبل لبنان /,Nawādir al-zamān,نوادر الزمان,,,,
Letters and documents in Arabic from Egypt,,,,,,,
Hidāyat al-akhyār,هداية الاخيار,,,,,,
Takrīr al-zayt al-muqaddas fī yawm al-khamsīn al-kabīr,تكرير الزيت المقدس فى يوم الخمسين الكبير,,,,,,
Mukhtaṣar Uktuwaykhūs,مختصر اكتويخوس,Oktoechos,,,,,
Tarjamat al-Zabūr al-sharīf,ترجمة الزبور الشريف,,,,,,
ʻArf al-zaharāt fī tafsīr al-kalimāt al-ṭayyibāt /,عرف الزهرات في تفسير الكلمات الطيبات /,ʻArf al-zaharāt,عرف الزهرات,,,,
Qurʻat al-khulafāʾ al-ʻAbbāsīyah umarāʾ al-muʾminīn,قرعة الخلفاء العباسية امراء المؤمنين,,,,,,
Kitāb jalīl fī ʻilm al-mūsīqā wa-ʻilm al-taʾlīf wa-al-khawāṣṣ min ʻulūm al-falsafah al-naẓarīyah,كتاب جليل في علم الموسيقا وعلم التأليف والخواص من علوم الفلسفة النظرية,Mūsīqá al-kabīr,موسيقى الكبير,,,,
al-Iklīl,الاكليل,Iklīl,اكليل,,,,
Muʻīd al-niʻam wa-mubīd al-niqam,معيد النعم ومبيد النقم,,,,,,
Tārīkh al-Amīr Fakhr al-Dīn al-Maʻnī,تأريخ الامير فخر الدين المعني,,,,,,
Taʻbīr al-manām ... [etc.,تعبير المنام,,,,,,
Kitāb Qūt al-qulūb min muʻāmalat al-maḥbūb wa-waṣf ṭarīq al-murīd ilá ...,كتاب قوت القلوب من معاملة المحبوب ووصف طريق المريد الى ...,Qūt al-qulūb,قوت القلوب,,,,
Niẓām al-tawārīkh /,نظام التواريخ /,,,,,,
Sahm al-ghayb fī ikhrāj al-ḍamīr bi-lā rayb,سهم الغيب في اخراج الضمير بلا ريب,,,,,,
Hadīyat al-muhtadī fī ʻilm al-handasah wa-al-masāḥah wa-ramy al-khamīrah wa-ḥafr al-lughm /,هدية المهتدي في علم الهندسة والمساحة ورمي الخميرة وحفر اللغم /,,,,,,
Zād al-ashrāf fī wafq al-qāf,زاد الاشراف في وفق القاف,,,,,,
Mirʼāt al-jinān wa-ʻibrat al-yaqẓān fī maʻrifat ḥawādith al-zamān wa-taqallub aḥwāl al-insān [wa-tā]rīkh baʻḍ al-mashhūrīn al-aʻyān,مرآة الجنان وعبرة اليقظان في معرفة حوادث الزمان وتقلب احوال الانسان وتاريخ بعض المشهورين الاعيان,Mirʼāt al-jinān wa-ʻibrat al-yaqẓān,مرآة الجنان وعبرة اليقظان,,,,
Kitāb ʻIqd al-farāʾid fīmā lil-muthallath min al-fawāʾid /,كتاب عقد الفرائد فيما للمثلث من الفوائد /,,,,,,
al-Manhaj al-maslūk fī siyāsat al-mulūk,المنهج المسلوك في سياسة الملوك,,,,,,
Tuḥfat al-zaman fī ẓuraf ahl al-Yaman /,تحفة الزمن في ظرف اهل اليمن /,,,,,,
Lawāmiʻ al-afkār al-muḍīʼah fī sharḥ Mukhammas al-Māʼ al-waraqī wa-al-arḍ al-najmīyah,لوامع الافكار المضيئة في شرح مخمس الماء الورقي والارض النجمية,,,,,,
al-Tanbīhāt al-ʻalīyah,التنبيهات العلية,Asrār al-ṣalāh,اسرار الصلوة,,,,
Kitāb al-Maʻūnah ʻalá dafʻ al-hamm /,كتاب المعونه على دفع الهم /,Maʻūnah ʻalá dafʻ al-hamm,معونة على دفع الهم,,,,
al-Akhbār wa-al-anbāʼ bi-shaʻār dhawī al-qurbá ... [etc,الاخبار والانبا بشعار ذوي القربى ... الخ,,,,,,
Rasāʼil lil-Suyūṭī,رسائل للسيوطي,Works,اعمال,,,,
Manẓūmat al-Ghazzālī ... [etc,منظومة الغزالي ... الخ,,,,,,
Rasāʼil Jalāl al-Dīn ʻAbd al-Raḥmān al-Suyūṭī,رسائل جلال الدين عبد الرحمن السيوطي,Works,اعمال,,,,
Majmūʻah ʻiddat rasāʼil,مجموعة عدة رسائل,,,,,,
Hādhā Kitāb Tuḥfat al-ṭālibīn ... [etc,هذا كتاب تحفة الطالبين ... الخ,,,,,,
Minhāj al-ʻābidīn ... [etc,منهاج العابدين ... الخ,,,,,,
Majmūʻat fawāʼid] ... [etc,مجموعة فوائد ... الخ,,,,,,
ʻAqīdat ahl al-sunnah min Iḥyā ʻulūm al-dīn ... [etc,عقيدة اهل السنة من احيا علوم الدين ... الخ,,,,,,
Hādhā Kitāb Baḥr al-kalām ... [etc,هذا كتاب بحر الكلام ... الخ,,,,,,
Hādhihi majmūʻat thalāth nusakh fī sharḥ Shajarat al-Imām Muḥyī al-Dīn ibn ʻArab,هذه مجموعة ثلاث نسخ فى شرح شجرة الامام محيي الدين بن عرب,,,,,,
Sharḥ al-Jaljalūṭīyah,شرح الجلجلوطية,,,,,,
Account of the martyrdom of Ḥusayn ibn ʻAlī,,,,,,,
al-Juzʼ al-thānī min Kitāb ʻUmdat al-mustarshidīn fī uṣūl al-dīn /,الجزء الثاني من كتاب عمدة المسترشدين في اصول الدين /,ʻUmdat al-mustarshidīn fī uṣūl al-dīn,عمدة المسترشدين في اصول الدين,,,,
Takhmīs Lāmīyat Ibn al-Wardī,تخميس لامية ابن الوردي,,,,,,
Kitāb al-Uṣūl wa-al-ḍawābiṭ,كتاب الاصول والضوابط,Uṣūl wa-al-ḍawābit,اصول والضوابت,,,,
Tractatus de elemosina arabice,,,,,,,
Collection of Arabic supplications and magical texts,,,,,,,
Risālat Qawānīn ḥikam al-ishrāq ilá kull al-ṣūfīyah bi-jamīʻ al-āfāq /,رسالة قوانين حكم الاشراق الى كل الصوفية بجميع الافاق /,Qawānīn ḥikam al-ishrāq,قوانين حكم الاشراق,,,,
"Treatise on ancient, alchemical and magical alphabets",,,,,,,
Nuskhat al-sijill alladhī wujida muʻallaqan ʻalá al-mashāhid fī ghaybat mawlānā al-imām al-Ḥakīm ... [etc.,نسخة السجل الذي وجد معلقا على المشاهد في غيبة مولانا الامام الحكيم ... الخ,,,,,,
Kitāb Taqwīm al-buldān /,كتاب تقويم البلدان /,Taqwīm al-buldān,تقويم البلدان,,,,
Abkār al-afkār,ابكار الافكار,,,,,,
Hādhihi Risālah fī ʻilm al-qabbān,هذه رسالة في علم القبان,Risālah fī ʻilm al-qabbān,رسالة في علم القبان,,,,
Mā warada fī al-shams fī al-layl wa-al-nahār fī ... wa-al-riyāḥ fī al-saḥāb wa-al-maṭar fī al-raʻd wa-al-barq fī al-majarrah wa-al-qaws wa-ghayr dhālika. Wa-ayḍan Nubdhah min Munājāt Mūsá,ما ورد في الشمس في الليل والنهار في ... والرياح في السحاب والمطر في الرعد والبرق في المجرة والقوس وغير ذلك. وايضا نبذة من مناجات موسى,,,,,,
Kitāb Miftāḥ al-[saʻādah] wa-miṣbāḥ al-siyādah /,كتاب مفتاح السعادة ومصباح السيادة /,Miftāḥ al-saʻādah wa-miṣbāḥ al-siyādah,مفتاح السعادة ومصباح السيادة,,,,
al-Qurʼān. Sūrah 1-18,,Qurʼan,,Qurʼan,Q3697,,
al-Qurʼān,,,,,,Qurʼan,Q3697
Qurʼan selections with prayers and talismans,,,,,,,
Risālah fī ṭarīqat al-Shaykh al-Ṣāwī /,رسالة في طريقة الشيخ الصاوي,,,,,,
Hādhā Kitāb Anīs al-Jalīs /,هذا كتاب انيس الجليس /,Anīs al-jalīs,أنيس الجليس,,,,
Kitāb Tadhkirat ūlī al-baṣāyir fī maʻrifat al-kabāyir /,كتاب تذكرة اولي البصاير في معرفة الكباير /,Tadhkirat ūlī al-baṣāʼir fī maʻrifat al-kabāʼir,تذکرة اولي البصائر في معرفة الکبائر,,,,
Hādhā Kitāb Nashr al-maḥāsin /,هذا كتاب نشر المحاسن /,Nashr al-maḥāsin,نشر المحاسن,,,,
Hādhā Kitāb al-Nūrayn fī iṣlāḥ al-dārayn /,هذا كتاب النورين في اصلاح الدارين /,Nūrayn fī iṣlāḥ al-dārayn,نورين في اصلاح الدارين,,,,
Kitāb al-Barakah fī al-saʻy wa-al-ḥarakah /,كتاب البركه في السعي والحركه /,Barakah fī faḍl al-saʻy wa-al-ḥarakah,بركة في فضل السعي والحركة,,,,
Hādh[ā] Kitāb al-Barakah fī faḍl al-saʻy wa-al-ḥarakah /,هذا كتاب البركة في فضل السعي والحركة /,Barakah fī faḍl al-saʻy wa-al-ḥarakah,برکة في فضل السعي والحرکة,,,,
Hādhā Kitāb al-Barakah fī al-saʻy wa-al-ḥarakah,هذا كتاب البركة في السعى والحركة,Barakah fī al-saʻy wa-al-ḥarakah,برکة في السعي والحرکة,,,,
Kitāb Qamʻ al-nufūs wa-ruqyat al-maʼyūs /,كتاب قمع النفوس ورقية المأيوس /,Qamʻ al-nufūs wa-ruqyat al-maʼyūs,قمع النفوس ورقية المأيوس,,,,
al-Juzʼ al-thānī min Kitāb al-khuṭab /,الجزء الثاني من كتاب الخطب /,Kitāb al-Khuṭab,كتاب الخطب,,,,
Hādhā Kitāb al-ʻUnwān fī makāʼid al-niswān /,هذا كتاب العنوان في مكائد النسوان /,ʻUnwān fī al-iḥtirāz min makāʼid al-niswān,عنوان في الاحتراز من مکائد النسوان,,,,
al-Juzʼ al-thānī min Kitāb al-Irtiyāḥ al-akbād bi-arbāḥ faqd al-awIād,الجزء الثاني من كتاب الارتياح الاكباد بارباح فقد الاولاد,Irtiyāḥ al-akbād bi-arbāḥ faqd al-awIād,ارتياح الاكباد بارباح فقد الاولاد,,,,
al-Mawāʻiẓ al-shāfiyah ʻalá al-manābir al-ʻāliyah,المواعظ الشافية على المنابر العالية,,,,,,
Ṭarīqah Muḥammadīyah wa-sīrah Aḥmadīyah,طريقة محمدية وسيرة احمدية,Ṭarīqah al-Muḥammadīyah,طريقة المحمدية,,,,
Haz̲a Jala-yi ḳulūp ... [etc,هذا جلاى قلوپ ... الخ,,,,,,
Hādhā Kitāb al-Zahr al-zāhir fī al-dalālah ʻalá qudrat al-ʻAzīz al-Qāhir,هذا كتاب الزهر الزاهر في الدلالة على قدرة العزيز القاهر,Zahr al-zāhir fī al-dalālah ʻalá qudrat al-ʻAzīz al-Qāhir,زهرالزاهر في الدلالة على قدرة العزيز القاهر,,,,
Hādhihi Waṣāyā /,هذه وصايا /,Waṣāyā,وصايا,,,,
Mīzān al-afkār naṣāyiḥ al-abrār wa-al-akhyār,ميزان الافکار نصايح الابرار والاخيار,Mīzān al-afkār naṣāʼiḥ al-abrār wa-al-akhyār,ميزان الافكار نصائح الابرار والاخيار,,,,
Hādhā Kitāb al-Barakāt fī ḥuṣūl al-khayrāt,هذا كتاب البركات في حصول الخيرات,Kitāb al-Barakāt fī ḥuṣūl al-khayrāt,کتاب البرکات في حصول الخيرات,,,,
al-Durrah al-bahīyah fī ṭāʻat maḥmūd al-ṣifāt al-ʻalīyah,الدرة البهية في طاعة محمود الصفات العلية,,,,,,
Haza kitab-ı uddet Kebire risalesi,هذا كتاب عد كبيره رساله‌سى,Sharḥ al-Ṣaghāʼir wa-al-kabāʼir,شرح الصغائر والکبائر,,,,
Kitāb al-Waṣf al-dhamīm fī fiʻl al-laʼīm /,كتاب الوصف الذميم في فعل اللئيم /,Waṣf al-dhamīm fī fiʻl al-laʼīm,وصف الذميم في فعل اللئيم,,,,
Kitāb al-Maḥāsin al-adabīyah fī mawāʻiẓ al-barīyah /,كتاب المحاسن الادبية في مواعظ البرية /,Maḥāsin al-adabīyah fī mawāʻiẓ al-barīyah,محاسن الادبية في مواعظ البرية,,,,
al-Ṣawārim al-Hindīyah fī al-ṭawāʼif al-Lūṭīyah,الصوارم الهندية في الطوائف اللوطية,,,,,,
Shurūḥ Ḥizb al-Nawawī /,شروح حزب النووى /,,,,,,
Kitāb al-Adhkār,کتاب الاذکار,Adhkār,اذكار,,,,
Kitāb Tuḥfat al-abrār bi-nukat al-Adhkār /,كتاب تحفة الابرار بنكت الاذكار /,Tuḥfat al-abrār bi-nukat al-Adhkār,تحفة الابرار بنکت الاذکار,,,,
Kitāb Kashf al-mughaṭṭá fī tabyīn al-ṣalāh al-wusṭá /,كتاب كشف المغطى في تبيين الصلاه الوسطى /,Kashf al-mughaṭṭá fī tabyīn al-ṣalāh al-wusṭá,کشف المغطى في تبيين الصلاة الوسطى,,,,
Kitāb Sharḥ asmāʼ Allāh al-ḥusná /,كتاب شرح اسماء الله الحسنى /,Sharḥ asmāʼ Allāh al-ḥusná,شرح اسماء الله الحسنى,,,,
Kitāb al-Ṣilāt wa-al-bushar fī al-ṣalāh ʻalá sayyid al-bashar /,كتاب الصلات والبشر في الصلاة على سيد البشر /,Ṣilāt wa-al-bushar fī al-ṣalāh ʻalá sayyid al-bashar,صلات والبشرفي الصلاة على سيد البشر,,,,
ʻUddat al-Ḥiṣn al-ḥaṣīn] /,عدة الحصن الحصين /,,,,,,
ʻUddat al-Ḥiṣn al-ḥaṣīn,عدة الحصن الحصين,ʻUddat al-Ḥiṣn al-ḥaṣīn min kalām Sayyid al-mursalīn,عدة الحصن الحصين من كلام سيد المرسلين,,,,
Tanbīh al-anām fī bayān ʻulūw maqām nabīyinā Muḥammad /,تنبيه الانام في بيان علو مقام نبينا محمد /,Tanbīh al-anām fī bayān ʻulūw maqām nabīyinā Muḥammad,تنبيه الانام في بيان علو مقام نبينا محمد,,,,
al-Juzʼ al-thānī min Tanbīh al-anām fī al-ʻulūw ʻalá khayr al-anām,الجزء الثاني من تنبيه الانام في العلو على خير الانام,Tanbīh al-anām fī bayān ʻulūw maqām nabīyinā Muḥammad,تنبيه الانام في بيان علو مقام نبينا محمد,,,,
al-Durr al-manḍūd fī al-ṣalāh ʻalá al-maqām al-maḥmūd /,الدر المنضود في الصلاة على المقام المحمود /,,,,,,
Kitāb Qurrat ʻuyūn dhawī al-afhām bi-sharḥ Muqaddamat Shaykh al-Islām /,كتاب قرة عيون ذوي الافهام بشرح مقدمة شيخ الاسلام /,Qurrat ʻuyūn dhawī al-afhām bi-sharḥ Muqaddamat Shaykh al-Islām,قرة عيون ذوي الافهام بشرح مقدمة شيخ الاسلام,,,,
al-Ḥizb al-aʻẓam wa-al-wird al-afkham,الحزب الاعظم والورد الافخم,,,,,,
Fayḍ al-arḥam wa-fatḥ al-akram ʻalá al-Ḥizb al-aʻẓam wa-al-wird al-afkham,فيض الارحم وفتح الاکرم على الحزب الاعظم والورد الافخم,,,,,,
Kitāb al-Kanz al-maqṣūd fī al-ṣalāh wa-al-salām ʻalá ṣāḥib al-maqām al-maḥmūd wa-al-ḥawḍ al-mawrūd,كتاب الكنز المقصود في الصلاه والسلام على صاحب المقام المحمود والحوض المورود,Kanz al-maqṣūd fī al-ṣalāh wa-al-salām ʻalá ṣāḥib al-maqām al-maḥmūd wa-al-ḥawḍ al-mawrūd,کنز المقصود في الصلاة والسلام على صاحب المقام المحمود والحوض المورود,,,,
Hādhā Sharḥ al-ʻaqīdah al-mashhūrah allatī tuqraʼu baʻda al-asmāʼ al-ḥusná /,هذا شرح العقيدة المشهورة التي تقرأ بعد الاسما الحسنى /,Sharḥ al-ʻaqīdah al-mashhūrah allatī tuqraʼu baʻda al-asmāʼ al-ḥusná,شرح العقيدة المشهورة التي تقرأ بعد الاسماء الحسنى,,,,
Hādhā sharḥ laṭīf ʻalá ṣalāt al-ʻārif billāh taʻālá Sayyidī ʻAbd al-Salām Mashīsh / li-Shaykhinā ʻAbd Allāh ibn ʻAlī al-Damalījī,هذا شرح لطيف على صلاه العارف بالله تعالى سيدي عبد السلام مشيش / لشيخنا عبد الله بن علي الدمليجى,Sharḥ Ṣalāh al-Mashīshīyah,شرح صلاة المشيشية,,,,
Hādhā Kitāb Tuḥfat ūlī al-falāḥ bi-sharḥ Ḥizb al-fatḥ wa-al-najāḥ /,هذا كتاب تحفة اولي الفلاح بشرح حزب الفتح والنجاح /,Tuḥfat ūlī al-falāḥ bi-sharḥ ḥizb al-fatḥ wa-al-najāḥ,تحفة اولي الفلاح بشرح حزب الفتح والنجاح,,,,
Hādhā Sharḥ asmāʼ Allāh al-ḥusná wa-Sharḥ al-Ṣalāh ʻalá al-Nabī al-mansūbah li-Ḥujjat al-Islām al-Ghazzālī,هذا شرح اسماء الله الحسنى وشرح الصلاة على النبي المنسوبة لحجة الاسلام الغزالي,Sharḥ al-Ṣalāh ʻalá al-Nabī,شرح الصلاة على النبي,,,,
Kitāb Ṣalāh,کتاب صلاة,,,,,,
Risālah fī al-dhikr bi-al-jahr,رسالة في الذكر بالجهر,,,,,,
Hādhā Ḥizb Sayyidī Aḥmad al-Rifāʻī ... [etc,هذا حزب سيدي احمد الرفاعي ... الخ,,,,,,
Kitāb al-Niʻmah al-jammah fī faḍl al-ṣalāh ʻalá al-shafīʻ fī al-ummah,كتاب النعمة الجمة في فضل الصلاة على الشفيع في الامة,Niʻmah al-jammah fī faḍl al-ṣalāh ʻalá al-shafīʻ fī al-ummah,نعمة الجمة في فضل الصلاة على الشفيع في الامة,,,,
Qaṣīdah Jaljalūtīyah,قصيدة جلجلوتية,,,,,,
Kitāb Ṣalawāt al-Badrīyah,كتاب صلواة البدرية,Ṣalawāt al-Badrīyah wa-al-daʻawāt al-anwarīyah,صلوات البدرية والدعوات الانورية,,,,
Hādhihi Ṣalawāt al-Badrīyah wa-... /,هذه صلوات البدريه و... /,Ṣalawāt al-Badrīyah wa-...,صلوات البدرية و......,,,,
Kitāb Yashūʻ ibn Shīrākh,کتاب يشوع ابن شيراخ,Bible,,Ecclesiasticus,Q103467,,
Sharḥ al-Tuḥfah al-Shāhidīyah,شرح التحفة الشاهدية,,,,,,
Kitāb Makārim al-akhlāq,كتاب مكارم الاخلاق,Makārim al-akhlāq,مكارم الاخلاق,,,,
Kitab tafsir,,,,,,,
al-Qurʾān. Sūrah I-XVIII,القرآن. سورة 1-18,Qurʼan,قرآن,Qurʼan,Q3697,,
Qiṭʻah min Wafayāt al-aʻyān /,قطعة من وفيات الاعيان /,Wafayāt al-aʻyān,وفيات الاعيان,,,,
Kitāb fī al-miʼah sanah al-ūlá min tajassud al-Masīḥ al-mukhalliṣ /,كتاب في المائة سنة الاولى من تجسد المسيح المخلص /,Hekatontaetēris tōn apo Christou Sōtēros enanthrōpēsantos,,,,,
Notices on the life of ʻAbd al-Qādir al-Jīlānī] ... [etc.,,,,,,,
Dīvān-i Javāhir-i asrār Allāh /,دىوان جواهر اسرار الله /,,,,,,
al-Maqāṣid al-ʻalīyah fī sharḥ al-Risālah al-Alfīyah,المقاصد العلية في شرح الرسالة الالفية,,,,,,
al-Mashrab al-wardī fī madhhab al-Mahdī] ...[etc.,المشرب الوردي في مذهب المهدي,,,,,,
al-Maṭālib al-Muẓaffarīyah,المطالب المظفرية,,,,,,
Miʾat kalimah,مئة كلمة,Miʾat kalimah,مئة كلة,,,,
Kitāb Maqāmāt al-Ḥarīrī,كتاب مقامات الحريري,Maqāmāt,مقامات,Maqamat,Q11765,,
al-Maqāmāt al-khamsūn,المقامات الخمسون,Maqāmāt,مقامات,Maqamat,Q11765,,
al-Alfīyah al-Wardīyah fī taʻbīr al-ruʼyā,الالفية الوردية في تعبير الرؤيا,,,,,,
ʻAwārif al-maʻārif,عوارف المعارف,,,,,,
Risālah sharīfah Jaʻfarīyah,رسالة شريفة جعفرية,Jaʻfarīyah,جعفرية,,,,
Miʻrāj najāt al-muwaḥḥidīn wa-sullam ḥayāt al-mūqinīn. al-Risālah fī dhikr al-maʻād wa-al-radd ʻalá man ʻabbara ʻanhu bi-al-ghalaṭ wa-al-ilḥād ... [etc.,,Miʻrāj najāt al-muwaḥḥidīn wa-sullam ḥayāt al-mūqinīn. al-Risālah fī dhikr al-maʻād wa-al-radd ʻalá man ʻabbara ʻanhu bi-al-ghalaṭ wa-al-ilḥād ... [etc,,,,,
Kitāb Ādāb al-ʻālim wa-al-mutaʻallim /,كتاب آداب العالم والمتعلم /,Tadhkirat al-sāmiʻ wa-al-mutakallim fī adab al-ʻālim wa-al-mutaʻallim,تذكرة السامع والمتكلم في ادب العالم والمتعلم,,,,
Kitāb Taʼrīkh al-ghurar al-ḥisān fī ḥawādith ahl al-zamān; Taʼrīkh Jabal Lubnān wa-baʻḍ buldān ākhar ibtidāʼuhu sanah 1109 intihāhu sanah 1236 Muḥammadī /,كتاب تاريخ الغرر الحسان في حوادث اهل الزمان,,,,,,
Alḥān al-sawājiʻ bayna al-bādiʼ wa-al-murājiʻ /,الحان السواجع بين البادى والمراجع /,,,,,,
Sharḥ al-ʻAqāʼid al-Nasafīyah. Ḥāshiyah ʻalá Sharḥ al-Taftazānī,شرح العقائد النسفية. حاشية على شرح التفتزاني,,,,,,
al-Khatmah al-Maghribīyah al-sulṭānīyah wa-al-khullah al-Ibrāhīmīyah al-burhānīyah,الختمة المغربية السلطانية والخلة الابراهيمية البرهانية,Khatmah al-Maghribīyah,,,,,
Kitāb al-Daraj /,كتاب الدرج /,,,,,,
al-Qurʼān. Sūrah 57:2-14,القرآن. سورة 57:2-14,Qurʼan,,Qurʼan,Q3697,,
Adʻiyah,ادعية,,,,,,
al-Qurʾān. Sūrah 1-100:2,القرآن. سورة 1-100:2,Qurʼan,,Qurʼan,Q3697,,
Work on botany in Arabic,,,,,,,
Kullīyāt-i Saudā,كليات سودا,Poems,,,,,
Kitāb Taḥrīr Uqlīdus,كتاب تحرير اقليدس,,,,,,
Chinese Islamic manuscripts,,,,,,,
Kitāb Maʼāthir al-abrār fī taḥṣīl mujmalāt jawāhir al-akhyār; wa-tusammá al-Lawāḥiq al-nadīyah lil-ḥadāʼiq al-wardīyah,كتاب مآثر الابرار في تحصيل مجملات جواهر الاخيار,,,,,,
al-Bahjah al-marḍīyah,البهجة المرضيه,,,,,,
